timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,42.97,43.44,42.97,43.11,43.11,319293,0.0000,1.0
2020-12-10,42.5,43.22,42.5,43.19,43.19,321208,0.0000,1.0
2020-12-09,42.22,42.6,41.88,42.51,42.51,296612,0.0000,1.0
2020-12-08,41.17,42.32,41.17,42.05,42.05,352953,0.0000,1.0
2020-12-07,41.43,41.91,41.26,41.47,41.47,373037,0.0000,1.0
2020-12-04,41.15,41.82,41.15,41.68,41.68,271856,0.0000,1.0
2020-12-03,40.63,41.1,39.99,41.06,41.06,526822,0.0000,1.0
2020-12-02,40.79,41.14,40.6376,40.84,40.84,395424,0.0000,1.0
2020-12-01,41.52,41.81,40.31,40.78,40.78,407518,0.0000,1.0
2020-11-30,41.88,42.18,41.15,41.17,41.17,490479,0.0000,1.0
2020-11-27,42.48,42.54,41.835,42.0,42.0,116261,0.0000,1.0
2020-11-25,43.25,43.285,42.45,42.57,42.57,249601,0.0000,1.0
2020-11-24,42.66,43.48,42.5986,43.16,43.16,389493,0.0000,1.0
2020-11-23,41.32,42.32,41.09,42.06,42.06,259388,0.0000,1.0
2020-11-20,41.24,41.4,40.84,41.17,41.17,376617,0.0000,1.0
2020-11-19,41.64,41.745,40.58,41.42,41.42,386277,0.0000,1.0
2020-11-18,42.84,43.22,41.75,41.88,41.88,360703,0.0000,1.0
2020-11-17,41.96,42.91,41.72,42.62,42.62,362418,0.0000,1.0
2020-11-16,42.37,42.55,41.78,42.22,42.22,612900,0.0000,1.0
2020-11-13,40.96,42.02,40.87,41.9,41.9,263775,0.0000,1.0
2020-11-12,41.33,41.725,40.41,40.62,40.62,407737,0.0000,1.0
2020-11-11,41.09,41.78,40.68,41.75,41.75,430331,0.0000,1.0
2020-11-10,39.33,41.28,39.0,41.08,41.08,576105,0.0000,1.0
2020-11-09,39.69,40.16,38.8,38.96,38.96,521964,0.0000,1.0
2020-11-06,40.35,40.75,37.87,38.17,38.17,508207,0.0000,1.0
2020-11-05,41.03,41.64,40.29,40.35,40.35,355135,0.0000,1.0
2020-11-04,41.11,41.9,40.84,40.86,40.86,358464,0.0000,1.0
2020-11-03,40.87,41.69,40.87,41.34,41.34,500948,0.0000,1.0
2020-11-02,40.45,40.71,39.83,40.42,40.42,480757,0.0000,1.0
2020-10-30,39.84,40.32,39.315,39.96,39.96,1695940,0.0000,1.0
2020-10-29,39.29,39.97,38.22,39.81,39.81,645413,0.0000,1.0
2020-10-28,41.0,41.3832,39.56,39.59,39.59,475614,0.0000,1.0
2020-10-27,42.05,42.35,41.61,41.63,41.63,523931,0.0000,1.0
2020-10-26,42.62,42.62,41.9,42.24,42.24,418808,0.0000,1.0
2020-10-23,43.47,43.55,42.6,42.93,42.93,383211,0.0000,1.0
2020-10-22,41.8,43.24,41.51,43.14,43.14,524002,0.0000,1.0
2020-10-21,41.93,42.3271,41.69,41.88,41.88,626273,0.0000,1.0
2020-10-20,41.77,42.28,41.33,41.93,41.93,377421,0.0000,1.0
2020-10-19,41.81,42.075,41.34,41.37,41.37,372055,0.0000,1.0
2020-10-16,42.31,42.5,41.58,41.65,41.65,445363,0.0000,1.0
2020-10-15,41.95,42.48,41.71,42.34,42.34,413009,0.0000,1.0
2020-10-14,42.41,42.66,42.0,42.21,42.21,248620,0.0000,1.0
2020-10-13,42.35,42.56,41.99,42.41,42.41,372034,0.0000,1.0
2020-10-12,42.0,42.395,41.71,42.34,42.34,290196,0.0000,1.0
2020-10-09,42.38,42.5,41.61,41.99,41.99,286025,0.0000,1.0
2020-10-08,41.57,42.04,41.13,41.97,41.97,317013,0.0000,1.0
2020-10-07,41.24,41.44,40.37,41.26,41.26,408612,0.0000,1.0
2020-10-06,41.19,41.725,40.9,41.07,41.07,424099,0.0000,1.0
2020-10-05,40.28,41.18,39.85,41.07,41.07,429489,0.0000,1.0
2020-10-02,39.69,40.29,39.44,39.99,39.99,584058,0.0000,1.0
2020-10-01,40.51,40.76,39.72,39.96,39.96,615452,0.0000,1.0
2020-09-30,41.15,41.43,40.07,40.59,40.59,615834,0.0000,1.0
2020-09-29,41.67,41.7,40.39,41.15,41.15,402936,0.4450,1.0
2020-09-28,42.03,42.49,41.8,42.12,41.6693833393,381413,0.0000,1.0
2020-09-25,41.11,41.81,40.92,41.73,41.2835557158,460327,0.0000,1.0
2020-09-24,40.4,41.31,40.03,41.17,40.7295468205,524110,0.0000,1.0
2020-09-23,41.08,41.26,40.37,40.61,40.1755379252,656835,0.0000,1.0
2020-09-22,41.0,41.89,40.81,41.05,40.6108306287,590697,0.0000,1.0
2020-09-21,41.5,41.5,40.55,41.03,40.5910445967,482258,0.0000,1.0
2020-09-18,42.25,42.4,41.58,41.96,41.5110950835,969049,0.0000,1.0
2020-09-17,42.25,42.41,41.76,42.27,41.8177785792,469769,0.0000,1.0
2020-09-16,42.13,42.85,42.01,42.56,42.1046760428,484106,0.0000,1.0
2020-09-15,42.91,43.09,41.97,42.14,41.6891693713,764440,0.0000,1.0
2020-09-14,42.65,42.93,42.41,42.85,42.3915735064,388615,0.0000,1.0
2020-09-11,42.86,42.86,42.17,42.49,42.0354249309,279637,0.0000,1.0
2020-09-10,43.3,43.34,42.67,42.68,42.2233922346,264617,0.0000,1.0
2020-09-09,43.08,43.59,42.65,43.26,42.7971871619,372906,0.0000,1.0
2020-09-08,44.02,44.19,42.685,43.0,42.5399687462,521541,0.0000,1.0
2020-09-04,45.14,45.35,44.0,44.19,43.7172376488,477488,0.0000,1.0
2020-09-03,44.92,45.77,44.76,44.91,44.4295347999,517584,0.0000,1.0
2020-09-02,44.19,45.33,44.18,44.92,44.4394278158,516183,0.0000,1.0
2020-09-01,45.43,45.485,44.17,44.31,43.8359538406,398468,0.0000,1.0
2020-08-31,45.79,45.89,45.55,45.64,45.1517249669,571492,0.0000,1.0
2020-08-28,45.16,45.91,44.94,45.82,45.3297992547,458932,0.0000,1.0
2020-08-27,44.87,45.4,44.72,45.07,44.5878230557,424713,0.0000,1.0
