timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.144,14.144,14.144,14.144,14.144,76,0.0000,1.0
2020-12-10,14.144,14.144,14.144,14.144,14.144,30,0.0000,1.0
2020-12-09,14.144,14.144,14.144,14.144,14.144,4,0.0000,1.0
2020-12-08,14.16,14.17,14.12,14.144,14.144,4630,0.0000,1.0
2020-12-07,14.28,14.28,14.11,14.15,14.15,5472,0.0000,1.0
2020-12-04,14.2,14.2001,14.17,14.17,14.17,4723,0.0000,1.0
2020-12-03,14.11,14.2,14.11,14.15,14.15,630,0.0000,1.0
2020-12-02,14.1555,14.2,14.1555,14.1646,14.1646,1684,0.0000,1.0
2020-12-01,14.2,14.2,14.18,14.2,14.2,9419,0.0000,1.0
2020-11-30,14.16,14.2131,14.16,14.193,14.193,1621,0.0000,1.0
2020-11-27,14.17,14.17,14.17,14.17,14.17,157,0.0000,1.0
2020-11-25,14.1,14.1,14.1,14.1,14.1,1642,0.0000,1.0
2020-11-24,14.1,14.1,14.1,14.1,14.1,100,0.0000,1.0
2020-11-23,14.07,14.07,14.07,14.07,14.07,1026,0.0000,1.0
2020-11-20,14.07,14.07,14.07,14.07,14.07,1000,0.0000,1.0
2020-11-19,14.1,14.1,14.07,14.07,14.07,4171,0.0000,1.0
2020-11-18,14.14,14.15,14.05,14.1,14.1,1660,0.0000,1.0
2020-11-17,14.15,14.15,14.147,14.147,14.147,4036,0.0000,1.0
2020-11-16,14.12,14.15,14.12,14.15,14.15,451,0.0000,1.0
2020-11-13,14.088,14.088,14.088,14.088,14.088,266,0.0000,1.0
2020-11-12,13.92,14.75,13.92,14.15,14.15,65309,0.0325,1.0
2020-11-11,13.92,13.95,13.92,13.94,13.9080557025,1526,0.0000,1.0
2020-11-10,13.91,13.98,13.91,13.9799,13.9478642693,3660,0.0000,1.0
2020-11-09,13.91,13.93,13.91,13.93,13.898078618,1228,0.0000,1.0
2020-11-06,13.9,13.9,13.9,13.9,13.8681473647,202,0.0000,1.0
2020-11-05,13.875,13.875,13.875,13.875,13.8432046536,1,0.0000,1.0
2020-11-04,13.81,13.9,13.81,13.875,13.8432046536,5201,0.0000,1.0
2020-11-03,13.77,13.83,13.77,13.83,13.7983077737,1872,0.0000,1.0
2020-11-02,13.83,13.83,13.82,13.82,13.7883306892,2890,0.0000,1.0
2020-10-30,13.76,13.76,13.76,13.76,13.7284681826,463,0.0000,1.0
2020-10-29,13.85,13.85,13.85,13.85,13.8182619425,165,0.0000,1.0
2020-10-28,13.78,13.8097,13.78,13.8097,13.7780542923,324,0.0000,1.0
2020-10-27,13.8,13.81,13.8,13.81,13.7783536048,3255,0.0000,1.0
2020-10-26,13.8262,13.8262,13.8,13.8,13.7683765204,2723,0.0000,1.0
2020-10-23,13.82,13.862,13.81,13.8166,13.7849384805,8631,0.0000,1.0
2020-10-22,13.81,13.81,13.81,13.81,13.7783536048,265,0.0000,1.0
2020-10-21,13.89,13.89,13.855,13.855,13.8232504848,801,0.0000,1.0
2020-10-20,13.89,13.89,13.89,13.89,13.8581702803,7,0.0000,1.0
2020-10-19,13.88,13.89,13.83,13.89,13.8581702803,3006,0.0000,1.0
2020-10-16,13.84,13.87,13.84,13.87,13.8382161114,1436,0.0000,1.0
2020-10-15,13.93,13.93,13.87,13.9,13.8681473647,1038,0.0000,1.0
2020-10-14,13.8675,13.8675,13.8675,13.8675,13.8357218403,0,0.0325,1.0
2020-10-13,13.89,13.91,13.89,13.9,13.8357218403,2010,0.0000,1.0
2020-10-12,13.9,13.9,13.9,13.9,13.8357218403,2659,0.0000,1.0
2020-10-09,13.86,13.89,13.85,13.89,13.8257680836,403,0.0000,1.0
2020-10-08,13.9,13.9,13.8957,13.8957,13.8314417249,6097,0.0000,1.0
2020-10-07,13.9,13.9,13.83,13.83,13.7660455433,1830,0.0000,1.0
2020-10-06,13.8201,13.828,13.81,13.81,13.7461380298,6438,0.0000,1.0
2020-10-05,13.91,13.91,13.81,13.81,13.7461380298,298,0.0000,1.0
2020-10-02,13.8,13.8716,13.8,13.8716,13.8074531712,2824,0.0000,1.0
2020-10-01,13.87,13.87,13.82,13.841,13.7769946757,3719,0.0000,1.0
2020-09-30,14.0199,14.02,13.8,13.8,13.7361842731,18663,0.0000,1.0
2020-09-29,14.01,14.01,13.93,13.93,13.8655831105,1409,0.0000,1.0
2020-09-28,13.9471,14.02,13.91,14.02,13.9551669209,1129,0.0000,1.0
2020-09-25,13.84,13.8831,13.83,13.8831,13.8188999914,1560,0.0000,1.0
2020-09-24,13.89,13.95,13.88,13.9185,13.8541362902,6900,0.0000,1.0
2020-09-23,13.8891,13.8891,13.8891,13.8891,13.8248722455,0,0.0000,1.0
2020-09-22,13.8218,13.8991,13.82,13.8891,13.8248722455,4900,0.0000,1.0
2020-09-21,13.84,13.84,13.84,13.84,13.7759993,102,0.0000,1.0
2020-09-18,13.8234,13.8234,13.8234,13.8234,13.7594760638,2000,0.0000,1.0
2020-09-17,13.89,13.95,13.78,13.8234,13.7594760638,10081,0.0000,1.0
2020-09-16,14.04,14.04,13.9001,13.97,13.9053981373,3370,0.0000,1.0
2020-09-15,14.01,14.01,14.01,14.01,13.9452131642,1872,0.0000,1.0
2020-09-14,14.0101,14.0101,14.01,14.0101,13.9453127018,816,0.0310,1.0
2020-09-11,14.02,14.0666,14.02,14.0666,13.9706387428,1541,0.0000,1.0
2020-09-10,14.07,14.07,14.07,14.07,13.9740155482,101,0.0000,1.0
2020-09-09,13.98,13.98,13.98,13.98,13.8846295213,144,0.0000,1.0
2020-09-08,13.85,13.98,13.8302,13.98,13.8846295213,2893,0.0000,1.0
2020-09-04,13.86,13.86,13.845,13.85,13.7555163712,6078,0.0000,1.0
2020-09-03,13.91,13.91,13.87,13.9053,13.8104391189,4644,0.0000,1.0
2020-09-02,13.9106,13.9106,13.9106,13.9106,13.8157029627,601,0.0000,1.0
2020-09-01,14.01,14.01,13.9838,13.9838,13.8884035979,2567,0.0000,1.0
2020-08-31,13.89,13.99,13.89,13.99,13.894561302,7014,0.0000,1.0
2020-08-28,14.04,14.04,13.944,13.944,13.8488751105,2020,0.0000,1.0
2020-08-27,13.9,13.9514,13.9,13.9,13.8051752751,11985,0.0000,1.0
2020-08-26,13.9215,13.9215,13.9,13.9,13.8051752751,1156,0.0000,1.0
2020-08-25,14.0,14.0,13.95,13.95,13.8548341789,8504,0.0000,1.0
2020-08-24,14.1,14.1,14.01,14.0314,13.9356788744,4239,0.0000,1.0
2020-08-21,14.02,14.02,14.01,14.01,13.9144248636,408,0.0000,1.0
2020-08-20,14.0163,14.0163,14.0163,14.0163,13.9206818855,0,0.0000,1.0
2020-08-19,14.05,14.05,14.01,14.0163,13.9206818855,1100,0.0000,1.0
2020-08-18,14.0,14.1,14.0,14.0869,13.9908002577,4305,0.0000,1.0
2020-08-17,14.0,14.09,13.98,14.085,13.9889132194,16647,0.0000,1.0
2020-08-14,14.035,14.035,13.98,14.01,13.9144248636,5600,0.0000,1.0
2020-08-13,14.22,14.22,13.98,13.98,13.8846295213,32667,0.0310,1.0
2020-08-12,14.23,14.23,13.99,13.9999,13.8736296363,16212,0.0000,1.0
2020-08-11,13.98,14.05,13.98,14.03,13.9034581531,37951,0.0000,1.0
2020-08-10,13.98,14.1441,13.98,14.0507,13.923971452,11911,0.0000,1.0
2020-08-07,13.4,14.05,13.4,13.98,13.8539091219,70367,0.0000,1.0
2020-08-06,13.37,13.37,13.25,13.25,13.1304932665,1502,0.0000,1.0
2020-08-05,13.24,13.25,13.24,13.25,13.1304932665,6627,0.0000,1.0
2020-08-04,13.23,13.24,13.22,13.24,13.1205834602,1335,0.0000,1.0
2020-08-03,13.2,13.2,13.16,13.16,13.0413050103,7772,0.0000,1.0
2020-07-31,13.0374,13.2,13.0,13.09,12.9719363667,10772,0.0000,1.0
2020-07-30,13.07,13.09,12.93,13.03,12.9124775292,7038,0.0000,1.0
2020-07-29,12.95,13.2,12.9424,13.03,12.9124775292,15712,0.0000,1.0
2020-07-28,12.95,12.95,12.92,12.94,12.8232892731,2086,0.0000,1.0
2020-07-27,12.9498,12.95,12.91,12.92,12.8034696606,10835,0.0000,1.0
2020-07-24,13.0,13.0,13.0,13.0,12.8827481105,100,0.0000,1.0
2020-07-23,12.9452,12.9452,12.9452,12.9452,12.8284423723,1622,0.0000,1.0
2020-07-22,12.93,12.93,12.93,12.93,12.8133794668,0,0.0000,1.0
2020-07-21,12.96,12.96,12.93,12.93,12.8133794668,749,0.0000,1.0
2020-07-20,12.92,12.92,12.9,12.9,12.7836500481,1607,0.0000,1.0
2020-07-17,12.91,12.96,12.88,12.91,12.7935598544,980,0.0000,1.0
2020-07-16,12.87,12.92,12.87,12.9,12.7836500481,1684,0.0000,1.0
2020-07-15,12.92,12.92,12.92,12.92,12.8034696606,221,0.0000,1.0
2020-07-14,12.92,12.94,12.92,12.92,12.8034696606,1612,0.0310,1.0
2020-07-13,12.83,12.9,12.82,12.83,12.683848023,4477,0.0000,1.0
2020-07-10,12.86,12.94,12.8,12.84,12.6937341087,4671,0.0000,1.0
2020-07-09,12.79,12.83,12.65,12.78,12.6344175942,10850,0.0000,1.0
2020-07-08,12.78,12.78,12.64,12.75,12.6047593369,27049,0.0000,1.0
2020-07-07,12.64,12.82,12.64,12.8,12.6541897657,5272,0.0000,1.0
2020-07-06,12.65,12.65,12.65,12.65,12.5058984794,667,0.0000,1.0
2020-07-02,12.63,12.64,12.59,12.64,12.4960123936,5212,0.0000,1.0
2020-07-01,12.63,12.63,12.58,12.58,12.4366958791,701,0.0000,1.0
2020-06-30,12.52,12.56,12.52,12.52,12.3773793646,859,0.0000,1.0
2020-06-29,12.55,12.57,12.5,12.5,12.3576071931,6597,0.0000,1.0
2020-06-26,12.5,12.56,12.5,12.53,12.3872654503,1005,0.0000,1.0
2020-06-25,12.54,12.56,12.5,12.56,12.4169237076,3344,0.0000,1.0
2020-06-24,12.35,12.57,12.35,12.47,12.3279489358,17511,0.0000,1.0
2020-06-23,12.49,12.49,12.47,12.47,12.3279489358,3527,0.0000,1.0
2020-06-22,12.45,12.47,12.43,12.47,12.3279489358,8536,0.0000,1.0
2020-06-19,12.5,12.54,12.46,12.5,12.3576071931,4279,0.0000,1.0
2020-06-18,12.47,12.59,12.47,12.55,12.4070376218,4203,0.0000,1.0
2020-06-17,12.53,12.55,12.46,12.52,12.3773793646,4307,0.0000,1.0
2020-06-16,12.48,12.54,12.48,12.51,12.3674932788,6271,0.0000,1.0
2020-06-15,12.46,12.6,12.42,12.56,12.4169237076,4502,0.0000,1.0
2020-06-12,12.53,12.56,12.51,12.55,12.4070376218,2054,0.0310,1.0
2020-06-11,12.77,12.77,12.53,12.6,12.4257749015,4151,0.0000,1.0
2020-06-10,12.8,12.85,12.75,12.78,12.6032859715,5288,0.0000,1.0
2020-06-09,12.81,12.91,12.81,12.87,12.6920415065,904,0.0000,1.0
2020-06-08,12.83,12.83,12.8,12.82,12.6427328759,1753,0.0000,1.0
2020-06-05,13.08,13.08,12.72,12.82,12.6427328759,6846,0.0000,1.0
2020-06-04,12.87,13.2,12.87,13.13,12.9484463854,10063,0.0000,1.0
2020-06-03,12.97,12.99,12.88,12.88,12.7019032326,6626,0.0000,1.0
2020-06-02,12.88,12.96,12.88,12.96,12.7807970415,2348,0.0000,1.0
2020-06-01,12.8,12.93,12.8,12.84,12.6624563281,2554,0.0000,1.0
2020-05-29,12.78,12.88,12.78,12.88,12.7019032326,1118,0.0000,1.0
2020-05-28,12.57,12.73,12.53,12.71,12.5342538887,7882,0.0000,1.0
2020-05-27,12.66,12.66,12.66,12.66,12.4849452581,239,0.0000,1.0
2020-05-26,12.64,12.64,12.64,12.64,12.4652218059,2000,0.0000,1.0
2020-05-22,12.51,12.55,12.51,12.55,12.3764662709,1300,0.0000,1.0
2020-05-21,12.51,12.51,12.51,12.51,12.3370193664,1200,0.0000,1.0
2020-05-20,12.55,12.63,12.5,12.5,12.3271576403,2475,0.0000,1.0
2020-05-19,12.43,12.58,12.43,12.58,12.4060514492,1338,0.0000,1.0
2020-05-18,12.44,12.51,12.43,12.43,12.2581255575,923,0.0000,1.0
2020-05-15,12.54,12.55,12.54,12.55,12.3764662709,573,0.0000,1.0
2020-05-14,12.32,12.65,12.32,12.33,12.1595082964,3306,0.0310,1.0
2020-05-13,12.43,12.44,12.3,12.42,12.2175465611,3676,0.0000,1.0
2020-05-12,12.56,12.56,12.56,12.56,12.3552644772,162,0.0000,1.0
2020-05-11,12.57,12.57,12.57,12.57,12.3651014712,1800,0.0000,1.0
2020-05-08,12.38,12.38,12.38,12.38,12.178198585,12,0.0000,1.0
2020-05-07,12.38,12.38,12.38,12.38,12.178198585,19,0.0000,1.0
2020-05-06,12.34,12.69,12.34,12.38,12.178198585,2686,0.0000,1.0
2020-05-05,12.37,12.37,12.37,12.37,12.168361591,984,0.0000,1.0
2020-05-04,12.31,12.33,12.31,12.33,12.129013615,369,0.0000,1.0
2020-05-01,12.58,12.58,12.58,12.58,12.3749384653,359,0.0000,1.0
2020-04-30,12.5,12.5,12.5,12.5,12.2962425132,746,0.0000,1.0
2020-04-29,12.5,12.55,12.5,12.5,12.2962425132,8834,0.0000,1.0
2020-04-28,12.32,12.37,12.25,12.37,12.168361591,2789,0.0000,1.0
2020-04-27,12.25,12.5,12.2,12.45,12.2470575431,3254,0.0000,1.0
2020-04-24,12.46,12.6,12.4,12.44,12.2372205491,7485,0.0000,1.0
2020-04-23,12.57,12.6,12.53,12.6,12.3946124533,750,0.0000,1.0
2020-04-22,12.76,12.78,12.62,12.64,12.4339604293,1902,0.0000,1.0
2020-04-21,12.62,12.93,12.56,12.62,12.4142864413,5849,0.0000,1.0
2020-04-20,12.68,12.79,12.62,12.69,12.4831453994,4210,0.0000,1.0
2020-04-17,12.83,12.85,12.83,12.85,12.6405373035,3021,0.0000,1.0
2020-04-16,12.78,12.78,12.66,12.76,12.5520043574,4042,0.0000,1.0
2020-04-15,12.66,12.84,12.66,12.84,12.6307003095,214,0.0000,1.0
2020-04-14,12.78,12.85,12.78,12.84,12.6307003095,1588,0.0310,1.0
2020-04-13,12.95,12.95,12.95,12.95,12.7082253911,403,0.0000,1.0
2020-04-09,12.56,12.99,12.56,12.93,12.6885987881,5027,0.0000,1.0
2020-04-08,12.17,12.54,12.15,12.54,12.3058800312,2683,0.0000,1.0
2020-04-07,12.58,12.58,12.57,12.57,12.3353199356,1232,0.0000,1.0
2020-04-06,12.84,12.84,12.46,12.46,12.2273736195,859,0.0000,1.0
2020-04-03,12.51,12.51,12.51,12.51,12.2764401268,103,0.0000,1.0
2020-04-02,12.61,12.61,12.51,12.51,12.2764401268,979,0.0000,1.0
2020-04-01,12.85,12.85,12.57,12.61,12.3745731414,2206,0.0000,1.0
2020-03-31,12.75,12.82,12.75,12.8,12.5610258692,1131,0.0000,1.0
2020-03-30,12.87,12.87,12.75,12.75,12.5119593619,1578,0.0000,1.0
2020-03-27,12.75,12.75,12.19,12.23,12.0016676859,931,0.0000,1.0
2020-03-26,12.59,12.87,12.57,12.75,12.5119593619,6148,0.0000,1.0
2020-03-25,11.91,12.59,11.91,12.49,12.2568135239,2350,0.0000,1.0
2020-03-24,12.08,12.08,11.74,11.9,11.6778287377,4171,0.0000,1.0
2020-03-23,12.08,12.08,12.08,12.08,11.854468164,2267,0.0000,1.0
2020-03-20,11.1,12.21,11.1,11.95,11.726895245,3810,0.0000,1.0
2020-03-19,11.09,11.65,11.09,11.16,10.9516444297,6371,0.0000,1.0
2020-03-18,12.51,12.51,10.84,10.84,10.6376187829,10457,0.0000,1.0
2020-03-17,12.89,12.89,12.82,12.82,12.5806524721,3587,0.0000,1.0
2020-03-16,13.13,13.13,12.51,12.52,12.2862534283,1853,0.0000,1.0
2020-03-13,13.3,13.53,13.13,13.13,12.8848648173,5602,0.0000,1.0
2020-03-12,13.49,13.8,13.16,13.19,12.9437446261,9004,0.0310,1.0
2020-03-11,14.62,14.62,13.53,13.56,13.275635514,6672,0.0000,1.0
2020-03-10,14.12,14.12,14.12,14.12,13.8238918479,76,0.0000,1.0
2020-03-09,13.95,14.29,13.8,14.12,13.8238918479,14752,0.0000,1.0
2020-03-06,14.2,14.49,14.15,14.2,13.9022141813,11605,0.0000,1.0
2020-03-05,14.24,14.36,14.2,14.2,13.9022141813,16289,0.0000,1.0
2020-03-04,14.43,14.43,14.23,14.23,13.9315850563,283,0.0000,1.0
2020-03-03,14.2,14.62,13.94,14.21,13.912004473,7322,0.0000,1.0
2020-03-02,14.1,14.19,14.03,14.18,13.8826335979,26830,0.0000,1.0
2020-02-28,13.9,14.05,13.89,13.96,13.667247181,4482,0.0000,1.0
2020-02-27,14.18,14.18,13.98,13.98,13.6868277644,9129,0.0000,1.0
2020-02-26,14.14,14.15,14.07,14.07,13.7749403895,9774,0.0000,1.0
2020-02-25,14.19,14.19,14.1,14.11,13.8141015562,11784,0.0000,1.0
2020-02-24,14.18,14.18,14.15,14.15,13.8532627229,5693,0.0000,1.0
2020-02-21,14.18,14.18,14.11,14.15,13.8532627229,7351,0.0000,1.0
