timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,11.38,11.46,11.38,11.46,11.46,13920,0.0000,1.0
2020-12-10,11.43,11.45,11.29,11.29,11.29,18004,0.0000,1.0
2020-12-09,11.39,11.45,11.39,11.44,11.44,15962,0.0000,1.0
2020-12-08,11.32,11.4,11.32,11.3934,11.3934,19049,0.0000,1.0
2020-12-07,11.37,11.4,11.3,11.39,11.39,10338,0.0000,1.0
2020-12-04,11.4,11.4466,11.26,11.35,11.35,39004,0.0000,1.0
2020-12-03,11.41,11.58,11.36,11.42,11.42,28778,0.0000,1.0
2020-12-02,11.4244,11.4399,11.35,11.38,11.38,13331,0.0000,1.0
2020-12-01,11.48,11.48,11.37,11.39,11.39,10955,0.0000,1.0
2020-11-30,11.45,11.48,11.32,11.48,11.48,14338,0.0000,1.0
2020-11-27,11.46,11.48,11.41,11.48,11.48,14942,0.0000,1.0
2020-11-25,11.27,11.39,11.27,11.37,11.37,18354,0.0000,1.0
2020-11-24,11.31,11.3609,11.27,11.33,11.33,18694,0.0000,1.0
2020-11-23,11.36,11.37,11.25,11.31,11.31,16862,0.0000,1.0
2020-11-20,11.4,11.4,11.21,11.275,11.275,24114,0.0000,1.0
2020-11-19,11.4,11.4,11.369,11.3825,11.3825,5424,0.0000,1.0
2020-11-18,11.39,11.39,11.351,11.39,11.39,4599,0.0000,1.0
2020-11-17,11.39,11.42,11.3743,11.3743,11.3743,9460,0.0000,1.0
2020-11-16,11.33,11.38,11.3295,11.3302,11.3302,10342,0.0000,1.0
2020-11-13,11.65,11.65,11.282,11.3,11.3,6458,0.0000,1.0
2020-11-12,11.29,11.329,11.27,11.295,11.295,12585,0.0330,1.0
2020-11-11,11.28,11.29,11.28,11.28,11.2471398305,1677,0.0000,1.0
2020-11-10,11.32,11.32,11.28,11.28,11.2471398305,5498,0.0000,1.0
2020-11-09,11.33,11.46,11.28,11.28,11.2471398305,10407,0.0000,1.0
2020-11-06,11.33,11.33,11.24,11.3126,11.2796448623,12520,0.0000,1.0
