timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,9.59,9.63,8.9,9.12,9.12,1288824,0.0000,1.0
2020-12-10,9.33,9.99,9.06,9.37,9.37,2093251,0.0000,1.0
2020-12-09,8.97,9.73,8.45,9.21,9.21,2742389,0.0000,1.0
2020-12-08,8.06,8.85,8.06,8.64,8.64,1307711,0.0000,1.0
2020-12-07,7.65,8.2755,7.4006,7.9,7.9,1511950,0.0000,1.0
2020-12-04,6.97,7.79,6.97,7.77,7.77,1570515,0.0000,1.0
2020-12-03,6.93,7.08,6.67,6.87,6.87,1130945,0.0000,1.0
2020-12-02,6.06,6.9,5.78,6.88,6.88,1538464,0.0000,1.0
2020-12-01,6.42,6.565,6.1,6.12,6.12,807313,0.0000,1.0
2020-11-30,6.89,7.02,6.2206,6.25,6.25,1498198,0.0000,1.0
2020-11-27,6.89,6.99,6.75,6.92,6.92,719067,0.0000,1.0
2020-11-25,6.89,6.94,6.6,6.89,6.89,1136580,0.0000,1.0
2020-11-24,6.26,6.97,6.25,6.79,6.79,1896562,0.0000,1.0
2020-11-23,5.75,6.11,5.75,6.0,6.0,2037256,0.0000,1.0
2020-11-20,5.58,5.89,5.52,5.64,5.64,1008719,0.0000,1.0
2020-11-19,5.24,5.645,5.2201,5.58,5.58,724264,0.0000,1.0
2020-11-18,5.43,5.6177,5.3,5.31,5.31,894014,0.0000,1.0
2020-11-17,5.02,5.42,5.01,5.34,5.34,1194805,0.0000,1.0
2020-11-16,4.94,5.22,4.92,5.16,5.16,1642026,0.0000,1.0
2020-11-13,4.26,4.72,4.2257,4.71,4.71,1016128,0.0000,1.0
2020-11-12,4.2,4.41,4.092,4.28,4.28,679451,0.0000,1.0
2020-11-11,4.8,4.8,4.34,4.42,4.42,1138561,0.0000,1.0
2020-11-10,4.21,4.4,4.14,4.4,4.4,958094,0.0000,1.0
2020-11-09,3.95,4.3,3.695,4.14,4.14,2096748,0.0000,1.0
2020-11-06,3.84,3.88,3.39,3.4,3.4,1175749,0.0000,1.0
2020-11-05,3.56,3.66,3.46,3.46,3.46,1104661,0.0000,1.0
2020-11-04,3.59,3.59,3.345,3.42,3.42,1115107,0.0000,1.0
2020-11-03,3.83,3.98,3.51,3.51,3.51,2030115,0.0000,1.0
2020-11-02,3.69,3.84,3.55,3.7,3.7,1016240,0.0000,1.0
2020-10-30,3.82,3.83,3.56,3.7,3.7,1025401,0.0000,1.0
2020-10-29,3.67,3.79,3.5599,3.77,3.77,895277,0.0000,1.0
2020-10-28,3.95,3.98,3.7,3.73,3.73,1438156,0.0000,1.0
2020-10-27,4.27,4.3,4.0911,4.13,4.13,933231,0.0000,1.0
2020-10-26,4.5,4.52,4.305,4.31,4.31,1020544,0.0000,1.0
2020-10-23,4.76,4.76,4.455,4.69,4.69,1643058,0.0000,1.0
2020-10-22,4.74,4.805,4.45,4.69,4.69,3042414,0.0000,1.0
2020-10-21,5.07,5.07,4.6911,4.74,4.74,1240765,0.0000,1.0
2020-10-20,5.08,5.1,4.86,5.06,5.06,836543,0.0000,1.0
2020-10-19,5.22,5.22,5.005,5.05,5.05,579531,0.0000,1.0
2020-10-16,5.22,5.31,5.08,5.18,5.18,577685,0.0000,1.0
2020-10-15,5.12,5.23,5.03,5.22,5.22,535944,0.0000,1.0
2020-10-14,5.28,5.51,5.18,5.22,5.22,699334,0.0000,1.0
2020-10-13,5.48,5.482,5.15,5.21,5.21,889328,0.0000,1.0
2020-10-12,5.88,5.91,5.34,5.41,5.41,1184977,0.0000,1.0
2020-10-09,6.37,6.39,5.75,5.91,5.91,1123922,0.0000,1.0
2020-10-08,5.5,6.49,5.49,6.32,6.32,2169832,0.0000,1.0
2020-10-07,5.3,5.44,5.2,5.37,5.37,579652,0.0000,1.0
2020-10-06,5.27,5.47,5.18,5.29,5.29,708317,0.0000,1.0
2020-10-05,5.45,5.45,5.14,5.21,5.21,617233,0.0000,1.0
2020-10-02,5.3,5.49,5.24,5.27,5.27,422659,0.0000,1.0
2020-10-01,5.66,5.68,5.3,5.41,5.41,551899,0.0000,1.0
2020-09-30,5.53,5.74,5.4975,5.74,5.74,573688,0.0000,1.0
2020-09-29,5.41,5.61,5.265,5.6,5.6,501038,0.0000,1.0
2020-09-28,5.34,5.45,5.16,5.42,5.42,441360,0.0000,1.0
2020-09-25,5.27,5.33,5.07,5.22,5.22,571629,0.0000,1.0
2020-09-24,5.21,5.34,5.02,5.14,5.14,529780,0.0000,1.0
2020-09-23,5.8,5.85,5.19,5.3,5.3,609860,0.0000,1.0
2020-09-22,5.56,5.825,5.52,5.69,5.69,599980,0.0000,1.0
2020-09-21,5.08,5.9,4.93,5.9,5.9,1026888,0.0000,0.1
2020-09-18,0.558,0.61,0.54,0.54,5.4,8498226,0.0000,1.0
2020-09-17,0.56,0.5612,0.541,0.5552,5.552,3769777,0.0000,1.0
2020-09-16,0.546,0.5703,0.546,0.562,5.62,7180835,0.0000,1.0
2020-09-15,0.552,0.56,0.5332,0.5442,5.442,6919644,0.0000,1.0
2020-09-14,0.5694,0.5853,0.5439,0.5596,5.596,7077550,0.0000,1.0
2020-09-11,0.5688,0.585,0.539,0.5824,5.824,12706544,0.0000,1.0
2020-09-10,0.5737,0.585,0.519,0.5233,5.233,8026460,0.0000,1.0
2020-09-09,0.5972,0.5972,0.5521,0.568,5.68,3851210,0.0000,1.0
2020-09-08,0.6154,0.6174,0.57,0.571,5.71,3918287,0.0000,1.0
2020-09-04,0.6174,0.627899,0.58,0.613,6.13,4018752,0.0000,1.0
2020-09-03,0.651,0.658,0.606,0.6122,6.122,6104153,0.0000,1.0
2020-09-02,0.66,0.6989,0.645,0.654,6.54,6120083,0.0000,1.0
2020-09-01,0.675,0.6789,0.65,0.6577,6.577,4369901,0.0000,1.0
2020-08-31,0.705,0.7176,0.6721,0.6785,6.785,4485991,0.0000,1.0
2020-08-28,0.7192,0.7204,0.693,0.7201,7.201,3336189,0.0000,1.0
2020-08-27,0.727,0.727,0.69,0.7095,7.095,2953105,0.0000,1.0
2020-08-26,0.69,0.7066,0.6756,0.6983,6.983,3777936,0.0000,1.0
2020-08-25,0.695,0.7083,0.67,0.6807,6.807,3105023,0.0000,1.0
2020-08-24,0.6993,0.706,0.654,0.6938,6.938,4125436,0.0000,1.0
2020-08-21,0.7,0.715,0.68,0.6875,6.875,4629232,0.0000,1.0
2020-08-20,0.7549,0.7549,0.7004,0.7164,7.164,6441259,0.0000,1.0
2020-08-19,0.76,0.77,0.741,0.7565,7.565,5436277,0.0000,1.0
2020-08-18,0.8,0.8,0.7539,0.7829,7.829,5596432,0.0000,1.0
2020-08-17,0.82,0.82,0.785,0.7953,7.953,3591487,0.0000,1.0
2020-08-14,0.8098,0.8238,0.8018,0.8176,8.176,2725365,0.0000,1.0
2020-08-13,0.8,0.825,0.8,0.81,8.1,3375399,0.0000,1.0
2020-08-12,0.8251,0.84,0.8,0.81,8.1,2555607,0.0000,1.0
2020-08-11,0.84,0.868799,0.815,0.815,8.15,4149523,0.0000,1.0
2020-08-10,0.8296,0.835,0.808,0.8242,8.242,5102559,0.0000,1.0
2020-08-07,0.8,0.8417,0.79,0.8352,8.352,5879578,0.0000,1.0
2020-08-06,0.83,0.87,0.8,0.8615,8.615,6009926,0.0000,1.0
2020-08-05,0.81,0.8419,0.78,0.84,8.4,6668536,0.0000,1.0
2020-08-04,0.781,0.8075,0.771,0.7845,7.845,3142017,0.0000,1.0
2020-08-03,0.8015,0.8093,0.76,0.7857,7.857,4207242,0.0000,1.0
2020-07-31,0.88,0.88,0.788,0.8015,8.015,12285347,0.0000,1.0
2020-07-30,0.81,0.813,0.7801,0.7921,7.921,1767028,0.0000,1.0
2020-07-29,0.79,0.82,0.78,0.8132,8.132,2279249,0.0000,1.0
2020-07-28,0.83,0.84,0.775,0.7838,7.838,2301690,0.0000,1.0
2020-07-27,0.81,0.86,0.7998,0.8115,8.115,3535555,0.0000,1.0
2020-07-24,0.7816,0.8,0.7723,0.7999,7.999,2414559,0.0000,1.0
2020-07-23,0.8122,0.8125,0.7624,0.7719,7.719,2331313,0.0000,1.0
2020-07-22,0.8173,0.8173,0.771001,0.7895,7.895,2448470,0.0000,1.0
2020-07-21,0.77,0.83,0.76,0.82,8.2,6475340,0.0000,1.0
2020-07-20,0.75,0.77,0.74,0.75,7.5,3209279,0.0000,1.0
2020-07-17,0.77,0.77,0.74,0.75,7.5,2700314,0.0000,1.0
2020-07-16,0.77,0.78,0.75,0.76,7.6,2173448,0.0000,1.0
2020-07-15,0.78,0.81,0.75,0.76,7.6,4562646,0.0000,1.0
2020-07-14,0.74,0.76,0.71,0.75,7.5,4954242,0.0000,1.0
2020-07-13,0.78,0.78,0.73,0.74,7.4,4927137,0.0000,1.0
2020-07-10,0.74,0.8,0.72,0.75,7.5,7657868,0.0000,1.0
2020-07-09,0.78,0.8,0.73,0.74,7.4,4144310,0.0000,1.0
2020-07-08,0.81,0.82,0.75,0.77,7.7,6966563,0.0000,1.0
2020-07-07,0.82,0.83,0.8,0.8,8.0,4712797,0.0000,1.0
2020-07-06,0.94,0.94,0.83,0.85,8.5,10284500,0.0000,1.0
2020-07-02,0.94,0.95,0.85,0.91,9.1,5307130,0.0000,1.0
2020-07-01,0.9,0.93,0.87,0.9,9.0,7782968,0.0000,1.0
2020-06-30,0.85,0.85,0.8,0.84,8.4,4329365,0.0000,1.0
