timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,42.44,43.75,42.15,43.645,43.645,3058444,0.0000,1.0
2020-12-10,42.46,43.03,41.93,42.7,42.7,1793525,0.0000,1.0
2020-12-09,42.24,42.88,42.22,42.8,42.8,4388030,0.0000,1.0
2020-12-08,41.29,42.43,41.18,42.4,42.4,3314051,0.0000,1.0
2020-12-07,42.21,42.48,41.38,41.475,41.475,2682100,0.0000,1.0
2020-12-04,42.39,42.4,41.37,42.06,42.06,2700006,0.0000,1.0
2020-12-03,42.0,42.99,41.85,41.99,41.99,4928937,0.0000,1.0
2020-12-02,41.08,42.53,41.01,42.195,42.195,2802035,0.0000,1.0
2020-12-01,43.25,43.5,41.61,42.27,42.27,2561846,0.0000,1.0
2020-11-30,43.5,43.95,42.14,43.13,43.13,6280464,0.0000,1.0
2020-11-27,42.96,43.17,42.29,42.72,42.72,2029945,0.0000,1.0
2020-11-25,41.5,42.98,40.71,42.87,42.87,3214352,0.0000,1.0
2020-11-24,42.5,42.6,41.26,41.63,41.63,5194202,0.0000,1.0
2020-11-23,41.38,42.45,41.2,42.42,42.42,4460802,0.0000,1.0
2020-11-20,39.04,41.58,38.61,41.33,41.33,9890700,0.0000,1.0
2020-11-19,37.57,40.08,36.55,39.71,39.71,17411366,0.0000,1.0
2020-11-18,34.41,34.85,33.71,33.94,33.94,4767263,0.0000,1.0
2020-11-17,34.7919,35.0,34.19,34.44,34.44,2821310,0.0000,1.0
2020-11-16,34.9704,34.9704,34.14,34.68,34.68,2793761,0.0000,1.0
2020-11-13,34.94,35.48,34.51,34.64,34.64,1932462,0.0000,1.0
2020-11-12,34.83,36.35,34.07,34.6,34.6,7327085,0.0000,1.0
2020-11-11,33.77,34.96,33.67,34.75,34.75,2163752,0.0000,1.0
2020-11-10,33.57,33.65,32.06,33.45,33.45,2775426,0.0000,1.0
2020-11-09,34.49,35.0,33.38,33.99,33.99,2866589,0.0000,1.0
2020-11-06,34.15,34.69,34.01,34.47,34.47,1836789,0.0000,1.0
2020-11-05,34.3,34.9,34.2,34.31,34.31,1935538,0.0000,1.0
2020-11-04,33.55,34.32,33.03,33.8,33.8,1984135,0.0000,1.0
2020-11-03,31.68,32.675,31.52,32.57,32.57,2549492,0.0000,1.0
2020-11-02,31.98,32.44,31.05,31.5,31.5,5157332,0.0000,1.0
2020-10-30,32.52,32.64,31.565,31.91,31.91,2182160,0.0000,1.0
2020-10-29,32.25,32.75,32.085,32.59,32.59,2421994,0.0000,1.0
2020-10-28,32.88,32.89,31.98,32.25,32.25,1574133,0.0000,1.0
2020-10-27,33.36,33.585,33.08,33.37,33.37,1414566,0.0000,1.0
2020-10-26,34.02,34.16,32.525,33.04,33.04,1676633,0.0000,1.0
2020-10-23,33.67,34.31,33.28,34.3,34.3,1046743,0.0000,1.0
2020-10-22,33.5,33.9,33.081,33.56,33.56,2214931,0.0000,1.0
2020-10-21,34.11,34.525,33.375,33.52,33.52,2568248,0.0000,1.0
2020-10-20,34.77,34.77,34.04,34.07,34.07,4527882,0.0000,1.0
2020-10-19,35.07,35.65,34.155,34.29,34.29,3483296,0.0000,1.0
2020-10-16,34.92,35.25,34.5721,34.94,34.94,1694666,0.0000,1.0
2020-10-15,34.75,34.9438,34.15,34.82,34.82,1435982,0.0000,1.0
