timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,15.67,15.705,15.65,15.67,15.67,17542,0.0000,1.0
2020-12-10,15.7,15.7,15.66,15.7,15.7,13341,0.0000,1.0
2020-12-09,15.73,15.76,15.67,15.7,15.7,21883,0.0000,1.0
2020-12-08,15.83,15.86,15.72,15.72,15.72,51685,0.0000,1.0
2020-12-07,15.88,15.8894,15.74,15.83,15.83,24118,0.0000,1.0
2020-12-04,15.82,15.86,15.72,15.86,15.86,15351,0.0000,1.0
2020-12-03,15.71,15.858,15.672,15.84,15.84,40791,0.0000,1.0
2020-12-02,15.641,15.69,15.59,15.67,15.67,12270,0.0000,1.0
2020-12-01,15.6,15.7,15.6,15.69,15.69,21447,0.0000,1.0
2020-11-30,15.6,15.64,15.5443,15.6,15.6,21698,0.0000,1.0
2020-11-27,15.56,15.585,15.5424,15.585,15.585,5363,0.0000,1.0
2020-11-25,15.5,15.51,15.48,15.503,15.503,5806,0.0000,1.0
2020-11-24,15.41,15.5,15.405,15.475,15.475,21275,0.0000,1.0
2020-11-23,15.41,15.43,15.38,15.42,15.42,7071,0.0000,1.0
2020-11-20,15.36,15.43,15.3,15.42,15.42,19871,0.0000,1.0
2020-11-19,15.48,15.49,15.39,15.49,15.49,19256,0.0000,1.0
2020-11-18,15.38,15.42,15.36,15.4042,15.4042,12545,0.0000,1.0
2020-11-17,15.3457,15.36,15.31,15.3507,15.3507,8298,0.0000,1.0
2020-11-16,15.35,15.4,15.271,15.375,15.375,27367,0.0000,1.0
2020-11-13,15.35,15.35,15.28,15.35,15.35,8226,0.0000,1.0
2020-11-12,15.28,15.35,15.265,15.35,15.35,8799,0.0490,1.0
2020-11-11,15.26,15.3372,15.26,15.33,15.2812195597,20204,0.0000,1.0
2020-11-10,15.27,15.33,15.27,15.33,15.2812195597,4471,0.0000,1.0
2020-11-09,15.35,15.38,15.31,15.33,15.2812195597,11189,0.0000,1.0
2020-11-06,15.23,15.33,15.1898,15.33,15.2812195597,13263,0.0000,1.0
2020-11-05,15.17,15.25,15.15,15.24,15.1915059419,18099,0.0000,1.0
2020-11-04,15.13,15.24,15.1201,15.19,15.1416650432,17417,0.0000,1.0
2020-11-03,15.2,15.25,15.03,15.07,15.0220468862,48661,0.0000,1.0
2020-11-02,15.33,15.33,15.16,15.24,15.1915059419,17756,0.0000,1.0
2020-10-30,15.12,15.21,15.08,15.2,15.1516332229,16524,0.0000,1.0
2020-10-29,15.08,15.16,15.08,15.16,15.1117605039,6938,0.0000,1.0
2020-10-28,15.09,15.15,15.05,15.05,15.0021105267,10880,0.0000,1.0
2020-10-27,15.12,15.25,15.12,15.25,15.2014741217,25182,0.0000,1.0
2020-10-26,15.19,15.2,15.0838,15.1,15.0519514254,15428,0.0000,1.0
2020-10-23,15.22,15.24,15.2,15.2,15.1516332229,32616,0.0000,1.0
2020-10-22,15.225,15.2528,15.12,15.19,15.1416650432,17367,0.0000,1.0
2020-10-21,15.2099,15.27,15.18,15.23,15.1815377622,16656,0.0000,1.0
2020-10-20,15.23,15.31,15.2,15.23,15.1815377622,10810,0.0000,1.0
2020-10-19,15.1301,15.27,15.12,15.22,15.1715695824,13038,0.0000,1.0
2020-10-16,15.24,15.24,15.13,15.21,15.1616014027,18083,0.0000,1.0
2020-10-15,15.08,15.2,15.08,15.1703,15.1220277291,13087,0.0000,1.0
2020-10-14,15.21,15.25,15.03,15.06,15.0120787064,15093,0.0490,1.0
2020-10-13,15.2941,15.3,15.21,15.22,15.122366663,16997,0.0000,1.0
2020-10-12,15.2899,15.2899,15.19,15.235,15.1372704409,3302,0.0000,1.0
2020-10-09,15.2,15.25,15.19,15.19,15.0925591072,2699,0.0000,1.0
2020-10-08,15.31,15.31,15.17,15.1898,15.0923603901,6232,0.0000,1.0
2020-10-07,15.26,15.26,15.1422,15.19,15.0925591072,1657,0.0000,1.0
2020-10-06,15.16,15.2,15.16,15.1618,15.0645400047,1524,0.0000,1.0
2020-10-05,15.12,15.16,15.08,15.13,15.0329439955,25986,0.0000,1.0
2020-10-02,15.12,15.12,15.0,15.11,15.0130722916,19005,0.0000,1.0
2020-10-01,15.12,15.14,15.016,15.12,15.0230081436,10090,0.0000,1.0
2020-09-30,15.03,15.04,15.0,15.03,14.933585476,54210,0.0000,1.0
2020-09-29,15.16,15.21,15.02,15.05,14.9534571799,22764,0.0000,1.0
2020-09-28,15.11,15.15,15.0799,15.12,15.0230081436,24973,0.0000,1.0
2020-09-25,15.37,15.37,15.06,15.13,15.0329439955,51430,0.0000,1.0
2020-09-24,15.18,15.1872,15.15,15.15,15.0528156994,4518,0.0000,1.0
2020-09-23,15.16,15.2,15.125,15.14,15.0428798474,4931,0.0000,1.0
2020-09-22,15.18,15.18,15.14,15.17,15.0726874033,12062,0.0000,1.0
2020-09-21,15.2,15.2,15.1607,15.18,15.0826232552,7450,0.0000,1.0
2020-09-18,15.19,15.21,15.175,15.19,15.0925591072,10981,0.0000,1.0
2020-09-17,15.27,15.27,15.17,15.17,15.0726874033,11363,0.0000,1.0
2020-09-16,15.24,15.2633,15.21,15.24,15.1422383669,7102,0.0000,1.0
2020-09-15,15.26,15.29,15.2075,15.24,15.1422383669,5289,0.0000,1.0
2020-09-14,15.25,15.29,15.2,15.27,15.1720459228,8579,0.0440,1.0
2020-09-11,15.23,15.3,15.23,15.2639,15.1224103278,5330,0.0000,1.0
2020-09-10,15.23,15.23,15.17,15.22,15.0789172616,11722,0.0000,1.0
2020-09-09,15.2,15.2,15.1826,15.195,15.0541490007,4984,0.0000,1.0
2020-09-08,15.25,15.25,15.17,15.17,15.0293807397,11394,0.0000,1.0
2020-09-04,15.22,15.2532,15.16,15.22,15.0789172616,4516,0.0000,1.0
2020-09-03,15.25,15.3,15.1901,15.26,15.1185464791,16468,0.0000,1.0
2020-09-02,15.25,15.2999,15.22,15.28,15.1383610879,23121,0.0000,1.0
2020-09-01,15.27,15.27,15.1156,15.26,15.1185464791,23225,0.0000,1.0
2020-08-31,15.21,15.27,15.21,15.25,15.1086391747,14232,0.0000,1.0
2020-08-28,15.2,15.26,15.1823,15.2372,15.0959578251,9336,0.0000,1.0
2020-08-27,15.13,15.29,15.13,15.15,15.009566131,16649,0.0000,1.0
2020-08-26,15.26,15.2815,15.16,15.17,15.0293807397,18098,0.0000,1.0
2020-08-25,15.3,15.3296,15.26,15.26,15.1185464791,20845,0.0000,1.0
