timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,6.09,6.66,6.09,6.5,6.5,61192,0.0000,1.0
2020-12-10,6.22,6.559,6.0802,6.19,6.19,69831,0.0000,1.0
2020-12-09,6.2,6.6,5.901,6.29,6.29,133462,0.0000,1.0
2020-12-08,5.84,6.86,5.52,6.37,6.37,301374,0.0000,1.0
2020-12-07,5.28,6.28,5.21,5.84,5.84,288711,0.0000,1.0
2020-12-04,5.62,6.0999,5.4,5.48,5.48,200794,0.0000,1.0
2020-12-03,6.1,6.15,5.48,5.48,5.48,170245,0.0000,1.0
2020-12-02,6.92,7.25,5.93,6.01,6.01,609882,0.0000,1.0
2020-12-01,8.22,8.25,6.46,6.96,6.96,918307,0.0000,1.0
2020-11-30,4.47,12.25,4.07,9.5,9.5,4816717,0.0000,1.0
2020-11-27,3.6,4.1,3.47,4.07,4.07,90518,0.0000,1.0
2020-11-25,3.22,3.64,3.22,3.57,3.57,68327,0.0000,1.0
2020-11-24,3.91,3.91,3.4347,3.49,3.49,40769,0.0000,1.0
2020-11-23,3.26,3.82,3.26,3.62,3.62,99678,0.0000,1.0
2020-11-20,3.38,3.5,3.26,3.32,3.32,75112,0.0000,1.0
2020-11-19,3.55,3.74,3.4411,3.5,3.5,83757,0.0000,1.0
2020-11-18,3.33,3.51,3.31,3.47,3.47,78205,0.0000,1.0
2020-11-17,3.5,3.5,3.25,3.42,3.42,62105,0.0000,1.0
2020-11-16,4.0,4.0,3.46,3.51,3.51,77194,0.0000,1.0
2020-11-13,3.69,4.22,3.675,3.89,3.89,165881,0.0000,1.0
2020-11-12,3.34,3.68,3.2814,3.68,3.68,72986,0.0000,1.0
2020-11-11,3.38,3.45,3.3598,3.39,3.39,24792,0.0000,1.0
2020-11-10,3.34,3.4,3.34,3.37,3.37,52550,0.0000,1.0
2020-11-09,3.65,3.65,3.35,3.39,3.39,63623,0.0000,1.0
2020-11-06,3.77,3.77,3.54,3.56,3.56,35151,0.0000,1.0
2020-11-05,3.6,3.75,3.54,3.7,3.7,70602,0.0000,1.0
2020-11-04,3.3901,3.57,3.2345,3.53,3.53,41779,0.0000,1.0
2020-11-03,3.365,3.5,3.365,3.4,3.4,37997,0.0000,1.0
2020-11-02,3.8,3.8,3.36,3.375,3.375,40509,0.0000,1.0
2020-10-30,3.6,3.6,3.3,3.4,3.4,67569,0.0000,1.0
2020-10-29,3.29,3.62,3.25,3.6,3.6,62895,0.0000,1.0
2020-10-28,3.8,3.8,3.3,3.4,3.4,113816,0.0000,1.0
2020-10-27,3.86,4.05,3.78,3.83,3.83,35999,0.0000,1.0
2020-10-26,4.04,4.0963,3.87,3.88,3.88,42952,0.0000,1.0
2020-10-23,4.0,4.2,3.9,3.96,3.96,80787,0.0000,1.0
2020-10-22,4.11,4.4,3.6629,4.26,4.26,93592,0.0000,1.0
2020-10-21,4.02,4.29,4.015,4.09,4.09,124534,0.0000,1.0
2020-10-20,4.8,4.8999,4.025,4.07,4.07,332566,0.0000,1.0
2020-10-19,4.0,4.85,3.89,4.67,4.67,680173,0.0000,1.0
2020-10-16,3.36,4.71,3.25,4.09,4.09,2065878,0.0000,1.0
2020-10-15,2.93,3.2,2.9,3.2,3.2,89132,0.0000,1.0
2020-10-14,2.93,3.22,2.8,3.21,3.21,319420,0.0000,1.0
2020-10-13,2.69,3.12,2.5,2.75,2.75,634168,0.0000,1.0
2020-10-12,2.06,2.6,2.06,2.53,2.53,207153,0.0000,1.0
2020-10-09,2.05,2.2157,2.04,2.105,2.105,20270,0.0000,1.0
2020-10-08,2.19,2.25,2.02,2.11,2.11,33958,0.0000,1.0
2020-10-07,1.94,2.19,1.923,2.19,2.19,53535,0.0000,1.0
2020-10-06,2.35,2.43,2.0,2.03,2.03,69952,0.0000,1.0
2020-10-05,2.4,2.55,2.17,2.22,2.22,156583,0.0000,1.0
2020-10-02,2.27,2.46,2.1455,2.28,2.28,132733,0.0000,1.0
2020-10-01,2.31,2.38,2.21,2.38,2.38,134668,0.0000,1.0
2020-09-30,2.12,2.39,2.12,2.3,2.3,344650,0.0000,1.0
2020-09-29,1.8863,2.15,1.8506,2.125,2.125,150792,0.0000,1.0
2020-09-28,1.9,1.97,1.83,1.94,1.94,16270,0.0000,1.0
2020-09-25,1.915,1.97,1.83,1.86,1.86,36356,0.0000,1.0
2020-09-24,1.9,1.91,1.841,1.8706,1.8706,18298,0.0000,1.0
2020-09-23,1.985,2.1515,1.89,1.92,1.92,58688,0.0000,1.0
2020-09-22,2.03,2.03,1.94,2.0161,2.0161,28368,0.0000,1.0
2020-09-21,2.0,2.01,1.922,2.01,2.01,18621,0.0000,1.0
2020-09-18,2.11,2.145,1.9347,2.01,2.01,52201,0.0000,1.0
2020-09-17,2.08,2.11,2.03,2.11,2.11,7875,0.0000,1.0
2020-09-16,2.12,2.17,2.075,2.09,2.09,13694,0.0000,1.0
2020-09-15,1.99,2.1415,1.94,2.1,2.1,31978,0.0000,1.0
2020-09-14,2.03,2.08,1.93,2.07,2.07,31654,0.0000,1.0
2020-09-11,2.23,2.29,2.0,2.03,2.03,65062,0.0000,1.0
2020-09-10,2.26,2.329,2.19,2.25,2.25,58265,0.0000,1.0
2020-09-09,1.9,2.19,1.9,2.17,2.17,63398,0.0000,1.0
2020-09-08,1.86,1.9499,1.7831,1.935,1.935,27669,0.0000,1.0
2020-09-04,1.98,2.05,1.85,1.95,1.95,66970,0.0000,1.0
2020-09-03,2.05,2.07,1.92,2.025,2.025,83718,0.0000,1.0
2020-09-02,2.18,2.28,2.04,2.09,2.09,179687,0.0000,1.0
2020-09-01,2.2,2.58,2.1701,2.31,2.31,638537,0.0000,1.0
2020-08-31,2.36,2.38,2.18,2.21,2.21,103222,0.0000,1.0
2020-08-28,2.28,2.45,2.28,2.3618,2.3618,92661,0.0000,1.0
2020-08-27,2.21,2.41,2.18,2.28,2.28,134519,0.0000,1.0
2020-08-26,2.41,2.41,2.15,2.31,2.31,169884,0.0000,1.0
2020-08-25,2.21,2.43,2.12,2.41,2.41,170131,0.0000,1.0
2020-08-24,2.93,2.95,2.2,2.34,2.34,1290739,0.0000,1.0
2020-08-21,2.44,2.57,2.14,2.22,2.22,190901,0.0000,1.0
2020-08-20,2.56,2.65,2.45,2.51,2.51,171162,0.0000,1.0
2020-08-19,2.9,2.95,2.585,2.64,2.64,291412,0.0000,1.0
2020-08-18,3.0,3.0314,2.81,2.87,2.87,80683,0.0000,1.0
2020-08-17,3.0,3.0,2.85,2.96,2.96,83652,0.0000,1.0
2020-08-14,2.99,3.24,2.99,3.07,3.07,83704,0.0000,1.0
2020-08-13,3.0,3.08,2.92,3.07,3.07,148167,0.0000,1.0
2020-08-12,3.16,3.2343,3.01,3.01,3.01,133661,0.0000,1.0
2020-08-11,2.93,3.39,2.85,3.291,3.291,611016,0.0000,1.0
2020-08-10,3.08,3.1,2.84,2.94,2.94,152484,0.0000,1.0
2020-08-07,2.89,3.0124,2.835,2.94,2.94,103176,0.0000,1.0
2020-08-06,3.14,3.16,2.87,2.94,2.94,206514,0.0000,1.0
2020-08-05,3.23,3.3,3.12,3.17,3.17,124615,0.0000,1.0
2020-08-04,3.17,3.2,3.1,3.17,3.17,104087,0.0000,1.0
2020-08-03,3.0,3.3899,2.92,3.22,3.22,500799,0.0000,1.0
2020-07-31,3.4,3.4,3.25,3.31,3.31,121226,0.0000,1.0
2020-07-30,2.9,3.54,2.72,3.51,3.51,677630,0.0000,1.0
2020-07-29,3.2,3.325,2.98,3.04,3.04,160881,0.0000,1.0
2020-07-28,3.41,3.4781,3.11,3.37,3.37,163120,0.0000,1.0
2020-07-27,3.37,3.89,3.37,3.52,3.52,292699,0.0000,1.0
2020-07-24,3.51,3.85,3.51,3.83,3.83,389337,0.0000,1.0
2020-07-23,3.19,3.9,3.1,3.87,3.87,1267319,0.0000,1.0
2020-07-22,3.91,4.69,3.25,3.66,3.66,25989512,0.0000,1.0
2020-07-21,3.0,3.09,2.42,2.5,2.5,329545,0.0000,1.0
2020-07-20,3.19,3.25,2.75,2.84,2.84,546244,0.0000,1.0
2020-07-17,2.42,3.05,2.17,3.01,3.01,1953705,0.0000,1.0
2020-07-16,1.97,2.75,1.9,2.52,2.52,2242296,0.0000,1.0
2020-07-15,1.99,2.0,1.7,1.86,1.86,538458,0.0000,1.0
2020-07-14,1.59,1.95,1.44,1.91,1.91,806613,0.0000,1.0
2020-07-13,1.75,1.75,1.55,1.6,1.6,221750,0.0000,1.0
2020-07-10,1.83,1.92,1.63,1.71,1.71,173191,0.0000,1.0
2020-07-09,1.57,1.73,1.57,1.7,1.7,123000,0.0000,1.0
2020-07-08,1.69,1.75,1.6,1.62,1.62,121283,0.0000,1.0
2020-07-07,1.55,1.68,1.5,1.66,1.66,258227,0.0000,1.0
2020-07-06,1.5,1.53,1.44,1.48,1.48,29449,0.0000,1.0
2020-07-02,1.37,1.5,1.37,1.45,1.45,21249,0.0000,1.0
2020-07-01,1.55,1.55,1.37,1.39,1.39,50628,0.0000,1.0
2020-06-30,1.57,1.59,1.45,1.49,1.49,78659,0.0000,1.0
2020-06-29,1.44,1.613,1.42,1.5,1.5,109645,0.0000,1.0
2020-06-26,1.3869,1.42,1.28,1.41,1.41,36198,0.0000,1.0
2020-06-25,1.45,1.46,1.36,1.42,1.42,44538,0.0000,1.0
2020-06-24,1.5,1.56,1.43,1.43,1.43,140336,0.0000,1.0
2020-06-23,1.5,1.52,1.44,1.45,1.45,53488,0.0000,1.0
2020-06-22,1.35,1.68,1.35,1.54,1.54,154297,0.0000,1.0
2020-06-19,1.36,1.59,1.32,1.4,1.4,151879,0.0000,1.0
2020-06-18,1.6717,1.71,1.59,1.6,1.6,80251,0.0000,1.0
2020-06-17,1.6,1.83,1.6,1.63,1.63,197846,0.0000,1.0
2020-06-16,1.75,1.9,1.46,1.65,1.65,370380,0.0000,1.0
2020-06-15,1.46,1.9,1.28,1.7,1.7,366567,0.0000,1.0
2020-06-12,1.1889,1.335,1.09,1.28,1.28,105777,0.0000,1.0
2020-06-11,1.19,1.2962,1.11,1.1202,1.1202,51748,0.0000,1.0
2020-06-10,1.79,1.79,1.12,1.36,1.36,208768,0.0000,1.0
2020-06-09,1.17,1.6,1.1583,1.47,1.47,340833,0.0000,1.0
2020-06-08,1.05,1.17,1.05,1.16,1.16,59592,0.0000,1.0
