timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,74.95,75.57,73.53,74.22,74.22,826978,0.0000,1.0
2020-12-10,74.86,75.54,73.95,75.24,75.24,925536,0.0000,1.0
2020-12-09,75.83,76.87,74.87,75.25,75.25,1186002,0.0000,1.0
2020-12-08,75.61,76.55,75.345,76.44,76.44,798296,0.0000,1.0
2020-12-07,74.44,76.7192,73.73,76.49,76.49,748415,0.0000,1.0
2020-12-04,74.27,75.01,72.84,74.29,74.29,1051035,0.0000,1.0
2020-12-03,72.47,73.915,71.815,73.5,73.5,820038,0.0000,1.0
2020-12-02,72.52,72.855,71.5,72.09,72.09,727635,0.0000,1.0
2020-12-01,74.29,74.77,72.63,73.21,73.21,922857,0.0000,1.0
2020-11-30,73.92,74.47,72.77,72.87,72.87,1509086,0.0000,1.0
2020-11-27,74.36,75.39,73.58,74.3,74.3,403230,0.0000,1.0
2020-11-25,73.99,74.84,73.18,74.16,74.16,894229,0.0000,1.0
2020-11-24,74.18,75.14,73.38,74.43,74.43,842920,0.0000,1.0
2020-11-23,71.45,73.98,71.07,73.63,73.63,1041203,0.0000,1.0
2020-11-20,71.67,72.16,70.53,70.78,70.78,962721,0.0000,1.0
2020-11-19,72.14,73.69,71.13,72.45,72.45,842242,0.0000,1.0
2020-11-18,71.6,73.2182,71.07,72.56,72.56,974651,0.0000,1.0
2020-11-17,70.81,71.51,69.12,71.01,71.01,974109,0.0000,1.0
2020-11-16,72.03,72.93,70.86,71.19,71.19,874904,0.0000,1.0
2020-11-13,69.21,71.7175,68.68,71.16,71.16,918792,0.0000,1.0
2020-11-12,69.13,69.86,67.73,68.62,68.62,869053,0.0000,1.0
2020-11-11,68.68,69.49,67.83,69.26,69.26,799755,0.0000,1.0
2020-11-10,66.62,69.06,66.315,68.23,68.23,887089,0.0000,1.0
2020-11-09,72.505,72.99,66.0,66.09,66.09,1392087,0.0000,1.0
2020-11-06,70.73,70.96,68.84,69.01,69.01,692699,0.0000,1.0
2020-11-05,71.33,72.32,70.7,70.86,70.86,562008,0.0000,1.0
2020-11-04,66.88,71.02,66.3,70.09,70.09,1317381,0.0000,1.0
2020-11-03,69.07,69.23,66.59,66.89,66.89,1404718,0.0000,1.0
2020-11-02,66.66,69.27,66.435,68.11,68.11,960577,0.0000,1.0
2020-10-30,68.15,68.63,64.63,65.47,65.47,1121398,0.0000,1.0
2020-10-29,65.0,67.74,64.56,67.3,67.3,1379874,0.0000,1.0
2020-10-28,67.81,70.52,64.94,65.11,65.11,1674513,0.0000,1.0
2020-10-27,69.14,69.58,67.95,68.86,68.86,836696,0.0000,1.0
2020-10-26,69.88,70.54,68.71,69.22,69.22,657965,0.0000,1.0
2020-10-23,72.12,72.39,69.93,71.0,71.0,896307,0.0000,1.0
2020-10-22,73.17,73.62,70.56,71.53,71.53,818378,0.0000,1.0
2020-10-21,73.14,73.91,70.69,72.44,72.44,1252689,0.0000,1.0
2020-10-20,74.81,75.35,73.08,73.22,73.22,813208,0.0000,1.0
2020-10-19,75.47,76.085,73.93,74.26,74.26,477707,0.2400,1.0
2020-10-16,75.8,76.41,75.35,75.7,75.4561342282,774064,0.0000,1.0
2020-10-15,74.21,75.745,73.62,75.57,75.3265530201,456207,0.0000,1.0
2020-10-14,75.01,76.0825,74.94,75.13,74.8879704698,492032,0.0000,1.0
2020-10-13,76.6,76.6,74.4676,74.78,74.5390979866,989804,0.0000,1.0
2020-10-12,75.74,75.88,74.95,75.03,74.7882926174,607463,0.0000,1.0
2020-10-09,75.54,76.08,74.59,74.94,74.6985825503,720356,0.0000,1.0
2020-10-08,75.75,76.08,74.28,74.65,74.4095167785,787408,0.0000,1.0
2020-10-07,74.71,75.5,74.29,75.0,74.7583892617,861266,0.0000,1.0
2020-10-06,73.21,75.65,73.07,73.6,73.3628993289,1225742,0.0000,1.0
2020-10-05,71.77,73.03,71.41,72.76,72.5256053691,759823,0.0000,1.0
2020-10-02,67.79,70.99,67.77,70.68,70.4523060403,904993,0.0000,1.0
2020-10-01,69.62,70.58,68.93,69.66,69.4355919463,942739,0.0000,1.0
2020-09-30,67.82,69.52,67.82,68.81,68.5883302013,1112686,0.0000,1.0
2020-09-29,69.1,69.1,67.58,67.63,67.4121315436,941892,0.0000,1.0
2020-09-28,67.73,69.6,67.73,68.81,68.5883302013,1002045,0.0000,1.0
2020-09-25,66.03,67.77,65.71,66.93,66.7143865772,755132,0.0000,1.0
2020-09-24,65.98,67.46,65.1,66.59,66.3754818792,835507,0.0000,1.0
2020-09-23,67.98,69.0162,66.0,66.03,65.817285906,801393,0.0000,1.0
2020-09-22,66.76,68.75,66.09,68.27,68.0500697987,897320,0.0000,1.0
2020-09-21,68.18,68.18,65.28,66.29,66.0764483221,879050,0.0000,1.0
2020-09-18,68.79,69.88,67.5,67.57,67.3523248322,1670148,0.0000,1.0
2020-09-17,67.61,68.63,67.285,68.24,68.020166443,737686,0.0000,1.0
2020-09-16,67.38,70.55,66.79,68.79,68.5683946309,1221470,0.0000,1.0
2020-09-15,66.75,68.65,66.425,66.57,66.3555463087,910108,0.0000,1.0
2020-09-14,65.77,66.61,65.33,66.4,66.1860939597,909699,0.0000,1.0
2020-09-11,65.07,65.39,64.44,65.08,64.8703463087,616724,0.0000,1.0
2020-09-10,65.92,66.12,64.41,64.51,64.3021825503,1087330,0.0000,1.0
2020-09-09,65.2,65.96,64.93,65.71,65.4983167785,577144,0.0000,1.0
2020-09-08,64.78,66.02,63.03,64.68,64.4716348993,844839,0.0000,1.0
2020-09-04,67.16,67.17,64.2,65.99,65.7774147651,745814,0.0000,1.0
2020-09-03,69.45,69.69,65.1,65.91,65.6976724832,960899,0.0000,1.0
2020-09-02,69.58,69.87,68.11,69.69,69.465495302,578251,0.0000,1.0
2020-09-01,67.41,69.64,66.78,69.52,69.296042953,576142,0.0000,1.0
2020-08-31,69.28,69.69,67.59,67.64,67.4220993289,790276,0.0000,1.0
2020-08-28,69.22,69.87,68.87,69.17,68.9471704698,622772,0.0000,1.0
