timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,27.85,27.9,26.81,27.45,27.45,911847,0.0000,1.0
2020-12-10,28.21,29.25,27.73,28.03,28.03,1651648,0.0000,1.0
2020-12-09,25.35,29.06,25.27,28.58,28.58,3169022,0.0000,1.0
2020-12-08,24.9,25.46,24.62,25.19,25.19,755309,0.0000,1.0
2020-12-07,25.4,25.8,24.78,24.97,24.97,655672,0.0000,1.0
2020-12-04,24.91,25.22,24.61,25.22,25.22,575545,0.0000,1.0
2020-12-03,25.15,25.5,24.11,24.91,24.91,797450,0.0000,1.0
2020-12-02,25.84,26.49,25.09,25.16,25.16,736881,0.0000,1.0
2020-12-01,26.0,26.72,25.26,25.84,25.84,1064332,0.0000,1.0
2020-11-30,24.88,25.99,24.88,25.76,25.76,1159937,0.0000,1.0
2020-11-27,25.26,25.55,23.57,24.91,24.91,1154304,0.0000,1.0
2020-11-25,25.11,25.7318,24.84,25.13,25.13,628026,0.0000,1.0
2020-11-24,24.0,25.2,23.35,25.11,25.11,1197019,0.0000,1.0
2020-11-23,23.45,24.82,23.4,24.02,24.02,780195,0.0000,1.0
2020-11-20,23.25,23.78,22.96,23.28,23.28,682044,0.0000,1.0
2020-11-19,23.2,23.5,22.66,23.33,23.33,710531,0.0000,1.0
2020-11-18,23.69,24.1807,23.1,23.17,23.17,698936,0.0000,1.0
2020-11-17,23.5,23.77,22.88,23.51,23.51,982661,0.0000,1.0
2020-11-16,22.74,24.0524,22.24,23.65,23.65,1931552,0.0000,1.0
2020-11-13,23.4,23.47,22.01,23.08,23.08,2107623,0.0000,1.0
2020-11-12,22.98,23.5,22.54,23.47,23.47,1699271,0.0000,1.0
2020-11-11,22.38,23.07,22.16,23.04,23.04,1952421,0.0000,1.0
2020-11-10,22.22,23.39,22.16,22.17,22.17,1677484,0.0000,1.0
2020-11-09,23.8701,23.8701,21.76,22.5,22.5,1738144,0.0000,1.0
2020-11-06,25.24,25.88,24.14,24.5,24.5,1104249,0.0000,1.0
2020-11-05,24.03,25.68,23.9,25.36,25.36,1488037,0.0000,1.0
2020-11-04,25.83,26.47,23.45,23.85,23.85,2175536,0.0000,1.0
