timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,481.52,482.5455,476.9,481.88,481.88,18444,0.0000,1.0
2020-12-10,477.65,484.635,476.6558,483.99,483.99,24304,0.0000,1.0
2020-12-09,490.77,490.9,478.815,480.54,480.54,51005,0.0000,1.0
2020-12-08,486.57,490.35,485.22,490.35,490.35,21854,0.0000,1.0
2020-12-07,486.43,488.0,485.15,486.46,486.46,46298,0.0000,1.0
2020-12-04,483.23,485.0,482.69,484.725,484.725,27064,0.0000,1.0
2020-12-03,481.69,484.6182,481.19,481.19,481.19,20283,0.0000,1.0
2020-12-02,480.06,481.03,475.056,481.03,481.03,32236,0.0000,1.0
2020-12-01,478.96,482.83,477.47,481.345,481.345,30452,0.0000,1.0
2020-11-30,476.26,476.99,468.0016,473.96,473.96,30055,0.0000,1.0
2020-11-27,473.82,476.4787,472.71,474.94,474.94,19533,0.0000,1.0
2020-11-25,470.9609,471.458,468.09,470.76,470.76,25227,0.0000,1.0
2020-11-24,465.6,468.98,462.2082,467.4,467.4,27395,0.0000,1.0
2020-11-23,462.67,464.83,459.7507,461.91,461.91,61440,0.0000,1.0
2020-11-20,464.21,464.61,462.305,462.305,462.305,14177,0.0000,1.0
2020-11-19,458.41,464.47,458.0,463.04,463.04,47438,0.0000,1.0
2020-11-18,462.19,465.49,460.0,460.0,460.0,23140,0.0000,1.0
2020-11-17,463.21,465.505,461.9203,463.74,463.74,21489,0.0000,1.0
2020-11-16,462.03,464.5,456.27,464.28,464.28,36643,0.0000,1.0
2020-11-13,458.99,461.7599,456.2,459.73,459.73,26064,0.0000,1.0
2020-11-12,460.58,462.11,454.6401,456.208,456.208,29170,0.0000,1.0
2020-11-11,453.87,459.63,453.11,458.12,458.12,31327,0.0000,1.0
2020-11-10,453.13,453.99,445.586,449.22,449.22,37453,0.0000,1.0
2020-11-09,484.05,484.05,455.92,456.89,456.89,125614,0.0000,1.0
2020-11-06,461.41,464.41,457.2203,464.13,464.13,55075,0.0000,1.0
2020-11-05,462.53,464.33,459.86,462.919,462.919,64229,0.0000,1.0
2020-11-04,446.12,453.865,442.15,451.65,451.65,55733,0.0000,1.0
2020-11-03,428.17,436.0,428.17,435.25,435.25,36909,0.0000,1.0
2020-11-02,428.41,430.0,421.11,424.73,424.73,41867,0.0000,1.0
2020-10-30,431.37,431.37,421.0847,424.095,424.095,66546,0.0000,1.0
2020-10-29,429.62,438.8874,429.115,434.41,434.41,43054,0.0000,1.0
2020-10-28,436.33,437.0362,428.1,428.1,428.1,71238,0.0000,1.0
2020-10-27,442.75,445.2682,442.49,444.01,444.01,16978,0.0000,1.0
2020-10-26,445.39,448.51,436.5089,441.48,441.48,45742,0.0000,1.0
2020-10-23,449.67,449.69,444.5091,448.69,448.69,19225,0.0000,1.0
2020-10-22,446.9,448.88,441.19,447.92,447.92,20835,0.0000,1.0
2020-10-21,447.54,451.31,446.23,446.23,446.23,15107,0.0000,1.0
2020-10-20,447.42,452.039,447.18,447.44,447.44,18827,0.0000,1.0
2020-10-19,457.24,458.183,445.122,445.49,445.49,45147,0.0000,1.0
2020-10-16,459.05,459.9999,453.24,453.24,453.24,22582,0.0000,1.0
2020-10-15,449.58,455.8408,448.63,454.77,454.77,32108,0.0000,1.0
2020-10-14,463.61,464.26,455.86,456.96,456.96,26506,0.0000,1.0
2020-10-13,464.42,464.53,460.4722,461.98,461.98,21917,0.0000,1.0
2020-10-12,456.69,465.4995,455.08,461.48,461.48,46977,0.0000,1.0
2020-10-09,446.99,449.99,446.0,449.84,449.84,22283,0.0000,1.0
2020-10-08,445.76,445.76,442.45,443.885,443.885,22052,0.0000,1.0
