timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,46.27,47.84,46.1,46.94,46.94,274579,0.0000,1.0
2020-12-10,45.27,46.865,45.11,46.64,46.64,355068,0.0000,1.0
2020-12-09,47.83,47.915,45.53,45.71,45.71,266072,0.0000,1.0
2020-12-08,47.16,48.01,46.54,47.53,47.53,209437,0.0000,1.0
2020-12-07,46.34,48.35,46.34,47.65,47.65,336452,0.0000,1.0
2020-12-04,45.1,46.38,45.06,46.22,46.22,178623,0.0000,1.0
2020-12-03,44.83,45.86,44.59,44.76,44.76,200633,0.0000,1.0
2020-12-02,44.91,45.22,44.48,44.55,44.55,252063,0.0000,1.0
2020-12-01,45.0,45.27,44.41,45.03,45.03,202345,0.0000,1.0
2020-11-30,44.66,44.85,43.79,44.21,44.21,251822,0.0000,1.0
2020-11-27,43.73,45.0,43.73,44.85,44.85,89017,0.0000,1.0
2020-11-25,44.29,44.585,42.9714,43.69,43.69,172353,0.0000,1.0
2020-11-24,44.42,45.1,43.38,44.58,44.58,439394,0.0000,1.0
2020-11-23,42.28,43.15,40.47,43.11,43.11,216814,0.0000,1.0
2020-11-20,41.38,42.22,41.28,41.72,41.72,260344,0.0000,1.0
2020-11-19,41.73,41.835,41.0,41.54,41.54,235274,0.0000,1.0
2020-11-18,42.15,42.61,41.57,42.0,42.0,195325,0.0000,1.0
2020-11-17,42.07,42.1984,41.42,42.1,42.1,266864,0.0000,1.0
2020-11-16,41.07,43.3,41.07,42.58,42.58,585779,0.0000,1.0
2020-11-13,40.0,40.62,39.97,40.49,40.49,204705,0.0000,1.0
2020-11-12,39.77,40.23,39.15,39.45,39.45,309372,0.0000,1.0
2020-11-11,39.95,40.55,39.82,40.13,40.13,171066,0.0000,1.0
2020-11-10,39.64,40.42,38.84,39.62,39.62,283638,0.0000,1.0
2020-11-09,39.2,40.7,38.76,39.64,39.64,363050,0.0000,1.0
2020-11-06,37.73,37.96,37.12,37.6,37.6,147862,0.0000,1.0
2020-11-05,36.29,37.64,36.1,37.51,37.51,439168,0.0000,1.0
2020-11-04,35.05,36.02,34.29,35.79,35.79,321589,0.0000,1.0
2020-11-03,34.4,36.09,33.89,34.83,34.83,410767,0.0000,1.0
2020-11-02,32.7,33.38,32.25,32.96,32.96,205761,0.0000,1.0
2020-10-30,32.69,32.72,31.67,32.07,32.07,164863,0.0000,1.0
2020-10-29,31.34,32.99,31.14,32.85,32.85,152928,0.0000,1.0
2020-10-28,31.47,31.74,30.65,31.48,31.48,222990,0.0000,1.0
2020-10-27,33.36,33.36,32.18,32.26,32.26,158866,0.0000,1.0
2020-10-26,33.76,33.89,32.88,33.25,33.25,186486,0.0000,1.0
2020-10-23,34.51,34.68,34.01,34.17,34.17,240851,0.0000,1.0
2020-10-22,34.32,34.47,33.47,34.43,34.43,181960,0.0000,1.0
2020-10-21,33.72,34.42,33.62,34.08,34.08,118657,0.0000,1.0
2020-10-20,33.92,34.08,33.35,33.56,33.56,105655,0.0000,1.0
2020-10-19,34.01,34.17,33.67,33.82,33.82,127654,0.0000,1.0
