timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,18.81,19.06,18.23,18.58,18.58,5582240,0.0000,1.0
2020-12-10,17.99,19.095,17.92,18.87,18.87,4465008,0.0000,1.0
2020-12-09,19.31,19.45,19.01,19.17,19.17,794203,0.0000,1.0
2020-12-08,18.9,19.565,18.86,19.11,19.11,778925,0.0000,1.0
2020-12-07,19.81,19.92,18.83,19.05,19.05,1450213,0.0000,1.0
2020-12-04,19.33,20.025,19.235,19.97,19.97,1198796,0.0000,1.0
2020-12-03,18.97,19.37,18.78,19.06,19.06,1494387,0.0000,1.0
2020-12-02,18.81,19.04,18.55,18.8,18.8,1719527,0.0000,1.0
2020-12-01,18.91,19.67,18.9,18.95,18.95,2097574,0.0000,1.0
2020-11-30,19.24,19.61,18.48,18.5,18.5,2558337,0.0000,1.0
2020-11-27,19.91,20.01,19.275,19.42,19.42,573300,0.0000,1.0
2020-11-25,19.74,20.24,19.36,19.98,19.98,2338466,0.0000,1.0
2020-11-24,20.25,21.24,19.55,19.89,19.89,3151766,0.0000,1.0
2020-11-23,18.84,19.975,18.7,19.75,19.75,1683341,0.0000,1.0
2020-11-20,18.63,18.77,18.32,18.52,18.52,2275263,0.0000,1.0
2020-11-19,18.35,18.85,18.095,18.84,18.84,1851174,0.0000,1.0
2020-11-18,18.72,19.28,18.28,18.4,18.4,1446022,0.0000,1.0
2020-11-17,17.59,18.79,17.3,18.77,18.77,1603727,0.0000,1.0
2020-11-16,18.01,18.55,17.6,17.92,17.92,2398722,0.0000,1.0
2020-11-13,16.29,17.25,16.24,17.16,17.16,1362488,0.0000,1.0
2020-11-12,16.19,16.64,15.69,16.04,16.04,2015714,0.0000,1.0
2020-11-11,17.06,17.1,15.8075,16.56,16.56,2588529,0.0000,1.0
2020-11-10,16.53,17.6,16.11,16.96,16.96,4713518,0.0000,1.0
2020-11-09,14.565,18.54,14.565,16.3,16.3,8470621,0.0000,1.0
2020-11-06,13.13,13.24,12.31,12.44,12.44,947046,0.0000,1.0
2020-11-05,12.69,13.15,12.621,12.93,12.93,1363809,0.0000,1.0
2020-11-04,12.8,12.91,12.3,12.69,12.69,921912,0.0000,1.0
2020-11-03,12.6,13.135,12.6,12.93,12.93,826574,0.0000,1.0
2020-11-02,12.13,12.39,11.8,12.39,12.39,883877,0.0000,1.0
2020-10-30,12.62,12.76,11.68,11.98,11.98,1210695,0.0000,1.0
2020-10-29,12.15,12.83,11.94,12.65,12.65,865999,0.0000,1.0
2020-10-28,12.56,12.75,12.11,12.28,12.28,756081,0.0000,1.0
2020-10-27,13.15,13.34,12.885,12.89,12.89,654480,0.0000,1.0
2020-10-26,13.42,13.52,12.84,13.22,13.22,819992,0.0000,1.0
2020-10-23,13.39,13.75,13.39,13.57,13.57,998265,0.0000,1.0
2020-10-22,12.76,13.45,12.76,13.27,13.27,852764,0.0000,1.0
2020-10-21,12.48,12.805,12.26,12.74,12.74,747722,0.0000,1.0
2020-10-20,12.27,12.56,12.23,12.52,12.52,830381,0.0000,1.0
2020-10-19,12.39,12.43,12.02,12.07,12.07,811458,0.0000,1.0
2020-10-16,12.61,12.63,12.335,12.35,12.35,859029,0.0000,1.0
2020-10-15,12.46,12.78,12.165,12.7,12.7,973610,0.0000,1.0
2020-10-14,12.78,13.16,12.5,12.54,12.54,624349,0.0000,1.0
2020-10-13,13.64,13.64,12.4,12.77,12.77,1794693,0.0000,1.0
2020-10-12,13.88,14.03,13.56,13.79,13.79,742611,0.0000,1.0
2020-10-09,14.0,14.17,13.74,13.96,13.96,937134,0.0000,1.0
2020-10-08,13.95,14.05,13.6719,13.96,13.96,621286,0.0000,1.0
2020-10-07,13.49,13.85,13.36,13.77,13.77,1200161,0.0000,1.0
2020-10-06,13.3,13.67,13.11,13.35,13.35,1643780,0.0000,1.0
2020-10-05,13.47,13.47,12.85,13.11,13.11,1096065,0.0000,1.0
2020-10-02,12.63,13.42,12.54,13.36,13.36,1284787,0.0000,1.0
2020-10-01,12.62,13.11,12.55,13.09,13.09,1288630,0.0000,1.0
2020-09-30,12.52,12.93,12.295,12.53,12.53,2173741,0.0000,1.0
2020-09-29,13.16,13.16,12.04,12.43,12.43,1476520,0.0100,1.0
2020-09-28,12.44,12.72,12.32,12.59,12.5798794212,1300156,0.0000,1.0
2020-09-25,11.55,12.195,11.49,12.16,12.1502250804,1631461,0.0000,1.0
2020-09-24,11.78,12.07,11.42,11.65,11.6406350482,1796286,0.0000,1.0
2020-09-23,12.16,12.67,11.76,11.76,11.7505466238,3555994,0.0000,1.0
2020-09-22,12.2,12.46,12.05,12.11,12.1002652733,2533466,0.0000,1.0
2020-09-21,12.68,12.68,11.99,12.11,12.1002652733,2860622,0.0000,1.0
2020-09-18,14.04,14.04,13.0,13.07,13.0594935691,3989394,0.0000,1.0
2020-09-17,13.79,14.21,13.59,13.91,13.898818328,2379615,0.0000,1.0
2020-09-16,14.07,14.22,13.41,13.99,13.9787540193,2887847,0.0000,1.0
2020-09-15,14.06,14.6,13.88,14.06,14.0486977492,3664942,0.0000,1.0
2020-09-14,13.14,14.12,13.03,13.96,13.948778135,4558595,0.0000,1.0
2020-09-11,13.23,13.23,12.6,12.79,12.7797186495,1800301,0.0000,1.0
2020-09-10,13.36,13.7,13.16,13.19,13.1793971061,2190644,0.0000,1.0
2020-09-09,13.28,13.38,13.02,13.31,13.2993006431,1430888,0.0000,1.0
2020-09-08,13.16,13.385,12.76,13.27,13.2593327974,2758262,0.0000,1.0
2020-09-04,12.97,13.37,12.85,13.32,13.3092926045,1222691,0.0000,1.0
2020-09-03,12.9,13.35,12.62,12.77,12.7597347267,1174454,0.0000,1.0
2020-09-02,12.7,12.85,12.47,12.81,12.7997025723,991257,0.0000,1.0
2020-09-01,12.48,12.91,12.13,12.79,12.7797186495,1470969,0.0000,1.0
2020-08-31,12.85,12.85,12.44,12.62,12.6098553055,2323587,0.0000,1.0
2020-08-28,12.8,12.87,12.495,12.86,12.8496623794,1609823,0.0000,1.0
2020-08-27,12.53,13.13,12.53,12.69,12.6797990354,1891422,0.0000,1.0
2020-08-26,12.57,12.67,12.17,12.48,12.4699678457,1353842,0.0000,1.0
2020-08-25,12.62,12.77,12.2933,12.61,12.5998633441,1195583,0.0000,1.0
2020-08-24,11.85,12.49,11.45,12.49,12.4799598071,1415799,0.0000,1.0
2020-08-21,11.89,12.0379,11.675,11.95,11.9403938907,2006843,0.0000,1.0
2020-08-20,11.39,12.16,11.3642,11.98,11.9703697749,2351161,0.0000,1.0
2020-08-19,11.19,11.86,11.06,11.5,11.490755627,1677776,0.0000,1.0
