timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,68.61,68.8015,68.3918,68.6454,68.6454,5995,0.0000,1.0
2020-12-10,68.31,69.0,68.31,68.9361,68.9361,6720,0.0000,1.0
2020-12-09,69.17,69.33,67.97,68.5965,68.5965,6292,0.0000,1.0
2020-12-08,67.76,68.9574,67.76,68.9574,68.9574,11476,0.0000,1.0
2020-12-07,68.53,68.53,67.685,67.8754,67.8754,7670,0.0000,1.0
2020-12-04,67.63,68.4505,67.63,68.3646,68.3646,19842,0.0000,1.0
2020-12-03,67.64,67.925,67.45,67.69,67.69,11613,0.0000,1.0
2020-12-02,67.49,67.8152,67.3,67.5718,67.5718,14083,0.0000,1.0
2020-12-01,67.36,67.6431,67.2,67.3,67.3,14277,0.0000,1.0
2020-11-30,67.57,67.709,66.6,66.85,66.85,31234,0.0000,1.0
2020-11-27,67.0,67.65,67.0,67.62,67.62,8978,0.0000,1.0
2020-11-25,67.23,67.23,66.674,66.8103,66.8103,16575,0.0000,1.0
2020-11-24,67.32,67.65,67.1608,67.2214,67.2214,47428,0.0000,1.0
2020-11-23,67.72,67.8,66.9,67.0872,67.0872,14598,0.0000,1.0
2020-11-20,67.67,67.6917,67.3137,67.5122,67.5122,9123,0.0000,1.0
2020-11-19,67.0,67.53,66.67,67.53,67.53,11588,0.0000,1.0
2020-11-18,67.43,67.717,66.49,66.4922,66.4922,16358,0.0000,1.0
2020-11-17,67.08,67.4684,66.65,67.27,67.27,17038,0.0000,1.0
2020-11-16,67.46,67.51,67.0,67.0765,67.0765,11043,0.0000,1.0
2020-11-13,66.66,67.25,66.3941,67.14,67.14,16209,0.0000,1.0
2020-11-12,66.67,66.98,65.955,66.1624,66.1624,10907,0.0000,1.0
2020-11-11,67.05,67.61,66.76,66.98,66.98,10212,0.0000,1.0
2020-11-10,65.57,66.83,65.57,66.69,66.69,12377,0.0000,1.0
2020-11-09,66.94,66.94,65.61,65.6186,65.6186,27533,0.0000,1.0
2020-11-06,66.24,66.24,64.82,64.98,64.98,11670,0.0000,1.0
2020-11-05,67.07,67.07,66.03,66.0875,66.0875,29274,0.0000,1.0
2020-11-04,64.19,67.21,64.19,66.4312,66.4312,51614,0.0000,1.0
2020-11-03,63.72,63.72,62.8224,63.06,63.06,22939,0.0000,1.0
2020-11-02,62.95,62.95,62.1,62.7921,62.7921,12195,0.0000,1.0
2020-10-30,61.98,61.98,61.54,61.8693,61.8693,19189,0.0000,1.0
2020-10-29,62.06,62.809,61.43,62.5041,62.5041,13551,0.0000,1.0
