timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,13.56,13.61,13.54,13.56,13.56,45891,0.0000,1.0
2020-12-10,13.58,13.58,13.53,13.56,13.56,17246,0.0000,1.0
2020-12-09,13.56,13.6,13.52,13.56,13.56,40240,0.0000,1.0
2020-12-08,13.51,13.5553,13.51,13.55,13.55,40634,0.0000,1.0
2020-12-07,13.49,13.56,13.44,13.47,13.47,47628,0.0000,1.0
2020-12-04,13.54,13.54,13.42,13.48,13.48,105908,0.0000,1.0
2020-12-03,13.52,13.56,13.46,13.54,13.54,47222,0.0000,1.0
2020-12-02,13.46,13.53,13.44,13.5,13.5,46176,0.0000,1.0
2020-12-01,13.5,13.5199,13.45,13.47,13.47,46791,0.0000,1.0
2020-11-30,13.47,13.5017,13.33,13.46,13.46,35420,0.0000,1.0
2020-11-27,13.44,13.54,13.42,13.45,13.45,37380,0.0000,1.0
2020-11-25,13.34,13.39,13.31,13.3899,13.3899,28851,0.0000,1.0
2020-11-24,13.29,13.36,13.29,13.34,13.34,21228,0.0000,1.0
2020-11-23,13.28,13.33,13.26,13.31,13.31,45397,0.0531,1.0
2020-11-20,13.37,13.39,13.21,13.29,13.2371904723,60918,0.0000,1.0
2020-11-19,13.32,13.38,13.3,13.3399,13.2868921882,29428,0.0000,1.0
2020-11-18,13.35,13.3724,13.3,13.3399,13.2868921882,34987,0.0000,1.0
2020-11-17,13.33,13.44,13.28,13.34,13.2869917908,76929,0.0000,1.0
2020-11-16,13.33,13.36,13.3298,13.33,13.2770315271,45693,0.0000,1.0
2020-11-13,13.29,13.36,13.23,13.32,13.2670712634,48209,0.0000,1.0
2020-11-12,13.33,13.36,13.315,13.33,13.2770315271,61154,0.0000,1.0
2020-11-11,13.23,13.32,13.16,13.28,13.2272302086,36474,0.0000,1.0
2020-11-10,13.29,13.29,13.14,13.18,13.1276275714,53418,0.0000,1.0
2020-11-09,13.27,13.27,13.17,13.24,13.1873891537,54827,0.0000,1.0
2020-11-06,13.01,13.18,13.01,13.18,13.1276275714,46958,0.0000,1.0
2020-11-05,13.04,13.09,13.01,13.04,12.9881838795,38890,0.0000,1.0
2020-11-04,12.94,13.01,12.93,13.01,12.9583030884,32011,0.0000,1.0
2020-11-03,12.85,12.88,12.77,12.88,12.8288196601,65457,0.0000,1.0
2020-11-02,12.86,12.88,12.71,12.8,12.7491375504,41069,0.0000,1.0
2020-10-30,12.78,12.78,12.63,12.77,12.7192567593,44193,0.0000,1.0
2020-10-29,12.75,12.77,12.7,12.76,12.7092964956,42997,0.0000,1.0
2020-10-28,12.72,12.75,12.66,12.7,12.6495349133,99767,0.0000,1.0
2020-10-27,12.79,12.79,12.73,12.74,12.6893759682,58460,0.0000,1.0
2020-10-26,12.83,12.84,12.75,12.8,12.7491375504,71426,0.0000,1.0
