timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,11.96,12.0189,11.96,11.96,11.96,58430,0.0000,1.0
2020-12-10,12.02,12.02,11.95,12.01,12.01,31233,0.0460,1.0
2020-12-09,12.0,12.05,11.9801,12.05,12.0040228932,75397,0.0000,1.0
2020-12-08,11.93,12.0,11.93,12.0,11.9542136695,75155,0.0000,1.0
2020-12-07,11.96,12.0,11.91,11.96,11.9143662906,99263,0.0000,1.0
2020-12-04,12.0,12.02,11.93,11.99,11.9442518248,50525,0.0000,1.0
2020-12-03,12.04,12.04,11.96,12.0,11.9542136695,47821,0.0000,1.0
2020-12-02,12.0,12.04,11.95,12.02,11.974137359,38085,0.0000,1.0
2020-12-01,12.03,12.07,11.949,11.98,11.9342899801,72522,0.0000,1.0
2020-11-30,11.99,11.99,11.9,11.94,11.8944426012,80199,0.0000,1.0
2020-11-27,11.87,12.0,11.83,11.965,11.919347213,43713,0.0000,1.0
2020-11-25,11.83,11.84,11.77,11.82,11.7749004645,40743,0.0000,1.0
2020-11-24,11.78,11.841,11.7,11.78,11.7350530856,57450,0.0000,1.0
2020-11-23,11.66,11.74,11.6466,11.71,11.6653201725,46953,0.0000,1.0
2020-11-20,11.66,11.66,11.58,11.61,11.5657017253,24078,0.0000,1.0
2020-11-19,11.58,11.64,11.56,11.63,11.5856254147,42973,0.0000,1.0
2020-11-18,11.55,11.65,11.55,11.55,11.5059306569,47648,0.0000,1.0
2020-11-17,11.53,11.58,11.49,11.55,11.5059306569,37378,0.0000,1.0
2020-11-16,11.54,11.62,11.46,11.49,11.4461595886,47060,0.0000,1.0
2020-11-13,11.59,11.65,11.53,11.54,11.4959688122,35194,0.0000,1.0
2020-11-12,11.55,11.72,11.51,11.55,11.5059306569,49603,0.0000,1.0
2020-11-11,11.62,11.66,11.51,11.51,11.466083278,31475,0.0000,1.0
2020-11-10,11.55,11.63,11.5,11.55,11.5059306569,54051,0.0460,1.0
2020-11-09,11.63,11.64,11.6,11.6,11.5098995878,25999,0.0000,1.0
2020-11-06,11.49,11.5999,11.49,11.59,11.4999772606,58694,0.0000,1.0
2020-11-05,11.51,11.58,11.42,11.44,11.3511423521,79417,0.0000,1.0
2020-11-04,11.19,11.47,11.19,11.45,11.3610646794,107917,0.0000,1.0
2020-11-03,11.19,11.22,11.12,11.13,11.043550208,108087,0.0000,1.0
2020-11-02,11.28,11.28,11.155,11.18,11.0931618441,87945,0.0000,1.0
2020-10-30,11.22,11.22,11.15,11.19,11.1030841714,37736,0.0000,1.0
2020-10-29,11.25,11.2994,11.13,11.15,11.0633948624,41538,0.0000,1.0
2020-10-28,11.25,11.28,11.24,11.25,11.1626181347,62743,0.0000,1.0
2020-10-27,11.27,11.33,11.26,11.32,11.2320744254,56357,0.0000,1.0
2020-10-26,11.24,11.28,11.2,11.22,11.1328511531,58137,0.0000,1.0
2020-10-23,11.37,11.41,11.3,11.35,11.2618414071,36495,0.0000,1.0
2020-10-22,11.43,11.46,11.3,11.32,11.2320744254,54441,0.0000,1.0
2020-10-21,11.34,11.42,11.34,11.4,11.3114530432,82406,0.0000,1.0
2020-10-20,11.37,11.42,11.32,11.37,11.2816860615,48397,0.0000,1.0
2020-10-19,11.26,11.37,11.26,11.37,11.2816860615,69055,0.0000,1.0
2020-10-16,11.28,11.315,11.21,11.23,11.1427734803,26205,0.0000,1.0
2020-10-15,11.31,11.3167,11.25,11.27,11.1824627892,38023,0.0000,1.0
2020-10-14,11.3,11.3799,11.27,11.27,11.1824627892,36012,0.0000,1.0
2020-10-13,11.36,11.375,11.31,11.32,11.2320744254,50548,0.0000,1.0
2020-10-12,11.38,11.43,11.32,11.33,11.2419967526,57111,0.0000,1.0
2020-10-09,11.45,11.475,11.33,11.38,11.2916083887,76650,0.0460,1.0
2020-10-08,11.45,11.5672,11.45,11.48,11.3449732455,60033,0.0000,1.0
2020-10-07,11.64,11.64,11.45,11.49,11.3548556264,43055,0.0000,1.0
2020-10-06,11.62,11.64,11.49,11.54,11.4042675307,36935,0.0000,1.0
2020-10-05,11.66,11.67,11.56,11.57,11.4339146734,41989,0.0000,1.0
2020-10-02,11.38,11.69,11.3295,11.65,11.5129737204,97659,0.0000,1.0
2020-10-01,11.41,11.44,11.3728,11.41,11.2757965793,51145,0.0000,1.0
2020-09-30,11.27,11.41,11.26,11.36,11.226384675,56683,0.0000,1.0
2020-09-29,11.28,11.36,11.23,11.27,11.1374432471,58862,0.0000,1.0
2020-09-28,11.24,11.34,11.23,11.31,11.1769727706,41854,0.0000,1.0
2020-09-25,11.2,11.205,11.13,11.18,11.0485018192,54062,0.0000,1.0
2020-09-24,11.19,11.205,11.12,11.18,11.0485018192,70196,0.0000,1.0
2020-09-23,11.36,11.38,11.2,11.2014,11.0696501143,42117,0.0000,1.0
2020-09-22,11.28,11.39,11.25,11.39,11.2560318176,53875,0.0000,1.0
2020-09-21,11.3,11.34,11.21,11.25,11.1176784853,68881,0.0000,1.0
2020-09-18,11.35,11.3793,11.24,11.27,11.1374432471,81614,0.0000,1.0
2020-09-17,11.33,11.44,11.31,11.33,11.1967375323,43351,0.0000,1.0
2020-09-16,11.44,11.46,11.299,11.33,11.1967375323,52520,0.0000,1.0
2020-09-15,11.44,11.4576,11.35,11.42,11.2856789602,36605,0.0000,1.0
2020-09-14,11.53,11.55,11.42,11.44,11.305443722,42085,0.0000,1.0
