timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,10.64,10.68,10.6,10.65,10.65,25839,0.0000,1.0
2020-12-10,10.68,10.68,10.59,10.65,10.65,18785,0.0400,1.0
2020-12-09,10.67,10.7501,10.67,10.67,10.6300300887,18826,0.0000,1.0
2020-12-08,10.65,10.72,10.65,10.71,10.6698802484,10493,0.0000,1.0
2020-12-07,10.54,10.67,10.54,10.63,10.5901799291,37330,0.0000,1.0
2020-12-04,10.62,10.63,10.58,10.63,10.5901799291,26490,0.0000,1.0
2020-12-03,10.51,10.61,10.51,10.58,10.5403672295,40833,0.0000,1.0
2020-12-02,10.62,10.62,10.53,10.55,10.5104796098,46443,0.0000,1.0
2020-12-01,10.72,10.72,10.5,10.55,10.5104796098,52178,0.0000,1.0
2020-11-30,10.64,10.67,10.64,10.65,10.6101050089,13167,0.0000,1.0
2020-11-27,10.56,10.64,10.56,10.64,10.600142469,8728,0.0000,1.0
2020-11-25,10.48,10.6,10.48,10.56,10.5204421497,18632,0.0000,1.0
2020-11-24,10.45,10.54,10.45,10.51,10.4706294501,31446,0.0000,1.0
2020-11-23,10.39,10.44,10.39,10.43,10.3909291308,28594,0.0000,1.0
2020-11-20,10.4,10.42,10.37,10.39,10.3510789711,24262,0.0000,1.0
2020-11-19,10.47,10.56,10.38,10.4,10.3610415111,30464,0.0000,1.0
2020-11-18,10.42,10.45,10.41,10.45,10.4108542106,15206,0.0000,1.0
2020-11-17,10.44,10.44,10.41,10.41,10.371004051,17163,0.0000,1.0
2020-11-16,10.47,10.47,10.4,10.4,10.3610415111,22886,0.0000,1.0
2020-11-13,10.49,10.49,10.35,10.45,10.4108542106,13037,0.0000,1.0
2020-11-12,10.49,10.49,10.41,10.48,10.4407418304,18525,0.0000,1.0
2020-11-11,10.49,10.49,10.455,10.48,10.4407418304,2251,0.0000,1.0
2020-11-10,10.48,10.5,10.48,10.5,10.4606669102,8704,0.0400,1.0
2020-11-09,10.64,10.64,10.4,10.48,10.4010741148,22034,0.0000,1.0
2020-11-06,10.44,10.49,10.4399,10.4898,10.4108003101,17095,0.0000,1.0
2020-11-05,10.42,10.45,10.415,10.44,10.3613753587,24736,0.0000,1.0
2020-11-04,10.32,10.42,10.32,10.37,10.2919025354,17350,0.0000,1.0
2020-11-03,10.2,10.31,10.185,10.25,10.1728062669,25351,0.0000,1.0
2020-11-02,10.25,10.25,10.09,10.14,10.0636346875,17386,0.0000,1.0
2020-10-30,10.12,10.15,10.05,10.15,10.0735593765,23834,0.0000,1.0
2020-10-29,10.16,10.19,10.06,10.15,10.0735593765,17808,0.0000,1.0
2020-10-28,10.21,10.21,10.11,10.12,10.0437853094,25933,0.0000,1.0
2020-10-27,10.32,10.32,10.02,10.24,10.1628815779,27522,0.0000,1.0
2020-10-26,10.35,10.35,10.26,10.28,10.202580334,13826,0.0000,1.0
2020-10-23,10.4,10.42,10.34,10.35,10.2720531573,12144,0.0000,1.0
2020-10-22,10.38,10.4,10.33,10.39,10.3117519135,16108,0.0000,1.0
2020-10-21,10.4,10.4,10.34,10.35,10.2720531573,17277,0.0000,1.0
2020-10-20,10.39,10.45,10.37,10.41,10.3316012916,27707,0.0000,1.0
2020-10-19,10.41,10.47,10.37,10.39,10.3117519135,27052,0.0000,1.0
2020-10-16,10.35,10.44,10.35,10.41,10.3316012916,9638,0.0000,1.0
2020-10-15,10.45,10.48,10.42,10.4589,10.380133021,3811,0.0000,1.0
2020-10-14,10.41,10.475,10.41,10.46,10.3812247368,2945,0.0000,1.0
2020-10-13,10.43,10.45,10.43,10.45,10.3713000477,7602,0.0000,1.0
2020-10-12,10.55,10.55,10.4,10.45,10.3713000477,11500,0.0000,1.0
2020-10-09,10.41,10.45,10.41,10.4401,10.3614746056,6822,0.0400,1.0
2020-10-08,10.48,10.48,10.42,10.46,10.3415577145,10083,0.0000,1.0
2020-10-07,10.37,10.55,10.37,10.4336,10.3154566511,10329,0.0000,1.0
2020-10-06,10.64,10.66,10.07,10.39,10.2723503493,28642,0.0000,1.0
2020-10-05,10.65,10.67,10.52,10.53,10.4107650798,17993,0.0000,1.0
2020-10-02,10.62,10.67,10.57,10.625,10.5046893611,14960,0.0000,1.0
2020-10-01,10.8,10.8,10.6,10.66,10.5392930437,14869,0.0000,1.0
