timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.51,4.55,4.45,4.51,4.51,291578,0.0000,1.0
2020-12-10,4.56,4.57,4.5,4.51,4.51,360216,0.0000,1.0
2020-12-09,4.63,4.64,4.47,4.58,4.58,632491,0.0000,1.0
2020-12-08,4.52,4.64,4.5,4.61,4.61,536150,0.0000,1.0
2020-12-07,4.6,4.6,4.4,4.52,4.52,428492,0.0000,1.0
2020-12-04,4.63,4.68,4.57,4.6,4.6,431107,0.0000,1.0
2020-12-03,4.45,4.64,4.35,4.62,4.62,536011,0.0000,1.0
2020-12-02,4.48,4.495,4.45,4.46,4.46,239628,0.0000,1.0
2020-12-01,4.53,4.585,4.46,4.48,4.48,358635,0.0000,1.0
2020-11-30,4.6,4.63,4.42,4.49,4.49,575911,0.0000,1.0
2020-11-27,4.6776,4.68,4.53,4.6,4.6,269655,0.0000,1.0
2020-11-25,4.53,4.69,4.46,4.58,4.58,740342,0.0000,1.0
2020-11-24,4.47,4.65,4.35,4.57,4.57,1167622,0.0000,1.0
2020-11-23,4.3,4.55,4.3,4.47,4.47,960820,0.0000,1.0
2020-11-20,4.15,4.41,4.0,4.26,4.26,1698025,0.0000,1.0
2020-11-19,3.82,4.29,3.8,4.21,4.21,2169781,0.0000,1.0
2020-11-18,3.56,3.64,3.51,3.57,3.57,454794,0.0000,1.0
2020-11-17,3.44,3.58,3.38,3.52,3.52,423117,0.0000,1.0
2020-11-16,3.4,3.45,3.315,3.42,3.42,708034,0.0000,1.0
2020-11-13,3.17,3.33,3.15,3.29,3.29,603677,0.0000,1.0
2020-11-12,3.29,3.29,3.12,3.13,3.13,473113,0.0000,1.0
2020-11-11,3.13,3.33,3.13,3.28,3.28,510120,0.0000,1.0
2020-11-10,3.2,3.24,3.14,3.15,3.15,488922,0.0000,1.0
2020-11-09,3.09,3.28,3.06,3.19,3.19,795323,0.0000,1.0
2020-11-06,3.03,3.06,2.99,3.02,3.02,405409,0.0000,1.0
2020-11-05,2.93,3.06,2.92,3.05,3.05,410213,0.0000,1.0
2020-11-04,2.94,3.01,2.84,2.9,2.9,568986,0.0000,1.0
2020-11-03,2.91,2.96,2.89,2.92,2.92,228035,0.0000,1.0
2020-11-02,2.93,2.98,2.88,2.88,2.88,185075,0.0000,1.0
2020-10-30,2.96,2.9799,2.85,2.91,2.91,332714,0.0000,1.0
2020-10-29,2.87,2.95,2.8,2.93,2.93,276953,0.0000,1.0
2020-10-28,3.0,3.0052,2.8479,2.85,2.85,749669,0.0000,1.0
2020-10-27,3.03,3.07,3.0,3.0,3.0,237349,0.0000,1.0
2020-10-26,3.04,3.07,3.02,3.05,3.05,283282,0.0000,1.0
2020-10-23,3.06,3.097,3.05,3.08,3.08,364122,0.0000,1.0
2020-10-22,3.1,3.12,3.05,3.06,3.06,398329,0.0000,1.0
2020-10-21,3.1,3.12,3.08,3.11,3.11,206508,0.0000,1.0
2020-10-20,3.1492,3.155,3.1,3.1,3.1,241531,0.0000,1.0
2020-10-19,3.18,3.2,3.09,3.12,3.12,213573,0.0000,1.0
2020-10-16,3.2,3.22,3.16,3.16,3.16,141372,0.0000,1.0
