timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,66.38,66.51,65.95,66.22,66.22,43433,0.0000,1.0
2020-12-10,66.56,66.87,66.56,66.78,66.78,15924,0.0000,1.0
2020-12-09,67.48,67.48,66.38,66.82,66.82,40395,0.0000,1.0
2020-12-08,65.91,66.94,65.67,66.9141,66.9141,20073,0.0000,1.0
2020-12-07,66.64,66.64,65.92,66.04,66.04,24591,0.0000,1.0
2020-12-04,65.93,66.51,65.93,66.45,66.45,17964,0.0000,1.0
2020-12-03,65.66,65.88,65.32,65.62,65.62,25331,0.0000,1.0
2020-12-02,65.42,65.91,65.35,65.67,65.67,92833,0.0000,1.0
2020-12-01,65.48,65.65,65.16,65.32,65.32,11154,0.0000,1.0
2020-11-30,65.59,65.66,64.94,65.04,65.04,22228,0.0000,1.0
2020-11-27,65.04,65.42,65.04,65.35,65.35,33900,0.0000,1.0
2020-11-25,64.71,64.81,64.385,64.81,64.81,11970,0.0000,1.0
2020-11-24,64.92,65.11,64.75,64.86,64.86,106184,0.0000,1.0
2020-11-23,64.94,64.94,64.42,64.66,64.66,22869,0.0000,1.0
2020-11-20,65.09,65.13,64.74,64.83,64.83,22697,0.0000,1.0
2020-11-19,64.54,64.9,64.18,64.9,64.9,6184,0.0000,1.0
2020-11-18,65.48,65.525,64.34,64.34,64.34,13625,0.0000,1.0
2020-11-17,65.19,65.26,64.78,65.07,65.07,52926,0.0000,1.0
2020-11-16,65.89,65.89,65.0,65.34,65.34,23407,0.0000,1.0
2020-11-13,64.69,65.5399,64.69,65.4,65.4,14231,0.0000,1.0
2020-11-12,64.9,64.9,64.23,64.49,64.49,21475,0.0000,1.0
2020-11-11,65.82,65.82,64.9403,65.15,65.15,16882,0.0000,1.0
2020-11-10,64.93,65.53,64.59,65.24,65.24,29868,0.0000,1.0
2020-11-09,65.72,65.99,64.37,64.42,64.42,79817,0.0000,1.0
2020-11-06,63.6,63.76,63.19,63.4,63.4,29015,0.0000,1.0
2020-11-05,64.33,64.72,63.68,63.78,63.78,39315,0.0000,1.0
2020-11-04,62.45,64.63,62.45,63.88,63.88,637100,0.0000,1.0
2020-11-03,61.13,61.57,61.02,61.15,61.15,122728,0.0000,1.0
2020-11-02,59.54,60.23,59.54,60.19,60.19,378951,0.0000,1.0
2020-10-30,58.95,59.01,58.35,58.91,58.91,82024,0.0000,1.0
2020-10-29,59.39,59.465,58.4,59.11,59.11,38834,0.0000,1.0
2020-10-28,59.93,60.09,59.09,59.1616,59.1616,34274,0.0000,1.0
2020-10-27,61.45,61.5385,60.74,60.74,60.74,10066,0.0000,1.0
