timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,146.86,147.91,145.77,147.06,147.06,22668,0.0000,1.0
2020-12-10,146.33,148.1,145.47,148.01,148.01,21694,0.0000,1.0
2020-12-09,148.44,149.1605,146.005,147.23,147.23,32189,0.0000,1.0
2020-12-08,146.1,147.9399,146.1,147.83,147.83,32641,0.0000,1.0
2020-12-07,146.45,146.7945,145.74,146.2,146.2,17848,0.0000,1.0
2020-12-04,144.27,146.82,144.27,146.74,146.74,24083,0.0000,1.0
2020-12-03,142.65,144.0848,142.361,143.25,143.25,22410,0.0000,1.0
2020-12-02,141.42,142.67,140.665,142.4,142.4,27902,0.0000,1.0
2020-12-01,142.562,142.87,141.31,142.02,142.02,23030,0.0000,1.0
2020-11-30,142.645,142.79,139.96,140.4,140.4,25378,0.0000,1.0
2020-11-27,143.08,143.16,142.3601,143.05,143.05,11296,0.0000,1.0
2020-11-25,143.52,143.52,141.72,142.843,142.843,13726,0.0000,1.0
2020-11-24,142.32,144.0299,142.01,143.6,143.6,32669,0.0000,1.0
2020-11-23,139.12,141.25,138.73,140.75,140.75,17243,0.0000,1.0
2020-11-20,137.25,137.87,136.845,137.76,137.76,20263,0.0000,1.0
2020-11-19,136.21,137.58,135.89,137.57,137.57,10190,0.0000,1.0
2020-11-18,138.375,139.07,136.47,136.47,136.47,18437,0.0000,1.0
2020-11-17,135.87,138.2473,135.01,137.935,137.935,52477,0.0000,1.0
2020-11-16,136.12,137.24,135.46,137.23,137.23,24756,0.0000,1.0
2020-11-13,131.65,133.89,131.65,133.63,133.63,18237,0.0000,1.0
2020-11-12,131.96,132.459,129.73,130.6937,130.6937,33953,0.0000,1.0
2020-11-11,133.98,133.98,131.97,132.9452,132.9452,16533,0.0000,1.0
2020-11-10,131.79,133.48,131.32,133.02,133.02,22899,0.0000,1.0
2020-11-09,134.06,134.94,130.9114,130.94,130.94,54658,0.0000,1.0
2020-11-06,128.21,128.21,126.84,126.86,126.86,31342,0.0000,1.0
2020-11-05,125.73,128.47,125.73,128.14,128.14,28015,0.0000,1.0
2020-11-04,124.07,125.77,122.8986,124.355,124.355,48903,0.0000,1.0
2020-11-03,123.38,125.6,123.38,125.1,125.1,23253,0.0000,1.0
2020-11-02,120.83,121.94,120.4875,121.94,121.94,70736,0.0000,1.0
2020-10-30,120.38,121.15,118.58,119.48,119.48,93136,0.0000,1.0
2020-10-29,119.96,121.64,118.8901,121.3036,121.3036,54102,0.0000,1.0
2020-10-28,120.91,121.835,119.89,119.9712,119.9712,41773,0.0000,1.0
2020-10-27,125.02,125.2114,123.69,123.7,123.7,25094,0.0000,1.0
2020-10-26,126.11,126.3,123.68,125.16,125.16,23158,0.0000,1.0
2020-10-23,127.56,127.96,126.76,127.94,127.94,46703,0.0000,1.0
2020-10-22,125.47,127.2722,125.44,127.18,127.18,22731,0.0000,1.0
2020-10-21,126.48,126.8,125.39,125.4826,125.4826,25147,0.0000,1.0
2020-10-20,126.23,127.58,126.18,126.4075,126.4075,19035,0.0000,1.0
2020-10-19,127.36,128.09,125.39,125.51,125.51,26730,0.0000,1.0
2020-10-16,127.83,127.88,127.1515,127.26,127.26,17770,0.0000,1.0
2020-10-15,124.2,127.7299,124.2,127.4544,127.4544,26587,0.0000,1.0
2020-10-14,126.88,127.89,125.99,126.05,126.05,32719,0.0000,1.0
2020-10-13,127.0,127.3,126.37,126.91,126.91,15770,0.0000,1.0
2020-10-12,127.39,127.98,127.01,127.83,127.83,34760,0.0000,1.0
2020-10-09,127.38,127.53,126.5001,126.9538,126.9538,19217,0.0000,1.0
2020-10-08,125.79,126.36,125.43,126.36,126.36,38655,0.0000,1.0
2020-10-07,123.91,125.05,123.91,124.69,124.69,27817,0.0000,1.0
2020-10-06,123.49,125.66,122.45,122.5442,122.5442,44905,0.0000,1.0
2020-10-05,121.03,123.01,121.03,122.87,122.87,16921,0.0000,1.0
2020-10-02,116.45,120.37,116.45,120.05,120.05,38723,0.0000,1.0
2020-10-01,117.65,118.92,117.1653,118.92,118.92,20531,0.0000,1.0
2020-09-30,116.93,118.49,116.76,117.0912,117.0912,21484,0.0000,1.0
2020-09-29,117.01,117.45,115.82,116.8,116.8,14400,0.0000,1.0
2020-09-28,115.88,117.6121,115.88,117.34,117.34,19203,0.0000,1.0
2020-09-25,112.35,114.64,112.35,114.2709,114.2709,30942,0.0000,1.0
2020-09-24,112.61,114.751,111.39,113.02,113.02,56532,0.0000,1.0
2020-09-23,116.25,117.08,112.98,112.98,112.98,110723,0.0000,1.0
2020-09-22,115.89,116.42,114.761,116.2744,116.2744,27278,0.0000,1.0
2020-09-21,116.72,116.86,114.29,115.45,115.45,50441,0.3561,1.0
