timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,7.2,7.27,6.82,6.82,6.82,427393,0.0000,1.0
2020-12-10,7.0,7.17,6.89,7.1,7.1,295356,0.0000,1.0
2020-12-09,7.05,7.1,6.8,6.94,6.94,326768,0.0000,1.0
2020-12-08,6.85,7.05,6.73,7.04,7.04,249863,0.0000,1.0
2020-12-07,6.93,7.0,6.55,6.89,6.89,332608,0.0000,1.0
2020-12-04,6.84,7.105,6.7601,6.92,6.92,485867,0.0000,1.0
2020-12-03,6.71,6.86,6.63,6.81,6.81,347090,0.0000,1.0
2020-12-02,6.48,6.71,6.41,6.69,6.69,436206,0.0000,1.0
2020-12-01,6.17,6.53,6.06,6.47,6.47,534065,0.0000,1.0
2020-11-30,6.17,6.22,6.09,6.19,6.19,332509,0.0000,1.0
2020-11-27,6.12,6.22,6.11,6.2,6.2,168630,0.0000,1.0
2020-11-25,6.01,6.21,6.0,6.09,6.09,299929,0.0000,1.0
2020-11-24,6.21,6.21,5.9002,6.08,6.08,343277,0.0000,1.0
2020-11-23,6.2,6.34,6.11,6.14,6.14,443352,0.0000,1.0
2020-11-20,6.08,6.27,5.99,6.17,6.17,227376,0.0000,1.0
2020-11-19,5.93,6.26,5.93,6.15,6.15,272147,0.0000,1.0
2020-11-18,6.19,6.2587,5.97,5.97,5.97,280862,0.0000,1.0
2020-11-17,6.17,6.33,6.05,6.18,6.18,352593,0.0000,1.0
2020-11-16,5.98,6.25,5.84,6.21,6.21,444624,0.0000,1.0
2020-11-13,5.97,6.23,5.84,5.87,5.87,394677,0.0000,1.0
2020-11-12,6.17,6.23,5.91,5.95,5.95,559761,0.0000,1.0
2020-11-11,5.94,6.18,5.81,6.18,6.18,592818,0.0000,1.0
2020-11-10,5.65,6.0,5.56,5.97,5.97,419923,0.0000,1.0
2020-11-09,5.96,6.0,5.41,5.55,5.55,534070,0.0000,1.0
2020-11-06,5.14,5.69,5.14,5.61,5.61,857410,0.0000,1.0
2020-11-05,4.91,5.06,4.76,5.03,5.03,321790,0.0000,1.0
2020-11-04,4.66,4.95,4.66,4.93,4.93,188975,0.0000,1.0
2020-11-03,4.62,4.69,4.51,4.66,4.66,221598,0.0000,1.0
2020-11-02,4.81,4.91,4.52,4.58,4.58,261757,0.0000,1.0
2020-10-30,4.86,4.94,4.63,4.77,4.77,350159,0.0000,1.0
2020-10-29,4.78,4.92,4.68,4.88,4.88,202314,0.0000,1.0
2020-10-28,4.69,4.98,4.62,4.78,4.78,483918,0.0000,1.0
2020-10-27,4.76,4.9133,4.74,4.81,4.81,389185,0.0000,1.0
2020-10-26,4.97,5.0,4.64,4.75,4.75,273721,0.0000,1.0
2020-10-23,5.13,5.13,4.92,4.95,4.95,213124,0.0000,1.0
2020-10-22,4.93,5.21,4.86,5.12,5.12,256694,0.0000,1.0
2020-10-21,4.92,5.07,4.79,4.92,4.92,345786,0.0000,1.0
2020-10-20,5.08,5.19,4.78,4.86,4.86,497862,0.0000,1.0
2020-10-19,5.14,5.45,5.05,5.06,5.06,172490,0.0000,1.0
2020-10-16,5.15,5.23,5.095,5.11,5.11,325078,0.0000,1.0
2020-10-15,5.03,5.15,4.9119,5.12,5.12,357084,0.0000,1.0
2020-10-14,5.49,5.49,5.03,5.09,5.09,557928,0.0000,1.0
