timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.45,5.47,5.4,5.47,5.47,1396091,0.0000,1.0
2020-12-10,5.43,5.45,5.38,5.44,5.44,1489359,0.0000,1.0
2020-12-09,5.45,5.45,5.405,5.43,5.43,1643590,0.0000,1.0
2020-12-08,5.42,5.44,5.4,5.42,5.42,1151461,0.0000,1.0
2020-12-07,5.46,5.47,5.36,5.4,5.4,1330994,0.0000,1.0
2020-12-04,5.44,5.49,5.42,5.42,5.42,1807591,0.0000,1.0
2020-12-03,5.35,5.42,5.31,5.41,5.41,1542411,0.0000,1.0
2020-12-02,5.34,5.37,5.3,5.32,5.32,1638066,0.0000,1.0
2020-12-01,5.38,5.4171,5.33,5.34,5.34,1737431,0.0000,1.0
2020-11-30,5.5,5.52,5.32,5.34,5.34,2207442,0.0000,1.0
2020-11-27,5.51,5.55,5.465,5.51,5.51,1221568,0.0600,1.0
2020-11-25,5.45,5.54,5.41,5.53,5.47043087971,2668339,0.0000,1.0
2020-11-24,5.3633,5.52,5.3633,5.43,5.37150807899,2918305,0.0000,1.0
2020-11-23,5.3,5.36,5.29,5.33,5.27258527828,1810196,0.0000,1.0
2020-11-20,5.3,5.35,5.23,5.27,5.21323159785,2417220,0.0000,1.0
2020-11-19,5.26,5.325,5.17,5.3,5.24290843806,1623706,0.0000,1.0
2020-11-18,5.21,5.28,5.2,5.26,5.20333931777,1616712,0.0000,1.0
2020-11-17,5.2,5.25,5.18,5.19,5.13409335727,1516844,0.0000,1.0
2020-11-16,5.19,5.23,5.17,5.21,5.15387791741,2073188,0.0000,1.0
2020-11-13,5.13,5.14,5.0823,5.13,5.07473967684,1460320,0.0000,1.0
2020-11-12,5.15,5.16,5.075,5.09,5.03517055655,1799474,0.0000,1.0
2020-11-11,5.17,5.23,5.12,5.18,5.1242010772,2113333,0.0000,1.0
2020-11-10,5.02,5.19,5.02,5.18,5.1242010772,2864207,0.0000,1.0
2020-11-09,5.0365,5.09,5.01,5.01,4.95603231598,2141018,0.0000,1.0
2020-11-06,5.04,5.04,4.97,4.97,4.91646319569,1483459,0.0000,1.0
2020-11-05,4.98,5.075,4.98,5.03,4.97581687612,1317259,0.0000,1.0
2020-11-04,5.0,5.05,4.97,4.99,4.93624775583,1150738,0.0000,1.0
2020-11-03,5.03,5.057,5.0,5.01,4.95603231598,1858052,0.0000,1.0
2020-11-02,4.99,5.05,4.96,5.03,4.97581687612,2239708,0.0000,1.0
2020-10-30,5.01,5.0252,4.91,4.95,4.89667863555,1916089,0.0000,1.0
2020-10-29,5.04,5.06,4.99,5.01,4.95603231598,2653568,0.0600,1.0
2020-10-28,5.17,5.205,5.08,5.1,4.98535795098,3178996,0.0000,1.0
2020-10-27,5.19,5.23,5.17,5.22,5.10266049101,1695016,0.0000,1.0
2020-10-26,5.18,5.2,5.13,5.19,5.073334856,1347086,0.0000,1.0
2020-10-23,5.19,5.2,5.16,5.17,5.05378443266,999681,0.0000,1.0
2020-10-22,5.14,5.17,5.11,5.16,5.044009221,1098913,0.0000,1.0
2020-10-21,5.16,5.17,5.095,5.1,4.98535795098,1254828,0.0000,1.0
2020-10-20,5.17,5.2,5.14,5.14,5.02445879766,1165876,0.0000,1.0
2020-10-19,5.17,5.2,5.16,5.16,5.044009221,1325883,0.0000,1.0
2020-10-16,5.17,5.19,5.15,5.16,5.044009221,727389,0.0000,1.0
2020-10-15,5.14,5.18,5.13,5.16,5.044009221,673150,0.0000,1.0
2020-10-14,5.19,5.19,5.16,5.16,5.044009221,965881,0.0000,1.0
2020-10-13,5.17,5.18,5.14,5.17,5.05378443266,807958,0.0000,1.0
2020-10-12,5.16,5.17,5.14,5.16,5.044009221,860674,0.0000,1.0
2020-10-09,5.19,5.2,5.16,5.17,5.05378443266,785010,0.0000,1.0
2020-10-08,5.18,5.2,5.1616,5.19,5.073334856,1103594,0.0000,1.0
2020-10-07,5.17,5.2,5.16,5.17,5.05378443266,912149,0.0000,1.0
2020-10-06,5.15,5.2,5.13,5.17,5.05378443266,1651505,0.0000,1.0
2020-10-05,5.08,5.15,5.08,5.15,5.03423400933,968998,0.0000,1.0
2020-10-02,5.02,5.13,5.01,5.1,4.98535795098,1159622,0.0000,1.0
2020-10-01,5.04,5.09,5.03,5.08,4.96580752765,887473,0.0000,1.0
2020-09-30,5.04,5.05,5.01,5.03,4.9169314693,1447194,0.0000,1.0
2020-09-29,5.11,5.11,5.01,5.02,4.90715625764,1191123,0.0600,1.0
2020-09-28,5.08,5.18,5.06,5.12,4.94579528329,1881345,0.0000,1.0
2020-09-25,4.99,5.05,4.975,5.05,4.8781769884,1043219,0.0000,1.0
2020-09-24,4.96,5.01,4.935,4.96,4.79123918068,1669374,0.0000,1.0
2020-09-23,5.05,5.08,4.96,4.98,4.81055869351,1709272,0.0000,1.0
2020-09-22,5.07,5.1,5.04,5.04,4.86851723198,1476504,0.0000,1.0
2020-09-21,5.06,5.09,5.04,5.055,4.8830068666,1544314,0.0000,1.0
2020-09-18,5.08,5.11,5.05,5.11,4.93613552687,2491872,0.0000,1.0
2020-09-17,5.06,5.09,5.05,5.07,4.89749650122,1226912,0.0000,1.0
2020-09-16,5.01,5.08,5.0,5.07,4.89749650122,1260395,0.0000,1.0
2020-09-15,5.02,5.04,4.99,4.99,4.82021844992,1258278,0.0000,1.0
2020-09-14,5.0,5.09,5.0,5.02,4.84919771916,1677475,0.0000,1.0
2020-09-11,5.02,5.0398,5.0,5.01,4.83953796275,785427,0.0000,1.0
2020-09-10,5.03,5.05,5.0,5.01,4.83953796275,715257,0.0000,1.0
2020-09-09,5.02,5.06,5.0,5.02,4.84919771916,964084,0.0000,1.0
2020-09-08,5.01,5.06,5.0,5.03,4.85885747557,1008042,0.0000,1.0
2020-09-04,5.06,5.08,4.965,5.03,4.85885747557,1936149,0.0000,1.0
2020-09-03,5.06,5.11,5.05,5.06,4.88783674481,1552305,0.0000,1.0
2020-09-02,5.06,5.12,5.04,5.1,4.92647577046,1631161,0.0000,1.0
2020-09-01,5.08,5.1,5.05,5.06,4.88783674481,1460458,0.0000,1.0
2020-08-31,5.08,5.12,5.07,5.1,4.92647577046,1402137,0.0000,1.0
2020-08-28,5.1,5.13,5.075,5.08,4.90715625764,1679664,0.0600,1.0
2020-08-27,5.1,5.24,5.09,5.13,4.89760926103,2363899,0.0000,1.0
2020-08-26,5.14,5.17,5.09,5.12,4.88806226442,1815890,0.0000,1.0
2020-08-25,5.18,5.1967,5.14,5.17,4.93579724747,863417,0.0000,1.0
2020-08-24,5.11,5.21,5.1,5.17,4.93579724747,1336638,0.0000,1.0
2020-08-21,5.12,5.14,5.08,5.1,4.86896827119,1722447,0.0000,1.0
2020-08-20,5.12,5.17,5.1,5.13,4.89760926103,1569607,0.0000,1.0
2020-08-19,5.1,5.14,5.092,5.12,4.88806226442,925125,0.0000,1.0
2020-08-18,5.09,5.12,5.08,5.12,4.88806226442,1039812,0.0000,1.0
2020-08-17,5.07,5.12,5.05,5.12,4.88806226442,813786,0.0000,1.0
2020-08-14,5.05,5.13,5.04,5.1,4.86896827119,595158,0.0000,1.0
2020-08-13,5.13,5.16,5.04,5.08,4.84987427797,1137173,0.0000,1.0
2020-08-12,5.17,5.27,5.12,5.16,4.92625025086,1390002,0.0000,1.0
2020-08-11,5.15,5.2,5.15,5.16,4.92625025086,1349992,0.0000,1.0
2020-08-10,5.06,5.16,5.06,5.13,4.89760926103,1248792,0.0000,1.0
2020-08-07,4.97,5.07,4.97,5.07,4.84032728136,1170400,0.0000,1.0
2020-08-06,5.0,5.03,4.99,5.02,4.79259229831,1073075,0.0000,1.0
2020-08-05,4.98,5.03,4.9639,5.0,4.77349830509,1294338,0.0000,1.0
2020-08-04,5.0,5.0,4.95,5.0,4.77349830509,1036832,0.0000,1.0
2020-08-03,4.99,5.01,4.965,4.97,4.74485731526,1732849,0.0000,1.0
2020-07-31,5.0,5.05,4.97,5.01,4.7830453017,1291496,0.0000,1.0
2020-07-30,5.05,5.06,4.97,5.0,4.77349830509,1170320,0.0600,1.0
2020-07-29,5.07,5.13,5.06,5.13,4.83953484291,1227123,0.0000,1.0
2020-07-28,5.07,5.18,5.07,5.09,4.80179967844,1439033,0.0000,1.0
2020-07-27,5.04,5.09,5.01,5.08,4.79236588733,981232,0.0000,1.0
2020-07-24,5.03,5.07,5.02,5.04,4.75463072286,957482,0.0000,1.0
2020-07-23,5.05,5.11,5.01,5.05,4.76406451398,1597613,0.0000,1.0
2020-07-22,4.97,5.05,4.955,5.05,4.76406451398,834348,0.0000,1.0
2020-07-21,4.95,5.01,4.95,4.99,4.70746176728,1235468,0.0000,1.0
2020-07-20,4.92,4.97,4.88,4.97,4.68859418504,1113273,0.0000,1.0
2020-07-17,4.92,4.99,4.91,4.91,4.63199143834,823855,0.0000,1.0
2020-07-16,4.92,5.01,4.91,4.95,4.66972660281,904176,0.0000,1.0
2020-07-15,4.95,5.02,4.91,4.94,4.66029281169,1200268,0.0000,1.0
2020-07-14,4.82,4.95,4.79,4.94,4.66029281169,1307101,0.0000,1.0
2020-07-13,4.77,4.88,4.76,4.82,4.54708731829,1273190,0.0000,1.0
2020-07-10,4.69,4.78,4.68,4.75,4.48105078047,1125177,0.0000,1.0
2020-07-09,4.86,4.9,4.67,4.68,4.41501424266,2257857,0.0000,1.0
2020-07-08,4.84,4.86,4.8,4.86,4.58482248276,984902,0.0000,1.0
2020-07-07,4.75,4.92,4.74,4.8,4.52821973606,2945310,0.0000,1.0
2020-07-06,5.1,5.12,4.75,4.76,4.49048457159,4107762,0.0000,1.0
2020-07-02,5.1,5.12,5.03,5.05,4.76406451398,1421796,0.0000,1.0
2020-07-01,5.1,5.13,5.04,5.06,4.77349830509,940071,0.0000,1.0
2020-06-30,5.05,5.14,5.04,5.11,4.82066726068,1197294,0.0000,1.0
2020-06-29,5.05,5.1281,5.02,5.07,4.78293209621,1833518,0.0600,1.0
2020-06-26,5.09,5.1,5.03,5.07,4.72699136994,2578275,0.0000,1.0
2020-06-25,5.22,5.22,5.03,5.05,4.70834446118,2973693,0.0000,1.0
2020-06-24,5.3,5.33,5.22,5.27,4.91346045751,2188687,0.0000,1.0
2020-06-23,5.32,5.34,5.29,5.3,4.94143082065,1560691,0.0000,1.0
2020-06-22,5.38,5.39,5.29,5.29,4.93210736627,1602835,0.0000,1.0
2020-06-19,5.45,5.5,5.34,5.35,4.98804809254,3499028,0.0000,1.0
2020-06-18,5.38,5.47,5.31,5.4,5.03466536443,1445968,0.0000,1.0
2020-06-17,5.39,5.41,5.32,5.38,5.01601845567,1405803,0.0000,1.0
2020-06-16,5.4,5.43,5.3,5.38,5.01601845567,1700198,0.0000,1.0
2020-06-15,5.35,5.35,5.23,5.28,4.92278391189,2733953,0.0000,1.0
2020-06-12,5.51,5.64,5.3,5.47,5.09992954508,2220366,0.0000,1.0
2020-06-11,5.3,5.56,5.25,5.45,5.08128263632,3913735,0.0000,1.0
2020-06-10,5.67,5.67,5.38,5.55,5.17451718011,2688052,0.0000,1.0
2020-06-09,5.7,5.76,5.58,5.67,5.28639863265,1811532,0.0000,1.0
2020-06-08,5.5,5.79,5.5,5.74,5.3516628133,2911761,0.0000,1.0
2020-06-05,5.5,5.6,5.42,5.45,5.08128263632,2538938,0.0000,1.0
2020-06-04,5.44,5.51,5.37,5.42,5.05331227319,1651022,0.0000,1.0
2020-06-03,5.32,5.53,5.3,5.47,5.09992954508,2210945,0.0000,1.0
2020-06-02,5.22,5.31,5.21,5.27,4.91346045751,2271563,0.0000,1.0
2020-06-01,5.12,5.23,5.05,5.2,4.84819627686,1465517,0.0000,1.0
2020-05-29,5.17,5.2,4.98,5.07,4.72699136994,2957308,0.0000,1.0
2020-05-28,5.43,5.45,5.16,5.21,4.85751973124,2399009,0.0600,1.0
2020-05-27,5.51,5.52,5.29,5.46,5.0326485261,2981238,0.0000,1.0
2020-05-26,5.28,5.47,5.23,5.36,4.94047547617,3306425,0.0000,1.0
2020-05-22,4.9,5.14,4.88,5.08,4.68239093637,3279037,0.0000,1.0
2020-05-21,4.86,4.93,4.83,4.87,4.48882753152,2200777,0.0000,1.0
2020-05-20,4.6,4.83,4.54,4.83,4.45195831155,2614403,0.0000,1.0
2020-05-19,4.53,4.66,4.49,4.49,4.1385699418,2685851,0.0000,1.0
2020-05-18,4.44,4.54,4.44,4.5,4.14778724679,1994499,0.0000,1.0
2020-05-15,4.4,4.45,4.37,4.41,4.06483150185,2068382,0.0000,1.0
2020-05-14,4.2,4.46,4.11,4.46,4.11091802682,3225363,0.0000,1.0
2020-05-13,4.29,4.3,4.17,4.2,3.871268097,2784576,0.0000,1.0
2020-05-12,4.22,4.56,4.14,4.32,3.98187575692,6374938,0.0000,1.0
2020-05-11,4.07,4.07,3.95,3.98,3.66848738716,2757242,0.0000,1.0
2020-05-08,4.08,4.13,4.02,4.08,3.76066043709,1564683,0.0000,1.0
2020-05-07,4.0,4.11,4.0,4.04,3.72379121712,1658601,0.0000,1.0
2020-05-06,4.05,4.05,3.95,4.0,3.68692199714,1637159,0.0000,1.0
2020-05-05,4.08,4.14,3.96,4.0,3.68692199714,2253266,0.0000,1.0
2020-05-04,4.07,4.09,3.96,3.98,3.66848738716,1759676,0.0000,1.0
2020-05-01,4.26,4.26,4.07,4.08,3.76066043709,1611643,0.0000,1.0
2020-04-30,4.41,4.41,4.26,4.34,4.0003103669,2037940,0.0000,1.0
2020-04-29,4.38,4.53,4.29,4.46,4.11091802682,3150652,0.0600,1.0
2020-04-28,4.4,4.48,4.26,4.3,3.91082909631,2501142,0.0000,1.0
2020-04-27,4.24,4.4,4.2,4.36,3.96539880463,2963685,0.0000,1.0
2020-04-24,4.05,4.2,4.0,4.2,3.81987958244,2698888,0.0000,1.0
2020-04-23,3.87,4.03,3.82,4.0,3.6379805547,3169092,0.0000,1.0
2020-04-22,3.87,3.87,3.78,3.81,3.46517647836,1982281,0.0000,1.0
2020-04-21,3.9,3.94,3.78,3.82,3.47427142974,4676937,0.0000,1.0
2020-04-20,4.02,4.07,3.9,3.92,3.56522094361,4472806,0.0000,1.0
2020-04-17,4.25,4.26,4.12,4.17,3.79259472828,3223056,0.0000,1.0
2020-04-16,4.25,4.25,4.1,4.11,3.73802501996,1877048,0.0000,1.0
2020-04-15,4.35,4.35,4.15,4.24,3.85625938799,2270171,0.0000,1.0
2020-04-14,4.51,4.57,4.33,4.45,4.04725336711,2388118,0.0000,1.0
2020-04-13,4.55,4.56,4.21,4.45,4.04725336711,4805088,0.0000,1.0
2020-04-09,4.23,4.74,4.23,4.55,4.13820288098,8169557,0.0000,1.0
2020-04-08,3.91,4.21,3.91,4.13,3.75621492273,4452334,0.0000,1.0
2020-04-07,3.97,4.15,3.87,3.89,3.53793608945,3997777,0.0000,1.0
2020-04-06,3.9,3.99,3.77,3.78,3.4378916242,4070554,0.0000,1.0
2020-04-03,4.0,4.06,3.68,3.83,3.48336638113,4069765,0.0000,1.0
2020-04-02,4.0,4.08,3.92,4.08,3.7107401658,2483945,0.0000,1.0
2020-04-01,4.1,4.14,3.94,3.94,3.58341084638,4115716,0.0000,1.0
2020-03-31,4.35,4.4,4.21,4.25,3.86535433937,2964565,0.0000,1.0
2020-03-30,4.5,4.5,4.34,4.38,3.9835887074,2995091,0.0600,1.0
2020-03-27,4.72,4.85,4.49,4.49,4.02844894059,3835187,0.0000,1.0
2020-03-26,4.47,4.97,4.46,4.82,4.32452647966,4682453,0.0000,1.0
2020-03-25,4.3,4.85,4.26,4.4,3.94770052085,5671436,0.0000,1.0
2020-03-24,4.44,4.75,4.19,4.2,3.76825958808,4758047,0.0000,1.0
2020-03-23,4.76,4.8,4.02,4.04,3.62470684187,7455167,0.0000,1.0
2020-03-20,5.02,5.15,4.73,4.8,4.30658238638,11210157,0.0000,1.0
2020-03-19,4.62,5.01,4.43,5.01,4.49499536578,7824636,0.0000,1.0
2020-03-18,4.55,4.9,4.06,4.64,4.16302964017,13337164,0.0000,1.0
2020-03-17,4.78,5.09,4.78,4.9,4.39630285276,12207556,0.0000,1.0
2020-03-16,4.46,5.0,4.4,4.71,4.22583396664,10058475,0.0000,1.0
