timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,0.65,0.66,0.612601,0.6489,0.6489,1088589,0.0000,1.0
2020-12-10,0.66,0.66,0.64,0.6549,0.6549,840299,0.0000,1.0
2020-12-09,0.7,0.7,0.64,0.66,0.66,1162953,0.0000,1.0
2020-12-08,0.67,0.69,0.66,0.6799,0.6799,645927,0.0000,1.0
2020-12-07,0.684,0.7,0.662,0.6701,0.6701,829362,0.0000,1.0
2020-12-04,0.69,0.7,0.675,0.686,0.686,878837,0.0000,1.0
2020-12-03,0.704,0.715,0.6901,0.6901,0.6901,573855,0.0000,1.0
2020-12-02,0.71,0.72,0.6867,0.706,0.706,1039676,0.0000,1.0
2020-12-01,0.74,0.74,0.6851,0.6999,0.6999,1112098,0.0000,1.0
2020-11-30,0.711,0.74,0.68,0.72,0.72,2324852,0.0000,1.0
2020-11-27,0.66,0.716,0.64,0.6915,0.6915,2091442,0.0000,1.0
2020-11-25,0.67,0.67,0.637,0.6482,0.6482,1565990,0.0000,1.0
2020-11-24,0.675,0.69,0.621,0.668,0.668,3844434,0.0000,1.0
2020-11-23,0.5798,0.7,0.553,0.671,0.671,20561913,0.0000,1.0
2020-11-20,0.969,0.969,0.892355,0.9199,0.9199,655741,0.0000,1.0
2020-11-19,0.84,1.1,0.8356,0.9671,0.9671,3832047,0.0000,1.0
2020-11-18,0.8438,0.8543,0.8181,0.8496,0.8496,303140,0.0000,1.0
2020-11-17,0.8355,0.8553,0.821,0.84,0.84,318405,0.0000,1.0
2020-11-16,0.8,0.8488,0.7951,0.8338,0.8338,401592,0.0000,1.0
2020-11-13,0.809,0.815,0.79,0.803,0.803,399870,0.0000,1.0
2020-11-12,0.8035,0.82,0.7966,0.8188,0.8188,349117,0.0000,1.0
2020-11-11,0.8335,0.8388,0.781674,0.81,0.81,445274,0.0000,1.0
2020-11-10,0.85,0.85,0.78,0.8388,0.8388,646439,0.0000,1.0
2020-11-09,0.97,1.0,0.72,0.8124,0.8124,3000396,0.0000,1.0
2020-11-06,0.9,1.01,0.8901,0.9599,0.9599,876233,0.0000,1.0
2020-11-05,0.9255,0.94,0.89,0.9001,0.9001,372177,0.0000,1.0
2020-11-04,0.92,0.9698,0.9149,0.923,0.923,110607,0.0000,1.0
2020-11-03,0.9505,0.9745,0.92,0.93,0.93,246630,0.0000,1.0
2020-11-02,1.02,1.02,0.9232,0.9565,0.9565,339548,0.0000,1.0
2020-10-30,0.9866,1.04,0.96,0.989,0.989,395509,0.0000,1.0
2020-10-29,0.9899,1.0,0.98,0.9897,0.9897,493097,0.0000,1.0
2020-10-28,1.03,1.03,0.98,0.9915,0.9915,578788,0.0000,1.0
2020-10-27,1.0842,1.09,0.986,1.03,1.03,1254964,0.0000,1.0
2020-10-26,1.0,1.23,0.984901,1.13,1.13,6687117,0.0000,1.0
2020-10-23,1.02,1.02,0.9799,0.9995,0.9995,155024,0.0000,1.0
2020-10-22,1.01,1.03,0.98,0.9994,0.9994,311981,0.0000,1.0
2020-10-21,1.03,1.07,0.98,1.0,1.0,613224,0.0000,1.0
2020-10-20,1.01,1.04,1.0,1.02,1.02,171858,0.0000,1.0
2020-10-19,1.03,1.069,1.0,1.01,1.01,303847,0.0000,1.0
2020-10-16,1.08,1.1,1.05,1.07,1.07,148054,0.0000,1.0
2020-10-15,1.08,1.1045,1.0399,1.09,1.09,143349,0.0000,1.0
2020-10-14,1.09,1.13,1.07,1.08,1.08,110965,0.0000,1.0
2020-10-13,1.05,1.15,1.05,1.12,1.12,242857,0.0000,1.0
2020-10-12,1.09,1.1,1.04,1.05,1.05,183019,0.0000,1.0
2020-10-09,1.15,1.15,1.06,1.08,1.08,265173,0.0000,1.0
2020-10-08,1.15,1.1676,1.09,1.12,1.12,363736,0.0000,1.0
2020-10-07,1.06,1.16,1.06,1.13,1.13,328020,0.0000,1.0
2020-10-06,1.05,1.1,1.0456,1.05,1.05,314093,0.0000,1.0
2020-10-05,1.06,1.06,1.0152,1.04,1.04,110754,0.0000,1.0
2020-10-02,1.01,1.0478,0.9901,1.03,1.03,203954,0.0000,1.0
2020-10-01,1.05,1.07,1.02,1.03,1.03,107111,0.0000,1.0
2020-09-30,1.01,1.07,1.01,1.04,1.04,145112,0.0000,1.0
2020-09-29,1.01,1.05,1.01,1.02,1.02,127679,0.0000,1.0
2020-09-28,1.03,1.05,1.01,1.03,1.03,133095,0.0000,1.0
2020-09-25,1.02,1.05,1.0,1.04,1.04,185112,0.0000,1.0
2020-09-24,1.0,1.0301,0.97,1.02,1.02,197892,0.0000,1.0
2020-09-23,1.04,1.08,1.01,1.02,1.02,148905,0.0000,1.0
2020-09-22,1.02,1.1,1.01,1.02,1.02,230753,0.0000,1.0
2020-09-21,1.09,1.16,1.05,1.05,1.05,297757,0.0000,1.0
2020-09-18,1.03,1.14,0.98,1.1,1.1,638149,0.0000,1.0
2020-09-17,1.08,1.11,1.0,1.02,1.02,183487,0.0000,1.0
2020-09-16,1.09,1.16,1.0737,1.08,1.08,240988,0.0000,1.0
2020-09-15,1.07,1.11,1.01,1.11,1.11,366286,0.0000,1.0
2020-09-14,1.02,1.08,1.0,1.05,1.05,501880,0.0000,1.0
2020-09-11,1.05,1.1,0.9807,1.02,1.02,484550,0.0000,1.0
2020-09-10,1.05,1.087,1.05,1.07,1.07,246168,0.0000,1.0
2020-09-09,1.111,1.19,1.05,1.09,1.09,745246,0.0000,1.0
2020-09-08,1.03,1.2699,1.03,1.18,1.18,4338416,0.0000,1.0
2020-09-04,1.08,1.11,0.972,1.04,1.04,415210,0.0000,1.0
2020-09-03,1.13,1.16,1.03,1.07,1.07,291777,0.0000,1.0
2020-09-02,1.16,1.18,1.08,1.125,1.125,313821,0.0000,1.0
2020-09-01,1.17,1.202,1.142,1.165,1.165,198223,0.0000,1.0
2020-08-31,1.2117,1.2354,1.17,1.21,1.21,135600,0.0000,1.0
2020-08-28,1.17,1.27,1.1658,1.22,1.22,161163,0.0000,1.0
2020-08-27,1.24,1.26,1.15,1.21,1.21,235842,0.0000,1.0
2020-08-26,1.26,1.2738,1.22,1.24,1.24,90507,0.0000,1.0
2020-08-25,1.28,1.3,1.22,1.27,1.27,133032,0.0000,1.0
2020-08-24,1.26,1.28,1.22,1.28,1.28,287610,0.0000,1.0
2020-08-21,1.38,1.42,1.2,1.26,1.26,581258,0.0000,1.0
2020-08-20,1.2,1.38,1.2,1.38,1.38,550221,0.0000,1.0
2020-08-19,1.31,1.3299,1.1899,1.22,1.22,441183,0.0000,1.0
2020-08-18,1.35,1.36,1.28,1.3,1.3,401490,0.0000,1.0
2020-08-17,1.49,1.49,1.34,1.35,1.35,647670,0.0000,1.0
2020-08-14,1.47,1.51,1.4201,1.5,1.5,324493,0.0000,1.0
2020-08-13,1.48,1.51,1.41,1.48,1.48,343892,0.0000,1.0
2020-08-12,1.45,1.52,1.4,1.45,1.45,294746,0.0000,1.0
2020-08-11,1.54,1.57,1.44,1.45,1.45,347004,0.0000,1.0
2020-08-10,1.51,1.56,1.49,1.54,1.54,321697,0.0000,1.0
2020-08-07,1.57,1.58,1.5,1.52,1.52,416259,0.0000,1.0
2020-08-06,1.72,1.72,1.48,1.6,1.6,862015,0.0000,1.0
