timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,38.05,38.19,37.9101,38.14,38.14,29631,0.0000,1.0
2020-12-10,38.26,38.32,38.13,38.24,38.24,45539,0.0000,1.0
2020-12-09,38.44,38.58,38.32,38.49,38.49,33162,0.0000,1.0
2020-12-08,37.89,38.4638,37.89,38.41,38.41,46113,0.0000,1.0
2020-12-07,38.21,38.21,38.0601,38.16,38.16,28810,0.0000,1.0
2020-12-04,38.07,38.37,38.0246,38.37,38.37,20186,0.0000,1.0
2020-12-03,37.83,38.0499,37.76,37.89,37.89,33361,0.0000,1.0
2020-12-02,37.6,37.9035,37.58,37.87,37.87,38984,0.0000,1.0
2020-12-01,37.69,38.0469,37.6699,37.68,37.68,17094,0.0000,1.0
2020-11-30,37.46,37.5,37.2582,37.34,37.34,39544,0.0000,1.0
2020-11-27,37.69,37.85,37.6107,37.63,37.63,14841,0.0000,1.0
2020-11-25,37.78,37.78,37.497,37.63,37.63,35892,0.0000,1.0
2020-11-24,37.39,37.92,37.39,37.9199,37.9199,438936,0.0000,1.0
2020-11-23,36.9,37.2099,36.88,37.1281,37.1281,15208,0.0000,1.0
2020-11-20,36.73,36.9422,36.68,36.73,36.73,37413,0.0000,1.0
2020-11-19,36.69,36.895,36.5899,36.895,36.895,26380,0.0000,1.0
2020-11-18,37.14,37.4151,36.8825,36.8825,36.8825,99691,0.0000,1.0
2020-11-17,36.96,37.2358,36.83,37.1486,37.1486,25207,0.0000,1.0
2020-11-16,37.37,37.37,37.0947,37.33,37.33,151810,0.0000,1.0
2020-11-13,36.37,36.85,36.37,36.845,36.845,21646,0.0000,1.0
2020-11-12,36.43,36.43,35.9901,36.24,36.24,24134,0.0000,1.0
2020-11-11,36.98,36.98,36.45,36.61,36.61,43318,0.0000,1.0
2020-11-10,36.23,36.7709,36.18,36.68,36.68,52597,0.0000,1.0
2020-11-09,36.59,36.97,36.16,36.17,36.17,55327,0.0000,1.0
2020-11-06,34.96,35.18,34.88,34.93,34.93,53867,0.0000,1.0
2020-11-05,34.8,35.28,34.8,35.11,35.11,34047,0.0000,1.0
2020-11-04,34.42,35.14,34.3526,34.5409,34.5409,43797,0.0000,1.0
2020-11-03,34.15,34.66,34.13,34.45,34.45,31922,0.0000,1.0
2020-11-02,33.46,33.82,33.353,33.74,33.74,47102,0.0000,1.0
2020-10-30,32.78,33.12,32.6753,33.12,33.12,38844,0.0000,1.0
2020-10-29,32.57,33.25,32.56,32.98,32.98,40074,0.0000,1.0
2020-10-28,33.01,33.285,32.69,32.7,32.7,46062,0.0000,1.0
2020-10-27,34.08,34.08,33.6086,33.6086,33.6086,33264,0.0000,1.0
2020-10-26,34.45,34.5363,33.8718,34.1476,34.1476,30632,0.0000,1.0
2020-10-23,34.89,35.0,34.7,34.87,34.87,24668,0.0000,1.0
2020-10-22,34.56,34.94,34.56,34.9152,34.9152,18088,0.0000,1.0
2020-10-21,34.65,34.75,34.5991,34.5991,34.5991,15633,0.0000,1.0
2020-10-20,34.93,35.0372,34.68,34.68,34.68,28806,0.0000,1.0
2020-10-19,35.29,35.32,34.68,34.71,34.71,36137,0.0000,1.0
2020-10-16,35.06,35.34,35.06,35.17,35.17,38171,0.0000,1.0
2020-10-15,34.54,35.01,34.54,35.01,35.01,21611,0.0000,1.0
2020-10-14,35.1799,35.1799,34.89,34.9,34.9,124953,0.0000,1.0
2020-10-13,35.28,35.37,34.98,35.08,35.08,40443,0.0000,1.0
2020-10-12,35.29,35.51,35.29,35.45,35.45,32395,0.0000,1.0
2020-10-09,35.29,35.32,35.09,35.11,35.11,38009,0.0000,1.0
2020-10-08,34.98,35.1231,34.8801,35.07,35.07,40790,0.0000,1.0
2020-10-07,34.39,34.8583,34.39,34.79,34.79,153828,0.0000,1.0
2020-10-06,34.56,34.775,34.1299,34.18,34.18,10258,0.0000,1.0
2020-10-05,34.17,34.5375,34.17,34.4551,34.4551,31209,0.0000,1.0
2020-10-02,33.46,34.19,33.46,34.0093,34.0093,28291,0.0000,1.0
2020-10-01,34.11,34.22,33.769,33.98,33.98,32900,0.0000,1.0
2020-09-30,33.9,34.32,33.8999,34.02,34.02,63470,0.0000,1.0
2020-09-29,33.9001,34.04,33.66,33.77,33.77,47153,0.0000,1.0
2020-09-28,33.87,34.15,33.87,34.03,34.03,29179,0.0000,1.0
2020-09-25,32.98,33.5273,32.98,33.455,33.455,18801,0.0000,1.0
2020-09-24,33.02,33.47,32.811,33.15,33.15,53787,0.0000,1.0
2020-09-23,33.66,33.86,33.09,33.091,33.091,26409,0.0000,1.0
2020-09-22,33.54,33.84,33.47,33.63,33.63,68374,0.0000,1.0
2020-09-21,33.78,33.78,33.173,33.57,33.57,47666,0.2483,1.0
2020-09-18,34.72,34.759,34.3867,34.5,34.2466948368,30142,0.0000,1.0
2020-09-17,34.54,34.831,34.38,34.65,34.39559351,46856,0.0000,1.0
2020-09-16,34.91,35.16,34.78,34.8,34.5444921832,51030,0.0000,1.0
2020-09-15,35.02,35.06,34.7495,34.7495,34.4943629632,29984,0.0000,1.0
2020-09-14,34.71,35.05,34.7,34.9121,34.655769125,26865,0.0000,1.0
2020-09-11,34.3,34.64,34.275,34.51,34.256621415,104194,0.0000,1.0
2020-09-10,34.65,34.75,34.165,34.21,33.9588240686,35522,0.0000,1.0
2020-09-09,34.55,34.908,34.36,34.63,34.3757403536,34105,0.0000,1.0
2020-09-08,34.69,34.69,34.1501,34.2686,34.016993817,28446,0.0000,1.0
2020-09-04,35.03,35.25,34.5,34.92,34.6636111218,53090,0.0000,1.0
2020-09-03,35.47,35.88,34.59,34.7915,34.5360545917,41820,0.0000,1.0
2020-09-02,34.99,35.6,34.99,35.52,35.2592058146,64067,0.0000,1.0
2020-09-01,34.93,35.04,34.82,34.9459,34.6893209594,65485,0.0000,1.0
2020-08-31,35.22,35.241,35.05,35.06,34.8025832168,70611,0.0000,1.0
2020-08-28,35.15,35.35,35.08,35.35,35.090453985,31034,0.0000,1.0
2020-08-27,34.89,35.24,34.89,35.15,34.8919224207,25514,0.0000,1.0
2020-08-26,35.06,35.06,34.805,34.92,34.6636111218,35929,0.0000,1.0
2020-08-25,35.21,35.253,34.95,35.09,34.8323629514,38557,0.0000,1.0
2020-08-24,34.72,35.05,34.66,35.05,34.7926566386,25727,0.0000,1.0
2020-08-21,34.47,34.65,34.47,34.59,34.3360340407,50550,0.0000,1.0
2020-08-20,34.58,34.72,34.58,34.6072,34.3531077553,36353,0.0000,1.0
2020-08-19,34.96,35.16,34.77,34.83,34.5742719179,106431,0.0000,1.0
2020-08-18,35.09,35.1317,34.92,34.92,34.6636111218,46942,0.0000,1.0
2020-08-17,35.25,35.25,35.0883,35.1,34.8422895296,78810,0.0000,1.0
2020-08-14,35.01,35.381,35.01,35.29,35.0308945157,42572,0.0000,1.0
2020-08-13,35.29,35.3286,35.11,35.1999,34.941456046,36481,0.0000,1.0
2020-08-12,35.79,35.79,35.5073,35.61,35.3485450185,34990,0.0000,1.0
2020-08-11,35.73,35.96,35.36,35.39,35.1301602978,62256,0.0000,1.0
2020-08-10,35.06,35.41,35.06,35.39,35.1301602978,41894,0.0000,1.0
2020-08-07,34.48,35.05,34.48,35.04,34.7827300604,173396,0.0000,1.0
2020-08-06,34.68,34.68,34.49,34.58,34.3261074625,29156,0.0000,1.0
2020-08-05,34.6,34.73,34.5363,34.6,34.345960619,32575,0.0000,1.0
2020-08-04,34.25,34.45,34.25,34.43,34.1772087893,68744,0.0000,1.0
2020-08-03,34.18,34.42,34.12,34.3321,34.0800275886,45098,0.0000,1.0
2020-07-31,34.11,34.16,33.7321,34.16,33.9091911776,37966,0.0000,1.0
2020-07-30,34.0411,34.24,33.952,34.19,33.9389709122,33309,0.0000,1.0
2020-07-29,34.3,34.74,34.3,34.65,34.39559351,75837,0.0000,1.0
2020-07-28,34.19,34.47,34.19,34.29,34.0382366943,29663,0.0000,1.0
2020-07-27,34.27,34.31,34.05,34.31,34.0580898508,27311,0.0000,1.0
