timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.1,1.12,1.0401,1.12,1.12,115817,0.0000,1.0
2020-12-10,1.09,1.11,1.08,1.1,1.1,47351,0.0000,1.0
2020-12-09,1.15,1.16,1.08,1.1,1.1,92297,0.0000,1.0
2020-12-08,1.15,1.17,1.15,1.16,1.16,101532,0.0000,1.0
2020-12-07,1.1,1.15,1.09,1.13,1.13,147191,0.0000,1.0
2020-12-04,1.12,1.14,1.1,1.11,1.11,75010,0.0000,1.0
2020-12-03,1.12,1.15,1.1,1.14,1.14,30757,0.0000,1.0
2020-12-02,1.14,1.15,1.09,1.14,1.14,179592,0.0000,1.0
2020-12-01,1.11,1.13,1.09,1.1264,1.1264,102925,0.0000,1.0
2020-11-30,1.06,1.11,1.05,1.08,1.08,115208,0.0000,1.0
2020-11-27,1.05,1.07,1.03,1.0647,1.0647,100441,0.0000,1.0
2020-11-25,1.0,1.06,0.99,1.0511,1.0511,295899,0.0000,1.0
2020-11-24,0.98,1.0,0.96,0.972,0.972,145489,0.0000,1.0
2020-11-23,1.05,1.07,0.98,0.99915,0.99915,271923,0.0000,1.0
2020-11-20,1.04,1.0669,1.02,1.05,1.05,103565,0.0000,1.0
2020-11-19,1.05,1.08,1.01,1.04,1.04,311824,0.0000,1.0
2020-11-18,1.06,1.07,1.05,1.07,1.07,156815,0.0000,1.0
2020-11-17,1.12,1.12,1.0648,1.07,1.07,116828,0.0000,1.0
2020-11-16,1.13,1.14,1.1032,1.11,1.11,40575,0.0000,1.0
2020-11-13,1.11,1.12,1.1,1.115,1.115,33657,0.0000,1.0
2020-11-12,1.06,1.11,1.06,1.1,1.1,107574,0.0000,1.0
2020-11-11,1.11,1.11,1.05,1.075,1.075,102295,0.0000,1.0
2020-11-10,1.1,1.1461,1.09,1.12,1.12,69527,0.0000,1.0
2020-11-09,1.17,1.19,1.06,1.09,1.09,253929,0.0000,1.0
2020-11-06,1.19,1.2,1.16,1.2,1.2,122657,0.0000,1.0
2020-11-05,1.11,1.19,1.11,1.175,1.175,110807,0.0000,1.0
2020-11-04,1.09,1.1,1.07,1.08,1.08,60927,0.0000,1.0
2020-11-03,1.08,1.09,1.06,1.06,1.06,44694,0.0000,1.0
2020-11-02,1.06,1.08,1.05,1.065,1.065,101777,0.0000,1.0
2020-10-30,1.11,1.11,1.05,1.06,1.06,108401,0.0000,1.0
2020-10-29,1.07,1.1,1.06,1.095,1.095,84728,0.0000,1.0
2020-10-28,1.12,1.13,1.04,1.08,1.08,183110,0.0000,1.0
2020-10-27,1.15,1.16,1.13,1.14,1.14,59613,0.0000,1.0
2020-10-26,1.15,1.181,1.12,1.13,1.13,153701,0.0000,1.0
2020-10-23,1.19,1.2,1.155,1.165,1.165,85958,0.0000,1.0
2020-10-22,1.17,1.21,1.15,1.19,1.19,56548,0.0000,1.0
2020-10-21,1.17,1.22,1.17,1.19,1.19,587018,0.0000,1.0
2020-10-20,1.21,1.23,1.2,1.2003,1.2003,56138,0.0000,1.0
2020-10-19,1.22,1.23,1.2,1.215,1.215,102411,0.0000,1.0
2020-10-16,1.24,1.26,1.214,1.22,1.22,38147,0.0000,1.0
2020-10-15,1.23,1.2399,1.22,1.22,1.22,49301,0.0000,1.0
2020-10-14,1.27,1.28,1.24,1.2563,1.2563,120266,0.0000,1.0
2020-10-13,1.3,1.3,1.22,1.25,1.25,98248,0.0000,1.0
2020-10-12,1.28,1.28,1.26,1.27,1.27,96852,0.0000,1.0
2020-10-09,1.21,1.28,1.21,1.26,1.26,208977,0.0000,1.0
2020-10-08,1.2,1.24,1.19,1.21,1.21,50561,0.0000,1.0
2020-10-07,1.22,1.22,1.17,1.22,1.22,67680,0.0000,1.0
2020-10-06,1.17,1.25,1.1601,1.2,1.2,196097,0.0000,1.0
2020-10-05,1.15,1.19,1.14,1.18,1.18,153348,0.0000,1.0
2020-10-02,1.18,1.18,1.14,1.15,1.15,84492,0.0000,1.0
2020-10-01,1.15,1.208,1.13,1.1463,1.1463,130812,0.0000,1.0
2020-09-30,1.15,1.19,1.14,1.14,1.14,52894,0.0000,1.0
2020-09-29,1.15,1.175,1.15,1.16,1.16,74885,0.0000,1.0
2020-09-28,1.18,1.18,1.13,1.15,1.15,105349,0.0000,1.0
2020-09-25,1.19,1.19,1.15,1.17,1.17,85516,0.0000,1.0
2020-09-24,1.14,1.21,1.12,1.18,1.18,151255,0.0000,1.0
2020-09-23,1.21,1.22,1.11,1.11,1.11,234100,0.0000,1.0
2020-09-22,1.15,1.23,1.12,1.2,1.2,171728,0.0000,1.0
2020-09-21,1.2,1.205,1.13,1.13,1.13,156865,0.0000,1.0
2020-09-18,1.25,1.2548,1.22,1.22,1.22,119282,0.0000,1.0
2020-09-17,1.21,1.27,1.2,1.24,1.24,171649,0.0000,1.0
2020-09-16,1.3,1.32,1.23,1.24,1.24,283021,0.0000,1.0
2020-09-15,1.16,1.3,1.16,1.3,1.3,504057,0.0000,1.0
2020-09-14,1.15,1.2,1.12,1.14,1.14,249742,0.0000,1.0
2020-09-11,1.14,1.15,1.09,1.13,1.13,221068,0.0000,1.0
2020-09-10,1.1,1.16,1.09,1.12,1.12,174727,0.0000,1.0
2020-09-09,1.15,1.18,1.12,1.12,1.12,192282,0.0000,1.0
2020-09-08,1.08,1.18,1.08,1.17,1.17,497452,0.0000,1.0
2020-09-04,1.14,1.14,1.06,1.08,1.08,253186,0.0000,1.0
2020-09-03,1.15,1.15,1.05,1.14,1.14,553215,0.0000,1.0
2020-09-02,1.2,1.2,1.1,1.13,1.13,191111,0.0000,1.0
2020-09-01,1.22,1.2393,1.14,1.15,1.15,252241,0.0000,1.0
2020-08-31,1.2,1.23,1.19,1.22,1.22,130623,0.0000,1.0
2020-08-28,1.19,1.27,1.1792,1.19,1.19,322048,0.0000,1.0
2020-08-27,1.25,1.25,1.18,1.22,1.22,81835,0.0000,1.0
