timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,32.19,32.25,32.16,32.2,32.2,70051,0.0000,1.0
2020-12-10,32.21,32.34,32.17,32.27,32.27,1246420,0.0000,1.0
2020-12-09,32.29,32.32,32.11,32.16,32.16,48369,0.0000,1.0
2020-12-08,32.3,32.3,32.225,32.24,32.24,90980,0.0000,1.0
2020-12-07,32.24,32.253,32.21,32.22,32.22,53133,0.0000,1.0
2020-12-04,32.23,32.235,32.16,32.19,32.19,53076,0.0000,1.0
2020-12-03,32.37,32.37,32.12,32.12,32.12,100996,0.0000,1.0
2020-12-02,32.05,32.1,31.98,32.05,32.05,225434,0.0000,1.0
2020-12-01,32.05,32.11,31.99,32.03,32.03,106174,0.0000,1.0
2020-11-30,31.96,32.0267,31.88,31.88,31.88,52117,0.0000,1.0
2020-11-27,32.0,32.0633,32.0,32.02,32.02,18971,0.0000,1.0
2020-11-25,31.98,31.98,31.87,31.97,31.97,89276,0.0000,1.0
2020-11-24,31.95,31.95,31.88,31.92,31.92,52393,0.0000,1.0
2020-11-23,31.82,31.8723,31.77,31.84,31.84,78332,0.0000,1.0
2020-11-20,31.81,31.85,31.77,31.78,31.78,60838,0.0000,1.0
2020-11-19,31.54,31.78,31.54,31.755,31.755,204014,0.0000,1.0
2020-11-18,31.7337,31.7399,31.62,31.64,31.64,94976,0.0000,1.0
2020-11-17,31.66,31.74,31.58,31.61,31.61,290362,0.0000,1.0
2020-11-16,31.71,31.7273,31.648,31.72,31.72,108137,0.0000,1.0
2020-11-13,31.63,31.63,31.52,31.61,31.61,42571,0.0000,1.0
2020-11-12,31.63,31.75,31.45,31.52,31.52,45615,0.0000,1.0
2020-11-11,31.54,31.56,31.48,31.52,31.52,39945,0.0000,1.0
2020-11-10,31.5,31.5384,31.41,31.44,31.44,97242,0.0000,1.0
2020-11-09,31.91,31.91,31.53,31.53,31.53,72598,0.0000,1.0
2020-11-06,31.52,31.537,31.4584,31.49,31.49,34510,0.0000,1.0
2020-11-05,31.44,31.51,31.4007,31.51,31.51,65221,0.0000,1.0
2020-11-04,31.17,31.3128,31.1,31.3,31.3,76415,0.0000,1.0
2020-11-03,31.07,31.08,30.98,31.02,31.02,65669,0.0000,1.0
2020-11-02,30.99,30.99,30.87,30.92,30.92,92327,0.0000,1.0
2020-10-30,30.89,30.93,30.81,30.85,30.85,83985,0.0000,1.0
2020-10-29,30.97,30.9905,30.9,30.95,30.95,49107,0.0000,1.0
2020-10-28,30.96,31.0,30.91,30.91,30.91,49241,0.0000,1.0
2020-10-27,31.08,31.18,31.08,31.13,31.13,417209,0.0000,1.0
2020-10-26,31.1,31.2,31.075,31.09,31.09,49851,0.0000,1.0
2020-10-23,31.221,31.2471,31.18,31.22,31.22,46784,0.0000,1.0
2020-10-22,31.19,31.23,31.155,31.18,31.18,42536,0.0000,1.0
2020-10-21,31.21,31.2799,31.19,31.19,31.19,47051,0.0000,1.0
2020-10-20,31.2,31.27,31.13,31.21,31.21,662080,0.0000,1.0
2020-10-19,31.22,31.27,31.15,31.16,31.16,49580,0.0000,1.0
2020-10-16,31.13,31.2642,31.13,31.23,31.23,57614,0.0000,1.0
2020-10-15,31.04,31.1962,30.9501,31.15,31.15,57736,0.0000,1.0
2020-10-14,31.15,31.3,31.15,31.23,31.23,47592,0.0000,1.0
2020-10-13,31.35,31.35,31.22,31.31,31.31,87224,0.0000,1.0
2020-10-12,31.29,31.395,31.2839,31.31,31.31,45038,0.0000,1.0
2020-10-09,31.25,31.2619,31.17,31.22,31.22,163226,0.0000,1.0
2020-10-08,31.18,31.2,31.14,31.15,31.15,46630,0.0000,1.0
2020-10-07,31.02,31.18,31.02,31.15,31.15,47806,0.0000,1.0
2020-10-06,31.04,31.1575,31.02,31.03,31.03,113358,0.0000,1.0
2020-10-05,30.99,31.0996,30.99,31.07,31.07,65999,0.0000,1.0
2020-10-02,30.9,31.03,30.9,30.93,30.93,96044,0.0000,1.0
2020-10-01,31.0,31.09,31.0,31.08,31.08,75456,0.0000,1.0
2020-09-30,30.96,31.0,30.93,30.99,30.99,48656,0.0000,1.0
2020-09-29,30.87,30.9934,30.83,30.86,30.86,678089,0.0000,1.0
2020-09-28,30.93,30.93,30.82,30.85,30.85,52729,0.0000,1.0
2020-09-25,30.8,30.8,30.6122,30.78,30.78,53109,0.0000,1.0
2020-09-24,30.68,30.9,30.63,30.78,30.78,814721,0.0000,1.0
2020-09-23,30.92,30.93,30.72,30.75,30.75,107639,0.0000,1.0
2020-09-22,30.93,30.97,30.87,30.92,30.92,122863,0.0000,1.0
2020-09-21,30.97,30.97,30.82,30.95,30.95,57199,0.0000,1.0
2020-09-18,31.16,31.19,31.05,31.09,31.09,54387,0.0000,1.0
2020-09-17,31.1,31.18,31.07,31.14,31.14,81688,0.0000,1.0
2020-09-16,31.22,31.2652,31.18,31.19,31.19,48607,0.0000,1.0
2020-09-15,31.28,31.288,31.157,31.2,31.2,47551,0.0000,1.0
2020-09-14,31.0,31.1467,31.0,31.13,31.13,48086,0.0000,1.0
2020-09-11,31.02,31.06,30.93,30.93,30.93,314883,0.0000,1.0
2020-09-10,31.15,31.15,30.94,30.94,30.94,69234,0.0000,1.0
2020-09-09,31.02,31.1096,31.0101,31.06,31.06,54791,0.0000,1.0
2020-09-08,30.99,31.016,30.88,30.89,30.89,80309,0.0000,1.0
2020-09-04,31.23,31.3201,30.97,31.14,31.14,78636,0.0000,1.0
2020-09-03,31.435,31.435,31.14,31.19,31.19,81250,0.0000,1.0
2020-09-02,31.44,31.47,31.31,31.35,31.35,798298,0.0000,1.0
2020-09-01,31.27,31.35,31.27,31.31,31.31,81530,0.0000,1.0
2020-08-31,31.19,31.3,31.19,31.25,31.25,412043,0.0000,1.0
2020-08-28,31.17,31.28,31.17,31.23,31.23,67069,0.0000,1.0
2020-08-27,31.22,31.2293,31.14,31.21,31.21,40657,0.0000,1.0
2020-08-26,31.16,31.26,31.16,31.26,31.26,44127,0.0000,1.0
2020-08-25,31.19,31.19,31.1,31.15,31.15,124035,0.0000,1.0
2020-08-24,31.23,31.23,31.1071,31.13,31.13,34589,0.0000,1.0
2020-08-21,31.11,31.11,31.05,31.08,31.08,31299,0.0000,1.0
2020-08-20,31.01,31.14,31.01,31.14,31.14,62072,0.0000,1.0
2020-08-19,31.24,31.2632,31.07,31.09,31.09,80950,0.0000,1.0
2020-08-18,31.14,31.22,31.11,31.2,31.2,206253,0.0000,1.0
2020-08-17,31.11,31.15,31.0901,31.15,31.15,52469,0.0000,1.0
2020-08-14,31.08,31.08,31.0101,31.03,31.03,51727,0.0000,1.0
2020-08-13,31.11,31.1378,31.05,31.08,31.08,67150,0.0000,1.0
