timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,3.12,3.14,2.98,3.14,3.14,72691,0.0000,1.0
2020-12-10,3.19,3.19,3.08,3.12,3.12,48503,0.0000,1.0
2020-12-09,3.26,3.28,3.1,3.15,3.15,27697,0.0000,1.0
2020-12-08,3.22,3.3,3.19,3.26,3.26,42318,0.0000,1.0
2020-12-07,3.26,3.3032,3.1436,3.23,3.23,57756,0.0000,1.0
2020-12-04,3.23,3.3107,3.1505,3.23,3.23,77664,0.0000,1.0
2020-12-03,3.2,3.32,3.1746,3.2,3.2,95402,0.0000,1.0
2020-12-02,3.05,3.2,2.97,3.2,3.2,98228,0.0000,1.0
2020-12-01,2.93,3.05,2.75,3.03,3.03,185412,0.0000,1.0
2020-11-30,2.88,2.89,2.73,2.87,2.87,144666,0.0000,1.0
2020-11-27,2.84,2.91,2.79,2.88,2.88,52321,0.0000,1.0
2020-11-25,2.81,2.88,2.72,2.8,2.8,166820,0.0000,1.0
2020-11-24,2.88,2.9167,2.7674,2.81,2.81,130244,0.0000,1.0
2020-11-23,2.95,2.98,2.82,2.92,2.92,99572,0.0000,1.0
2020-11-20,2.994,3.03,2.9014,2.92,2.92,30602,0.0000,1.0
2020-11-19,2.96,3.0,2.9,2.97,2.97,26928,0.0000,1.0
2020-11-18,2.95,3.0244,2.92,2.93,2.93,23573,0.0000,1.0
2020-11-17,2.94,3.04,2.92,2.98,2.98,42236,0.0000,1.0
2020-11-16,2.95,3.08,2.84,2.91,2.91,67651,0.0000,1.0
2020-11-13,2.88,3.12,2.86,2.9,2.9,101177,0.0000,1.0
2020-11-12,3.05,3.08,2.8,2.86,2.86,49006,0.0000,1.0
2020-11-11,2.99,3.05,2.8782,3.05,3.05,39974,0.0000,1.0
2020-11-10,2.79,2.95,2.71,2.91,2.91,59179,0.0000,1.0
2020-11-09,2.67,2.83,2.57,2.74,2.74,152879,0.0000,1.0
2020-11-06,2.71,2.76,2.63,2.74,2.74,29758,0.0000,1.0
2020-11-05,2.87,2.915,2.7,2.73,2.73,40807,0.0000,1.0
2020-11-04,2.91,2.91,2.75,2.79,2.79,29923,0.0000,1.0
2020-11-03,2.82,2.92,2.75,2.85,2.85,30890,0.0000,1.0
2020-11-02,2.82,2.84,2.68,2.84,2.84,14838,0.0000,1.0
2020-10-30,2.8,2.9,2.68,2.83,2.83,30387,0.0000,1.0
2020-10-29,2.69,2.81,2.52,2.81,2.81,56961,0.0000,1.0
2020-10-28,2.92,2.95,2.59,2.65,2.65,157324,0.0000,1.0
2020-10-27,2.94,2.98,2.81,2.89,2.89,66492,0.0000,1.0
2020-10-26,3.01,3.01,2.89,2.92,2.92,41998,0.0000,1.0
2020-10-23,3.0,3.0542,2.96,3.01,3.01,40764,0.0000,1.0
2020-10-22,3.03,3.11,2.96,2.99,2.99,38418,0.0000,1.0
2020-10-21,3.07,3.11,3.04,3.05,3.05,9065,0.0000,1.0
2020-10-20,3.06,3.16,3.06,3.09,3.09,31969,0.0000,1.0
2020-10-19,3.05,3.1,3.02,3.09,3.09,20345,0.0000,1.0
2020-10-16,3.1,3.125,3.0,3.03,3.03,60937,0.0000,1.0
2020-10-15,3.1,3.105,3.05,3.07,3.07,25593,0.0000,1.0
2020-10-14,3.125,3.15,3.03,3.11,3.11,23338,0.0000,1.0
2020-10-13,3.1594,3.2762,3.05,3.1,3.1,24140,0.0000,1.0
2020-10-12,3.24,3.2699,3.1,3.14,3.14,23104,0.0000,1.0
