timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.355,5.88,5.355,5.74,5.74,192780,0.0000,1.0
2020-12-10,5.5,5.74,5.45,5.56,5.56,410385,0.0000,1.0
2020-12-09,5.22,5.5,5.17,5.5,5.5,305235,0.0000,1.0
2020-12-08,5.0,5.28,4.9526,5.2,5.2,408672,0.0000,1.0
2020-12-07,4.93,5.1,4.83,5.08,5.08,607174,0.0000,1.0
2020-12-04,4.97,5.0,4.5701,4.99,4.99,362921,0.0000,1.0
2020-12-03,5.0,5.02,4.7801,5.0,5.0,217532,0.0000,1.0
2020-12-02,4.75,5.05,4.5815,5.04,5.04,170831,0.0000,1.0
2020-12-01,4.94,5.05,4.71,4.73,4.73,473590,0.0000,1.0
2020-11-30,5.0,5.05,4.76,4.85,4.85,71264,0.0000,1.0
2020-11-27,4.9601,5.01,4.85,5.0,5.0,22920,0.0000,1.0
2020-11-25,4.7338,5.02,4.69,4.97,4.97,203578,0.0000,1.0
2020-11-24,4.98,5.08,4.61,4.72,4.72,95307,0.0000,1.0
2020-11-23,5.2,5.22,4.99,5.01,5.01,126759,0.0000,1.0
2020-11-20,5.07,5.25,4.88,5.22,5.22,50914,0.0000,1.0
2020-11-19,4.97,5.1,4.935,5.03,5.03,35743,0.0000,1.0
2020-11-18,4.9,5.12,4.9,4.96,4.96,118277,0.0000,1.0
2020-11-17,4.79,5.0,4.79,4.93,4.93,50897,0.0000,1.0
2020-11-16,4.9253,4.9253,4.75,4.81,4.81,54620,0.0000,1.0
2020-11-13,4.92,5.15,4.9,4.9,4.9,65905,0.0000,1.0
2020-11-12,4.93,4.99,4.83,4.9,4.9,54169,0.0000,1.0
2020-11-11,4.94,5.04,4.9,4.9,4.9,102124,0.0000,1.0
2020-11-10,4.89,5.27,4.8,4.9,4.9,95836,0.0000,1.0
2020-11-09,5.39,5.39,4.87,4.92,4.92,193600,0.0000,1.0
2020-11-06,4.972,5.2499,4.95,5.21,5.21,58116,0.0000,1.0
2020-11-05,4.97,5.0,4.87,4.99,4.99,74714,0.0000,1.0
2020-11-04,4.8999,5.0,4.83,4.96,4.96,38037,0.0000,1.0
2020-11-03,4.68,4.95,4.68,4.85,4.85,59771,0.0000,1.0
2020-11-02,4.74,4.8,4.51,4.7,4.7,52542,0.0000,1.0
2020-10-30,4.5276,4.63,4.4,4.55,4.55,84994,0.0000,1.0
2020-10-29,4.355,4.51,4.34,4.5,4.5,92362,0.0000,1.0
2020-10-28,4.51,4.6623,4.3,4.49,4.49,139867,0.0000,1.0
2020-10-27,4.7,4.945,4.66,4.86,4.86,60664,0.0000,1.0
2020-10-26,4.98,4.98,4.77,4.77,4.77,31266,0.0000,1.0
2020-10-23,4.8,5.0,4.7,4.96,4.96,57727,0.0000,1.0
2020-10-22,4.71,4.8799,4.6468,4.8,4.8,104565,0.0000,1.0
2020-10-21,4.5284,4.93,4.5284,4.7,4.7,16569,0.0000,1.0
2020-10-20,4.51,4.6,4.34,4.59,4.59,33960,0.0000,1.0
2020-10-19,4.3,4.51,4.3,4.51,4.51,29821,0.0000,1.0
2020-10-16,4.41,4.53,4.22,4.34,4.34,58426,0.0000,1.0
2020-10-15,4.5,4.5767,4.32,4.39,4.39,49849,0.0000,1.0
2020-10-14,4.475,4.8131,4.3,4.5,4.5,43794,0.0000,1.0
2020-10-13,4.422,4.5899,4.4,4.4,4.4,19064,0.0000,1.0
2020-10-12,4.57,4.65,4.445,4.45,4.45,14326,0.0000,1.0
2020-10-09,4.52,4.61,4.52,4.58,4.58,16551,0.0000,1.0
2020-10-08,4.53,4.56,4.43,4.52,4.52,19893,0.0000,1.0
2020-10-07,4.425,4.56,4.3,4.5,4.5,49269,0.0000,1.0
2020-10-06,4.7,4.8,4.28,4.3,4.3,60709,0.0000,1.0
2020-10-05,4.83,4.855,4.7,4.7,4.7,24155,0.0000,1.0
2020-10-02,4.77,4.9,4.61,4.72,4.72,42241,0.0000,1.0
2020-10-01,4.61,4.9,4.61,4.82,4.82,35124,0.0000,1.0
2020-09-30,4.8823,4.9,4.53,4.61,4.61,56521,0.0000,1.0
2020-09-29,4.68,4.9,4.68,4.79,4.79,29106,0.0000,1.0
2020-09-28,4.62,4.85,4.62,4.76,4.76,36460,0.0000,1.0
2020-09-25,4.775,4.89,4.52,4.58,4.58,53388,0.0000,1.0
