timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,3.105,3.15,2.85,3.05,3.05,820447,0.0000,1.0
2020-12-10,2.52,3.46,2.49,3.21,3.21,7687573,0.0000,1.0
2020-12-09,2.66,2.75,2.5,2.56,2.56,451953,0.0000,1.0
2020-12-08,2.62,2.685,2.41,2.65,2.65,248370,0.0000,1.0
2020-12-07,2.8,2.84,2.652,2.68,2.68,450338,0.0000,1.0
2020-12-04,2.7,2.8,2.6501,2.76,2.76,413753,0.0000,1.0
2020-12-03,2.65,2.83,2.61,2.67,2.67,696951,0.0000,1.0
2020-12-02,2.45,2.67,2.4,2.58,2.58,586135,0.0000,1.0
2020-12-01,2.81,2.87,2.4606,2.51,2.51,984661,0.0000,1.0
2020-11-30,2.49,2.75,2.4,2.65,2.65,3169294,0.0000,1.0
2020-11-27,2.228,3.28,2.2,2.76,2.76,33507020,0.0000,1.0
2020-11-25,1.74,2.19,1.74,2.01,2.01,2040439,0.0000,1.0
2020-11-24,1.72,1.75,1.65,1.72,1.72,345629,0.0000,1.0
2020-11-23,1.65,1.7608,1.6,1.67,1.67,167968,0.0000,1.0
2020-11-20,1.59,1.65,1.59,1.61,1.61,146392,0.0000,1.0
2020-11-19,1.6,1.6037,1.55,1.59,1.59,126651,0.0000,1.0
2020-11-18,1.6,1.625,1.52,1.58,1.58,153819,0.0000,1.0
2020-11-17,1.64,1.64,1.55,1.57,1.57,98993,0.0000,1.0
2020-11-16,1.64,1.7,1.59,1.59,1.59,232063,0.0000,1.0
2020-11-13,1.49,1.59,1.45,1.58,1.58,189000,0.0000,1.0
2020-11-12,1.5,1.53,1.49,1.5,1.5,88115,0.0000,1.0
2020-11-11,1.57,1.59,1.4976,1.5,1.5,126879,0.0000,1.0
2020-11-10,1.65,1.6682,1.48,1.54,1.54,394433,0.0000,1.0
2020-11-09,1.68,1.7702,1.65,1.74,1.74,236586,0.0000,1.0
2020-11-06,1.64,1.6738,1.59,1.65,1.65,66193,0.0000,1.0
2020-11-05,1.64,1.6847,1.61,1.64,1.64,102697,0.0000,1.0
2020-11-04,1.76,1.76,1.5701,1.62,1.62,89921,0.0000,1.0
2020-11-03,1.65,1.75,1.64,1.73,1.73,148130,0.0000,1.0
2020-11-02,1.56,1.65,1.52,1.61,1.61,170526,0.0000,1.0
2020-10-30,1.39,1.52,1.36,1.51,1.51,260665,0.0000,1.0
2020-10-29,1.42,1.42,1.35,1.36,1.36,241175,0.0000,1.0
2020-10-28,1.64,1.64,1.38,1.39,1.39,619795,0.0000,1.0
2020-10-27,1.73,1.77,1.58,1.64,1.64,301754,0.0000,1.0
2020-10-26,1.89,1.89,1.63,1.7,1.7,518787,0.0000,1.0
2020-10-23,1.9,1.91,1.85,1.88,1.88,137037,0.0000,1.0
2020-10-22,1.91,1.99,1.82,1.86,1.86,168273,0.0000,1.0
2020-10-21,2.15,2.1874,1.84,1.92,1.92,473716,0.0000,1.0
2020-10-20,2.22,2.33,2.07,2.11,2.11,567710,0.0000,1.0
2020-10-19,2.43,2.51,2.41,2.5,2.5,154519,0.0000,1.0
2020-10-16,2.35,2.4497,2.35,2.39,2.39,109588,0.0000,1.0
2020-10-15,2.25,2.375,2.25,2.34,2.34,127797,0.0000,1.0
2020-10-14,2.41,2.4284,2.25,2.27,2.27,119321,0.0000,1.0
2020-10-13,2.39,2.48,2.35,2.38,2.38,112440,0.0000,1.0
2020-10-12,2.71,2.71,2.43,2.45,2.45,211981,0.0000,1.0
2020-10-09,2.8,2.8699,2.74,2.76,2.76,206110,0.0000,1.0
2020-10-08,2.7,2.85,2.68,2.78,2.78,240601,0.0000,1.0
2020-10-07,2.56,2.72,2.56,2.66,2.66,197199,0.0000,1.0
2020-10-06,2.51,2.63,2.5089,2.54,2.54,143764,0.0000,1.0
2020-10-05,2.43,2.5242,2.4,2.48,2.48,111363,0.0000,1.0
2020-10-02,2.3,2.4397,2.3,2.38,2.38,96314,0.0000,1.0
2020-10-01,2.31,2.36,2.25,2.34,2.34,96591,0.0000,1.0
2020-09-30,2.42,2.45,2.25,2.28,2.28,110250,0.0000,1.0
2020-09-29,2.33,2.44,2.3198,2.42,2.42,121264,0.0000,1.0
2020-09-28,2.25,2.37,2.235,2.31,2.31,100755,0.0000,1.0
2020-09-25,2.14,2.3,2.14,2.21,2.21,91420,0.0000,1.0
2020-09-24,2.15,2.18,2.05,2.14,2.14,110716,0.0000,1.0
2020-09-23,2.34,2.39,2.15,2.15,2.15,110160,0.0000,1.0
2020-09-22,2.34,2.4,2.29,2.33,2.33,63847,0.0000,1.0
2020-09-21,2.49,2.52,2.23,2.35,2.35,329185,0.0000,1.0
2020-09-18,2.28,2.55,2.27,2.52,2.52,382180,0.0000,1.0
2020-09-17,2.09,2.5436,2.06,2.31,2.31,517244,0.0000,1.0
2020-09-16,2.44,2.789,2.11,2.15,2.15,1135357,0.0000,1.0
2020-09-15,2.16,2.48,2.0984,2.37,2.37,464381,0.0000,1.0
2020-09-14,2.05,2.12,2.0,2.12,2.12,114770,0.0000,1.0
2020-09-11,2.1,2.1,1.96,2.06,2.06,294761,0.0000,1.0
2020-09-10,2.16,2.16,1.94,2.14,2.14,344564,0.0000,1.0
2020-09-09,2.3,2.33,2.105,2.16,2.16,297308,0.0000,1.0
2020-09-08,2.06,2.3,1.9101,2.26,2.26,401052,0.0000,1.0
2020-09-04,1.97,2.11,1.76,2.02,2.02,448010,0.0000,1.0
2020-09-03,1.82,1.9708,1.7401,1.93,1.93,614060,0.0000,1.0
2020-09-02,1.48,1.79,1.45,1.73,1.73,472303,0.0000,1.0
2020-09-01,1.49,1.52,1.41,1.5,1.5,118325,0.0000,1.0
2020-08-31,1.5,1.53,1.48,1.49,1.49,70398,0.0000,1.0
2020-08-28,1.59,1.59,1.49,1.51,1.51,156121,0.0000,1.0
2020-08-27,1.53,1.57,1.51,1.52,1.52,91644,0.0000,1.0
2020-08-26,1.62,1.63,1.5,1.51,1.51,190161,0.0000,1.0
2020-08-25,1.65,1.74,1.6,1.62,1.62,143961,0.0000,1.0
