timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,12.78,13.06,12.78,12.9,12.9,128779,0.0000,1.0
2020-12-10,12.93,12.95,12.71,12.935,12.935,139478,0.0000,1.0
2020-12-09,13.1,13.1299,12.885,12.97,12.97,134563,0.0000,1.0
2020-12-08,12.9,13.15,12.83,13.01,13.01,201528,0.0000,1.0
2020-12-07,12.96,13.125,12.74,12.95,12.95,225667,0.0000,1.0
2020-12-04,12.66,13.09,12.56,13.0,13.0,140716,0.0000,1.0
2020-12-03,12.31,12.71,12.26,12.48,12.48,130740,0.0000,1.0
2020-12-02,12.28,12.375,12.07,12.25,12.25,136676,0.0000,1.0
2020-12-01,12.31,12.44,12.11,12.29,12.29,176820,0.0000,1.0
2020-11-30,12.61,12.74,12.1,12.11,12.11,158319,0.0000,1.0
2020-11-27,12.43,12.51,12.225,12.5,12.5,73118,0.0000,1.0
2020-11-25,12.7,12.77,12.42,12.43,12.43,124054,0.0000,1.0
2020-11-24,12.73,12.75,12.36,12.68,12.68,234782,0.0000,1.0
2020-11-23,12.31,12.63,12.3,12.37,12.37,171402,0.0000,1.0
2020-11-20,11.84,12.28,11.69,12.15,12.15,259846,0.0000,1.0
2020-11-19,12.07,12.24,11.75,11.94,11.94,102290,0.0000,1.0
2020-11-18,12.35,12.55,12.1,12.11,12.11,96338,0.1400,1.0
2020-11-17,11.87,12.61,11.87,12.51,12.3670285714,177014,0.0000,1.0
2020-11-16,12.22,12.32,12.03,12.14,12.0012571429,153044,0.0000,1.0
2020-11-13,11.76,12.08,11.74,12.04,11.9024,104166,0.0000,1.0
2020-11-12,11.7,11.75,11.43,11.64,11.5069714286,105006,0.0000,1.0
2020-11-11,12.16,12.16,11.62,11.78,11.6453714286,130011,0.0000,1.0
2020-11-10,12.03,12.2,11.8,12.14,12.0012571429,129565,0.0000,1.0
2020-11-09,11.66,12.36,11.45,11.91,11.7738857143,203774,0.0000,1.0
2020-11-06,11.08,11.285,10.9,10.97,10.8446285714,123833,0.0000,1.0
2020-11-05,11.06,11.3813,11.06,11.24,11.1115428571,117848,0.0000,1.0
2020-11-04,11.11,11.21,10.96,11.06,10.9336,104538,0.0000,1.0
2020-11-03,11.04,11.363,11.02,11.22,11.0917714286,117959,0.0000,1.0
2020-11-02,10.91,10.9708,10.71,10.86,10.7358857143,105313,0.0000,1.0
2020-10-30,10.7,10.94,10.66,10.74,10.6172571429,119306,0.0000,1.0
2020-10-29,10.68,10.91,10.61,10.79,10.6666857143,79214,0.0000,1.0
2020-10-28,10.9,10.95,10.69,10.75,10.6271428571,129067,0.0000,1.0
2020-10-27,11.0,11.0876,10.835,10.98,10.8545142857,191596,0.0000,1.0
2020-10-26,11.26,11.32,10.97,11.02,10.8940571429,278076,0.0000,1.0
2020-10-23,11.61,11.66,11.32,11.39,11.2598285714,96508,0.0000,1.0
2020-10-22,11.4,11.56,11.27,11.53,11.3982285714,99378,0.0000,1.0
2020-10-21,11.45,11.56,11.35,11.39,11.2598285714,93067,0.0000,1.0
2020-10-20,11.6,11.64,11.41,11.44,11.3092571429,126817,0.0000,1.0
2020-10-19,11.77,11.77,11.45,11.49,11.3586857143,119606,0.0000,1.0
2020-10-16,11.51,11.8118,11.51,11.7,11.5662857143,85724,0.0000,1.0
2020-10-15,11.5,11.68,11.3786,11.6,11.4674285714,75383,0.0000,1.0
2020-10-14,11.8,11.875,11.54,11.54,11.4081142857,91428,0.0000,1.0
2020-10-13,11.99,12.0709,11.68,11.79,11.6552571429,99352,0.0000,1.0
2020-10-12,11.73,12.22,11.7,12.08,11.9419428571,146496,0.0000,1.0
2020-10-09,11.66,11.82,11.5,11.65,11.5168571429,181818,0.0000,1.0
2020-10-08,11.31,11.88,11.2,11.6,11.4674285714,423044,0.0000,1.0
2020-10-07,11.99,12.44,11.84,12.29,12.1495428571,407465,0.0000,1.0
2020-10-06,11.73,12.08,11.6201,11.73,11.5959428571,312052,0.0000,1.0
2020-10-05,11.35,11.82,11.35,11.7,11.5662857143,139695,0.0000,1.0
2020-10-02,11.12,11.47,11.04,11.35,11.2202857143,255237,0.0000,1.0
2020-10-01,11.5,11.66,11.175,11.3,11.1708571429,160091,0.0000,1.0
2020-09-30,11.75,11.99,11.5,11.55,11.418,141787,0.0000,1.0
2020-09-29,11.74,11.84,11.58,11.72,11.5860571429,105075,0.0000,1.0
2020-09-28,11.52,11.87,11.43,11.76,11.6256,166928,0.0000,1.0
2020-09-25,11.3,11.5,11.3,11.42,11.2894857143,187128,0.0000,1.0
2020-09-24,11.29,11.595,11.17,11.4,11.2697142857,150187,0.0000,1.0
2020-09-23,11.62,11.75,11.22,11.24,11.1115428571,156021,0.0000,1.0
2020-09-22,11.71,11.79,11.5,11.63,11.4970857143,276250,0.0000,1.0
2020-09-21,11.84,12.035,11.445,11.63,11.4970857143,271119,0.0000,1.0
2020-09-18,12.01,12.25,11.84,12.01,11.8727428571,598874,0.0000,1.0
2020-09-17,11.52,11.96,11.44,11.88,11.7442285714,259131,0.0000,1.0
2020-09-16,11.33,11.76,11.25,11.665,11.5316857143,356509,0.0000,1.0
2020-09-15,11.57,11.71,11.23,11.29,11.1609714286,111212,0.0000,1.0
2020-09-14,11.33,11.71,11.14,11.57,11.4377714286,279541,0.0000,1.0
2020-09-11,11.49,11.49,11.15,11.29,11.1609714286,110972,0.0000,1.0
2020-09-10,11.66,11.72,11.35,11.38,11.2499428571,157519,0.0000,1.0
2020-09-09,11.9,12.03,11.58,11.63,11.4970857143,138729,0.0000,1.0
2020-09-08,12.05,12.14,11.71,11.84,11.7046857143,158995,0.0000,1.0
2020-09-04,12.42,12.48,12.0,12.1,11.9617142857,93164,0.0000,1.0
2020-09-03,12.64,12.65,12.19,12.24,12.1001142857,115885,0.0000,1.0
2020-09-02,12.36,12.67,12.24,12.61,12.4658857143,102596,0.0000,1.0
2020-09-01,12.26,12.54,12.23,12.33,12.1890857143,86961,0.0000,1.0
2020-08-31,12.7,12.7,12.25,12.29,12.1495428571,202096,0.0000,1.0
2020-08-28,12.71,12.75,12.47,12.73,12.5845142857,76657,0.0000,1.0
2020-08-27,12.76,12.89,12.61,12.63,12.4856571429,96844,0.0000,1.0
2020-08-26,12.68,12.84,12.62,12.68,12.5350857143,113864,0.1400,1.0
2020-08-25,12.99,12.99,12.6,12.79,12.5057524404,91676,0.0000,1.0
2020-08-24,12.65,12.92,12.5,12.87,12.5839745041,79302,0.0000,1.0
2020-08-21,12.54,12.61,12.332,12.475,12.1977530644,365466,0.0000,1.0
2020-08-20,12.48,12.59,12.34,12.52,12.2417529753,87033,0.0000,1.0
2020-08-19,12.54,12.72,12.47,12.53,12.2515307332,94923,0.0000,1.0
2020-08-18,12.57,12.61,12.41,12.53,12.2515307332,105976,0.0000,1.0
2020-08-17,12.59,12.6,12.44,12.51,12.2319752173,85391,0.0000,1.0
2020-08-14,12.46,12.63,12.28,12.56,12.2808640071,123771,0.0000,1.0
2020-08-13,12.64,12.95,12.5,12.565,12.2857528861,91525,0.0000,1.0
2020-08-12,12.91,13.0,12.7,12.73,12.4470858926,96899,0.0000,1.0
2020-08-11,12.65,12.94,12.075,12.74,12.4568636505,102244,0.0000,1.0
2020-08-10,12.4,12.82,12.37,12.47,12.1928641854,146095,0.0000,1.0
2020-08-07,12.14,12.51,11.94,12.5,12.2221974593,128579,0.0000,1.0
2020-08-06,12.15,12.345,11.98,12.19,11.9190869623,159862,0.0000,1.0
2020-08-05,11.53,12.41,11.39,12.2,11.9288647203,373361,0.0000,1.0
2020-08-04,11.53,11.71,11.42,11.46,11.2053106307,100177,0.0000,1.0
2020-08-03,11.32,11.56,11.1,11.47,11.2150883887,176614,0.0000,1.0
2020-07-31,11.26,11.32,10.9,11.3,11.0488665032,240303,0.0000,1.0
2020-07-30,11.12,11.42,11.095,11.36,11.107533051,122953,0.0000,1.0
2020-07-29,11.08,11.385,11.0,11.285,11.0341998663,145726,0.0000,1.0
2020-07-28,10.99,11.33,10.99,11.16,10.9119778917,274582,0.0000,1.0
2020-07-27,10.95,11.11,10.91,11.06,10.814200312,170772,0.0000,1.0
2020-07-24,11.25,11.285,10.97,11.01,10.7653115222,168526,0.0000,1.0
2020-07-23,11.43,11.94,11.26,11.28,11.0293109873,177976,0.0000,1.0
2020-07-22,12.5,12.5,11.45,11.84,11.5768654335,118471,0.0000,1.0
2020-07-21,11.54,12.77,11.54,12.39,12.1146421217,320096,0.0000,1.0
2020-07-20,11.53,11.56,11.25,11.4,11.1466440829,69941,0.0000,1.0
2020-07-17,11.61,11.79,11.54,11.59,11.3324214843,73098,0.0000,1.0
2020-07-16,11.47,11.92,11.22,11.69,11.430199064,143341,0.0000,1.0
2020-07-15,11.61,11.98,11.61,11.84,11.5768654335,104685,0.0000,1.0
2020-07-14,11.27,11.49,11.17,11.36,11.107533051,78505,0.0000,1.0
2020-07-13,11.31,11.45,11.09,11.2,10.9510889236,104244,0.0000,1.0
2020-07-10,10.97,11.23,10.97,11.17,10.9217556497,70395,0.0000,1.0
2020-07-09,11.35,11.35,10.75,10.89,10.6479784266,131701,0.0000,1.0
2020-07-08,11.53,11.64,11.16,11.4,11.1466440829,119314,0.0000,1.0
2020-07-07,11.8,11.86,11.51,11.59,11.3324214843,115248,0.0000,1.0
2020-07-06,11.93,12.06,11.78,11.92,11.6550874972,135240,0.0000,1.0
2020-07-02,11.92,12.3,11.85,11.9,11.6355319813,118289,0.0000,1.0
2020-07-01,12.01,12.01,11.68,11.69,11.430199064,95548,0.0000,1.0
2020-06-30,11.46,12.07,11.46,11.97,11.7039762871,207915,0.0000,1.0
2020-06-29,11.74,11.78,11.4,11.54,11.2835326945,168056,0.0000,1.0
2020-06-26,11.48,11.75,11.32,11.58,11.3226437263,377698,0.0000,1.0
2020-06-25,11.46,11.62,11.2,11.6,11.3421992423,125281,0.0000,1.0
2020-06-24,11.52,11.65,11.24,11.51,11.2541994205,176251,0.0000,1.0
2020-06-23,11.6,11.75,11.44,11.64,11.3813102741,140328,0.0000,1.0
2020-06-22,11.09,11.6,11.0,11.54,11.2835326945,129010,0.0000,1.0
2020-06-19,11.36,11.43,10.93,11.22,10.9706444395,322241,0.0000,1.0
2020-06-18,11.21,11.45,11.11,11.27,11.0195332293,89976,0.0000,1.0
2020-06-17,11.47,11.49,11.2,11.29,11.0390887453,106511,0.0000,1.0
2020-06-16,11.61,11.75,11.3,11.44,11.1857551148,104668,0.0000,1.0
2020-06-15,10.87,11.34,10.84,11.24,10.9901999554,120288,0.0000,1.0
2020-06-12,11.58,11.67,10.87,11.23,10.9804221975,144866,0.0000,1.0
2020-06-11,11.38,11.59,11.12,11.19,10.9413111656,157432,0.0000,1.0
2020-06-10,12.46,12.61,11.76,11.87,11.6061987074,122126,0.0000,1.0
2020-06-09,12.47,12.69,12.08,12.53,12.2515307332,129564,0.0000,1.0
2020-06-08,12.35,12.86,12.31,12.74,12.4568636505,179441,0.0000,1.0
2020-06-05,12.22,12.49,11.71,12.23,11.9581979942,147649,0.0000,1.0
2020-06-04,11.47,11.84,11.34,11.78,11.5181988857,214339,0.0000,1.0
2020-06-03,11.08,11.76,11.08,11.51,11.2541994205,164215,0.0000,1.0
2020-06-02,10.9,11.25,10.87,10.89,10.6479784266,132877,0.0000,1.0
2020-06-01,11.05,11.32,10.79,10.8,10.5599786049,197976,0.0000,1.0
2020-05-29,11.26,11.26,10.81,10.99,10.7457560062,173636,0.0000,1.0
2020-05-28,11.86,11.86,11.33,11.44,11.1857551148,184433,0.0000,1.0
2020-05-27,11.47,11.78,11.31,11.7,11.4399768219,194137,0.0000,1.0
2020-05-26,10.92,11.34,10.9,11.26,11.0097554714,169350,0.0000,1.0
2020-05-22,10.63,10.81,10.36,10.52,10.2862013818,165813,0.0000,1.0
2020-05-21,10.77,10.85,10.47,10.58,10.3448679296,212558,0.0000,1.0
2020-05-20,10.48,10.91,10.47,10.82,10.5795341208,178468,0.0000,1.0
2020-05-19,10.77,10.8,10.32,10.33,10.1004239804,265305,0.0000,1.0
2020-05-18,10.5,11.07,10.49,10.87,10.6284229106,278767,0.0000,1.0
2020-05-15,9.96,10.49,9.91,10.11,9.8853133051,1566180,0.0000,1.0
2020-05-14,9.5,10.02,9.46,9.93,9.70931366169,240110,0.0000,1.0
