timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.75,1.75,1.57,1.6003,1.6003,10302,0.0000,1.0
2020-12-10,1.53,1.6821,1.53,1.56,1.56,12539,0.0000,1.0
2020-12-09,1.56,1.57,1.55,1.5509,1.5509,18316,0.0000,1.0
2020-12-08,1.545,1.555,1.545,1.555,1.555,678,0.0000,1.0
2020-12-07,1.57,1.57,1.53,1.55,1.55,4891,0.0000,1.0
2020-12-04,1.56,1.5632,1.5528,1.56,1.56,2012,0.0000,1.0
2020-12-03,1.54,1.56,1.54,1.55,1.55,26641,0.0000,1.0
2020-12-02,1.57,1.579,1.56,1.56,1.56,30452,0.0000,1.0
2020-12-01,1.58,1.58,1.56,1.56,1.56,575,0.0000,1.0
2020-11-30,1.62,1.62,1.5402,1.58,1.58,6502,0.0000,1.0
2020-11-27,1.575,1.575,1.575,1.575,1.575,105,0.0000,1.0
2020-11-25,1.58,1.585,1.58,1.585,1.585,875,0.0000,1.0
2020-11-24,1.55,1.56,1.54,1.55,1.55,3667,0.0000,1.0
2020-11-23,1.49,1.49,1.47,1.49,1.49,613,0.0000,1.0
2020-11-20,1.46,1.49,1.4401,1.49,1.49,3089,0.0000,1.0
2020-11-19,1.43,1.45,1.43,1.45,1.45,466,0.0000,1.0
2020-11-18,1.45,1.455,1.45,1.455,1.455,252,0.0000,1.0
2020-11-17,1.44,1.44,1.44,1.44,1.44,234,0.0000,1.0
2020-11-16,1.465,1.465,1.446,1.455,1.455,1637,0.0000,1.0
2020-11-13,1.435,1.435,1.435,1.435,1.435,110,0.0000,1.0
2020-11-12,1.47,1.485,1.455,1.455,1.455,2254,0.0000,1.0
2020-11-11,1.48,1.5,1.47,1.4771,1.4771,11501,0.0000,1.0
2020-11-10,1.44,1.48,1.44,1.465,1.465,6423,0.0000,1.0
2020-11-09,1.4271,1.4271,1.41,1.421,1.421,3377,0.0000,1.0
2020-11-06,1.365,1.38,1.345,1.345,1.345,3818,0.0000,1.0
2020-11-05,1.36,1.38,1.35,1.38,1.38,1254,0.0000,1.0
2020-11-04,1.385,1.39,1.385,1.39,1.39,363,0.0000,1.0
2020-11-03,1.375,1.3999,1.34,1.365,1.365,14909,0.0000,1.0
2020-11-02,1.31,1.3508,1.31,1.3508,1.3508,4284,0.0000,1.0
2020-10-30,1.315,1.315,1.3,1.3,1.3,1423,0.0000,1.0
2020-10-29,1.2893,1.325,1.2893,1.325,1.325,1350,0.0000,1.0
2020-10-28,1.42,1.42,1.38,1.38,1.38,832,0.0000,1.0
2020-10-27,1.399,1.425,1.35,1.425,1.425,1929,0.0000,1.0
2020-10-26,1.43,1.43,1.38,1.38,1.38,3163,0.0000,1.0
2020-10-23,1.43,1.43,1.43,1.43,1.43,168,0.0000,1.0
2020-10-22,1.44,1.46,1.44,1.46,1.46,957,0.0000,1.0
2020-10-21,1.445,1.445,1.445,1.445,1.445,156,0.0000,1.0
2020-10-20,1.43,1.4888,1.43,1.45,1.45,549,0.0000,1.0
2020-10-19,1.4621,1.4621,1.4621,1.4621,1.4621,206,0.0000,1.0
2020-10-16,1.45,1.47,1.44,1.47,1.47,1284,0.0000,1.0
2020-10-15,1.465,1.465,1.465,1.465,1.465,225,0.0000,1.0
2020-10-14,1.47,1.47,1.47,1.47,1.47,248,0.0000,1.0
