timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,36.26,37.15,35.99,36.67,36.67,1706911,0.0000,1.5
2020-12-10,54.5,54.85,53.82,54.14,36.0933333333,953566,0.0000,1.0
2020-12-09,56.67,57.02,54.5,54.56,36.3733333333,1082933,0.0000,1.0
2020-12-08,55.81,56.66,55.39,56.5,37.6666666667,1225157,0.0000,1.0
2020-12-07,55.55,56.41,55.3,56.01,37.34,675725,0.0000,1.0
2020-12-04,55.14,56.13,55.14,55.55,37.0333333333,733964,0.0000,1.0
2020-12-03,54.99,56.02,54.99,55.15,36.7666666667,961621,0.0000,1.0
2020-12-02,57.54,57.54,55.145,55.16,36.7733333333,953307,0.0000,1.0
2020-12-01,56.94,58.17,56.87,57.54,38.36,1291078,0.0000,1.0
2020-11-30,57.17,57.47,56.355,57.18,38.12,3640751,0.0000,1.0
2020-11-27,56.11,57.05,55.65,57.03,38.02,491983,0.0000,1.0
2020-11-25,56.53,57.01,55.73,55.94,37.2933333333,1125075,0.0000,1.0
2020-11-24,57.19,57.25,56.39,56.53,37.6866666667,1567846,0.0000,1.0
2020-11-23,57.95,58.15,56.72,57.08,38.0533333333,995988,0.0000,1.0
2020-11-20,58.9,58.92,57.49,57.62,38.4133333333,902417,0.0000,1.0
2020-11-19,58.01,58.96,57.33,58.7,39.1333333333,966102,0.0000,1.0
2020-11-18,58.03,58.66,57.51,57.64,38.4266666667,828670,0.0000,1.0
2020-11-17,58.75,59.55,57.685,58.0,38.6666666667,771500,0.0000,1.0
2020-11-16,58.62,59.161,56.86,58.93,39.2866666667,850740,0.0000,1.0
2020-11-13,58.79,59.35,58.15,58.83,39.22,584568,0.0000,1.0
2020-11-12,59.52,59.94,58.28,58.54,39.0266666667,538529,0.0000,1.0
2020-11-11,57.1,59.625,56.89,59.39,39.5933333333,1018621,0.0000,1.0
2020-11-10,56.96,57.87,56.19,56.81,37.8733333333,1235042,0.0000,1.0
2020-11-09,63.95,64.5,56.94,56.94,37.96,1696270,0.2100,1.0
2020-11-06,63.36,63.88,62.9,63.16,41.951944007,626294,0.0000,1.0
2020-11-05,62.03,63.84,62.0,63.29,42.0382922135,1110444,0.0000,1.0
2020-11-04,59.68,61.855,59.36,61.33,40.7364269466,1061570,0.0000,1.0
2020-11-03,58.67,59.55,58.51,59.42,39.4677725284,1308147,0.0000,1.0
2020-11-02,58.18,58.94,57.88,58.15,38.6242169729,1433395,0.0000,1.0
2020-10-30,58.89,59.14,57.31,57.85,38.424951881,1610497,0.0000,1.0
2020-10-29,61.72,61.72,59.2,59.2,39.3216447944,2233271,0.0000,1.0
2020-10-28,58.32,62.43,57.18,61.36,40.7563534558,2437366,0.0000,1.0
2020-10-27,59.66,59.84,58.94,59.29,39.381424322,977502,0.0000,1.0
2020-10-26,59.91,59.91,59.03,59.5,39.5209098863,1119359,0.0000,1.0
