timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,66.41,66.92,65.36,66.92,66.92,74267,0.0000,1.0
2020-12-10,65.68,67.4498,65.2046,67.05,67.05,78381,0.0000,1.0
2020-12-09,69.41,69.8285,65.9,66.51,66.51,117317,0.0000,1.0
2020-12-08,68.72,69.71,68.23,69.43,69.43,68019,0.0000,1.0
2020-12-07,68.46,69.2289,68.38,68.94,68.94,312061,0.0000,1.0
2020-12-04,67.67,68.4699,67.33,68.41,68.41,49572,0.0000,1.0
2020-12-03,67.77,68.39,67.22,67.53,67.53,51288,0.0000,1.0
2020-12-02,67.16,67.6733,65.67,67.6,67.6,79779,0.0000,1.0
2020-12-01,66.55,68.0,65.93,67.42,67.42,96493,0.0000,1.0
2020-11-30,65.2,65.82,63.7718,65.73,65.73,125976,0.0000,1.0
2020-11-27,64.53,65.575,64.53,65.07,65.07,52505,0.0000,1.0
2020-11-25,63.74,64.2451,63.25,63.91,63.91,65413,0.0000,1.0
2020-11-24,62.24,63.51,61.291,63.48,63.48,102470,0.0000,1.0
2020-11-23,62.72,63.055,60.95,62.0,62.0,395812,0.0000,1.0
2020-11-20,63.43,63.774,62.3096,62.34,62.34,58585,0.0000,1.0
2020-11-19,61.91,63.4899,61.47,63.4,63.4,56663,0.0000,1.0
2020-11-18,63.29,63.56,61.99,61.99,61.99,58257,0.0000,1.0
2020-11-17,63.52,63.94,62.69,63.36,63.36,48515,0.0000,1.0
2020-11-16,62.98,64.13,62.2696,64.0,64.0,144318,0.0000,1.0
2020-11-13,62.65,63.07,61.6,62.89,62.89,42215,0.0000,1.0
2020-11-12,62.92,63.63,61.6,61.9,61.9,74879,0.0000,1.0
2020-11-11,60.97,62.95,60.8,62.62,62.62,88595,0.0000,1.0
2020-11-10,61.06,61.6939,58.27,59.69,59.69,272922,0.0000,1.0
2020-11-09,67.9,67.9,62.23,62.45,62.45,182528,0.0000,1.0
2020-11-06,64.24,65.59,62.82,65.17,65.17,159698,0.0000,1.0
2020-11-05,64.67,65.15,63.66,64.9,64.9,246465,0.0000,1.0
2020-11-04,59.9,61.8805,58.9,61.25,61.25,185290,0.0000,1.0
2020-11-03,54.6,56.66,54.4727,56.03,56.03,116012,0.0000,1.0
2020-11-02,54.57,55.71,52.91,53.98,53.98,286320,0.0000,1.0
2020-10-30,55.52,56.11,52.97,54.14,54.14,227142,0.0000,1.0
2020-10-29,55.02,58.0,55.02,56.5,56.5,171829,0.0000,1.0
2020-10-28,57.29,57.71,54.32,54.41,54.41,207898,0.0000,1.0
2020-10-27,59.3,59.85,58.6,59.57,59.57,99125,0.0000,1.0
2020-10-26,60.12,61.0096,57.05,58.64,58.64,256612,0.0000,1.0
2020-10-23,61.0,61.17,59.917,61.17,61.17,80925,0.0000,1.0
2020-10-22,61.25,61.51,59.16,60.76,60.76,174313,0.0000,1.0
2020-10-21,60.93,62.441,60.87,60.89,60.89,100444,0.0000,1.0
2020-10-20,61.02,62.0837,60.095,60.89,60.89,91183,0.0000,1.0
2020-10-19,63.26,63.76,60.1,60.5,60.5,158497,0.0000,1.0
2020-10-16,63.54,63.98,62.52,62.57,62.57,91382,0.0000,1.0
2020-10-15,61.41,63.1029,60.73,62.88,62.88,165415,0.0000,1.0
2020-10-14,64.56,65.15,62.4,63.44,63.44,117312,0.0000,1.0
2020-10-13,65.18,65.5809,63.65,64.19,64.19,157538,0.0000,1.0
2020-10-12,62.78,65.505,62.26,64.54,64.54,379137,0.0000,1.0
2020-10-09,59.49,60.85,59.49,60.82,60.82,422694,0.0000,1.0
2020-10-08,59.23,59.29,58.5737,58.97,58.97,96031,0.0000,1.0
2020-10-07,57.42,58.479,57.1206,58.29,58.29,110869,0.0000,1.0
2020-10-06,57.93,58.81,55.95,56.41,56.41,109643,0.0000,1.0
2020-10-05,56.51,58.16,56.4704,58.16,58.16,94210,0.0000,1.0
2020-10-02,55.24,57.7054,55.2,55.59,55.59,206522,0.0000,1.0
2020-10-01,58.29,58.7699,57.8,58.44,58.44,132046,0.0000,1.0
2020-09-30,56.02,58.1,56.0,56.91,56.91,397368,0.0000,1.0
2020-09-29,56.28,56.74,55.8,56.17,56.17,116057,0.0000,1.0
2020-09-28,56.39,56.5,55.22,56.16,56.16,116900,0.0000,1.0
2020-09-25,51.97,54.7199,51.49,54.4,54.4,125704,0.0000,1.0
2020-09-24,50.39,53.08,50.2,51.83,51.83,161397,0.0000,1.0
2020-09-23,54.7,54.7,51.07,51.4,51.4,106628,0.0000,1.0
2020-09-22,54.01,54.84,52.25,54.57,54.57,133541,0.0000,1.0
2020-09-21,50.0,52.71,49.69,52.71,52.71,675714,0.0000,1.0
2020-09-18,53.88,54.23,50.4,51.9,51.9,230681,0.0000,1.0
2020-09-17,52.44,54.4059,52.161,53.59,53.59,436316,0.0000,1.0
2020-09-16,57.49,57.55,54.93,54.98,54.98,170973,0.0000,1.0
2020-09-15,57.34,57.8,56.28,57.02,57.02,217007,0.0000,1.0
2020-09-14,55.72,56.77,54.94,55.59,55.59,212610,0.0000,1.0
2020-09-11,55.89,56.0,52.5,54.03,54.03,344001,0.0000,1.0
2020-09-10,58.88,58.9,54.1687,54.81,54.81,332738,0.0000,1.0
2020-09-09,56.54,58.25,55.3109,57.18,57.18,364944,0.0000,1.0
2020-09-08,54.58,57.59,53.84,53.9146,53.9146,414005,0.0000,1.0
2020-09-04,60.3,62.23,54.25,59.1,59.1,937558,0.0000,1.0
2020-09-03,67.35,67.35,60.37,61.74,61.74,632947,0.0000,1.0
2020-09-02,70.46,70.46,66.95,69.86,69.86,345358,0.0000,1.0
2020-09-01,66.38,68.2598,65.87,68.2231,68.2231,158952,0.0000,1.0
2020-08-31,65.4,66.22,64.67,65.33,65.33,334236,0.0000,1.0
2020-08-28,64.67,65.182,64.2,64.88,64.88,216107,0.0000,1.0
2020-08-27,64.83,65.09,62.89,63.85,63.85,226138,0.0000,1.0
2020-08-26,62.3,64.6,62.3,64.47,64.47,231019,0.0000,1.0
2020-08-25,60.28,61.131,59.86,61.12,61.12,103707,0.0000,1.0
2020-08-24,61.01,61.4,59.3501,60.26,60.26,178046,0.0000,1.0
2020-08-21,58.34,59.53,58.15,59.38,59.38,239668,0.0000,1.0
2020-08-20,56.35,58.36,56.0,58.23,58.23,97867,0.0000,1.0
2020-08-19,56.79,57.59,56.33,56.43,56.43,121295,0.0000,1.0
2020-08-18,56.83,56.89,55.66,56.69,56.69,126345,0.0000,4.0
2020-08-17,223.16,224.29,222.63,223.39,55.8475,28237,0.0000,1.0
2020-08-14,221.64,222.34,219.025,220.64,55.16,18400,0.0000,1.0
