timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,155.56,156.391,154.96,155.91,155.91,11697,0.0000,1.0
2020-12-10,156.59,156.742,155.75,156.445,156.445,6388,0.0000,1.0
2020-12-09,157.69,158.0,156.25,157.17,157.17,11598,0.0000,1.0
2020-12-08,156.3,157.16,155.76,157.15,157.15,25737,0.0000,1.0
2020-12-07,157.5,157.675,156.68,157.21,157.21,41072,0.0000,1.0
2020-12-04,158.57,158.57,157.605,158.15,158.15,13390,0.0000,1.0
2020-12-03,158.01,158.47,157.81,157.8637,157.8637,8325,0.0000,1.0
2020-12-02,158.85,158.85,157.63,158.01,158.01,37482,0.0000,1.0
2020-12-01,159.0,159.35,158.18,158.93,158.93,16935,0.0000,1.0
2020-11-30,158.49,158.49,156.25,158.02,158.02,44999,0.0000,1.0
2020-11-27,158.84,158.84,158.01,158.13,158.13,8814,0.0000,1.0
2020-11-25,157.75,157.97,157.19,157.8756,157.8756,11682,0.0000,1.0
2020-11-24,157.3,158.1596,156.3,157.79,157.79,15025,0.0000,1.0
2020-11-23,155.15,155.95,154.6682,155.655,155.655,11253,0.0000,1.0
2020-11-20,155.54,155.54,154.37,154.4042,154.4042,13164,0.0000,1.0
2020-11-19,154.0,155.11,154.0,155.07,155.07,9385,0.0000,1.0
2020-11-18,156.03,156.545,154.2596,154.2596,154.2596,13600,0.0000,1.0
2020-11-17,156.92,156.92,154.62,155.47,155.47,14523,0.0000,1.0
2020-11-16,157.5,157.9083,156.9,157.7589,157.7589,20106,0.0000,1.0
2020-11-13,155.15,156.8944,155.15,156.75,156.75,13302,0.0000,1.0
2020-11-12,155.34,155.56,153.54,154.3074,154.3074,13719,0.0000,1.0
2020-11-11,154.78,155.73,154.5,154.8696,154.8696,12176,0.0000,1.0
2020-11-10,152.79,154.34,152.32,153.68,153.68,16753,0.0000,1.0
2020-11-09,158.48,158.48,153.07,153.07,153.07,18125,0.0000,1.0
2020-11-06,155.42,156.06,154.99,156.01,156.01,11522,0.0000,1.0
2020-11-05,155.43,156.3399,154.93,155.42,155.42,11004,0.0000,1.0
2020-11-04,152.16,154.282,151.72,152.76,152.76,12289,0.0000,1.0
2020-11-03,147.66,150.25,147.66,149.86,149.86,9459,0.0000,1.0
2020-11-02,145.75,146.59,144.46,146.01,146.01,10048,0.0000,1.0
2020-10-30,146.05,146.05,143.1,144.23,144.23,18334,0.0000,1.0
2020-10-29,146.6,148.395,146.305,147.314,147.314,8251,0.0000,1.0
2020-10-28,148.4,149.06,146.5611,146.58,146.58,13473,0.0000,1.0
2020-10-27,150.89,151.155,150.56,150.75,150.75,5124,0.0000,1.0
2020-10-26,151.59,152.44,149.22,150.83,150.83,15435,0.0000,1.0
2020-10-23,152.46,153.005,151.471,153.005,153.005,35522,0.0000,1.0
2020-10-22,153.1,153.1,150.71,151.81,151.81,5920,0.0000,1.0
2020-10-21,153.56,154.07,152.52,152.52,152.52,5592,0.0000,1.0
2020-10-20,153.64,155.18,153.32,153.5884,153.5884,19145,0.0000,1.0
2020-10-19,155.92,156.26,152.39,152.7468,152.7468,10815,0.0000,1.0
2020-10-16,156.67,157.44,154.46,155.1195,155.1195,10813,0.0000,1.0
2020-10-15,153.61,155.9801,153.61,155.6857,155.6857,10829,0.0000,1.0
2020-10-14,157.13,157.1699,154.4,155.18,155.18,16214,0.0000,1.0
2020-10-13,156.87,157.3,156.26,156.982,156.982,13381,0.0000,1.0
2020-10-12,155.57,157.33,155.15,156.26,156.26,12409,0.0000,1.0
2020-10-09,153.38,154.395,153.25,153.94,153.94,32931,0.0000,1.0
2020-10-08,152.77,152.77,151.8461,152.5089,152.5089,7590,0.0000,1.0
2020-10-07,149.95,151.5889,149.95,151.43,151.43,6620,0.0000,1.0
2020-10-06,151.65,151.65,148.305,148.61,148.61,11492,0.0000,1.0
2020-10-05,150.53,151.28,150.1606,151.28,151.28,11714,0.0000,1.0
2020-10-02,148.46,149.98,148.3372,149.75,149.75,6312,0.0000,1.0
2020-10-01,150.09,151.1,149.57,150.65,150.65,9237,0.0000,1.0
2020-09-30,147.56,150.43,147.56,148.88,148.88,8436,0.0000,1.0
2020-09-29,148.08,148.08,146.8934,146.99,146.99,8236,0.0000,1.0
2020-09-28,147.32,147.97,146.47,147.7,147.7,9508,0.0000,1.0
2020-09-25,143.07,145.51,143.07,145.2713,145.2713,5000,0.0000,1.0
2020-09-24,142.56,145.0,141.9,143.4024,143.4024,9378,0.0000,1.0
2020-09-23,147.0,147.28,143.155,143.38,143.38,4776,0.0000,1.0
2020-09-22,144.99,146.82,144.9477,146.7267,146.7267,6679,0.0000,1.0
