timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,46.615,46.7,46.335,46.6426,46.6426,10273,0.0000,1.0
2020-12-10,46.77,47.19,46.58,47.16,47.16,13555,0.0000,1.0
2020-12-09,47.29,47.4817,46.88,47.08,47.08,19560,0.0000,1.0
2020-12-08,46.78,47.22,46.78,47.16,47.16,13211,0.0000,1.0
2020-12-07,47.18,47.24,46.9201,47.1,47.1,11077,0.0000,1.0
2020-12-04,47.23,47.53,47.17,47.53,47.53,35020,0.0000,1.0
2020-12-03,46.73,47.0899,46.569,46.83,46.83,21731,0.0000,1.0
2020-12-02,46.08,46.7001,46.08,46.66,46.66,13529,0.0000,1.0
2020-12-01,46.09,46.445,46.09,46.21,46.21,27413,0.0000,1.0
2020-11-30,46.15,46.15,45.1119,45.13,45.13,14186,0.0000,1.0
2020-11-27,46.5,46.5,46.09,46.1538,46.1538,5607,0.0000,1.0
2020-11-25,46.1,46.5,46.0629,46.5,46.5,7928,0.0000,1.0
2020-11-24,46.03,46.9,46.03,46.9,46.9,18804,0.0000,1.0
2020-11-23,44.87,45.33,44.87,45.25,45.25,32341,0.0000,1.0
2020-11-20,44.59,44.59,44.27,44.4037,44.4037,14734,0.0000,1.0
2020-11-19,44.43,44.81,44.27,44.7724,44.7724,25388,0.0000,1.0
2020-11-18,45.18,45.76,44.8037,44.8037,44.8037,51028,0.0000,1.0
2020-11-17,44.66,45.1452,44.22,45.1275,45.1275,38852,0.0000,1.0
2020-11-16,45.16,45.29,44.7351,45.18,45.18,24237,0.0000,1.0
2020-11-13,43.5,44.2267,43.5,44.0501,44.0501,22277,0.0000,1.0
2020-11-12,43.243,43.5,42.6798,43.11,43.11,22184,0.0000,1.0
2020-11-11,44.76,44.76,43.79,44.0,44.0,31802,0.0000,1.0
2020-11-10,44.25,44.53,44.0,44.4293,44.4293,21495,0.0000,1.0
2020-11-09,42.51,44.97,42.51,44.1785,44.1785,31793,0.0000,1.0
2020-11-06,41.18,41.18,40.37,40.44,40.44,12468,0.0000,1.0
2020-11-05,40.21,41.3,40.21,41.0219,41.0219,7611,0.0000,1.0
2020-11-04,40.2,40.69,39.36,39.8937,39.8937,8941,0.0000,1.0
