timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.11,1.11,1.09,1.1,1.1,71605,0.0000,1.0
2020-12-10,1.1,1.12,1.1,1.11,1.11,112383,0.0000,1.0
2020-12-09,1.18,1.19,1.07,1.11,1.11,646671,0.0000,1.0
2020-12-08,1.1,1.22,1.0915,1.16,1.16,953961,0.0000,1.0
2020-12-07,1.06,1.1,1.06,1.1,1.1,294602,0.0000,1.0
2020-12-04,1.1,1.1,1.04,1.09,1.09,371915,0.0000,1.0
2020-12-03,1.1,1.11,1.07,1.09,1.09,135394,0.0000,1.0
2020-12-02,1.03,1.11,1.02,1.11,1.11,399370,0.0000,1.0
2020-12-01,1.06,1.1,1.03,1.05,1.05,421016,0.0000,1.0
2020-11-30,1.11,1.13,1.05,1.07,1.07,437277,0.0000,1.0
2020-11-27,1.07,1.14,1.07,1.13,1.13,392332,0.0000,1.0
2020-11-25,1.09,1.09,1.05,1.07,1.07,281259,0.0000,1.0
2020-11-24,1.1,1.12,1.04,1.09,1.09,533130,0.0000,1.0
2020-11-23,1.01,1.1389,1.0031,1.1,1.1,1488080,0.0000,1.0
2020-11-20,1.02,1.03,0.98,1.01,1.01,384464,0.0000,1.0
2020-11-19,1.0,1.025,1.0,1.01,1.01,240888,0.0000,1.0
2020-11-18,0.965,1.025,0.95,1.0,1.0,656516,0.0000,1.0
2020-11-17,0.96,0.97,0.94,0.9501,0.9501,256273,0.0000,1.0
2020-11-16,0.95,0.99,0.944001,0.96,0.96,551012,0.0000,1.0
2020-11-13,0.97,0.97,0.9102,0.9507,0.9507,465122,0.0000,1.0
2020-11-12,0.95,0.9645,0.93,0.96,0.96,518519,0.0000,1.0
2020-11-11,0.96,0.96,0.9232,0.9549,0.9549,290453,0.0000,1.0
2020-11-10,0.95,0.95,0.9031,0.95,0.95,336630,0.0000,1.0
2020-11-09,0.91,0.97,0.89,0.9499,0.9499,596935,0.0000,1.0
2020-11-06,0.8855,0.905,0.855,0.9,0.9,448804,0.0000,1.0
2020-11-05,0.845,0.8995,0.845,0.89,0.89,505934,0.0000,1.0
2020-11-04,0.88,0.89,0.83,0.835,0.835,609377,0.0000,1.0
2020-11-03,0.9,0.907,0.8613,0.8825,0.8825,734481,0.0000,1.0
2020-11-02,0.8331,0.889,0.8301,0.8611,0.8611,377251,0.0000,1.0
2020-10-30,0.8991,0.9,0.7828,0.8327,0.8327,773808,0.0000,1.0
2020-10-29,0.91,0.94,0.869,0.8988,0.8988,840432,0.0000,1.0
2020-10-28,0.94,0.95,0.88,0.8997,0.8997,737734,0.0000,1.0
2020-10-27,0.9439,0.96,0.92,0.9534,0.9534,533498,0.0000,1.0
2020-10-26,1.03,1.04,0.92,0.94,0.94,1470746,0.0000,1.0
2020-10-23,1.1,1.1,1.0,1.03,1.03,1427398,0.0000,1.0
2020-10-22,1.12,1.16,1.08,1.09,1.09,1764674,0.0000,1.0
2020-10-21,1.04,1.16,1.03,1.09,1.09,2381486,0.0000,1.0
2020-10-20,1.01,1.09,1.01,1.06,1.06,1418238,0.0000,1.0
2020-10-19,1.01,1.04,0.9909,0.999,0.999,580813,0.0000,1.0
2020-10-16,0.99,1.04,0.99,1.01,1.01,566856,0.0000,1.0
2020-10-15,0.99,1.05,0.98,1.01,1.01,844576,0.0000,1.0
2020-10-14,0.9976,1.02,0.9954,1.01,1.01,291568,0.0000,1.0
2020-10-13,0.9755,1.02,0.95,1.003,1.003,1092833,0.0000,1.0
2020-10-12,0.99,1.06,0.95,0.9889,0.9889,2335253,0.0000,1.0
2020-10-09,1.01,1.0199,0.965,0.9812,0.9812,900068,0.0000,1.0
2020-10-08,1.1,1.25,1.02,1.05,1.05,4743533,0.0000,1.0
2020-10-07,0.93,1.19,0.93,1.18,1.18,5748678,0.0000,1.0
2020-10-06,0.92,0.9798,0.91,0.9353,0.9353,915973,0.0000,1.0
2020-10-05,0.9234,0.9399,0.903,0.9235,0.9235,443132,0.0000,1.0
2020-10-02,0.9,0.937,0.8611,0.9249,0.9249,718593,0.0000,1.0
2020-10-01,0.9175,0.92,0.902,0.91,0.91,317680,0.0000,1.0
2020-09-30,0.96,0.9689,0.89,0.9157,0.9157,1303764,0.0000,1.0
2020-09-29,0.93,1.05,0.9025,0.9905,0.9905,3649705,0.0000,1.0
2020-09-28,0.95,1.02,0.92,0.95,0.95,1950818,0.0000,1.0
2020-09-25,0.91,1.14,0.89,1.05,1.05,3258627,0.0000,1.0
2020-09-24,0.92,0.93,0.855,0.9099,0.9099,787819,0.0000,1.0
2020-09-23,0.94,0.9779,0.87,0.9199,0.9199,741572,0.0000,1.0
2020-09-22,0.9151,1.02,0.915,0.9343,0.9343,1141752,0.0000,1.0
2020-09-21,0.9689,0.9972,0.91,0.9336,0.9336,699861,0.0000,1.0
2020-09-18,1.0,1.0315,0.9555,1.0,1.0,1046622,0.0000,1.0
2020-09-17,1.08,1.09,1.01,1.02,1.02,1153960,0.0000,1.0
2020-09-16,1.19,1.19,1.11,1.14,1.14,1191434,0.0000,1.0
2020-09-15,1.25,1.3,1.16,1.23,1.23,1674412,0.0000,1.0
2020-09-14,1.165,1.33,1.0701,1.28,1.28,4264553,0.0000,1.0
2020-09-11,0.9439,1.35,0.93,1.275,1.275,9836376,0.0000,1.0
2020-09-10,0.92,0.9695,0.91,0.9405,0.9405,462763,0.0000,1.0
2020-09-09,0.919,0.9456,0.9011,0.9101,0.9101,282362,0.0000,1.0
2020-09-08,0.9,0.9281,0.88021,0.919,0.919,222831,0.0000,1.0
2020-09-04,0.9675,0.9891,0.85,0.9202,0.9202,554552,0.0000,1.0
2020-09-03,1.02,1.02,0.94,0.958,0.958,413323,0.0000,1.0
2020-09-02,1.05,1.05,0.98,1.02,1.02,328378,0.0000,1.0
2020-09-01,1.0,1.12,0.97,1.04,1.04,998448,0.0000,1.0
2020-08-31,1.04,1.055,0.96,0.97,0.97,410622,0.0000,1.0
2020-08-28,1.02,1.07,1.02,1.04,1.04,239165,0.0000,1.0
2020-08-27,1.1,1.14,1.0,1.02,1.02,373204,0.0000,1.0
2020-08-26,1.0,1.11,0.99,1.08,1.08,660076,0.0000,1.0
2020-08-25,1.0,1.02,0.99,1.0002,1.0002,313521,0.0000,1.0
2020-08-24,1.1,1.11,0.96,0.9936,0.9936,1082333,0.0000,1.0
2020-08-21,1.19,1.22,1.114,1.14,1.14,780225,0.0000,1.0
2020-08-20,1.19,1.28,1.17,1.21,1.21,750532,0.0000,1.0
2020-08-19,1.15,1.24,1.15,1.16,1.16,818978,0.0000,1.0
2020-08-18,1.2,1.21,1.14,1.16,1.16,523431,0.0000,1.0
2020-08-17,1.29,1.3301,1.18,1.2,1.2,936403,0.0000,1.0
2020-08-14,1.5,1.505,1.31,1.33,1.33,1501201,0.0000,1.0
2020-08-13,1.42,1.57,1.4,1.48,1.48,2022737,0.0000,1.0
2020-08-12,1.58,1.63,1.43,1.455,1.455,850923,0.0000,1.0
2020-08-11,1.65,1.69,1.56,1.58,1.58,1672711,0.0000,1.0
2020-08-10,1.55,1.7399,1.55,1.62,1.62,1546104,0.0000,1.0
2020-08-07,1.62,1.62,1.44,1.52,1.52,691794,0.0000,1.0
2020-08-06,1.64,1.67,1.52,1.56,1.56,1050513,0.0000,1.0
2020-08-05,1.66,1.76,1.58,1.68,1.68,1527613,0.0000,1.0
2020-08-04,1.74,1.89,1.65,1.67,1.67,2766811,0.0000,1.0
2020-08-03,1.73,1.78,1.67,1.74,1.74,569855,0.0000,1.0
2020-07-31,1.77,1.8193,1.65,1.67,1.67,565833,0.0000,1.0
2020-07-30,1.71,1.845,1.57,1.76,1.76,2523410,0.0000,1.0
2020-07-29,1.85,1.8709,1.7,1.73,1.73,1016806,0.0000,1.0
2020-07-28,1.93,1.95,1.72,1.83,1.83,1893206,0.0000,1.0
2020-07-27,2.1065,2.15,1.86,1.89,1.89,2927414,0.0000,1.0
2020-07-24,2.1,2.28,2.05,2.08,2.08,2002296,0.0000,1.0
2020-07-23,2.03,2.46,1.98,2.34,2.34,6523816,0.0000,1.0
2020-07-22,1.96,2.19,1.91,2.02,2.02,4075047,0.0000,1.0
2020-07-21,1.98,2.1,1.81,1.9,1.9,3124279,0.0000,1.0
2020-07-20,1.98,2.24,1.81,2.13,2.13,7511612,0.0000,1.0
2020-07-17,1.04,1.99,1.04,1.9,1.9,20193802,0.0000,1.0
2020-07-16,1.04,1.09,0.97,1.05,1.05,849560,0.0000,1.0
2020-07-15,0.9,1.62,0.87,1.17,1.17,4527439,0.0000,1.0
