timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,21.91,22.0,21.19,21.44,21.44,1433673,0.0000,1.0
2020-12-10,22.41,22.705,21.95,22.0,22.0,906032,0.0000,1.0
2020-12-09,22.52,23.06,22.21,22.64,22.64,1483100,0.0000,1.0
2020-12-08,23.0,23.0,22.03,22.46,22.46,1347710,0.0000,1.0
2020-12-07,23.5,23.66,22.48,22.53,22.53,1076607,0.0000,1.0
2020-12-04,23.74,24.28,23.37,23.62,23.62,575576,0.0000,1.0
2020-12-03,23.54,24.1207,23.455,23.69,23.69,739279,0.0000,1.0
2020-12-02,23.16,23.67,22.77,23.49,23.49,653075,0.0000,1.0
2020-12-01,24.395,24.395,23.09,23.22,23.22,734958,0.0000,1.0
2020-11-30,24.78,24.78,23.66,23.77,23.77,561038,0.0000,1.0
2020-11-27,24.35,24.86,24.23,24.71,24.71,320242,0.0000,1.0
2020-11-25,25.01,25.19,24.15,24.25,24.25,531474,0.0000,1.0
2020-11-24,24.52,25.67,24.4876,25.09,25.09,643575,0.0000,1.0
2020-11-23,24.14,24.45,24.08,24.32,24.32,683286,0.0000,1.0
2020-11-20,24.53,24.555,24.0,24.02,24.02,522517,0.0000,1.0
2020-11-19,25.23,25.24,24.44,24.5,24.5,420656,0.0000,1.0
2020-11-18,26.41,26.5,25.1,25.23,25.23,317018,0.0000,1.0
2020-11-17,26.4,26.5,26.05,26.21,26.21,515755,0.0000,1.0
2020-11-16,26.6732,27.0,26.1109,26.83,26.83,600802,0.0000,1.0
2020-11-13,25.33,26.03,25.22,25.7,25.7,279755,0.0000,1.0
2020-11-12,25.18,25.4795,24.68,24.95,24.95,226422,0.0000,1.0
2020-11-11,25.35,25.55,24.8548,25.48,25.48,223466,0.0000,1.0
2020-11-10,25.54,25.929,24.78,25.3,25.3,360567,0.0000,1.0
2020-11-09,26.02,26.8649,25.2501,25.54,25.54,449990,0.0000,1.0
2020-11-06,24.73,25.11,24.3,24.54,24.54,617101,0.0000,1.0
2020-11-05,23.99,24.8,22.5301,24.44,24.44,1401857,0.0000,1.0
2020-11-04,24.35,24.4656,23.04,23.12,23.12,989180,0.0000,1.0
2020-11-03,24.235,24.67,24.01,24.53,24.53,981072,0.0000,1.0
2020-11-02,23.39,23.68,22.97,23.67,23.67,218647,0.0000,1.0
2020-10-30,23.29,23.645,22.926,23.16,23.16,210515,0.0000,1.0
2020-10-29,23.15,23.84,22.56,23.3,23.3,237461,0.0000,1.0
2020-10-28,24.01,24.2353,22.9,23.01,23.01,254550,0.0000,1.0
2020-10-27,25.18,25.2526,24.21,24.27,24.27,307860,0.0000,1.0
2020-10-26,25.91,25.925,25.07,25.4,25.4,202210,0.0000,1.0
2020-10-23,26.05,26.3723,25.93,26.17,26.17,151856,0.0000,1.0
2020-10-22,25.83,26.054,25.59,25.97,25.97,172717,0.0000,1.0
2020-10-21,26.36,26.49,25.81,25.85,25.85,159828,0.0000,1.0
2020-10-20,26.18,26.62,26.13,26.24,26.24,180736,0.0000,1.0
2020-10-19,25.88,26.33,25.6,25.865,25.865,208679,0.0000,1.0
2020-10-16,26.085,26.5,25.77,25.8,25.8,126812,0.0000,1.0
2020-10-15,26.15,26.54,25.95,26.46,26.46,136693,0.0000,1.0
2020-10-14,26.3,26.86,26.22,26.28,26.28,225909,0.0000,1.0
2020-10-13,26.75,26.75,26.49,26.53,26.53,153170,0.0000,1.0
2020-10-12,27.06,27.315,26.46,26.81,26.81,229183,0.0000,1.0
2020-10-09,26.4,27.41,26.04,27.1,27.1,358962,0.0000,1.0
2020-10-08,25.23,25.66,24.76,25.57,25.57,339275,0.0000,1.0
2020-10-07,24.77,25.06,24.24,24.91,24.91,221593,0.0000,1.0
2020-10-06,24.785,25.5,24.57,24.59,24.59,239781,0.0000,1.0
2020-10-05,24.59,24.88,24.35,24.84,24.84,365444,0.0000,1.0
2020-10-02,24.19,24.46,23.93,24.38,24.38,278689,0.0000,1.0
2020-10-01,24.79,25.12,24.51,24.75,24.75,297210,0.0000,1.0
2020-09-30,25.32,25.71,24.65,24.89,24.89,282035,0.0000,1.0
2020-09-29,25.58,25.74,25.1,25.24,25.24,166782,0.0000,1.0
2020-09-28,25.12,25.7999,25.12,25.5,25.5,170369,0.0000,1.0
2020-09-25,24.71,25.03,24.52,24.93,24.93,219903,0.0000,1.0
2020-09-24,25.23,25.4,24.04,24.97,24.97,310984,0.0000,1.0
2020-09-23,26.95,27.24,25.37,25.42,25.42,268932,0.0000,1.0
2020-09-22,26.96,27.42,26.755,26.98,26.98,279429,0.0000,1.0
2020-09-21,27.81,28.2,26.82,26.93,26.93,335380,0.0000,1.0
2020-09-18,28.69,28.85,28.06,28.45,28.45,305861,0.0000,1.0
2020-09-17,28.08,28.78,27.81,28.65,28.65,187422,0.0000,1.0
2020-09-16,28.09,28.6,27.735,28.31,28.31,204669,0.0000,1.0
2020-09-15,28.23,28.31,27.81,27.88,27.88,144300,0.0000,1.0
2020-09-14,28.28,28.555,27.91,28.13,28.13,201914,0.0000,1.0
2020-09-11,27.69,27.96,27.51,27.88,27.88,171104,0.0000,1.0
2020-09-10,28.24,28.73,27.12,27.28,27.28,345852,0.0000,1.0
2020-09-09,28.31,28.41,27.96,28.03,28.03,192389,0.0000,1.0
2020-09-08,28.27,28.42,27.83,28.16,28.16,234183,0.0000,1.0
2020-09-04,28.64,28.93,28.01,28.44,28.44,204971,0.0000,1.0
2020-09-03,29.37,29.47,28.24,28.37,28.37,246554,0.0000,1.0
