timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,9.21,9.2699,9.21,9.24,9.24,4466,0.0000,1.0
2020-12-10,9.22,9.27,9.22,9.23,9.23,19418,0.0000,1.0
2020-12-09,9.22,9.24,9.22,9.22,9.22,9594,0.0000,1.0
2020-12-08,9.2,9.23,9.2,9.23,9.23,7461,0.0000,1.0
2020-12-07,9.16,9.22,9.15,9.17,9.17,14549,0.0000,1.0
2020-12-04,9.16,9.2524,9.13,9.155,9.155,56248,0.0000,1.0
2020-12-03,9.1,9.15,9.1,9.15,9.15,11010,0.0000,1.0
2020-12-02,9.12,9.12,9.09,9.11,9.11,24054,0.0000,1.0
2020-12-01,9.12,9.12,9.07,9.12,9.12,21831,0.0000,1.0
2020-11-30,9.11,9.11,9.04,9.07,9.07,22040,0.0000,1.0
2020-11-27,9.08,9.11,9.08,9.0997,9.0997,7861,0.0000,1.0
2020-11-25,9.07,9.076,9.03,9.06,9.06,8500,0.0000,1.0
2020-11-24,9.14,9.14,9.0,9.07,9.07,17627,0.0000,1.0
2020-11-23,9.04,9.1,9.04,9.1,9.1,8030,0.0000,1.0
2020-11-20,9.09,9.09,8.98,9.03,9.03,23164,0.0000,1.0
2020-11-19,9.01,9.08,9.01,9.08,9.08,13335,0.0235,1.0
2020-11-18,9.05,9.06,9.05,9.06,9.03661229198,12394,0.0000,1.0
2020-11-17,9.02,9.05,9.0,9.05,9.02663810622,2683,0.0000,1.0
2020-11-16,8.98,9.03,8.98,9.02,8.99671554896,25299,0.0000,1.0
2020-11-13,8.95,8.99,8.95,8.99,8.96679299171,32848,0.0000,1.0
2020-11-12,8.9,8.94,8.9,8.94,8.91692206294,20022,0.0000,1.0
2020-11-11,8.87,8.92,8.87,8.92,8.89697369144,12911,0.0000,1.0
2020-11-10,8.879,8.9,8.865,8.9,8.87702531993,27755,0.0000,1.0
2020-11-09,8.98,8.98,8.83,8.89,8.86705113418,44308,0.0000,1.0
2020-11-06,8.87,8.9,8.85,8.9,8.87702531993,12878,0.0000,1.0
2020-11-05,8.87,8.873,8.8,8.87,8.84710276267,11193,0.0000,1.0
2020-11-04,8.78,8.865,8.75,8.85,8.82715439117,17995,0.0000,1.0
2020-11-03,8.7,8.77,8.68,8.77,8.74736090515,19118,0.0000,1.0
2020-11-02,8.74,8.75,8.67,8.73,8.70746416214,16461,0.0000,1.0
2020-10-30,8.685,8.7,8.62,8.7,8.67754160488,16309,0.0000,1.0
2020-10-29,8.68,8.7,8.6526,8.7,8.67754160488,15958,0.0000,1.0
2020-10-28,8.7,8.7001,8.61,8.67,8.64761904762,80859,0.0000,1.0
2020-10-27,8.76,8.7978,8.72,8.72,8.69748997638,70865,0.0000,1.0
2020-10-26,8.9111,8.9111,8.77,8.8,8.7772834624,24191,0.0000,1.0
2020-10-23,8.97,9.0,8.91,8.93,8.90694787719,12489,0.0000,1.0
2020-10-22,8.96,8.98,8.92,8.97,8.9468446202,26768,0.0235,1.0
2020-10-21,8.99,8.99,8.95,8.99,8.94336277707,17469,0.0000,1.0
2020-10-20,9.0,9.0,8.9896,9.0,8.9533109003,6075,0.0000,1.0
2020-10-19,8.95,8.99,8.95,8.99,8.94336277707,8263,0.0000,1.0
2020-10-16,8.99,8.99,8.95,8.95,8.90357028418,4154,0.0000,1.0
2020-10-15,8.98,8.98,8.95,8.95,8.90357028418,3746,0.0000,1.0
2020-10-14,8.9,8.97,8.9,8.95,8.90357028418,5878,0.0000,1.0
2020-10-13,9.07,9.0813,8.93,8.93,8.88367403774,14643,0.0000,1.0
2020-10-12,9.14,9.14,9.07,9.1,9.05279213252,15481,0.0000,1.0
2020-10-09,9.08,9.13,9.06,9.13,9.08263650219,6544,0.0000,1.0
2020-10-08,8.98,9.12,8.93,9.12,9.07268837897,25944,0.0000,1.0
2020-10-07,8.95,8.97,8.91,8.97,8.92346653063,6143,0.0000,1.0
2020-10-06,8.92,8.9823,8.92,8.94,8.89362216096,5909,0.0000,1.0
2020-10-05,8.96,8.995,8.94,8.9617,8.91520958835,4457,0.0000,1.0
2020-10-02,9.09,9.09,8.94,8.9506,8.90416717158,6374,0.0000,1.0
2020-10-01,9.07,9.12,8.98,9.02,8.97320714674,7908,0.0000,1.0
2020-09-30,8.95,9.09,8.95,9.06,9.01299963963,4562,0.0000,1.0
2020-09-29,9.24,9.24,8.895,9.01,8.96325902352,12572,0.0000,1.0
2020-09-28,9.1,9.38,9.0646,9.23,9.18211773441,20787,0.0000,1.0
2020-09-25,8.83,9.15,8.83,9.15,9.10253274863,25409,0.0000,1.0
2020-09-24,8.87,8.87,8.81,8.85,8.80408905196,22047,0.0000,1.0
2020-09-23,8.94,8.94,8.8,8.8266,8.78081044362,13606,0.0000,1.0
2020-09-22,9.06,9.06,8.81,8.86,8.81403717518,29743,0.0235,1.0
2020-09-21,8.9518,9.1525,8.9442,9.07,8.99907887419,8989,0.0000,1.0
2020-09-18,9.01,9.0126,8.92,8.9699,8.89976158695,6660,0.0000,1.0
2020-09-17,8.9975,9.0499,8.9975,9.01,8.93954803269,5657,0.0000,1.0
2020-09-16,8.99,9.056,8.97,9.0399,8.96921423537,18831,0.0000,1.0
2020-09-15,9.06,9.079,8.95,8.95,8.88001719118,6071,0.0000,1.0
2020-09-14,9.1063,9.1063,9.06,9.07,8.99907887419,2018,0.0000,1.0
2020-09-11,9.07,9.1,9.05,9.09,9.01892248803,6860,0.0000,1.0
2020-09-10,9.06,9.095,9.01,9.03,8.95939164652,8451,0.0000,1.0
2020-09-09,9.074,9.09,9.0212,9.09,9.01892248803,4967,0.0000,1.0
2020-09-08,9.0,9.13,8.98,9.04,8.96931345344,14465,0.0000,1.0
2020-09-04,9.26,9.26,9.0,9.08,9.00900068111,14750,0.0000,1.0
2020-09-03,9.24,9.3,9.2,9.225,9.15286688141,12699,0.0000,1.0
2020-09-02,9.1,9.28,9.07,9.24,9.16774959179,24851,0.0000,1.0
2020-09-01,9.09,9.1,9.03,9.1,9.02884429494,8500,0.0000,1.0
2020-08-31,9.1,9.1,9.05,9.07,8.99907887419,1936,0.0000,1.0
2020-08-28,9.08,9.1,9.0657,9.09,9.01892248803,8638,0.0000,1.0
2020-08-27,9.0401,9.09,9.04,9.065,8.99411797073,2549,0.0000,1.0
2020-08-26,9.05,9.12,9.01,9.1,9.02884429494,13526,0.0000,1.0
2020-08-25,9.02,9.06,8.9519,9.06,8.98915706727,60517,0.0000,1.0
2020-08-24,9.08,9.08,9.02,9.03,8.95939164652,8667,0.0000,1.0
2020-08-21,9.02,9.05,9.02,9.05,8.97923526036,368243,0.0235,1.0
2020-08-20,9.06,9.06,9.03,9.06,8.96587551208,8892,0.0000,1.0
2020-08-19,9.09,9.11,9.06,9.06,8.96587551208,32593,0.0000,1.0
2020-08-18,9.05,9.066,9.01,9.065,8.970823567,7384,0.0000,1.0
2020-08-17,9.06,9.065,9.05,9.05,8.95597940224,7901,0.0000,1.0
2020-08-14,9.07,9.09,9.05,9.05,8.95597940224,41032,0.0000,1.0
2020-08-13,9.09,9.09,9.05,9.08,8.98566773175,9632,0.0000,1.0
2020-08-12,9.04,9.09,9.04,9.09,8.99556384159,27386,0.0000,1.0
2020-08-11,9.06,9.065,9.04,9.04,8.9460832924,19736,0.0000,1.0
2020-08-10,9.04,9.09,9.04,9.07,8.97577162191,21080,0.0000,1.0
2020-08-07,9.0,9.06,9.0,9.04,8.9460832924,229812,0.0000,1.0
2020-08-06,9.0,9.04,8.975,9.0,8.90649885306,204993,0.0000,1.0
2020-08-05,8.98,9.01,8.95,9.0,8.90649885306,25977,0.0000,1.0
2020-08-04,8.96,8.9828,8.94,8.97,8.87681052355,89128,0.0000,1.0
2020-08-03,8.95,8.96,8.92,8.96,8.86691441371,22044,0.0000,1.0
2020-07-31,8.87,8.93,8.87,8.92,8.82732997436,40528,0.0000,1.0
2020-07-30,8.88,8.9,8.87,8.87,8.77784942518,32306,0.0000,1.0
2020-07-29,8.85,8.89,8.8467,8.87,8.77784942518,16113,0.0000,1.0
2020-07-28,8.8,8.85,8.79,8.84,8.74816109567,27301,0.0000,1.0
2020-07-27,8.89,8.89,8.811,8.83,8.73826498583,23737,0.0000,1.0
2020-07-24,8.82,8.85,8.81,8.85,8.75805720551,55404,0.0000,1.0
2020-07-23,8.86,8.86,8.8,8.81,8.71847276616,4945,0.0235,1.0
2020-07-22,8.82,8.85,8.81,8.8314,8.71640011174,20721,0.0000,1.0
2020-07-21,8.84,8.86,8.82,8.82,8.70514855918,13204,0.0000,1.0
2020-07-20,8.79,8.83,8.77,8.83,8.71501834213,20373,0.0000,1.0
2020-07-17,8.78,8.8,8.74,8.8,8.68540899329,8396,0.0000,1.0
2020-07-16,8.72,8.79,8.72,8.79,8.67553921034,8081,0.0000,1.0
2020-07-15,8.73,8.76,8.72,8.74,8.62619029561,22845,0.0000,1.0
2020-07-14,8.77,8.8,8.71,8.75,8.63606007855,40691,0.0000,1.0
2020-07-13,8.79,8.8,8.76,8.76,8.6459298615,23511,0.0000,1.0
2020-07-10,8.7,8.79,8.7,8.79,8.67553921034,9946,0.0000,1.0
2020-07-09,8.71,8.73,8.67,8.71,8.59658094676,36128,0.0000,1.0
2020-07-08,8.6,8.69,8.6,8.67,8.55710181498,10765,0.0000,1.0
2020-07-07,8.54,8.63,8.54,8.63,8.51762268319,91961,0.0000,1.0
2020-07-06,8.62,8.64,8.55,8.6,8.48801333435,59804,0.0000,1.0
2020-07-02,8.63,8.63,8.57,8.59,8.4781435514,23785,0.0000,1.0
2020-07-01,8.58,8.59,8.54,8.59,8.4781435514,50263,0.0000,1.0
2020-06-30,8.6,8.62,8.55,8.56,8.44853420256,15432,0.0000,1.0
2020-06-29,8.55,8.65,8.52,8.65,8.53736224908,50112,0.0000,1.0
2020-06-26,8.53,8.59,8.53,8.56,8.44853420256,33890,0.0000,1.0
2020-06-25,8.61,8.61,8.54,8.56,8.44853420256,12522,0.0000,1.0
2020-06-24,8.55,8.62,8.55,8.58,8.46827376845,69991,0.0000,1.0
2020-06-23,8.55,8.6,8.55,8.56,8.44853420256,14783,0.0000,1.0
2020-06-22,8.55,8.56,8.55,8.55,8.43866441961,11559,0.0235,1.0
2020-06-19,8.59,8.62,8.56,8.58,8.445062194,29695,0.0000,1.0
2020-06-18,8.61,8.64,8.6,8.6,8.46474765366,18278,0.0000,1.0
2020-06-17,8.59,8.66,8.59,8.63,8.49427584315,224506,0.0000,1.0
2020-06-16,8.6,8.64,8.6,8.63,8.49427584315,43478,0.0000,1.0
2020-06-15,8.61,8.63,8.58,8.6,8.46474765366,20641,0.0000,1.0
2020-06-12,8.6,8.63,8.57,8.6,8.46474765366,23498,0.0000,1.0
2020-06-11,8.57,8.66,8.46,8.59,8.45490492383,38606,0.0000,1.0
2020-06-10,8.66,8.69,8.63,8.69,8.55333222213,10543,0.0000,1.0
2020-06-09,8.59,8.69,8.59,8.65,8.51396130281,31495,0.0000,1.0
2020-06-08,8.64,8.66,8.6,8.61,8.47459038349,22419,0.0000,1.0
2020-06-05,8.64,8.65,8.59,8.59,8.45490492383,17484,0.0000,1.0
2020-06-04,8.6,8.67,8.6,8.6,8.46474765366,16975,0.0000,1.0
2020-06-03,8.67,8.69,8.65,8.66,8.52380403264,42694,0.0000,1.0
2020-06-02,8.62,8.68,8.6,8.67,8.53364676247,67092,0.0000,1.0
2020-06-01,8.56,8.63,8.54,8.62,8.48443311332,17976,0.0000,1.0
2020-05-29,8.45,8.54,8.45,8.54,8.40569127468,16804,0.0000,1.0
2020-05-28,8.4,8.45,8.39,8.44,8.30726397639,37932,0.0000,1.0
2020-05-27,8.34,8.39,8.34,8.39,8.25805032724,33919,0.0000,1.0
2020-05-26,8.33,8.36,8.31,8.34,8.20883667809,27305,0.0000,1.0
2020-05-22,8.28,8.3,8.28,8.29,8.15962302894,16157,0.0000,1.0
2020-05-21,8.22,8.27,8.22,8.27,8.13993756928,89350,0.0000,1.0
2020-05-20,8.2,8.23,8.18,8.23,8.10056664996,50420,0.0235,1.0
2020-05-19,8.2,8.2,8.16,8.19,8.03824327415,55120,0.0000,1.0
2020-05-18,8.17,8.21,8.13,8.17,8.01861386444,46235,0.0000,1.0
2020-05-15,8.19,8.19,8.12,8.15,7.99898445474,14364,0.0000,1.0
2020-05-14,8.11,8.18,8.07,8.14,7.98916974988,69991,0.0000,1.0
2020-05-13,8.15,8.22,8.12,8.13,7.97935504503,43514,0.0000,1.0
2020-05-12,8.21,8.24,8.19,8.2,8.048057979,66153,0.0000,1.0
2020-05-11,8.22,8.27,8.2,8.21,8.05787268385,22180,0.0000,1.0
2020-05-08,8.23,8.26,8.22,8.22,8.0676873887,46289,0.0000,1.0
2020-05-07,8.17,8.24,8.17,8.23,8.07750209356,61815,0.0000,1.0
2020-05-06,8.14,8.19,8.14,8.17,8.01861386444,47143,0.0000,1.0
2020-05-05,8.2,8.24,8.1,8.15,7.99898445474,195647,0.0000,1.0
2020-05-04,8.13,8.23,8.13,8.19,8.03824327415,16913,0.0000,1.0
2020-05-01,8.13,8.2,8.13,8.2,8.048057979,27990,0.0000,1.0
2020-04-30,8.15,8.2,8.13,8.16,8.00879915959,27783,0.0000,1.0
2020-04-29,8.17,8.24,8.0,8.18,8.02842856929,168398,0.0000,1.0
2020-04-28,8.15,8.16,8.09,8.15,7.99898445474,24188,0.0000,1.0
2020-04-27,8.33,8.4,8.08,8.09,7.94009622562,38717,0.0000,1.0
2020-04-24,8.4,8.4,8.3,8.32,8.16583443723,37877,0.0000,1.0
2020-04-23,8.37,8.43,8.34,8.39,8.23453737119,13773,0.0000,1.0
2020-04-22,8.47,8.59,8.38,8.42,8.26398148575,20720,0.0235,1.0
2020-04-21,8.43,8.48,8.4,8.47,8.28991806529,40030,0.0000,1.0
2020-04-20,8.56,8.61,8.54,8.58,8.39757933887,6320,0.0000,1.0
2020-04-17,8.67,8.67,8.56,8.56,8.37800456186,4447,0.0000,1.0
2020-04-16,8.61,8.66,8.58,8.59,8.40736672738,11279,0.0000,1.0
