timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,58.74,59.87,58.71,59.76,59.76,536667,0.0000,1.0
2020-12-10,59.22,59.89,58.88,59.17,59.17,1050368,0.0000,1.0
2020-12-09,60.55,60.79,58.66,59.48,59.48,1030998,0.0000,1.0
2020-12-08,58.9,60.74,58.9,60.31,60.31,1033884,0.0000,1.0
2020-12-07,60.69,60.83,58.94,59.26,59.26,793950,0.0000,1.0
2020-12-04,60.72,61.34,60.69,61.02,61.02,877646,0.0000,1.0
2020-12-03,60.71,61.19,60.084,60.31,60.31,1061334,0.0000,1.0
2020-12-02,60.2,60.74,59.64,60.2,60.2,1181309,0.0000,1.0
2020-12-01,60.5,60.98,59.785,60.15,60.15,1021708,0.0000,1.0
2020-11-30,60.63,61.19,59.35,59.37,59.37,1780827,0.0000,1.0
2020-11-27,60.55,61.28,60.38,60.85,60.85,494551,0.0000,1.0
2020-11-25,59.3,60.2,58.66,59.98,59.98,678633,0.0000,1.0
2020-11-24,58.81,59.99,58.71,59.51,59.51,1121857,0.0000,1.0
2020-11-23,57.63,58.32,57.4699,58.15,58.15,865481,0.0000,1.0
2020-11-20,56.69,57.45,56.51,56.83,56.83,1232120,0.0000,1.0
2020-11-19,55.62,56.21,54.91,56.05,56.05,444152,0.0000,1.0
2020-11-18,56.38,56.64,55.32,55.87,55.87,608922,0.0000,1.0
2020-11-17,55.54,56.48,55.035,56.09,56.09,1464067,0.0000,1.0
2020-11-16,55.29,55.99,55.05,55.54,55.54,681649,0.0000,1.0
2020-11-13,54.13,54.45,53.87,54.39,54.39,994499,0.0000,1.0
2020-11-12,54.41,55.32,53.29,53.58,53.58,1006163,0.0000,1.0
2020-11-11,54.2,54.42,53.73,54.14,54.14,695730,0.0000,1.0
2020-11-10,54.43,54.86,53.51,54.16,54.16,894905,0.0000,1.0
2020-11-09,56.13,56.98,54.64,54.66,54.66,1331250,0.5000,1.0
2020-11-06,54.89,55.34,54.51,55.13,54.6302719362,584644,0.0000,1.0
2020-11-05,53.76,54.65,53.58,54.25,53.758248731,841602,0.0000,1.0
2020-11-04,54.04,54.2,52.71,52.88,52.4006671501,570808,0.0000,1.0
2020-11-03,54.85,54.94,53.61,53.92,53.431240029,742129,0.0000,1.0
2020-11-02,52.87,54.29,52.7891,54.21,53.7186113125,1241885,0.0000,1.0
2020-10-30,52.3,52.98,51.92,52.34,51.8655620015,1128621,0.0000,1.0
2020-10-29,51.02,52.56,50.83,52.51,52.0340210297,1144416,0.0000,1.0
2020-10-28,50.62,51.8,49.9,51.42,50.9539013778,922656,0.0000,1.0
2020-10-27,51.25,52.65,51.15,51.95,51.4790971719,1561868,0.0000,1.0
2020-10-26,51.1,52.01,50.38,51.13,50.6665300943,767704,0.0000,1.0
2020-10-23,50.44,52.19,50.165,51.95,51.4790971719,1026875,0.0000,1.0
2020-10-22,49.91,50.7,49.7159,50.27,49.8143255983,1033651,0.0000,1.0
2020-10-21,49.72,50.675,49.54,49.91,49.4575888325,1135670,0.0000,1.0
2020-10-20,48.43,49.7,48.12,49.26,48.8134807832,1073297,0.0000,1.0
2020-10-19,48.15,49.06,47.6406,47.8,47.3667150109,649927,0.0000,1.0
2020-10-16,48.35,48.54,47.88,47.94,47.5054459753,627227,0.0000,1.0
2020-10-15,46.83,48.38,46.8,47.98,47.5450833938,710799,0.0000,1.0
2020-10-14,46.42,47.82,45.88,47.56,47.1288905004,495766,0.0000,1.0
2020-10-13,47.9,48.03,47.18,47.39,46.9604314721,471936,0.0000,1.0
2020-10-12,48.0,48.1,47.53,47.96,47.5252646846,391963,0.0000,1.0
2020-10-09,48.26,48.48,47.77,48.08,47.6441769398,912932,0.0000,1.0
2020-10-08,47.51,47.79,46.865,47.43,47.0000688905,451000,0.0000,1.0
2020-10-07,46.57,48.14,46.37,47.15,46.7226069616,794878,0.0000,1.0
2020-10-06,46.85,46.94,45.57,45.61,45.1965663524,728206,0.0000,1.0
2020-10-05,45.85,47.15,45.77,46.79,46.3658701958,776742,0.0000,1.0
2020-10-02,43.65,46.26,43.63,45.63,45.2163850616,697876,0.0000,1.0
2020-10-01,45.44,45.69,44.15,44.49,44.0867186367,868305,0.0000,1.0
