timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,17.66,17.76,17.64,17.68,17.68,1003612,0.0000,1.0
2020-12-10,17.72,17.7889,17.5901,17.64,17.64,1106393,0.0000,1.0
2020-12-09,17.81,17.831,17.55,17.68,17.68,1538478,0.0000,1.0
2020-12-08,17.9899,18.029,17.9,17.98,17.98,1267766,0.0000,1.0
2020-12-07,17.68,17.96,17.68,17.91,17.91,1369331,0.0000,1.0
2020-12-04,17.7,17.7502,17.58,17.66,17.66,1102567,0.0000,1.0
2020-12-03,17.7,17.7089,17.531,17.7,17.7,974502,0.0000,1.0
2020-12-02,17.4767,17.6,17.44,17.58,17.58,3241335,0.0000,1.0
2020-12-01,17.38,17.4699,17.35,17.45,17.45,1737536,0.0000,1.0
2020-11-30,17.07,17.15,17.01,17.08,17.08,1806318,0.0000,1.0
2020-11-27,17.11,17.195,17.09,17.18,17.18,969012,0.0000,1.0
2020-11-25,17.41,17.47,17.34,17.36,17.36,1811440,0.0000,1.0
2020-11-24,17.34,17.38,17.3,17.37,17.37,2716154,0.0000,1.0
2020-11-23,17.95,17.96,17.6,17.66,17.66,2456672,0.0000,1.0
2020-11-20,18.04,18.07,17.99,18.01,18.01,639526,0.0000,1.0
2020-11-19,17.85,17.9521,17.8433,17.94,17.94,1057067,0.0000,1.0
2020-11-18,18.05,18.12,17.97,17.99,17.99,1031791,0.0000,1.0
2020-11-17,18.15,18.18,18.05,18.08,18.08,1394371,0.0000,1.0
2020-11-16,18.15,18.23,18.1201,18.14,18.14,1305669,0.0000,1.0
2020-11-13,18.19,18.2145,18.12,18.16,18.16,1273572,0.0000,1.0
2020-11-12,18.03,18.11,18.02,18.02,18.02,984785,0.0000,1.0
2020-11-11,17.89,17.96,17.876,17.93,17.93,1093149,0.0000,1.0
2020-11-10,18.1,18.13,18.0,18.0,18.0,1388820,0.0000,1.0
2020-11-09,18.07,18.08,17.79,17.95,17.95,4044321,0.0000,1.0
2020-11-06,18.79,18.8,18.66,18.76,18.76,1190021,0.0000,1.0
2020-11-05,18.54,18.7784,18.54,18.74,18.74,2065654,0.0000,1.0
2020-11-04,18.34,18.3558,18.2,18.31,18.31,1785171,0.0000,1.0
2020-11-03,18.32,18.37,18.2713,18.33,18.33,992259,0.0000,1.0
2020-11-02,18.19,18.23,18.15,18.22,18.22,1176955,0.0000,1.0
2020-10-30,18.14,18.17,18.0214,18.05,18.05,1113476,0.0000,1.0
2020-10-29,17.93,18.04,17.91,17.98,17.98,1002043,0.0000,1.0
2020-10-28,18.08,18.12,17.98,18.04,18.04,1555868,0.0000,1.0
2020-10-27,18.31,18.38,18.2942,18.35,18.35,1166428,0.0000,1.0
2020-10-26,18.32,18.35,18.26,18.3,18.3,673242,0.0000,1.0
2020-10-23,18.36,18.36,18.21,18.31,18.31,735042,0.0000,1.0
2020-10-22,18.33,18.33,18.21,18.32,18.32,1238070,0.0000,1.0
2020-10-21,18.49,18.57,18.46,18.51,18.51,872230,0.0000,1.0
2020-10-20,18.3,18.4,18.24,18.36,18.36,1088746,0.0000,1.0
2020-10-19,18.37,18.38,18.27,18.27,18.27,1412140,0.0000,1.0
2020-10-16,18.36,18.37,18.25,18.25,18.25,1209025,0.0000,1.0
2020-10-15,18.19,18.35,18.19,18.33,18.33,1395779,0.0000,1.0
2020-10-14,18.34,18.39,18.25,18.25,18.25,3288520,0.0000,1.0
2020-10-13,18.3,18.3,18.14,18.21,18.21,2614661,0.0000,1.0
2020-10-12,18.5,18.52,18.46,18.5,18.5,846692,0.0000,1.0
2020-10-09,18.45,18.56,18.43,18.54,18.54,1189515,0.0000,1.0
2020-10-08,18.25,18.2781,18.1,18.21,18.21,1302924,0.0000,1.0
2020-10-07,18.135,18.17,18.07,18.14,18.14,2421733,0.0000,1.0
2020-10-06,18.45,18.47,18.14,18.16,18.16,5921598,0.0000,1.0
2020-10-05,18.34,18.45,18.33,18.38,18.38,1335353,0.0000,1.0
2020-10-02,18.31,18.36,18.25,18.29,18.29,4749127,0.0000,1.0
2020-10-01,18.31,18.3897,18.24,18.31,18.31,2337434,0.0000,1.0
2020-09-30,18.21,18.29,18.09,18.15,18.15,1232053,0.0000,1.0
2020-09-29,18.16,18.26,18.13,18.25,18.25,1316772,0.0000,1.0
2020-09-28,18.01,18.105,17.9359,18.1,18.1,1161181,0.0000,1.0
2020-09-25,17.87,17.95,17.82,17.91,17.91,1220373,0.0000,1.0
2020-09-24,17.85,18.0459,17.8,17.97,17.97,2831436,0.0000,1.0
2020-09-23,18.13,18.1563,17.84,17.91,17.91,2942739,0.0000,1.0
2020-09-22,18.39,18.43,18.245,18.3,18.3,1795803,0.0000,1.0
2020-09-21,18.42,18.47,18.101,18.37,18.37,3076429,0.0000,1.0
2020-09-18,18.75,18.85,18.71,18.75,18.75,1248331,0.0000,1.0
2020-09-17,18.64,18.7463,18.59,18.73,18.73,1183747,0.0000,1.0
2020-09-16,18.95,18.95,18.78,18.84,18.84,1610806,0.0000,1.0
2020-09-15,18.89,18.91,18.73,18.79,18.79,1252792,0.0000,1.0
2020-09-14,18.8,18.8791,18.789,18.83,18.83,1149118,0.0000,1.0
2020-09-11,18.76,18.7988,18.6461,18.69,18.69,904946,0.0000,1.0
2020-09-10,18.88,18.91,18.67,18.68,18.68,1493084,0.0000,1.0
2020-09-09,18.69,18.76,18.66,18.75,18.75,1401828,0.0000,1.0
2020-09-08,18.38,18.66,18.34,18.56,18.56,2270434,0.0000,1.0
2020-09-04,18.54,18.64,18.44,18.62,18.62,2121253,0.0000,1.0
2020-09-03,18.67,18.715,18.48,18.54,18.54,2483564,0.0000,1.0
2020-09-02,18.82,18.83,18.581,18.69,18.69,4251929,0.0000,1.0
2020-09-01,19.16,19.16,18.88,18.95,18.95,2923529,0.0000,1.0
2020-08-31,18.93,19.0,18.87,18.94,18.94,2160869,0.0000,1.0
2020-08-28,18.85,18.98,18.78,18.89,18.89,2038682,0.0000,1.0
2020-08-27,18.95,18.9576,18.37,18.56,18.56,5723687,0.0000,1.0
2020-08-26,18.47,18.8,18.455,18.78,18.78,4427149,0.0000,1.0
2020-08-25,18.53,18.56,18.41,18.55,18.55,2454047,0.0000,1.0
2020-08-24,18.73,18.73,18.5,18.53,18.53,3047703,0.0000,1.0
2020-08-21,18.66,18.71,18.49,18.64,18.64,3688694,0.0000,1.0
2020-08-20,18.56,18.81,18.53,18.77,18.77,3452505,0.0000,1.0
2020-08-19,19.16,19.2,18.61,18.67,18.67,6832835,0.0000,1.0
2020-08-18,19.36,19.39,19.02,19.27,19.27,4213901,0.0000,1.0
2020-08-17,18.92,19.145,18.91,19.09,19.09,2602332,0.0000,1.0
2020-08-14,18.78,18.8,18.59,18.7,18.7,4064401,0.0000,1.0
2020-08-13,18.6,18.91,18.575,18.77,18.77,5603857,0.0000,1.0
2020-08-12,18.7,18.745,18.345,18.36,18.36,7818784,0.0000,1.0
2020-08-11,18.79,18.84,18.371,18.44,18.44,10198608,0.0000,1.0
2020-08-10,19.59,19.72,19.43,19.48,19.48,3878025,0.0000,1.0
2020-08-07,19.74,19.755,19.39,19.53,19.53,5941458,0.0000,1.0
2020-08-06,19.82,19.91,19.72,19.85,19.85,5783346,0.0000,1.0
2020-08-05,19.63,19.7799,19.52,19.6,19.6,7538150,0.0000,1.0
2020-08-04,19.01,19.42,18.9699,19.42,19.42,3739394,0.0000,1.0
2020-08-03,18.95,19.03,18.85,19.0,19.0,2624059,0.0000,1.0
2020-07-31,18.9,19.02,18.86,18.99,18.99,3037669,0.0000,1.0
2020-07-30,18.79,18.88,18.65,18.82,18.82,3084387,0.0000,1.0
2020-07-29,18.85,19.055,18.675,18.95,18.95,3842315,0.0000,1.0
2020-07-28,18.65,18.87,18.585,18.82,18.82,3151157,0.0000,1.0
2020-07-27,18.63,18.7199,18.59,18.66,18.66,3126317,0.0000,1.0
2020-07-24,18.35,18.35,18.26,18.3,18.3,1835779,0.0000,1.0
2020-07-23,18.05,18.27,17.99,18.14,18.14,4086033,0.0000,1.0
2020-07-22,17.82,18.0,17.79,17.99,17.99,1623607,0.0000,1.0
2020-07-21,17.67,17.74,17.65,17.71,17.71,1876494,0.0000,1.0
2020-07-20,17.5,17.53,17.44,17.51,17.51,1053274,0.0000,1.0
2020-07-17,17.42,17.43,17.37,17.43,17.43,858900,0.0000,1.0
2020-07-16,17.41,17.41,17.27,17.28,17.28,1171900,0.0000,1.0
2020-07-15,17.38,17.45,17.34,17.43,17.43,1275500,0.0000,1.0
2020-07-14,17.31,17.43,17.29,17.43,17.43,1537900,0.0000,1.0
2020-07-13,17.4,17.45,17.32,17.33,17.33,1417400,0.0000,1.0
2020-07-10,17.42,17.42,17.26,17.32,17.32,1044000,0.0000,1.0
2020-07-09,17.44,17.47,17.28,17.37,17.37,1470100,0.0000,1.0
2020-07-08,17.45,17.49,17.38,17.41,17.41,1634200,0.0000,1.0
2020-07-07,17.15,17.3,17.14,17.3,17.3,1357100,0.0000,1.0
2020-07-06,17.19,17.2,17.12,17.19,17.19,1022800,0.0000,1.0
2020-07-02,16.98,17.12,16.98,17.08,17.08,1303500,0.0000,1.0
2020-07-01,17.1,17.11,16.93,17.05,17.05,2109300,0.0000,1.0
2020-06-30,17.03,17.19,17.02,17.14,17.14,2005500,0.0000,1.0
2020-06-29,17.07,17.07,17.01,17.06,17.06,1088900,0.0000,1.0
2020-06-26,16.89,17.05,16.71,17.04,17.04,1472826,0.0000,1.0
2020-06-25,16.96,16.98,16.91,16.96,16.96,1053382,0.0000,1.0
2020-06-24,17.0,17.1,16.94,17.0,17.0,1695680,0.0000,1.0
2020-06-23,16.97,17.04,16.95,17.03,17.03,1141157,0.0000,1.0
2020-06-22,16.92,16.97,16.84,16.88,16.88,1446702,0.0000,1.0
2020-06-19,16.68,16.8,16.66,16.79,16.79,1450810,0.0000,1.0
2020-06-18,16.59,16.62,16.53,16.61,16.61,738526,0.0000,1.0
2020-06-17,16.6,16.65,16.56,16.63,16.63,971973,0.0000,1.0
2020-06-16,16.58,16.65,16.513,16.6,16.6,1142787,0.0000,1.0
2020-06-15,16.42,16.65,16.4,16.62,16.62,1404145,0.0000,1.0
2020-06-12,16.75,16.78,16.64,16.67,16.67,1382113,0.0000,1.0
2020-06-11,16.75,16.8,16.5835,16.62,16.62,1698964,0.0000,1.0
2020-06-10,16.6,16.75,16.45,16.72,16.72,1277076,0.0000,1.0
