timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.27,5.27,5.1992,5.1992,5.1992,1258,0.0000,1.0
2020-12-10,5.21,5.21,5.17,5.207,5.207,751,0.0000,1.0
2020-12-09,5.08,5.195,5.08,5.1453,5.1453,1666,0.0000,1.0
2020-12-08,5.1592,5.1592,5.1334,5.1334,5.1334,941,0.0000,1.0
2020-12-07,5.165,5.1841,5.165,5.1782,5.1782,947,0.0000,1.0
2020-12-04,5.28,5.28,5.1474,5.1474,5.1474,1701,0.0000,1.0
2020-12-03,5.25,5.299,5.22,5.299,5.299,4003,0.0000,1.0
2020-12-02,5.33,5.34,5.2966,5.3112,5.3112,775,0.0000,1.0
2020-12-01,5.19,5.2669,5.15,5.2669,5.2669,5887,0.0000,1.0
2020-11-30,5.3,5.3699,5.3,5.3095,5.3095,3987,0.0000,1.0
2020-11-27,5.2022,5.2389,5.2022,5.2296,5.2296,818,0.0000,1.0
2020-11-25,5.225,5.23,5.15,5.2063,5.2063,4702,0.0000,1.0
2020-11-24,5.3,5.3,5.1628,5.1792,5.1792,7871,0.0000,1.0
2020-11-23,5.41,5.41,5.32,5.3661,5.3661,4446,0.0000,1.0
2020-11-20,5.46,5.53,5.46,5.5211,5.5211,5073,0.0000,1.0
2020-11-19,5.529,5.5499,5.45,5.4599,5.4599,1993,0.0000,1.0
2020-11-18,5.36,5.4904,5.36,5.4904,5.4904,3755,0.0000,1.0
2020-11-17,5.5099,5.56,5.4435,5.4435,5.4435,3407,0.0000,1.0
2020-11-16,5.49,5.58,5.42,5.42,5.42,7200,0.0000,1.0
2020-11-13,5.76,5.815,5.685,5.7001,5.7001,11985,0.0000,1.0
2020-11-12,5.906,5.906,5.906,5.906,5.906,274,0.0000,1.0
2020-11-11,5.78,5.78,5.73,5.75,5.75,2754,0.0000,1.0
2020-11-10,5.88,5.88,5.705,5.73,5.73,3254,0.0000,1.0
2020-11-09,5.371,5.875,5.37,5.875,5.875,13377,0.0000,1.0
2020-11-06,6.1965,6.2115,6.1277,6.1277,6.1277,3497,0.0000,1.0
2020-11-05,6.21,6.225,6.13,6.195,6.195,12384,0.0000,1.0
2020-11-04,6.44,6.4996,6.29,6.4996,6.4996,5405,0.0000,1.0
2020-11-03,6.68,6.7,6.45,6.48,6.48,7757,0.0000,1.0
2020-11-02,7.08,7.08,6.85,6.8672,6.8672,25067,0.0000,1.0
2020-10-30,7.28,7.345,7.1,7.2363,7.2363,9921,0.0000,1.0
2020-10-29,7.3,7.36,6.93,7.0871,7.0871,40506,0.0000,1.0
2020-10-28,7.22,7.51,7.04,7.327,7.327,45275,0.0000,1.0
2020-10-27,6.74,6.96,6.74,6.91,6.91,29600,0.0000,1.0
2020-10-26,6.5,6.8098,6.5,6.699,6.699,10312,0.0000,1.0
2020-10-23,6.38,6.425,6.3499,6.3499,6.3499,9502,0.0000,1.0
2020-10-22,6.413,6.51,6.4016,6.4016,6.4016,12872,0.0000,1.0
2020-10-21,6.4,6.4104,6.4,6.4104,6.4104,527,0.0000,1.0
2020-10-20,6.4078,6.4078,6.331,6.3735,6.3735,1667,0.0000,1.0
2020-10-19,6.23,6.485,6.23,6.4827,6.4827,2127,0.0000,1.0
2020-10-16,6.255,6.285,6.2,6.285,6.285,6464,0.0000,1.0
2020-10-15,6.5638,6.6299,6.3567,6.3567,6.3567,25153,0.0000,1.0
2020-10-14,6.4052,6.4052,6.39,6.3996,6.3996,680,0.0000,1.0
2020-10-13,6.39,6.43,6.39,6.4115,6.4115,2297,0.0000,1.0
2020-10-12,6.38,6.38,6.28,6.32,6.32,6304,0.0000,1.0
2020-10-09,6.435,6.44,6.345,6.4187,6.4187,2242,0.0000,1.0
2020-10-08,6.52,6.6,6.5,6.505,6.505,4224,0.0000,1.0
2020-10-07,6.6155,6.71,6.6051,6.6051,6.6051,5111,0.0000,1.0
2020-10-06,6.64,6.8617,6.6,6.8617,6.8617,5626,0.0000,1.0
2020-10-05,6.8,6.801,6.7,6.7326,6.7326,5219,0.0000,1.0
2020-10-02,7.29,7.4,6.9252,6.9683,6.9683,4704,0.0000,1.0
2020-10-01,6.9,7.0999,6.9,7.0843,7.0843,2726,0.0000,1.0
2020-09-30,6.9778,7.1009,6.89,7.0158,7.0158,3248,0.0000,1.0
2020-09-29,7.0,7.05,6.92,7.0116,7.0116,11834,0.0000,1.0
2020-09-28,7.64,7.64,6.891,6.9753,6.9753,24235,0.0000,1.0
2020-09-25,7.52,7.54,7.18,7.2452,7.2452,31167,0.0000,1.0
2020-09-24,7.64,7.8,7.35,7.5142,7.5142,20367,0.0000,1.0
2020-09-23,7.13,7.4957,7.13,7.4957,7.4957,11768,0.0000,1.0
2020-09-22,7.4,7.4,7.1871,7.1871,7.1871,3497,0.0000,1.0
2020-09-21,7.33,7.57,7.24,7.3729,7.3729,32067,0.0000,1.0
