timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,45.2,45.2,44.3339,44.88,44.88,84466,0.0000,1.0
2020-12-10,44.16,45.57,43.805,45.54,45.54,43509,0.0000,1.0
2020-12-09,44.6,45.0,43.56,43.94,43.94,204083,0.0000,1.0
2020-12-08,43.85,44.42,43.56,44.42,44.42,35740,0.0000,1.0
2020-12-07,43.81,44.29,43.6,44.0,44.0,42394,0.0000,1.0
2020-12-04,42.5,43.84,42.5,43.84,43.84,30157,0.0000,1.0
2020-12-03,42.19,42.37,41.72,41.86,41.86,17508,0.0000,1.0
2020-12-02,41.43,41.92,41.09,41.88,41.88,11768,0.0000,1.0
2020-12-01,40.7,41.635,40.7,41.5,41.5,51875,0.0000,1.0
2020-11-30,40.48,40.489,39.72,39.72,39.72,21968,0.0000,1.0
2020-11-27,40.51,40.78,40.5,40.55,40.55,16347,0.0000,1.0
2020-11-25,40.4,40.44,39.81,40.35,40.35,14036,0.0000,1.0
2020-11-24,38.99,40.58,38.99,40.57,40.57,51524,0.0000,1.0
2020-11-23,37.78,38.47,37.78,38.43,38.43,48755,0.0000,1.0
2020-11-20,37.32,37.32,37.081,37.22,37.22,12130,0.0000,1.0
2020-11-19,36.93,37.3019,36.8263,37.19,37.19,12317,0.0000,1.0
2020-11-18,37.64,37.87,36.9525,37.02,37.02,27703,0.0000,1.0
2020-11-17,37.15,37.68,36.8645,37.56,37.56,27208,0.0000,1.0
2020-11-16,36.72,37.32,36.625,37.27,37.27,26432,0.0000,1.0
2020-11-13,34.99,35.93,34.99,35.88,35.88,12604,0.0000,1.0
2020-11-12,35.17,35.33,34.62,34.81,34.81,9845,0.0000,1.0
2020-11-11,35.5,35.5,35.2,35.41,35.41,9939,0.0000,1.0
2020-11-10,35.31,35.78,35.31,35.39,35.39,33186,0.0000,1.0
2020-11-09,35.62,36.42,35.29,35.31,35.31,67962,0.0000,1.0
2020-11-06,34.12,34.355,33.9832,34.02,34.02,39563,0.0000,1.0
2020-11-05,32.82,33.8338,32.82,33.61,33.61,13053,0.0000,1.0
2020-11-04,33.21,33.21,32.07,32.07,32.07,12743,0.0000,1.0
2020-11-03,33.12,33.44,33.06,33.32,33.32,13783,0.0000,1.0
2020-11-02,32.38,32.5711,32.2134,32.55,32.55,40231,0.0000,1.0
2020-10-30,31.86,32.1817,31.75,31.98,31.98,10792,0.0000,1.0
2020-10-29,31.22,32.1999,31.0,32.11,32.11,5905,0.0000,1.0
2020-10-28,31.97,31.97,31.33,31.34,31.34,47776,0.0000,1.0
2020-10-27,32.86,32.9348,32.7,32.7,32.7,6524,0.0000,1.0
2020-10-26,33.59,33.59,32.8107,32.97,32.97,14914,0.0000,1.0
2020-10-23,33.64,34.0,33.57,33.83,33.83,37273,0.0000,1.0
2020-10-22,33.02,33.48,32.951,33.46,33.46,19930,0.0000,1.0
2020-10-21,32.83,33.4597,32.83,33.02,33.02,9547,0.0000,1.0
2020-10-20,32.95,33.3,32.88,32.88,32.88,8994,0.0000,1.0
2020-10-19,33.0,33.5493,32.71,32.71,32.71,14092,0.0000,1.0
2020-10-16,32.8,33.02,32.65,32.84,32.84,23113,0.0000,1.0
2020-10-15,32.09,32.76,32.09,32.74,32.74,18704,0.0000,1.0
2020-10-14,32.4,32.76,32.4,32.65,32.65,8812,0.0000,1.0
2020-10-13,32.5,32.52,32.15,32.44,32.44,11159,0.0000,1.0
2020-10-12,32.97,32.97,32.7,32.83,32.83,16606,0.0000,1.0
2020-10-09,33.46,33.61,32.71,32.97,32.97,17421,0.0000,1.0
2020-10-08,33.0,33.28,32.9,33.26,33.26,16670,0.0000,1.0
2020-10-07,32.49,32.97,32.4806,32.9,32.9,25635,0.0000,1.0
2020-10-06,32.64,32.83,31.955,32.04,32.04,16356,0.0000,1.0
2020-10-05,31.75,32.62,31.75,32.56,32.56,167964,0.0000,1.0
2020-10-02,30.71,31.69,30.71,31.56,31.56,15620,0.0000,1.0
2020-10-01,31.0138,31.2678,30.8814,31.15,31.15,25937,0.0000,1.0
2020-09-30,30.85,31.3145,30.731,30.9,30.9,39591,0.0000,1.0
2020-09-29,31.14,31.22,30.67,30.71,30.71,28306,0.0000,1.0
2020-09-28,31.12,31.4847,31.12,31.14,31.14,22539,0.0000,1.0
2020-09-25,30.11,30.58,30.02,30.57,30.57,21078,0.0000,1.0
2020-09-24,30.15,30.81,29.871,30.37,30.37,26838,0.0000,1.0
2020-09-23,30.68,31.0,30.2987,30.33,30.33,16907,0.0000,1.0
2020-09-22,30.74,31.0,30.54,30.79,30.79,12983,0.0000,1.0
2020-09-21,31.99,31.99,30.46,30.83,30.83,28745,0.0000,1.0
2020-09-18,32.81,33.32,32.52,32.56,32.56,40146,0.0000,1.0
2020-09-17,31.75,32.87,31.6,32.78,32.78,48327,0.0000,1.0
2020-09-16,32.2,32.3382,31.79,32.12,32.12,23504,0.0000,1.0
2020-09-15,31.75,32.14,31.65,31.99,31.99,31269,0.0000,1.0
2020-09-14,31.29,31.59,31.16,31.56,31.56,13772,0.0000,1.0
2020-09-11,30.865,31.41,30.865,31.04,31.04,15309,0.0000,1.0
2020-09-10,31.1,31.1,30.46,30.46,30.46,7356,0.0000,1.0
2020-09-09,30.77,31.14,30.77,30.96,30.96,12665,0.0000,1.0
2020-09-08,30.79,30.832,30.25,30.4,30.4,16527,0.0000,1.0
2020-09-04,31.23,31.519,30.82,31.33,31.33,16797,0.0000,1.0
2020-09-03,31.55,31.68,30.732,30.94,30.94,30704,0.0000,1.0
2020-09-02,31.64,31.64,31.22,31.64,31.64,13447,0.0000,1.0
2020-09-01,30.81,31.49,30.74,31.49,31.49,4044,0.0000,1.0
2020-08-31,31.17,31.17,30.74,30.74,30.74,30169,0.0000,1.0
2020-08-28,30.78,31.26,30.78,31.25,31.25,39721,0.0000,1.0
2020-08-27,30.93,30.93,30.26,30.56,30.56,52418,0.0000,1.0
2020-08-26,30.73,31.0,30.52,30.7,30.7,12598,0.0000,1.0
2020-08-25,30.9,30.9,30.4302,30.8049,30.8049,4626,0.0000,1.0
2020-08-24,30.64,30.89,30.64,30.89,30.89,7883,0.0000,1.0
2020-08-21,30.48,30.67,30.205,30.33,30.33,14409,0.0000,1.0
2020-08-20,30.55,31.03,30.34,31.03,31.03,16941,0.0000,1.0
2020-08-19,31.54,31.58,31.01,31.04,31.04,6556,0.0000,1.0
2020-08-18,31.44,31.58,31.31,31.33,31.33,10248,0.0000,1.0
2020-08-17,31.23,31.455,30.98,31.08,31.08,7816,0.0000,1.0
2020-08-14,30.83,31.0,30.69,30.95,30.95,6765,0.0000,1.0
2020-08-13,31.08,31.08,30.72,30.77,30.77,7352,0.0000,1.0
2020-08-12,31.32,31.32,30.8695,31.04,31.04,14921,0.0000,1.0
2020-08-11,31.59,31.59,30.901,30.98,30.98,41992,0.0000,1.0
2020-08-10,30.11,31.0,30.11,31.0,31.0,48245,0.0000,1.0
2020-08-07,29.77,29.91,29.47,29.9,29.9,14139,0.0000,1.0
2020-08-06,30.17,30.32,30.14,30.15,30.15,49171,0.0000,1.0
2020-08-05,29.99,30.605,29.99,30.32,30.32,44116,0.0000,1.0
2020-08-04,29.0,29.38,29.0,29.37,29.37,12039,0.0000,1.0
2020-08-03,28.81,29.228,28.81,29.18,29.18,40953,0.0000,1.0
2020-07-31,29.02,29.02,28.44,28.57,28.57,28178,0.0000,1.0
2020-07-30,29.39,29.39,28.8,29.13,29.13,10870,0.0000,1.0
2020-07-29,29.36,29.74,29.315,29.68,29.68,57507,0.0000,1.0
2020-07-28,29.41,29.41,28.98,28.99,28.99,27050,0.0000,1.0
2020-07-27,29.22,29.64,29.192,29.64,29.64,46004,0.0000,1.0
2020-07-24,28.7335,28.9678,28.55,28.92,28.92,6441,0.0000,1.0
2020-07-23,29.27,29.3683,28.9165,28.93,28.93,14838,0.0000,1.0
2020-07-22,28.92,29.19,28.92,29.18,29.18,4656,0.0000,1.0
2020-07-21,28.78,29.07,28.78,28.91,28.91,13011,0.0000,1.0
2020-07-20,28.5,28.64,28.42,28.52,28.52,7839,0.0000,1.0
2020-07-17,28.97,28.97,28.59,28.59,28.59,11300,0.0000,1.0
2020-07-16,28.94,28.98,28.71,28.72,28.72,5600,0.0000,1.0
2020-07-15,29.2,29.2,28.65,29.07,29.07,35100,0.0000,1.0
2020-07-14,27.83,28.79,27.67,28.79,28.79,9200,0.0000,1.0
2020-07-13,28.57,28.65,27.86,27.86,27.86,18600,0.0000,1.0
2020-07-10,27.1,27.98,27.1,27.98,27.98,7600,0.0000,1.0
2020-07-09,27.59,27.74,26.92,27.05,27.05,4900,0.0000,1.0
2020-07-08,27.67,27.86,27.41,27.55,27.55,4300,0.0000,1.0
2020-07-07,27.65,27.85,27.39,27.39,27.39,6600,0.0000,1.0
2020-07-06,28.05,28.31,27.76,28.03,28.03,12400,0.0000,1.0
2020-07-02,27.75,28.1,27.49,27.52,27.52,14200,0.0000,1.0
2020-07-01,27.56,27.6,26.99,27.11,27.11,6500,0.0000,1.0
2020-06-30,27.18,27.65,27.06,27.57,27.57,10400,0.0000,1.0
2020-06-29,26.95,27.55,26.95,27.34,27.34,16400,0.0000,1.0
2020-06-26,27.61,27.61,26.75,26.75,26.75,19667,0.0000,1.0
2020-06-25,27.21,27.8,27.11,27.8,27.8,12627,0.0000,1.0
2020-06-24,28.02,28.02,27.05,27.21,27.21,11339,0.0000,1.0
2020-06-23,28.36,28.62,28.21,28.23,28.23,13497,0.0000,1.0
2020-06-22,27.72,27.985,27.6404,27.84,27.84,17435,0.0000,1.0
2020-06-19,28.4,28.4,27.61,27.68,27.68,12905,0.0000,1.0
2020-06-18,28.01,28.23,27.71,28.1,28.1,12882,0.0000,1.0
2020-06-17,28.74,28.74,28.33,28.33,28.33,9053,0.0000,1.0
2020-06-16,28.9,29.2301,28.29,28.9,28.9,29457,0.0000,1.0
2020-06-15,26.85,28.04,26.675,27.85,27.85,24336,0.0000,1.0
2020-06-12,27.79,28.134,27.3,27.82,27.82,23317,0.0000,1.0
2020-06-11,28.04,28.1,26.5862,26.59,26.59,22146,0.0000,1.0
2020-06-10,30.23,30.23,29.35,29.45,29.45,11812,0.0000,1.0
2020-06-09,30.17,30.2563,29.71,30.1682,30.1682,11453,0.0000,1.0
2020-06-08,30.54,30.89,30.1363,30.89,30.89,24571,0.0000,1.0
2020-06-05,29.9,30.5927,29.7299,29.85,29.85,23643,0.0000,1.0
2020-06-04,28.47,29.0,28.1572,29.0,29.0,25125,0.0000,1.0
2020-06-03,27.81,28.53,27.81,28.4197,28.4197,29739,0.0000,1.0
2020-06-02,27.06,27.398,27.06,27.33,27.33,87236,0.0000,1.0
2020-06-01,26.39,26.658,26.2014,26.49,26.49,46335,0.0000,1.0
2020-05-29,25.98,26.05,25.53,26.05,26.05,11192,0.0000,1.0
2020-05-28,26.23,26.35,25.7329,25.79,25.79,56898,0.0000,1.0
2020-05-27,25.35,26.23,25.35,26.23,26.23,73750,0.0000,1.0
2020-05-26,24.86,25.1535,24.86,25.0,25.0,32007,0.0000,1.0
2020-05-22,24.25,24.25,23.785,24.1,24.1,8286,0.0000,1.0
2020-05-21,24.54,24.6,24.2,24.25,24.25,10146,0.0000,1.0
2020-05-20,24.44,24.8,24.41,24.43,24.43,10311,0.0000,1.0
2020-05-19,24.28,24.5,23.97,24.0,24.0,15922,0.0000,1.0
2020-05-18,23.53,24.26,23.49,24.24,24.24,15177,0.0000,1.0
2020-05-15,22.45,22.7,22.4211,22.47,22.47,12228,0.0000,1.0
2020-05-14,21.43,22.31,21.09,22.28,22.28,10676,0.0000,1.0
2020-05-13,22.71,22.71,21.685,21.96,21.96,14384,0.0000,1.0
2020-05-12,23.68,23.68,22.7,22.7,22.7,17980,0.0000,1.0
2020-05-11,23.72,23.72,23.23,23.23,23.23,18315,0.0000,1.0
2020-05-08,23.88,24.4,23.81,24.4,24.4,49370,0.0000,1.0
2020-05-07,23.3,23.61,23.29,23.38,23.38,9839,0.0000,1.0
2020-05-06,23.13,23.1599,22.7351,22.74,22.74,12681,0.0000,1.0
2020-05-05,23.53,23.8921,23.0,23.0,23.0,8184,0.0000,1.0
2020-05-04,22.75,23.23,22.52,23.23,23.23,12161,0.0000,1.0
2020-05-01,23.22,23.39,22.84,22.99,22.99,13565,0.0000,1.0
2020-04-30,24.62,24.62,23.78,23.78,23.78,20676,0.0000,1.0
2020-04-29,23.88,25.35,23.88,25.21,25.21,144896,0.0000,1.0
2020-04-28,23.57,23.65,22.97,23.38,23.38,10705,0.0000,1.0
2020-04-27,22.48,23.0636,22.19,22.97,22.97,10116,0.0000,1.0
2020-04-24,22.52,22.641,21.8643,22.08,22.08,10445,0.0000,1.0
2020-04-23,22.29,23.04,22.29,22.41,22.41,8616,0.0000,1.0
2020-04-22,22.0,22.18,21.955,22.08,22.08,20355,0.0000,1.0
2020-04-21,21.64,21.71,21.28,21.65,21.65,18308,0.0000,1.0
2020-04-20,22.415,22.6427,22.01,22.08,22.08,10590,0.0000,1.0
2020-04-17,22.83,23.05,22.72,22.93,22.93,20598,0.0000,1.0
2020-04-16,22.09,22.09,21.675,22.0497,22.0497,6726,0.0000,1.0
2020-04-15,22.44,22.44,21.7819,22.0843,22.0843,8177,0.0000,1.0
2020-04-14,23.81,24.05,23.311,23.35,23.35,8247,0.0000,1.0
2020-04-13,23.56,23.56,22.9,23.29,23.29,22603,0.0000,1.0
2020-04-09,23.62,23.985,23.41,23.42,23.42,9931,0.0000,1.0
2020-04-08,22.43,23.17,22.43,23.05,23.05,30958,0.0000,1.0
2020-04-07,23.06,23.1986,22.26,22.26,22.26,8554,0.0000,1.0
2020-04-06,21.585,21.99,21.585,21.98,21.98,28081,0.0000,1.0
2020-04-03,21.04,21.2,20.4101,20.56,20.56,8032,0.0000,1.0
2020-04-02,21.32,21.76,20.9,21.359,21.359,26912,0.0000,1.0
2020-04-01,21.2,21.645,20.92,21.01,21.01,17808,0.0000,1.0
2020-03-31,21.73,22.4461,21.53,21.88,21.88,29578,0.0000,1.0
2020-03-30,21.19,21.33,20.68,21.26,21.26,26210,0.0000,1.0
2020-03-27,21.0,21.37,20.85,20.87,20.87,10326,0.0000,1.0
2020-03-26,21.23,22.15,21.16,21.97,21.97,46266,0.0000,1.0
2020-03-25,20.71,21.65,19.98,20.92,20.92,221043,0.0000,1.0
2020-03-24,19.78,20.24,19.53,20.24,20.24,16369,0.0000,1.0
2020-03-23,18.8,18.8,17.83,18.04,18.04,31011,0.0000,1.0
2020-03-20,19.82,20.06,18.68,18.7623,18.7623,18803,0.0000,1.0
2020-03-19,18.0,19.38,17.6137,19.18,19.18,16031,0.0000,1.0
2020-03-18,19.4,19.82,18.0,18.44,18.44,13459,0.0000,1.0
2020-03-17,20.6,21.39,20.02,21.02,21.02,5897,0.0000,1.0
2020-03-16,20.09,21.284,20.0,20.2,20.2,8982,0.0000,1.0
2020-03-13,22.65,23.26,21.22,23.22,23.22,22516,0.0000,1.0
2020-03-12,21.75,21.91,20.25,20.61,20.61,56609,0.0000,1.0
2020-03-11,24.74,24.84,23.02,23.54,23.54,30116,0.0000,1.0
2020-03-10,25.4,25.6794,24.17,25.58,25.58,15217,0.0000,1.0
2020-03-09,26.0,26.0,23.85,23.86,23.86,75594,0.0000,1.0
2020-03-06,28.16,28.64,27.6,27.9,27.9,18726,0.0000,1.0
2020-03-05,29.8,29.8,28.7,29.09,29.09,8183,0.0000,1.0
2020-03-04,30.36,30.63,30.05,30.61,30.61,4608,0.0000,1.0
2020-03-03,30.48,31.07,29.46,29.71,29.71,8933,0.0000,1.0
2020-03-02,29.44,30.15,29.13,30.15,30.15,13696,0.0000,1.0
2020-02-28,28.71,29.509,28.47,29.32,29.32,42163,0.0000,1.0
2020-02-27,29.99,30.7199,29.52,29.72,29.72,23581,0.0000,1.0
2020-02-26,31.37,31.74,30.85,30.91,30.91,30082,0.0000,1.0
2020-02-25,32.41,32.41,31.05,31.268,31.268,34092,0.0000,1.0
2020-02-24,32.17,32.2799,32.03,32.23,32.23,14377,0.0000,1.0
2020-02-21,33.75,33.8309,33.42,33.8309,33.8309,2421,0.0000,1.0
2020-02-20,34.34,34.4399,33.9699,34.0793,34.0793,6840,0.0000,1.0
2020-02-19,34.46,34.65,34.41,34.53,34.53,6238,0.0000,1.0
2020-02-18,34.31,34.506,34.1698,34.27,34.27,7300,0.0000,1.0
2020-02-14,34.8,34.8,34.35,34.4155,34.4155,9526,0.0000,1.0
2020-02-13,34.88,34.98,34.74,34.83,34.83,7220,0.0000,1.0
2020-02-12,35.53,35.6256,35.1499,35.19,35.19,6304,0.0000,1.0
2020-02-11,34.81,35.23,34.81,34.9248,34.9248,4361,0.0000,1.0
2020-02-10,34.46,34.56,34.32,34.34,34.34,3928,0.0000,1.0
2020-02-07,35.03,35.03,34.58,34.6,34.6,9267,0.0000,1.0
2020-02-06,35.9,35.9,35.3494,35.4157,35.4157,5861,0.0000,1.0
2020-02-05,35.38,35.445,35.21,35.44,35.44,5510,0.0000,1.0
2020-02-04,34.69,34.93,34.6094,34.85,34.85,4155,0.0000,1.0
2020-02-03,33.53,33.828,33.53,33.74,33.74,6116,0.0000,1.0
2020-01-31,34.16,34.16,33.41,33.51,33.51,10996,0.0000,1.0
2020-01-30,34.09,34.5909,33.82,34.58,34.58,12960,0.0000,1.0
2020-01-29,34.72,34.83,34.49,34.49,34.49,14407,0.0000,1.0
2020-01-28,34.95,35.01,34.6,34.67,34.67,7095,0.0000,1.0
2020-01-27,34.78,34.8,34.5,34.52,34.52,16785,0.0000,1.0
2020-01-24,36.85,36.85,35.87,36.0994,36.0994,11701,0.0000,1.0
2020-01-23,36.74,36.88,36.25,36.85,36.85,17502,0.0000,1.0
2020-01-22,36.88,37.21,36.88,37.1,37.1,7359,0.0000,1.0
2020-01-21,37.33,37.33,36.6499,36.66,36.66,13624,0.0000,1.0
