timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,18.085,18.11,18.02,18.06,18.06,58341,0.0000,1.0
2020-12-10,18.06,18.12,18.03,18.1,18.1,38614,0.0000,1.0
2020-12-09,18.1,18.11,18.0701,18.1,18.1,55409,0.0000,1.0
2020-12-08,18.1,18.11,18.07,18.1,18.1,21541,0.0000,1.0
2020-12-07,18.11,18.11,18.0672,18.08,18.08,29884,0.0000,1.0
2020-12-04,18.0301,18.0874,18.03,18.08,18.08,60742,0.0000,1.0
2020-12-03,18.09,18.09,18.02,18.0658,18.0658,53787,0.0000,1.0
2020-12-02,18.09,18.09,18.04,18.07,18.07,66882,0.0000,1.0
2020-12-01,18.09,18.09,18.04,18.0659,18.0659,27543,0.0199,1.0
2020-11-30,18.02,18.078,18.02,18.0645,18.0446234366,38186,0.0000,1.0
2020-11-27,18.11,18.11,18.06,18.0811,18.0612051715,9568,0.0000,1.0
2020-11-25,18.1,18.119,18.08,18.095,18.0750898771,102443,0.0000,1.0
2020-11-24,18.11,18.12,18.05,18.11,18.0900733725,46184,0.0000,1.0
2020-11-23,18.12,18.12,18.04,18.1,18.0800843756,186047,0.0000,1.0
2020-11-20,18.07,18.11,18.02,18.09,18.0700953787,71724,0.0000,1.0
2020-11-19,18.06,18.1,18.06,18.085,18.0651008802,21436,0.0000,1.0
2020-11-18,18.027,18.09,18.027,18.07,18.0501173849,47910,0.0000,1.0
2020-11-17,18.06,18.08,18.05,18.06,18.040128388,30721,0.0000,1.0
2020-11-16,17.98,18.07,17.98,18.055,18.0351338896,45182,0.0000,1.0
2020-11-13,18.0599,18.0599,18.02,18.04,18.0201503942,36601,0.0000,1.0
2020-11-12,17.98,18.06,17.97,18.05,18.0301393911,39283,0.0000,1.0
2020-11-11,18.06,18.06,17.9999,18.0249,18.0050670089,16658,0.0000,1.0
2020-11-10,18.06,18.06,17.99,18.0048,17.9849891252,43962,0.0000,1.0
2020-11-09,18.0,18.04,17.95,17.9771,17.9573196038,33039,0.0000,1.0
2020-11-06,18.05,18.05,17.98,18.0,17.9801944067,22509,0.0000,1.0
2020-11-05,17.97,18.05,17.96,18.02,18.0001724004,369678,0.0000,1.0
2020-11-04,18.08,18.08,17.98,17.98,17.9602164129,167524,0.0000,1.0
2020-11-03,17.97,18.04,17.97,18.0045,17.9846894553,22193,0.0000,1.0
2020-11-02,18.03,18.06,17.9788,17.985,17.9652109113,375860,0.0232,1.0
2020-10-30,18.04,18.0465,17.98,18.0241,17.9810729549,47969,0.0000,1.0
