timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,30.73,30.8,30.73,30.77,30.77,1741637,0.0000,1.0
2020-12-10,30.72,30.75,30.68,30.74,30.74,1488300,0.0000,1.0
2020-12-09,30.63,30.68,30.63,30.66,30.66,2643352,0.0000,1.0
2020-12-08,30.73,30.77,30.71,30.71,30.71,1238063,0.0000,1.0
2020-12-07,30.69,30.74,30.69,30.72,30.72,1866846,0.0000,1.0
2020-12-04,30.71,30.71,30.645,30.66,30.66,1325603,0.0000,1.0
2020-12-03,30.73,30.77,30.705,30.76,30.76,1631651,0.0000,1.0
2020-12-02,30.68,30.71,30.63,30.69,30.69,2173123,0.0000,1.0
2020-12-01,30.79,30.79,30.68,30.71,30.71,2553926,0.0569,1.0
2020-11-30,30.83,30.89,30.825,30.88,30.8229339123,931795,0.0000,1.0
2020-11-27,30.79,30.845,30.79,30.84,30.7830078321,446703,0.0000,1.0
2020-11-25,30.78,30.82,30.76,30.78,30.7231187118,992024,0.0000,1.0
2020-11-24,30.82,30.83,30.76,30.79,30.7331002319,3982710,0.0000,1.0
2020-11-23,30.85,30.85,30.82,30.83,30.773026312,764252,0.0000,1.0
2020-11-20,30.84,30.87,30.8,30.85,30.7929893521,1025171,0.0000,1.0
2020-11-19,30.77,30.84,30.77,30.82,30.763044792,5256148,0.0000,1.0
2020-11-18,30.76,30.77,30.7366,30.74,30.6831926316,8589804,0.0000,1.0
2020-11-17,30.7,30.74,30.69,30.74,30.6831926316,1165280,0.0000,1.0
2020-11-16,30.67,30.6899,30.65,30.68,30.6233035113,1172805,0.0000,1.0
2020-11-13,30.69,30.69,30.65,30.67,30.6133219913,684484,0.0000,1.0
2020-11-12,30.6,30.65,30.59,30.65,30.5933589512,888344,0.0000,1.0
2020-11-11,30.53,30.56,30.51,30.55,30.4935437507,1683208,0.0000,1.0
2020-11-10,30.56,30.56,30.5,30.52,30.4635991905,1654081,0.0000,1.0
2020-11-09,30.61,30.64,30.52,30.57,30.5135067908,1860150,0.0000,1.0
2020-11-06,30.74,30.74,30.6901,30.72,30.6632295915,1243666,0.0000,1.0
2020-11-05,30.79,30.81,30.75,30.8,30.7430817519,1384189,0.0000,1.0
2020-11-04,30.71,30.79,30.71,30.76,30.7031556717,1431933,0.0000,1.0
2020-11-03,30.55,30.55,30.5131,30.55,30.4935437507,1513463,0.0000,1.0
2020-11-02,30.55,30.59,30.54,30.55,30.4935437507,1188430,0.0575,1.0
2020-10-30,30.64,30.64,30.55,30.57,30.4561485418,1075203,0.0000,1.0
2020-10-29,30.69,30.71,30.61,30.64,30.5258878417,2655662,0.0000,1.0
2020-10-28,30.71,30.75,30.68,30.69,30.5757016273,930408,0.0000,1.0
2020-10-27,30.67,30.74,30.67,30.73,30.6155526558,3320577,0.0000,1.0
2020-10-26,30.64,30.6888,30.64,30.67,30.5557761131,993868,0.0000,1.0
2020-10-23,30.58,30.6288,30.578,30.62,30.5059623274,698941,0.0000,1.0
2020-10-22,30.6,30.6277,30.57,30.59,30.476074056,1099465,0.0000,1.0
2020-10-21,30.63,30.66,30.62,30.63,30.5159250846,1706895,0.0000,1.0
2020-10-20,30.72,30.72,30.65,30.69,30.5757016273,1588533,0.0000,1.0
2020-10-19,30.71,30.72,30.69,30.71,30.5956271416,864840,0.0000,1.0
2020-10-16,30.74,30.78,30.72,30.74,30.625515413,1130716,0.0000,1.0
2020-10-15,30.76,30.8,30.75,30.76,30.6454409272,933326,0.0000,1.0
2020-10-14,30.79,30.79,30.75,30.78,30.6653664415,1383599,0.0000,1.0
2020-10-13,30.74,30.78,30.73,30.78,30.6653664415,1823577,0.0000,1.0
2020-10-12,30.73,30.76,30.69,30.75,30.6354781701,802743,0.0000,1.0
2020-10-09,30.65,30.7,30.64,30.7,30.5856643845,2200501,0.0000,1.0
2020-10-08,30.68,30.7,30.65,30.7,30.5856643845,746107,0.0000,1.0
2020-10-07,30.71,30.71,30.61,30.65,30.5358505988,1385156,0.0000,1.0
2020-10-06,30.67,30.72,30.63,30.68,30.5657388702,1659439,0.0000,1.0
2020-10-05,30.69,30.6959,30.65,30.65,30.5358505988,1503473,0.0000,1.0
2020-10-02,30.76,30.7757,30.7261,30.75,30.6354781701,1954231,0.0000,1.0
2020-10-01,30.74,30.78,30.7,30.78,30.6653664415,3821250,0.0594,1.0
2020-09-30,30.85,30.85,30.76,30.81,30.636173082,2900460,0.0000,1.0
2020-09-29,30.85,30.86,30.83,30.85,30.675947406,885109,0.0000,1.0
2020-09-28,30.77,30.84,30.77,30.83,30.656060244,5148117,0.0000,1.0
2020-09-25,30.87,30.87,30.78,30.81,30.636173082,1121032,0.0000,1.0
2020-09-24,30.79,30.82,30.78,30.81,30.636173082,537864,0.0000,1.0
2020-09-23,30.88,30.88,30.79,30.81,30.636173082,1099800,0.0000,1.0
2020-09-22,30.88,30.88,30.83,30.84,30.666003825,604892,0.0000,1.0
2020-09-21,30.9,30.9,30.83,30.85,30.675947406,928219,0.0000,1.0
2020-09-18,30.9,30.9,30.83,30.84,30.666003825,815288,0.0000,1.0
2020-09-17,30.89,30.91,30.85,30.88,30.7057781491,1077979,0.0000,1.0
2020-09-16,30.86,30.9,30.8252,30.86,30.685890987,1389999,0.0000,1.0
2020-09-15,30.86,30.9,30.86,30.86,30.685890987,853223,0.0000,1.0
2020-09-14,30.89,30.9,30.86,30.87,30.695834568,1237869,0.0000,1.0
2020-09-11,30.9,30.9,30.84,30.87,30.695834568,1350565,0.0000,1.0
2020-09-10,30.8,30.87,30.76,30.86,30.685890987,4106979,0.0000,1.0
2020-09-09,30.94,30.94,30.8,30.84,30.666003825,1777884,0.0000,1.0
2020-09-08,30.87,30.895,30.84,30.86,30.685890987,1362994,0.0000,1.0
2020-09-04,30.98,30.98,30.81,30.81,30.636173082,6582776,0.0000,1.0
2020-09-03,30.97,31.02,30.96,30.99,30.8151575401,2875892,0.0000,1.0
2020-09-02,30.94,30.99,30.91,30.99,30.8151575401,2127126,0.0000,1.0
2020-09-01,30.85,30.91,30.78,30.9,30.7256653111,1725524,0.0618,1.0
2020-08-31,30.8,30.93,30.8,30.89,30.6543970631,1939258,0.0000,1.0
2020-08-28,30.84,30.84,30.79,30.81,30.5750072358,1225663,0.0000,1.0
2020-08-27,30.92,30.95,30.77,30.77,30.5353123222,2170194,0.0000,1.0
2020-08-26,30.88,30.91,30.84,30.9,30.6643207915,1248775,0.0000,1.0
2020-08-25,30.96,30.96,30.84,30.91,30.6742445199,1395602,0.0000,1.0
2020-08-24,30.97,31.02,30.96,30.97,30.7337868904,846553,0.0000,1.0
2020-08-21,30.99,31.0,30.93,30.99,30.7536343472,1191331,0.0000,1.0
2020-08-20,30.97,30.99,30.94,30.95,30.7139394336,1607825,0.0000,1.0
2020-08-19,30.97,30.98,30.885,30.91,30.6742445199,1138083,0.0000,1.0
2020-08-18,30.88,30.958,30.88,30.95,30.7139394336,1134855,0.0000,1.0
2020-08-17,30.89,30.92,30.87,30.87,30.6345496063,1473890,0.0000,1.0
2020-08-14,30.85,30.89,30.84,30.85,30.6147021495,955625,0.0000,1.0
2020-08-13,31.07,31.07,30.86,30.89,30.6543970631,1179535,0.0000,1.0
2020-08-12,31.02,31.03,30.96,31.0,30.7635580756,1047641,0.0000,1.0
2020-08-11,31.14,31.14,31.005,31.05,30.8131767177,1565344,0.0000,1.0
2020-08-10,31.22,31.23,31.14,31.15,30.9124140018,1034691,0.0000,1.0
2020-08-07,31.22,31.26,31.18,31.2,30.9620326439,783906,0.0000,1.0
2020-08-06,31.23,31.26,31.21,31.22,30.9818801007,811250,0.0000,1.0
2020-08-05,31.21,31.2116,31.17,31.18,30.942185187,1323776,0.0000,1.0
2020-08-04,31.19,31.24,31.1856,31.23,30.9918038291,1536528,0.0000,1.0
2020-08-03,31.08,31.19,31.08,31.16,30.9223377302,954958,0.0620,1.0
2020-07-31,31.2,31.24,31.17,31.22,30.9203410804,1407502,0.0000,1.0
2020-07-30,31.11,31.2,31.11,31.2,30.9005330464,777616,0.0000,1.0
2020-07-29,31.15,31.17,31.1101,31.16,30.8609169784,970467,0.0000,1.0
