timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,27.64,27.84,27.21,27.59,27.59,129484,0.0000,1.0
2020-12-10,27.2,27.98,27.07,27.78,27.78,128214,0.0000,1.0
2020-12-09,28.0,28.0,27.25,27.45,27.45,137211,0.0000,1.0
2020-12-08,27.93,28.39,27.77,27.98,27.98,205480,0.0000,1.0
2020-12-07,28.16,28.28,27.53,27.82,27.82,235114,0.0000,1.0
2020-12-04,28.42,28.99,28.32,28.46,28.46,139883,0.0000,1.0
2020-12-03,27.99,29.05,27.86,28.42,28.42,366933,0.0000,1.0
2020-12-02,28.39,28.8,27.08,27.57,27.57,495262,0.0000,1.0
2020-12-01,29.68,29.75,28.895,29.01,29.01,205733,0.0000,1.0
2020-11-30,29.78,30.395,29.68,29.85,29.85,259340,0.0000,1.0
2020-11-27,30.09,30.2,29.89,29.89,29.89,45675,0.0000,1.0
2020-11-25,29.23,30.175,29.2,29.99,29.99,132085,0.0000,1.0
2020-11-24,29.26,29.48,28.89,29.29,29.29,226155,0.0000,1.0
2020-11-23,29.75,29.94,29.02,29.26,29.26,180339,0.0000,1.0
2020-11-20,29.36,30.17,29.31,29.84,29.84,150966,0.0000,1.0
2020-11-19,29.72,29.74,29.2,29.53,29.53,113004,0.0000,1.0
2020-11-18,29.84,30.5,29.72,29.74,29.74,122158,0.0000,1.0
2020-11-17,29.62,30.09,29.11,29.76,29.76,215974,0.0000,1.0
2020-11-16,29.72,29.83,29.05,29.71,29.71,153907,0.0000,1.0
2020-11-13,29.37,29.53,28.7,29.44,29.44,133541,0.0000,1.0
2020-11-12,29.3,29.59,28.93,29.24,29.24,196369,0.0000,1.0
2020-11-11,30.06,30.06,29.18,29.31,29.31,149960,0.0000,1.0
2020-11-10,29.3,30.79,28.94,29.83,29.83,232659,0.0000,1.0
2020-11-09,29.37,29.98,28.9,29.5,29.5,383399,0.0000,1.0
2020-11-06,28.88,29.45,28.06,28.85,28.85,194090,0.0000,1.0
2020-11-05,29.74,30.5494,28.64,28.75,28.75,366299,0.0000,1.0
2020-11-04,28.67,29.29,28.31,29.25,29.25,228480,0.0000,1.0
2020-11-03,27.71,28.32,27.565,28.16,28.16,223950,0.0000,1.0
2020-11-02,27.41,27.77,27.02,27.61,27.61,209589,0.0000,1.0
2020-10-30,26.99,27.49,26.69,27.13,27.13,230738,0.0000,1.0
