timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,23.355,24.05,23.01,23.74,23.74,107367,0.0000,1.0
2020-12-10,23.57,24.1,23.44,24.06,24.06,114346,0.0000,1.0
2020-12-09,24.38,24.5025,23.78,23.91,23.91,120266,0.0000,1.0
2020-12-08,23.47,24.13,23.47,24.03,24.03,99376,0.0000,1.0
2020-12-07,23.94,23.94,23.53,23.82,23.82,86282,0.0000,1.0
2020-12-04,23.46,24.06,23.39,24.02,24.02,83686,0.0000,1.0
2020-12-03,23.21,23.62,22.83,23.12,23.12,101933,0.0000,1.0
2020-12-02,22.81,23.45,22.36,23.34,23.34,99573,0.0000,1.0
2020-12-01,23.17,23.26,22.7,22.93,22.93,109814,0.0000,1.0
2020-11-30,23.16,23.31,22.27,22.39,22.39,150784,0.0000,1.0
2020-11-27,23.85,24.47,23.17,23.43,23.43,59550,0.0000,1.0
2020-11-25,24.3,24.45,23.81,23.96,23.96,102629,0.0000,1.0
2020-11-24,23.97,24.9914,23.61,24.64,24.64,208236,0.0000,1.0
2020-11-23,23.71,23.95,22.825,23.46,23.46,189871,0.0000,1.0
2020-11-20,23.02,23.3,22.775,23.18,23.18,743012,0.0000,1.0
2020-11-19,23.28,23.98,22.81,23.45,23.45,197936,0.0000,1.0
2020-11-18,23.83,23.9,23.02,23.09,23.09,125642,0.0000,1.0
2020-11-17,23.56,23.74,22.8,23.63,23.63,136851,0.0000,1.0
2020-11-16,23.47,24.28,23.27,23.87,23.87,201232,0.0000,1.0
2020-11-13,22.58,22.91,22.31,22.67,22.67,169132,0.0000,1.0
2020-11-12,22.45,22.49,21.88,22.295,22.295,189456,0.0000,1.0
2020-11-11,24.02,24.02,22.49,22.94,22.94,154487,0.0000,1.0
2020-11-10,22.99,24.2,22.99,23.95,23.95,195169,0.0000,1.0
2020-11-09,20.57,23.48,20.125,22.76,22.76,224713,0.0000,1.0
2020-11-06,19.81,19.81,19.055,19.1,19.1,129925,0.0000,1.0
2020-11-05,19.18,19.85,19.18,19.7,19.7,111889,0.0000,1.0
2020-11-04,20.17,20.17,19.01,19.2,19.2,206596,0.2800,1.0
2020-11-03,20.84,21.15,20.4,21.04,20.7375770021,119796,0.0000,1.0
2020-11-02,20.1,20.38,19.88,20.27,19.9786447639,135256,0.0000,1.0
2020-10-30,19.66,20.06,19.59,19.79,19.5055441478,118447,0.0000,1.0
2020-10-29,19.19,19.84,18.5,19.77,19.4858316222,146624,0.0000,1.0
2020-10-28,19.52,19.94,19.13,19.39,19.1112936345,139344,0.0000,1.0
2020-10-27,20.76,20.76,19.94,19.96,19.673100616,116642,0.0000,1.0
2020-10-26,21.03,21.03,20.42,20.68,20.38275154,185448,0.0000,1.0
2020-10-23,21.58,22.01,21.28,21.43,21.1219712526,87804,0.0000,1.0
2020-10-22,21.79,21.96,20.4,21.31,21.0036960986,179412,0.0000,1.0
2020-10-21,20.53,21.29,20.17,20.99,20.6882956879,186130,0.0000,1.0
2020-10-20,20.18,20.76,20.14,20.55,20.2546201232,136128,0.0000,1.0
2020-10-19,20.15,20.27,19.85,19.9,19.613963039,109108,0.0000,1.0
2020-10-16,19.69,20.02,19.42,19.92,19.6336755647,103778,0.0000,1.0
2020-10-15,19.1,19.89,19.05,19.81,19.5252566735,121462,0.0000,1.0
2020-10-14,19.73,19.875,19.3,19.34,19.0620123203,127042,0.0000,1.0
2020-10-13,20.02,20.1524,19.52,19.66,19.377412731,187198,0.0000,1.0
2020-10-12,19.76,20.33,19.63,20.25,19.9589322382,121338,0.0000,1.0
2020-10-09,20.19,20.19,19.72,19.8,19.5154004107,126934,0.0000,1.0
2020-10-08,19.85,20.0,19.57,19.94,19.6533880903,147008,0.0000,1.0
2020-10-07,19.34,19.74,19.22,19.58,19.2985626283,191394,0.0000,1.0
2020-10-06,19.48,20.04,19.17,19.24,18.963449692,232556,0.0000,1.0
2020-10-05,18.68,19.31,18.4,19.19,18.9141683778,223769,0.0000,1.0
2020-10-02,17.41,18.47,17.315,18.36,18.0960985626,212935,0.0000,1.0
2020-10-01,17.64,17.81,17.32,17.81,17.5540041068,177142,0.0000,1.0
2020-09-30,17.95,18.18,17.55,17.69,17.4357289528,231577,0.0000,1.0
2020-09-29,17.86,17.99,17.475,17.79,17.5342915811,109570,0.0000,1.0
2020-09-28,17.58,18.3,17.495,18.01,17.7511293634,163294,0.0000,1.0
2020-09-25,17.11,17.61,17.11,17.29,17.0414784394,220372,0.0000,1.0
2020-09-24,17.25,18.21,17.01,17.5,17.2484599589,265361,0.0000,1.0
2020-09-23,17.31,17.81,16.98,17.01,16.7655030801,176428,0.0000,1.0
2020-09-22,17.76,18.015,17.05,17.33,17.0809034908,159585,0.0000,1.0
2020-09-21,18.65,18.96,17.47,17.64,17.3864476386,216474,0.0000,1.0
2020-09-18,19.11,19.33,18.56,19.17,18.8944558522,636886,0.0000,1.0
2020-09-17,18.99,19.08,18.7,18.93,18.6579055441,121245,0.0000,1.0
2020-09-16,19.09,19.27,18.82,19.0,18.726899384,187053,0.0000,1.0
2020-09-15,19.64,19.84,18.98,19.0,18.726899384,101480,0.0000,1.0
2020-09-14,19.31,19.65,19.195,19.51,19.2295687885,117286,0.0000,1.0
2020-09-11,19.35,19.78,19.07,19.28,19.0028747433,110947,0.0000,1.0
2020-09-10,19.93,20.0,19.36,19.4,19.1211498973,153766,0.0000,1.0
2020-09-09,19.81,20.42,19.75,19.9,19.613963039,191350,0.0000,1.0
2020-09-08,20.52,20.52,19.96,20.14,19.850513347,180147,0.0000,1.0
2020-09-04,20.79,20.91,20.29,20.62,20.323613963,103782,0.0000,1.0
2020-09-03,20.31,21.12,20.11,20.29,19.9983572895,114333,0.0000,1.0
2020-09-02,20.08,20.38,20.03,20.21,19.9195071869,89662,0.0000,1.0
2020-09-01,20.37,20.43,19.8,20.21,19.9195071869,127901,0.0000,1.0
2020-08-31,20.52,20.68,20.19,20.195,19.9047227926,150060,0.0000,1.0
2020-08-28,20.99,21.07,20.39,20.63,20.3334702259,119314,0.0000,1.0
2020-08-27,20.55,21.58,20.24,20.82,20.5207392197,157875,0.0000,1.0
2020-08-26,20.79,20.79,20.17,20.25,19.9589322382,93419,0.0000,1.0
2020-08-25,21.19,21.3193,20.65,20.84,20.5404517454,114404,0.0000,1.0
2020-08-24,20.47,20.97,20.09,20.93,20.6291581109,237480,0.0000,1.0
2020-08-21,20.36,20.545,20.01,20.2,19.909650924,185574,0.0000,1.0
2020-08-20,20.57,20.795,20.5,20.58,20.2841889117,63294,0.0000,1.0
2020-08-19,21.04,21.2101,20.78,20.91,20.6094455852,116338,0.0000,1.0
2020-08-18,21.68,21.68,20.83,20.87,20.5700205339,83601,0.0000,1.0
