timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.725,14.96,14.695,14.89,14.89,2174,0.0000,1.0
2020-12-10,15.0,15.0,14.39,14.7,14.7,9852,0.0000,1.0
2020-12-09,14.87,15.07,14.39,14.41,14.41,10569,0.0000,1.0
2020-12-08,14.49,15.29,14.355,15.29,15.29,6992,0.0000,1.0
2020-12-07,14.29,14.5,13.7,13.7,13.7,11543,0.0000,1.0
2020-12-04,13.72,14.3062,13.3111,14.0,14.0,7181,0.0000,1.0
2020-12-03,13.44,13.9773,13.29,13.31,13.31,13195,0.0000,1.0
2020-12-02,13.02,13.81,12.92,12.92,12.92,11306,0.0000,1.0
2020-12-01,12.94,13.14,12.5802,12.95,12.95,4700,0.0000,1.0
2020-11-30,13.21,13.21,12.8201,12.96,12.96,11110,0.0000,1.0
2020-11-27,14.44,14.48,12.65,13.07,13.07,21719,0.0000,1.0
2020-11-25,14.51,15.25,13.33,14.65,14.65,14995,0.0000,1.0
2020-11-24,14.99,15.25,14.92,15.25,15.25,8159,0.0000,1.0
2020-11-23,14.725,14.99,14.725,14.92,14.92,5349,0.0000,1.0
2020-11-20,14.65,15.1792,14.65,15.06,15.06,2890,0.0000,1.0
2020-11-19,14.74,15.25,14.74,15.25,15.25,1115,0.0000,1.0
2020-11-18,15.065,15.065,14.31,15.01,15.01,3860,0.0000,1.0
2020-11-17,15.0,15.0,14.99,14.99,14.99,2856,0.0000,1.0
2020-11-16,15.25,15.34,15.0,15.25,15.25,5640,0.0000,1.0
2020-11-13,15.15,15.15,14.85,15.07,15.07,2824,0.0000,1.0
2020-11-12,14.675,15.11,14.53,14.72,14.72,2197,0.0000,1.0
2020-11-11,14.73,14.98,14.73,14.98,14.98,2983,0.0000,1.0
2020-11-10,15.23,15.24,14.92,15.15,15.15,13762,0.0000,1.0
2020-11-09,15.25,15.29,15.025,15.27,15.27,10119,0.0000,1.0
2020-11-06,14.74,14.74,14.74,14.74,14.74,997,0.0000,1.0
2020-11-05,15.0,15.0,14.65,14.74,14.74,21797,0.0000,1.0
2020-11-04,15.25,15.25,14.76,14.76,14.76,6112,0.0000,1.0
2020-11-03,14.98,15.15,14.98,15.15,15.15,34391,0.0000,1.0
2020-11-02,14.0,14.84,14.0,14.84,14.84,2490,0.0000,1.0
2020-10-30,14.45,14.45,14.45,14.45,14.45,2224,0.0000,1.0
2020-10-29,14.0,15.08,14.0,15.01,15.01,31913,0.0000,1.0
2020-10-28,13.395,13.96,13.395,13.96,13.96,2138,0.0000,1.0
2020-10-27,14.5,14.5,13.95,13.95,13.95,1147,0.0000,1.0
2020-10-26,14.0,14.8,14.0,14.2,14.2,1882,0.0000,1.0
2020-10-23,14.42,14.42,14.42,14.42,14.42,1209,0.0000,1.0
2020-10-22,14.5617,15.05,14.4,14.4,14.4,5190,0.0000,1.0
2020-10-21,14.475,15.0,14.4,15.0,15.0,2009,0.0000,1.0
2020-10-20,14.7611,14.94,14.69,14.94,14.94,1445,0.0000,1.0
2020-10-19,14.51,14.51,14.51,14.51,14.51,337,0.0000,1.0
2020-10-16,14.8,15.03,14.4,14.7,14.7,6196,0.0000,1.0
2020-10-15,15.01,15.01,15.01,15.01,15.01,1019,0.0000,1.0
2020-10-14,14.6,14.6,14.6,14.6,14.6,645,0.0000,1.0
2020-10-13,14.85,15.08,14.6,14.6,14.6,3141,0.0000,1.0
2020-10-12,14.6738,15.08,14.6738,15.08,15.08,1462,0.0000,1.0
2020-10-09,15.0799,15.0799,14.4,14.89,14.89,3435,0.0000,1.0
2020-10-08,14.7,14.91,14.54,14.55,14.55,3184,0.0000,1.0
2020-10-07,14.88,15.045,14.88,14.99,14.99,6241,0.0000,1.0
2020-10-06,14.87,15.06,14.87,14.88,14.88,4259,0.0000,1.0
2020-10-05,14.53,15.15,14.53,14.79,14.79,6237,0.0000,1.0
2020-10-02,15.01,15.06,14.505,15.0,15.0,9657,0.0000,1.0
2020-10-01,14.41,15.06,14.275,15.05,15.05,34626,0.0000,1.0
2020-09-30,13.7,14.48,13.7,14.0,14.0,9423,0.0000,1.0
2020-09-29,13.86,13.86,13.86,13.86,13.86,1022,0.0000,1.0
2020-09-28,13.2934,13.45,13.2934,13.45,13.45,2490,0.0000,1.0
2020-09-25,13.41,13.67,13.41,13.5,13.5,5526,0.0000,1.0
2020-09-24,13.4,14.0,13.4,14.0,14.0,1434,0.0000,1.0
2020-09-23,12.98,14.3088,12.73,13.2,13.2,9997,0.0000,1.0
2020-09-22,13.495,14.33,12.4912,13.51,13.51,22922,0.0000,1.0
2020-09-21,14.53,14.78,12.61,13.69,13.69,25054,0.0000,1.0
2020-09-18,14.75,14.93,13.87,14.18,14.18,225084,0.0000,1.0
2020-09-17,14.33,14.51,13.1,14.5,14.5,17632,0.0000,1.0
2020-09-16,14.66,14.66,13.2,14.5,14.5,40903,0.0000,1.0
2020-09-15,14.4952,14.67,13.05,14.29,14.29,36153,0.0000,1.0
2020-09-14,14.66,14.67,14.18,14.45,14.45,38830,0.0000,1.0
2020-09-11,13.745,14.83,13.745,14.19,14.19,54532,0.0000,1.0
2020-09-10,14.28,14.69,13.9,14.0,14.0,24869,0.0000,1.0
2020-09-09,13.9,14.5,13.89,14.01,14.01,33969,0.0000,1.0
2020-09-08,13.99,15.34,13.6278,13.94,13.94,33280,0.0000,1.0
2020-09-04,13.5,13.5,13.5,13.5,13.5,1089,0.0000,1.0
2020-09-03,13.57,14.85,12.75,12.91,12.91,4912,0.0000,1.0
2020-09-02,12.82,13.6245,12.8,13.4,13.4,5374,0.0000,1.0
2020-09-01,12.8,12.8,12.75,12.75,12.75,3583,0.0000,1.0
