timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,41.8,42.31,41.645,41.71,41.71,30954,0.0000,1.0
2020-12-10,41.63,42.13,41.36,42.12,42.12,37346,0.0000,1.0
2020-12-09,41.88,42.14,41.4,41.72,41.72,50353,0.0000,1.0
2020-12-08,40.72,41.52,40.66,41.39,41.39,54436,0.0000,1.0
2020-12-07,40.89,41.2,40.52,41.1,41.1,27021,0.0000,1.0
2020-12-04,40.34,41.1,40.13,41.05,41.05,32236,0.0000,1.0
2020-12-03,40.84,40.84,40.01,40.13,40.13,50997,0.0000,1.0
2020-12-02,40.48,41.19,40.14,41.09,41.09,50700,0.0000,1.0
2020-12-01,40.75,41.28,40.355,40.78,40.78,41607,0.0000,1.0
2020-11-30,40.96,41.15,39.78,39.84,39.84,75591,0.0000,1.0
2020-11-27,41.99,42.75,40.79,41.26,41.26,24619,0.0000,1.0
2020-11-25,42.56,42.61,41.78,42.15,42.15,46239,0.0000,1.0
2020-11-24,41.69,43.63,41.33,43.14,43.14,70882,0.0000,1.0
2020-11-23,41.36,41.43,40.2144,40.93,40.93,45939,0.0000,1.0
2020-11-20,40.77,40.91,40.1,40.85,40.85,49051,0.0000,1.0
2020-11-19,41.47,41.695,40.23,41.38,41.38,31073,0.0000,1.0
2020-11-18,42.05,42.57,41.46,41.46,41.46,42380,0.0000,1.0
2020-11-17,41.93,42.42,40.69,42.17,42.17,59185,0.0000,1.0
2020-11-16,42.45,42.905,41.64,42.43,42.43,61037,0.0000,1.0
2020-11-13,40.69,41.61,40.4137,41.12,41.12,46927,0.0000,1.0
2020-11-12,40.1,41.46,39.75,40.17,40.17,53732,0.0000,1.0
2020-11-11,43.24,43.24,40.0401,41.96,41.96,41392,0.0000,1.0
2020-11-10,42.06,43.31,41.88,43.14,43.14,73220,0.0000,1.0
2020-11-09,39.98,43.36,39.24,41.41,41.41,86853,0.0000,1.0
2020-11-06,38.27,38.27,36.99,37.37,37.37,57708,0.0000,1.0
2020-11-05,37.28,38.47,37.09,37.91,37.91,33385,0.0000,1.0
2020-11-04,39.55,39.85,36.93,37.18,37.18,44113,0.0000,1.0
2020-11-03,38.94,40.61,38.86,40.24,40.24,54397,0.0000,1.0
2020-11-02,38.67,38.84,37.97,38.81,38.81,47201,0.0000,1.0
2020-10-30,37.99,38.46,37.84,38.22,38.22,92067,0.0000,1.0
2020-10-29,37.67,38.21,37.06,37.98,37.98,87120,0.0000,1.0
2020-10-28,37.87,38.46,37.44,38.03,38.03,127349,0.0000,1.0
2020-10-27,38.63,38.67,37.66,38.16,38.16,90891,0.0000,1.0
2020-10-26,38.17,38.65,37.7654,38.58,38.58,85863,0.0000,1.0
2020-10-23,38.59,38.74,37.91,38.71,38.71,52756,0.0000,1.0
2020-10-22,37.47,38.46,36.855,38.37,38.37,46767,0.0000,1.0
2020-10-21,37.26,37.72,37.15,37.21,37.21,60847,0.0000,1.0
2020-10-20,36.79,37.66,36.79,37.35,37.35,55621,0.0000,1.0
2020-10-19,37.05,37.33,36.14,36.49,36.49,62909,0.0000,1.0
2020-10-16,36.73,37.07,36.32,36.74,36.74,47370,0.0000,1.0
2020-10-15,36.32,37.24,36.14,36.86,36.86,105883,0.0000,1.0
2020-10-14,37.49,37.585,36.33,36.41,36.41,49968,0.0000,1.0
2020-10-13,38.04,38.04,37.22,37.35,37.35,23185,0.0000,1.0
2020-10-12,37.51,38.46,37.415,38.42,38.42,23829,0.0000,1.0
2020-10-09,38.48,38.48,37.63,37.64,37.64,25612,0.0000,1.0
2020-10-08,38.41,38.41,37.6,37.96,37.96,41001,0.0000,1.0
2020-10-07,37.15,38.2,36.83,38.02,38.02,61678,0.0000,1.0
2020-10-06,37.11,37.96,36.23,36.72,36.72,76852,0.0000,1.0
2020-10-05,35.29,36.68,35.29,36.61,36.61,51953,0.0000,1.0
2020-10-02,33.29,35.1747,33.29,34.9,34.9,76490,0.0000,1.0
2020-10-01,34.41,35.038,33.8,34.165,34.165,90281,0.0000,1.0
2020-09-30,34.27,34.88,33.79,34.04,34.04,72638,0.0000,1.0
2020-09-29,34.97,36.0516,34.0582,34.54,34.54,36998,0.0000,1.0
