timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,7.0,7.2,6.82,6.96,6.96,68762,0.0000,1.0
2020-12-10,6.4,7.295,6.4,7.1,7.1,174912,0.0000,1.0
2020-12-09,6.5,6.5826,6.3012,6.44,6.44,48886,0.0000,1.0
2020-12-08,6.22,6.5761,6.22,6.36,6.36,113410,0.0000,1.0
2020-12-07,6.33,6.46,6.14,6.3,6.3,59066,0.0000,1.0
2020-12-04,6.35,6.5,6.13,6.33,6.33,58933,0.0000,1.0
2020-12-03,6.26,6.6,6.26,6.34,6.34,31367,0.0000,1.0
2020-12-02,6.58,6.75,6.21,6.38,6.38,17403,0.0000,1.0
2020-12-01,6.45,6.91,6.3701,6.58,6.58,40382,0.0000,1.0
2020-11-30,5.93,6.54,5.83,6.355,6.355,49712,0.0000,1.0
2020-11-27,6.0,6.05,5.9,5.9,5.9,13186,0.0000,1.0
2020-11-25,6.04,6.085,5.91,6.0,6.0,46827,0.0000,1.0
2020-11-24,6.04,6.22,5.85,6.08,6.08,83361,0.0000,1.0
2020-11-23,6.34,6.34,5.8,6.04,6.04,66934,0.0000,1.0
2020-11-20,6.54,6.54,6.3701,6.4,6.4,25920,0.0000,1.0
2020-11-19,7.05,7.08,6.47,6.64,6.64,72893,0.0000,1.0
2020-11-18,5.95,7.2,5.95,7.1,7.1,92847,0.0000,1.0
2020-11-17,5.93,6.0,5.66,6.0,6.0,31469,0.0000,1.0
2020-11-16,5.36,5.9,5.36,5.81,5.81,33843,0.0000,1.0
2020-11-13,4.97,5.47,4.81,5.3,5.3,76015,0.0000,1.0
2020-11-12,5.35,5.35,4.75,5.0,5.0,85175,0.0000,1.0
2020-11-11,5.31,5.725,5.07,5.46,5.46,20879,0.0000,1.0
2020-11-10,5.66,5.7591,5.33,5.34,5.34,27445,0.0000,1.0
2020-11-09,5.38,5.92,5.38,5.76,5.76,25806,0.0000,1.0
2020-11-06,5.72,5.82,5.41,5.41,5.41,23011,0.0000,1.0
2020-11-05,5.44,5.97,5.44,5.8,5.8,41840,0.0000,1.0
2020-11-04,5.49,5.49,5.23,5.44,5.44,9222,0.0000,1.0
2020-11-03,5.3,5.5899,5.19,5.52,5.52,40787,0.0000,1.0
2020-11-02,5.19,5.3,5.091,5.3,5.3,36051,0.0000,1.0
2020-10-30,5.15,5.23,4.88,5.19,5.19,37498,0.0000,1.0
2020-10-29,5.3,5.4699,4.9,5.15,5.15,80798,0.0000,1.0
2020-10-28,5.11,5.396,4.96,5.2,5.2,251280,0.0000,1.0
2020-10-27,4.01,5.4495,4.01,5.2,5.2,2544665,0.0000,1.0
2020-10-26,4.01,4.1,4.0,4.09,4.09,33396,0.0000,1.0
2020-10-23,4.16,4.2248,4.03,4.05,4.05,97707,0.0000,1.0
2020-10-22,4.08,4.2019,4.05,4.13,4.13,34836,0.0000,1.0
2020-10-21,3.96,4.1537,3.9,4.01,4.01,62758,0.0000,1.0
2020-10-20,4.01,4.05,3.88,3.92,3.92,78087,0.0000,1.0
2020-10-19,4.15,4.24,3.96,4.01,4.01,31304,0.0000,1.0
2020-10-16,4.1692,4.18,4.0401,4.1,4.1,37660,0.0000,1.0
2020-10-15,4.1055,4.1342,4.0666,4.085,4.085,23228,0.0000,1.0
2020-10-14,4.185,4.2205,4.08,4.08,4.08,21067,0.0000,1.0
2020-10-13,4.31,4.31,4.0533,4.0999,4.0999,48012,0.0000,1.0
2020-10-12,4.84,4.84,4.27,4.3629,4.3629,39141,0.0000,1.0
2020-10-09,4.41,4.85,4.41,4.755,4.755,84256,0.0000,1.0
2020-10-08,4.1,4.4,4.0601,4.4,4.4,65378,0.0000,1.0
2020-10-07,4.01,4.2,4.0005,4.12,4.12,63005,0.0000,1.0
2020-10-06,4.95,4.95,3.81,3.98,3.98,334238,0.0000,1.0
2020-10-05,5.555,5.6,4.66,4.69,4.69,158672,0.0000,1.0
2020-10-02,5.435,5.82,5.435,5.67,5.67,12921,0.0000,1.0
2020-10-01,5.745,5.745,5.45,5.47,5.47,7571,0.0000,1.0
2020-09-30,5.815,5.815,5.52,5.52,5.52,16213,0.0000,1.0
2020-09-29,5.8339,5.895,5.79,5.79,5.79,1860,0.0000,1.0
2020-09-28,5.71,5.85,5.71,5.82,5.82,1620,0.0000,1.0
2020-09-25,5.81,5.8511,5.65,5.65,5.65,6998,0.0000,1.0
2020-09-24,5.98,6.025,5.69,5.69,5.69,11671,0.0000,1.0
2020-09-23,6.22,6.3307,5.91,5.95,5.95,14136,0.0000,1.0
2020-09-22,6.0578,6.22,5.999,6.07,6.07,4406,0.0000,1.0
2020-09-21,5.99,6.04,5.99,6.04,6.04,847,0.0000,1.0
2020-09-18,5.94,6.22,5.94,6.22,6.22,5565,0.0000,1.0
2020-09-17,6.07,6.17,6.0,6.11,6.11,2277,0.0000,1.0
2020-09-16,5.9,6.19,5.9,6.12,6.12,12110,0.0000,1.0
2020-09-15,5.88,6.0,5.85,5.85,5.85,7305,0.0000,1.0
