timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,16.3,16.36,16.145,16.27,16.27,1041198,0.0000,1.0
2020-12-10,16.6,16.6704,16.37,16.4,16.4,1216997,0.0000,1.0
2020-12-09,16.74,16.85,16.58,16.68,16.68,1589808,0.0000,1.0
2020-12-08,16.53,16.6099,16.42,16.57,16.57,1163578,0.0000,1.0
2020-12-07,16.8,16.83,16.68,16.74,16.74,1669693,0.0000,1.0
2020-12-04,16.93,17.14,16.92,17.06,17.06,2157167,0.0000,1.0
2020-12-03,16.68,16.74,16.4812,16.55,16.55,1494624,0.0000,1.0
2020-12-02,16.7,17.0,16.68,16.82,16.82,2262035,0.0000,1.0
2020-12-01,16.35,16.7289,16.315,16.55,16.55,2255131,0.0000,1.0
2020-11-30,16.09,16.15,15.995,16.1,16.1,1141310,0.0000,1.0
2020-11-27,16.19,16.19,16.04,16.07,16.07,603122,0.0000,1.0
2020-11-25,16.27,16.3899,16.13,16.38,16.38,1173590,0.0000,1.0
2020-11-24,16.12,16.309,16.11,16.29,16.29,3548021,0.0000,1.0
2020-11-23,15.94,16.05,15.9103,15.97,15.97,1573154,0.0000,1.0
2020-11-20,16.0,16.04,15.81,15.82,15.82,975007,0.0000,1.0
2020-11-19,16.13,16.1478,15.9747,16.11,16.11,1275602,0.0000,1.0
2020-11-18,16.23,16.46,16.21,16.28,16.28,1286284,0.0000,1.0
2020-11-17,16.38,16.4094,16.29,16.37,16.37,738725,0.0000,1.0
2020-11-16,16.59,16.6192,16.48,16.57,16.57,937915,0.0000,1.0
2020-11-13,16.45,16.555,16.4398,16.5,16.5,1029602,0.0000,1.0
2020-11-12,16.76,16.82,16.45,16.46,16.46,2965894,0.0000,1.0
2020-11-11,17.25,17.25,17.01,17.04,17.04,1104830,0.0000,1.0
2020-11-10,17.23,17.2599,17.03,17.15,17.15,1982494,0.0000,1.0
2020-11-09,17.03,17.28,16.96,16.96,16.96,4558018,0.0000,1.0
2020-11-06,16.27,16.3955,16.21,16.29,16.29,1132397,0.0000,1.0
2020-11-05,15.86,16.07,15.85,15.91,15.91,2294159,0.0000,1.0
2020-11-04,15.87,16.09,15.74,16.0,16.0,3600330,0.0000,1.0
2020-11-03,16.67,16.83,16.645,16.69,16.69,1884757,0.0000,1.0
2020-11-02,16.48,16.57,16.3867,16.53,16.53,1694507,0.0000,1.0
2020-10-30,16.45,16.755,16.4,16.74,16.74,2272418,0.0000,1.0
2020-10-29,16.11,16.575,16.1,16.44,16.44,1148278,0.0000,1.0
2020-10-28,15.99,16.225,15.97,16.11,16.11,1804472,0.0000,1.0
2020-10-27,16.23,16.28,16.12,16.16,16.16,711929,0.0000,1.0
2020-10-26,16.44,16.48,16.2622,16.38,16.38,1288149,0.0000,1.0
2020-10-23,16.95,16.95,16.64,16.7,16.7,1248626,0.0000,1.0
2020-10-22,16.64,16.89,16.5646,16.89,16.89,2601576,0.0000,1.0
2020-10-21,16.53,16.61,16.41,16.54,16.54,868417,0.0000,1.0
2020-10-20,16.3117,16.495,16.28,16.44,16.44,839668,0.0000,1.0
2020-10-19,16.17,16.27,16.095,16.13,16.13,937114,0.0000,1.0
2020-10-16,15.97,16.065,15.84,16.0,16.0,641489,0.0000,1.0
2020-10-15,15.68,15.965,15.655,15.91,15.91,710267,0.0000,1.0
2020-10-14,15.81,15.9,15.75,15.86,15.86,723816,0.0000,1.0
2020-10-13,16.05,16.065,15.93,15.95,15.95,748944,0.0000,1.0
2020-10-12,16.2,16.3,16.17,16.18,16.18,1275883,0.0000,1.0
2020-10-09,16.4,16.545,16.255,16.3,16.3,1052488,0.0000,1.0
2020-10-08,16.32,16.37,16.257,16.27,16.27,1358772,0.0000,1.0
2020-10-07,16.39,16.535,16.23,16.47,16.47,1505333,0.0000,1.0
2020-10-06,16.45,16.57,16.03,16.22,16.22,3075923,0.0000,1.0
2020-10-05,16.11,16.41,16.11,16.39,16.39,1911861,0.0000,1.0
2020-10-02,15.6,15.88,15.6,15.77,15.77,914245,0.0000,1.0
2020-10-01,15.82,15.89,15.59,15.66,15.66,1181681,0.0000,1.0
2020-09-30,15.57,15.845,15.57,15.7,15.7,1819499,0.0000,1.0
2020-09-29,15.43,15.4585,15.335,15.41,15.41,523929,0.0000,1.0
