timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.11,1.12,1.065,1.1,1.1,1443840,0.0000,1.0
2020-12-10,1.07,1.14,1.06,1.13,1.13,3315076,0.0000,1.0
2020-12-09,1.09,1.1,1.02,1.06,1.06,2165907,0.0000,1.0
2020-12-08,1.06,1.08,1.03,1.06,1.06,1494916,0.0000,1.0
2020-12-07,1.1,1.1,1.02,1.07,1.07,3807162,0.0000,1.0
2020-12-04,1.02,1.08,1.01,1.06,1.06,2450285,0.0000,1.0
2020-12-03,1.08,1.09,1.0,1.02,1.02,4393693,0.0000,1.0
2020-12-02,1.0,1.08,0.9917,1.08,1.08,1129236,0.0000,1.0
2020-12-01,0.982,1.03,0.9561,0.99,0.99,1368312,0.0000,1.0
2020-11-30,0.99,0.99,0.9401,0.9565,0.9565,1623730,0.0000,1.0
2020-11-27,0.92,0.965,0.92,0.9393,0.9393,1777310,0.0000,1.0
2020-11-25,0.854,0.8989,0.8344,0.8884,0.8884,1647378,0.0000,1.0
2020-11-24,0.834,0.8558,0.821,0.849,0.849,1938546,0.0000,1.0
2020-11-23,0.8424,0.85,0.816,0.8225,0.8225,1465923,0.0000,1.0
2020-11-20,0.8101,0.845,0.8101,0.8308,0.8308,2034898,0.0000,1.0
2020-11-19,0.7951,0.825,0.7817,0.793,0.793,1679633,0.0000,1.0
2020-11-18,0.84,0.8479,0.801,0.8091,0.8091,1489146,0.0000,1.0
2020-11-17,0.82,0.84,0.82,0.83,0.83,1554881,0.0000,1.0
2020-11-16,0.86,0.875,0.8263,0.83,0.83,3382380,0.0000,1.0
2020-11-13,0.83,0.85,0.82,0.826,0.826,5403426,0.0000,1.0
2020-11-12,0.84,0.8491,0.7947,0.81,0.81,11271170,0.0000,1.0
2020-11-11,1.01,1.03,0.9842,0.99,0.99,626367,0.0000,1.0
2020-11-10,1.03,1.0427,1.005,1.03,1.03,395873,0.0000,1.0
2020-11-09,1.06,1.07,1.0,1.03,1.03,960800,0.0000,1.0
2020-11-06,1.02,1.05,0.99,1.03,1.03,874022,0.0000,1.0
2020-11-05,0.92,1.02,0.9,0.9812,0.9812,1095400,0.0000,1.0
2020-11-04,0.93,0.9417,0.89,0.9058,0.9058,606412,0.0000,1.0
2020-11-03,0.9238,0.96,0.9111,0.93,0.93,617982,0.0000,1.0
2020-11-02,0.93,0.93,0.890201,0.9067,0.9067,787463,0.0000,1.0
2020-10-30,0.94,0.955,0.89,0.9357,0.9357,753510,0.0000,1.0
2020-10-29,0.9065,1.02,0.88,0.9429,0.9429,1606792,0.0000,1.0
2020-10-28,0.99,1.01,0.87,0.89,0.89,3110392,0.0000,1.0
2020-10-27,1.07,1.105,1.0,1.04,1.04,2370022,0.0000,1.0
2020-10-26,1.11,1.155,1.1,1.15,1.15,1205300,0.0000,1.0
2020-10-23,1.16,1.16,1.1,1.14,1.14,699465,0.0000,1.0
2020-10-22,1.18,1.18,1.11,1.15,1.15,856781,0.0000,1.0
2020-10-21,1.14,1.2,1.12,1.15,1.15,1201407,0.0000,1.0
2020-10-20,1.11,1.155,1.08,1.12,1.12,1979865,0.0000,1.0
2020-10-19,1.12,1.21,1.08,1.1,1.1,1916615,0.0000,1.0
2020-10-16,1.06,1.11,1.05,1.1,1.1,917048,0.0000,1.0
2020-10-15,1.03,1.09,0.99,1.08,1.08,701339,0.0000,1.0
2020-10-14,1.1,1.1,1.05,1.07,1.07,459028,0.0000,1.0
2020-10-13,1.07,1.1,1.03,1.08,1.08,583096,0.0000,1.0
2020-10-12,1.1,1.1,1.05,1.09,1.09,386210,0.0000,1.0
2020-10-09,1.11,1.11,1.045,1.1,1.1,611781,0.0000,1.0
2020-10-08,1.04,1.11,1.0304,1.07,1.07,666879,0.0000,1.0
2020-10-07,1.07,1.15,1.035,1.07,1.07,1882986,0.0000,1.0
2020-10-06,1.07,1.0817,1.03,1.04,1.04,767461,0.0000,1.0
2020-10-05,1.02,1.09,1.01,1.08,1.08,569983,0.0000,1.0
2020-10-02,0.98,1.04,0.96,1.02,1.02,728573,0.0000,1.0
2020-10-01,1.05,1.08,0.9965,1.02,1.02,1271090,0.0000,1.0
2020-09-30,1.05,1.1,1.022,1.06,1.06,1174179,0.0000,1.0
2020-09-29,1.06,1.07,1.0,1.03,1.03,848161,0.0000,1.0
2020-09-28,1.09,1.09,1.02,1.05,1.05,1061631,0.0000,1.0
2020-09-25,0.962,1.02,0.9401,0.99,0.99,1301884,0.0000,1.0
2020-09-24,0.9423,1.02,0.92,0.98,0.98,2640847,0.0000,1.0
2020-09-23,1.16,1.22,0.9601,1.01,1.01,3729151,0.0000,1.0
2020-09-22,1.22,1.26,1.2,1.22,1.22,1138796,0.0000,1.0
2020-09-21,1.28,1.29,1.14,1.22,1.22,2600725,0.0000,1.0
2020-09-18,1.23,1.34,1.2101,1.33,1.33,3348472,0.0000,1.0
2020-09-17,1.15,1.22,1.13,1.2,1.2,1448873,0.0000,1.0
2020-09-16,1.17,1.19,1.1277,1.16,1.16,1177753,0.0000,1.0
2020-09-15,1.11,1.1745,1.11,1.13,1.13,1145775,0.0000,1.0
2020-09-14,1.09,1.15,1.03,1.11,1.11,1705146,0.0000,1.0
2020-09-11,1.09,1.09,1.02,1.05,1.05,1451040,0.0000,1.0
2020-09-10,1.13,1.13,1.01,1.07,1.07,1394021,0.0000,1.0
2020-09-09,1.12,1.19,1.07,1.1,1.1,2536532,0.0000,1.0
2020-09-08,1.04,1.11,1.0,1.11,1.11,2993667,0.0000,1.0
2020-09-04,0.93,1.05,0.92,1.03,1.03,3286783,0.0000,1.0
2020-09-03,0.9656,0.9699,0.8961,0.9469,0.9469,1382395,0.0000,1.0
2020-09-02,0.98,0.9849,0.921,0.9772,0.9772,838668,0.0000,1.0
2020-09-01,0.98,0.9949,0.94,0.9725,0.9725,1460532,0.0000,1.0
2020-08-31,0.89,0.9769,0.8854,0.96,0.96,2735500,0.0000,1.0
2020-08-28,0.88,0.8875,0.865,0.8875,0.8875,932674,0.0000,1.0
2020-08-27,0.86,0.8711,0.8005,0.8709,0.8709,1449711,0.0000,1.0
2020-08-26,0.81,0.8497,0.795,0.8497,0.8497,857374,0.0000,1.0
2020-08-25,0.8726,0.8726,0.781,0.82,0.82,1041227,0.0000,1.0
2020-08-24,0.8654,0.89,0.8249,0.8319,0.8319,1114604,0.0000,1.0
2020-08-21,0.87,0.875899,0.8208,0.85,0.85,752231,0.0000,1.0
2020-08-20,0.865,0.88,0.8402,0.875,0.875,1156939,0.0000,1.0
2020-08-19,0.812,0.87,0.81011,0.87,0.87,1870969,0.0000,1.0
2020-08-18,0.81,0.82,0.7925,0.812,0.812,1035437,0.0000,1.0
2020-08-17,0.78,0.81,0.77001,0.81,0.81,1583566,0.0000,1.0
2020-08-14,0.789,0.789,0.76,0.7676,0.7676,398001,0.0000,1.0
2020-08-13,0.7818,0.79,0.76401,0.7869,0.7869,1080359,0.0000,1.0
2020-08-12,0.784,0.7951,0.7764,0.7893,0.7893,776303,0.0000,1.0
2020-08-11,0.74,0.7977,0.7266,0.7876,0.7876,1705271,0.0000,1.0
2020-08-10,0.79,0.8,0.74,0.7838,0.7838,4915719,0.0000,1.0
2020-08-07,0.8,0.8275,0.7502,0.7892,0.7892,2653922,0.0000,1.0
2020-08-06,0.82,0.8398,0.7801,0.8294,0.8294,4107494,0.0000,1.0
2020-08-05,0.7,0.7749,0.7,0.765,0.765,4232291,0.0000,1.0
2020-08-04,0.69,0.6905,0.65,0.6905,0.6905,1765831,0.0000,1.0
2020-08-03,0.68,0.68,0.6302,0.64,0.64,2046061,0.0000,1.0
2020-07-31,0.65,0.6699,0.6044,0.645,0.645,2239386,0.0000,1.0
2020-07-30,0.67,0.67,0.6222,0.6517,0.6517,2356543,0.0000,1.0
2020-07-29,0.7,0.71,0.6174,0.6808,0.6808,5199054,0.0000,1.0
2020-07-28,0.739,0.78,0.7,0.7136,0.7136,4743567,0.0000,1.0
2020-07-27,0.8102,0.856,0.7211,0.78,0.78,11657359,0.0000,1.0
2020-07-24,0.62,0.82,0.592001,0.765,0.765,19055628,0.0000,1.0
2020-07-23,0.605,0.6104,0.5801,0.6101,0.6101,1213230,0.0000,1.0
2020-07-22,0.6277,0.6277,0.56111,0.5946,0.5946,1929997,0.0000,1.0
