timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.51,14.705,14.41,14.42,14.42,975837,0.0000,1.0
2020-12-10,14.45,14.68,14.39,14.65,14.65,1621764,0.0700,1.0
2020-12-09,14.82,14.97,14.58,14.65,14.5803328804,2323397,0.0000,1.0
2020-12-08,14.61,14.87,14.61,14.73,14.6599524457,974202,0.0000,1.0
2020-12-07,14.71,14.84,14.505,14.76,14.6898097826,966235,0.0000,1.0
2020-12-04,14.45,14.79,14.33,14.74,14.6699048913,1180027,0.0000,1.0
2020-12-03,14.57,14.79,14.26,14.36,14.2917119565,764622,0.0000,1.0
2020-12-02,14.48,14.63,14.3,14.62,14.5504755435,1236930,0.0000,1.0
2020-12-01,14.47,14.66,14.44,14.5,14.4310461957,1922560,0.0000,1.0
2020-11-30,14.59,14.79,14.365,14.41,14.3414741848,1363038,0.0000,1.0
2020-11-27,14.69,14.77,14.44,14.6,14.5305706522,2530051,0.0000,1.0
2020-11-25,14.66,14.73,14.42,14.69,14.620142663,835431,0.0000,1.0
2020-11-24,14.78,14.905,14.65,14.72,14.65,1518648,0.0000,1.0
2020-11-23,14.56,14.64,14.43,14.49,14.42109375,892976,0.0000,1.0
2020-11-20,13.92,14.6,13.92,14.4,14.3315217391,1858265,0.0000,1.0
2020-11-19,14.41,14.53,13.945,14.01,13.9433763587,1703370,0.0000,1.0
2020-11-18,14.89,14.9499,14.435,14.44,14.3713315217,1412983,0.0000,1.0
2020-11-17,14.44,14.985,14.44,14.87,14.7992866848,2797775,0.0000,1.0
2020-11-16,14.5,14.68,14.31,14.6,14.5305706522,2736698,0.0000,1.0
2020-11-13,14.08,14.26,14.0,14.22,14.1523777174,937466,0.0000,1.0
2020-11-12,13.82,14.04,13.54,13.93,13.8637567935,1531423,0.0000,1.0
2020-11-11,14.07,14.08,13.81,13.99,13.9234714674,1205525,0.0000,1.0
2020-11-10,13.99,14.29,13.945,14.11,14.0429008152,1686105,0.0000,1.0
2020-11-09,13.4,14.6,13.4,13.67,13.6049932065,1482009,0.0000,1.0
2020-11-06,13.01,13.365,12.94,13.17,13.1073709239,2427837,0.0000,1.0
2020-11-05,12.38,13.055,12.38,13.01,12.9481317935,1938576,0.0000,1.0
2020-11-04,12.4,12.71,12.01,12.4,12.3410326087,2125906,0.0000,1.0
2020-11-03,12.51,12.715,12.375,12.64,12.5798913043,2001629,0.0000,1.0
2020-11-02,12.19,12.33,11.96,12.26,12.2016983696,1121864,0.0000,1.0
2020-10-30,12.03,12.13,11.94,12.03,11.9727921196,1074362,0.0000,1.0
2020-10-29,11.88,12.18,11.77,12.08,12.0225543478,837525,0.0000,1.0
2020-10-28,12.11,12.44,11.98,12.0,11.9429347826,880573,0.0000,1.0
2020-10-27,12.69,12.69,12.41,12.42,12.3609375,10629226,0.0000,1.0
2020-10-26,13.16,13.16,12.72,12.76,12.6993206522,959631,0.0000,1.0
2020-10-23,13.15,13.47,13.11,13.29,13.2268002717,1711493,0.0000,1.0
