timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,69.0,69.6,68.3976,69.6,69.6,27172,0.0000,1.0
2020-12-10,69.035,69.49,68.45,69.46,69.46,23209,0.0000,1.0
2020-12-09,69.81,70.54,68.395,68.72,68.72,40857,0.0000,1.0
2020-12-08,67.7,69.43,67.469,69.4,69.4,22620,0.0000,1.0
2020-12-07,67.75,68.69,67.0101,67.9,67.9,24404,0.0000,1.0
2020-12-04,66.71,68.53,66.38,68.53,68.53,23903,0.0000,1.0
2020-12-03,66.1,66.51,65.24,65.67,65.67,28824,0.0000,1.0
2020-12-02,64.74,66.72,64.74,66.43,66.43,21028,0.0000,1.0
2020-12-01,65.15,67.19,64.1,64.74,64.74,30809,0.0000,1.0
2020-11-30,65.77,65.99,63.53,63.61,63.61,53133,0.0000,1.0
2020-11-27,68.14,68.14,65.98,67.14,67.14,20097,0.0000,1.0
2020-11-25,69.7,69.7,67.705,68.02,68.02,25172,0.0000,1.0
2020-11-24,68.24,70.53,68.04,70.17,70.17,51284,0.0000,1.0
2020-11-23,66.74,67.8,66.63,67.22,67.22,51303,0.0000,1.0
2020-11-20,65.25,66.26,64.35,65.92,65.92,246441,0.0000,1.0
2020-11-19,65.7,66.59,64.32,66.59,66.59,56600,0.0000,1.0
2020-11-18,68.39,68.775,65.82,65.82,65.82,34418,0.0000,1.0
2020-11-17,66.7,68.03,65.99,67.52,67.52,47216,0.0000,1.0
2020-11-16,66.57,68.92,64.13,68.13,68.13,50811,0.0000,1.0
2020-11-13,64.06,64.89,62.77,64.22,64.22,67138,0.0000,1.0
2020-11-12,62.63,62.83,61.115,62.82,62.82,50896,0.0000,1.0
2020-11-11,65.85,65.85,63.08,63.93,63.93,40334,0.0000,1.0
2020-11-10,62.25,66.19,62.25,65.88,65.88,74639,0.0000,1.0
2020-11-09,58.12,64.595,58.12,63.44,63.44,89031,0.0000,1.0
2020-11-06,57.13,57.13,54.51,54.65,54.65,53281,0.0000,1.0
2020-11-05,55.26,56.86,55.26,56.56,56.56,42764,0.0000,1.0
2020-11-04,58.82,58.82,55.18,55.26,55.26,70835,0.0000,1.0
2020-11-03,57.41,58.95,57.4,58.75,58.75,46378,0.0000,1.0
2020-11-02,56.07,57.26,55.74,57.02,57.02,37481,0.5400,1.0
2020-10-30,55.61,57.1,55.61,55.99,55.4647289785,63337,0.0000,1.0
2020-10-29,55.0,56.48,54.5,56.27,55.7421021543,55570,0.0000,1.0
2020-10-28,55.2,56.045,54.67,54.94,54.4245795691,44064,0.0000,1.0
2020-10-27,57.35,57.84,55.5,55.91,55.3854794997,55255,0.0000,1.0
2020-10-26,57.16,58.04,56.77,57.68,57.1388742182,30673,0.0000,1.0
