timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,53.04,53.63,52.58,53.17,53.17,100073,0.0000,1.0
2020-12-10,54.79,55.23,53.69,53.91,53.91,167522,0.0000,1.0
2020-12-09,55.54,56.06,54.74,54.96,54.96,187344,0.0000,1.0
2020-12-08,54.46,54.83,53.91,54.7,54.7,199259,0.0000,1.0
2020-12-07,55.8,55.93,55.18,55.56,55.56,231144,0.0000,1.0
2020-12-04,56.49,57.49,56.44,57.11,57.11,216769,0.0000,1.0
2020-12-03,55.27,55.63,54.31,54.66,54.66,187965,0.0000,1.0
2020-12-02,55.29,56.69,55.2844,56.1,56.1,92471,0.0000,1.0
2020-12-01,53.59,55.5,53.52,54.68,54.68,165993,0.0000,1.0
2020-11-30,52.42,52.62,51.92,52.21,52.21,163333,0.0000,1.0
2020-11-27,52.73,52.8,52.16,52.2,52.2,107838,0.0000,1.0
2020-11-25,53.16,53.79,52.51,53.76,53.76,95577,0.0000,1.0
2020-11-24,52.72,53.41,52.499,53.24,53.24,232308,0.0000,1.0
2020-11-23,51.72,52.19,51.53,51.7,51.7,211840,0.0000,1.0
2020-11-20,52.0,52.12,50.98,51.07,51.07,119492,0.0000,1.0
2020-11-19,52.55,52.65,51.8,52.42,52.42,132096,0.0000,1.0
2020-11-18,53.05,54.2,52.99,53.28,53.28,169501,0.0000,1.0
2020-11-17,53.81,53.9,53.35,53.685,53.685,85073,0.0000,1.0
2020-11-16,54.8,54.97,54.235,54.78,54.78,112331,0.0000,1.0
2020-11-13,54.16,54.63,54.06,54.38,54.38,79746,0.0000,1.0
2020-11-12,55.79,56.01,54.15,54.15,54.15,123478,0.0000,1.0
2020-11-11,57.84,58.0291,56.92,57.12,57.12,130548,0.0000,1.0
2020-11-10,57.95,58.18,57.08,57.69,57.69,254143,0.0000,1.0
2020-11-09,56.85,58.25,56.73,56.79,56.79,575527,0.0000,1.0
2020-11-06,53.22,53.85,52.97,53.37,53.37,168417,0.0000,1.0
2020-11-05,51.25,52.34,51.2,51.66,51.66,514761,0.0000,1.0
2020-11-04,51.24,52.37,50.68,51.91,51.91,751852,0.0000,1.0
2020-11-03,55.35,56.0508,55.16,55.43,55.43,273258,0.0000,1.0
2020-11-02,54.41,54.78,53.87,54.54,54.54,298407,0.0000,1.0
2020-10-30,54.27,55.75,53.98,55.74,55.74,421541,0.0000,1.0
2020-10-29,52.62,54.81,52.5367,54.13,54.13,325192,0.0000,1.0
2020-10-28,51.98,53.12,51.94,52.61,52.61,309692,0.0000,1.0
