timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,47.78,49.1576,47.78,48.63,48.63,295687,0.0000,1.0
2020-12-10,48.05,48.505,47.51,48.07,48.07,422064,0.0000,1.0
2020-12-09,48.44,49.35,48.15,48.58,48.58,570951,0.5700,1.0
2020-12-08,46.8,48.08,46.6,47.99,47.4334526958,594414,0.0000,1.0
2020-12-07,47.41,47.6684,46.32,46.99,46.4450498474,574550,0.0000,1.0
2020-12-04,45.0,46.95,44.9535,46.87,46.3264415056,634855,0.0000,1.0
2020-12-03,44.73,45.23,44.48,44.74,44.2211434385,354421,0.0000,1.0
2020-12-02,44.7,45.04,44.14,44.48,43.9641586979,297007,0.0000,1.0
2020-12-01,45.66,46.18,44.57,44.65,44.1321871821,495500,0.0000,1.0
2020-11-30,45.26,45.39,44.77,45.26,44.7351129196,945424,0.0000,1.0
2020-11-27,45.59,45.94,45.12,45.26,44.7351129196,158214,0.0000,1.0
2020-11-25,45.77,45.96,45.2,45.49,44.9624455748,619811,0.0000,1.0
2020-11-24,47.0,47.0,45.35,45.83,45.2985025432,785369,0.0000,1.0
2020-11-23,44.8,46.42,44.58,46.07,45.5357192269,1241390,0.0000,1.0
2020-11-20,43.41,43.61,42.73,43.15,42.6495829095,424294,0.0000,1.0
2020-11-19,43.23,43.65,42.6713,43.64,43.1339003052,479303,0.0000,1.0
2020-11-18,42.14,43.75,42.135,43.35,42.8472634791,937827,0.0000,1.0
2020-11-17,41.2,42.24,41.2,41.92,41.4338474059,667665,0.0000,1.0
2020-11-16,41.0,41.83,40.6201,41.59,41.1076744659,697730,0.0000,1.0
2020-11-13,39.72,40.5,39.54,40.21,39.7436785351,277822,0.0000,1.0
2020-11-12,39.63,39.86,39.015,39.48,39.0221444557,445826,0.0000,1.0
2020-11-11,40.57,40.7021,39.56,39.95,39.4866937945,342408,0.0000,1.0
2020-11-10,39.03,40.8,39.01,40.58,40.109387589,674380,0.0000,1.0
2020-11-09,39.58,40.45,38.57,38.74,38.2907263479,618292,0.0000,1.0
2020-11-06,37.88,38.05,37.365,37.65,37.2133672431,450084,0.0000,1.0
2020-11-05,36.75,37.93,36.75,37.7,37.2627873856,331324,0.0000,1.0
2020-11-04,37.82,37.97,36.15,36.51,36.0865879959,622239,0.0000,1.0
2020-11-03,37.99,38.67,37.7,38.4,37.9546693795,497997,0.0000,1.0
2020-11-02,37.12,37.64,36.77,37.32,36.8871943032,378130,0.0000,1.0
2020-10-30,37.19,37.44,36.5101,36.88,36.4522970498,535652,0.0000,1.0
2020-10-29,36.66,37.78,35.88,37.25,36.8180061038,565962,0.0000,1.0
2020-10-28,37.32,37.5,36.12,36.78,36.353456765,759570,0.0000,1.0
2020-10-27,38.75,39.13,38.1,38.15,37.7075686673,745926,0.0000,1.0
2020-10-26,38.49,38.9,37.43,38.78,38.3302624619,694565,0.0000,1.0
2020-10-23,38.6,39.25,36.73,38.24,37.7965249237,2185865,0.0000,1.0
2020-10-22,36.82,36.92,36.3,36.66,36.2348484232,772559,0.0000,1.0
2020-10-21,37.45,37.6,36.19,36.57,36.1458921668,546643,0.0000,1.0
2020-10-20,36.94,37.45,36.71,37.34,36.9069623601,527738,0.0000,1.0
2020-10-19,36.95,37.5,36.5002,36.56,36.1360081384,893369,0.0000,1.0
2020-10-16,37.07,37.32,36.76,36.96,36.5313692777,440893,0.0000,1.0
2020-10-15,37.1,37.33,37.01,37.09,36.659861648,368580,0.0000,1.0
2020-10-14,37.88,38.04,37.33,37.4,36.966266531,317283,0.0000,1.0
2020-10-13,38.32,38.32,37.55,37.81,37.3715116989,536961,0.0000,1.0
2020-10-12,38.47,38.6,37.94,38.42,37.9744374364,288534,0.0000,1.0
2020-10-09,38.69,38.69,37.6,38.19,37.7471047813,478851,0.0000,1.0
2020-10-08,39.26,39.29,37.83,38.24,37.7965249237,469794,0.0000,1.0
2020-10-07,38.47,39.01,37.67,38.84,38.3895666328,1802779,0.0000,1.0
2020-10-06,38.39,38.75,38.01,38.22,37.7767568667,1437328,0.0000,1.0
2020-10-05,37.97,38.25,37.87,38.19,37.7471047813,4209458,0.0000,1.0
2020-10-02,37.23,38.0,37.215,37.7,37.2627873856,1927936,0.0000,1.0
2020-10-01,37.74,38.2,37.25,37.8,37.3616276704,3474131,0.0000,1.0
2020-09-30,40.11,40.81,39.82,40.67,40.1983438454,598056,0.0000,1.0
2020-09-29,39.94,40.02,39.1,39.78,39.3186653103,238827,0.0000,1.0
2020-09-28,39.92,40.39,39.75,39.94,39.476809766,391133,0.0000,1.0
2020-09-25,39.02,39.83,38.96,39.5,39.0419125127,310712,0.0000,1.0
2020-09-24,38.72,39.6918,38.4501,39.28,38.8244638861,247857,0.0000,1.0
2020-09-23,40.03,40.58,38.71,38.73,38.2808423194,485274,0.0000,1.0
2020-09-22,39.57,40.4,39.36,40.25,39.783214649,593766,0.0000,1.0
2020-09-21,40.44,40.44,38.47,39.15,38.6959715158,553670,0.0000,1.0
2020-09-18,40.6,41.54,40.49,41.15,40.6727772126,1151063,0.0000,1.0
2020-09-17,38.93,40.53,38.835,40.44,39.9710111902,677877,0.0000,1.0
2020-09-16,38.19,40.88,37.82,39.51,39.0517965412,951065,0.0000,1.0
2020-09-15,37.33,37.57,37.04,37.38,36.9464984741,225147,0.0000,1.0
2020-09-14,36.86,37.265,36.62,37.11,36.679629705,219433,0.0000,1.0
2020-09-11,36.56,36.87,36.24,36.51,36.0865879959,327910,0.0000,1.0
2020-09-10,36.21,36.48,36.1,36.26,35.8394872838,298984,0.0000,1.0
2020-09-09,35.65,36.275,35.25,36.11,35.6912268566,509627,0.5200,1.0
2020-09-08,36.45,36.59,35.73,36.03,35.106603976,446576,0.0000,1.0
2020-09-04,36.43,36.79,35.52,36.43,35.4963525631,373232,0.0000,1.0
2020-09-03,37.4,37.4534,35.62,35.88,34.9604482559,424555,0.0000,1.0
2020-09-02,36.68,37.28,36.21,37.17,36.217387449,391812,0.0000,1.0
2020-09-01,36.0,36.44,35.69,36.41,35.4768651337,350987,0.0000,1.0
2020-08-31,35.75,36.38,35.57,36.06,35.1358351201,473937,0.0000,1.0
2020-08-28,35.0,35.72,34.85,35.52,34.6096745276,333668,0.0000,1.0
2020-08-27,34.57,34.92,34.4,34.52,33.63530306,241575,0.0000,1.0
2020-08-26,34.38,34.6,33.955,34.45,33.5670970573,287932,0.0000,1.0
2020-08-25,34.55,34.69,34.32,34.46,33.576840772,239505,0.0000,1.0
2020-08-24,34.34,34.55,33.84,34.21,33.3332479051,521507,0.0000,1.0
2020-08-21,34.01,34.57,33.91,33.97,33.0993987529,285397,0.0000,1.0
2020-08-20,34.26,34.59,33.925,34.32,33.4404287665,260853,0.0000,1.0
2020-08-19,34.5,35.07,34.35,34.58,33.6937653481,464249,0.0000,1.0
2020-08-18,34.28,34.73,34.23,34.38,33.4988910546,316624,0.0000,1.0
