timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,0.61,0.61,0.523,0.552,0.552,7354269,0.0000,1.0
2020-12-10,0.6,0.6683,0.59,0.5948,0.5948,7884622,0.0000,1.0
2020-12-09,0.76,0.7687,0.59,0.6065,0.6065,24946559,0.0000,1.0
2020-12-08,0.6,0.7349,0.57,0.71,0.71,24034250,0.0000,1.0
2020-12-07,0.53,0.615,0.504951,0.57,0.57,11012491,0.0000,1.0
2020-12-04,0.48,0.524,0.47,0.5066,0.5066,5761155,0.0000,1.0
2020-12-03,0.49,0.49,0.466,0.4751,0.4751,2297986,0.0000,1.0
2020-12-02,0.47,0.485,0.455,0.4749,0.4749,2696224,0.0000,1.0
2020-12-01,0.4776,0.4797,0.455,0.4619,0.4619,2655179,0.0000,1.0
2020-11-30,0.487,0.487,0.43,0.47,0.47,4090950,0.0000,1.0
2020-11-27,0.4248,0.5011,0.424,0.4774,0.4774,5825942,0.0000,1.0
2020-11-25,0.425,0.43,0.42,0.425,0.425,1548119,0.0000,1.0
2020-11-24,0.418,0.438645,0.418,0.42,0.42,1954677,0.0000,1.0
2020-11-23,0.4211,0.4332,0.4124,0.418,0.418,1669399,0.0000,1.0
2020-11-20,0.433,0.4428,0.4201,0.4275,0.4275,1143778,0.0000,1.0
2020-11-19,0.43,0.44,0.4237,0.433,0.433,1485861,0.0000,1.0
2020-11-18,0.4184,0.45,0.4122,0.4283,0.4283,3102725,0.0000,1.0
2020-11-17,0.42,0.4225,0.3997,0.4164,0.4164,1072401,0.0000,1.0
2020-11-16,0.4243,0.432,0.3913,0.4194,0.4194,1775077,0.0000,1.0
2020-11-13,0.43,0.43,0.41,0.4147,0.4147,1528820,0.0000,1.0
2020-11-12,0.431,0.4389,0.4156,0.423,0.423,1944718,0.0000,1.0
2020-11-11,0.4099,0.43,0.4,0.4081,0.4081,1950738,0.0000,1.0
2020-11-10,0.38,0.407,0.3712,0.4068,0.4068,1289976,0.0000,1.0
2020-11-09,0.3887,0.3939,0.38,0.3803,0.3803,1318060,0.0000,1.0
2020-11-06,0.38,0.3814,0.361,0.3774,0.3774,1382688,0.0000,1.0
2020-11-05,0.37,0.41,0.36,0.3984,0.3984,1882715,0.0000,1.0
2020-11-04,0.37,0.378,0.3532,0.3683,0.3683,665519,0.0000,1.0
2020-11-03,0.3657,0.377899,0.3515,0.3611,0.3611,872280,0.0000,1.0
2020-11-02,0.375,0.3779,0.3611,0.3645,0.3645,655481,0.0000,1.0
2020-10-30,0.3823,0.3849,0.3587,0.36,0.36,766340,0.0000,1.0
2020-10-29,0.372,0.3837,0.36,0.3823,0.3823,953018,0.0000,1.0
2020-10-28,0.38,0.3874,0.3527,0.3729,0.3729,1288838,0.0000,1.0
2020-10-27,0.41,0.4106,0.38,0.3872,0.3872,863714,0.0000,1.0
2020-10-26,0.4092,0.4221,0.39,0.3962,0.3962,824184,0.0000,1.0
2020-10-23,0.415,0.4173,0.4,0.4105,0.4105,675634,0.0000,1.0
2020-10-22,0.41,0.4198,0.39,0.417,0.417,865826,0.0000,1.0
2020-10-21,0.42,0.4399,0.399,0.4041,0.4041,1518794,0.0000,1.0
2020-10-20,0.43,0.4497,0.413,0.4224,0.4224,1441875,0.0000,1.0
2020-10-19,0.4306,0.4679,0.42,0.4384,0.4384,2284118,0.0000,1.0
2020-10-16,0.4207,0.45,0.415,0.4387,0.4387,2304406,0.0000,1.0
2020-10-15,0.419,0.44,0.401,0.414,0.414,1252246,0.0000,1.0
2020-10-14,0.43,0.455,0.4,0.4286,0.4286,3171918,0.0000,1.0
2020-10-13,0.45,0.47,0.43,0.4394,0.4394,9556278,0.0000,1.0
2020-10-12,0.3729,0.4099,0.37,0.4027,0.4027,2648931,0.0000,1.0
2020-10-09,0.39,0.3921,0.3801,0.3907,0.3907,1160421,0.0000,1.0
2020-10-08,0.39,0.4,0.375,0.3934,0.3934,1793283,0.0000,1.0
2020-10-07,0.41,0.445,0.363,0.3968,0.3968,14533057,0.0000,1.0
2020-10-06,0.35,0.3627,0.347,0.35,0.35,854056,0.0000,1.0
2020-10-05,0.36,0.3649,0.346,0.346,0.346,961565,0.0000,1.0
2020-10-02,0.35,0.36,0.343,0.3468,0.3468,889071,0.0000,1.0
2020-10-01,0.3421,0.3518,0.341,0.343,0.343,1034420,0.0000,1.0
2020-09-30,0.3555,0.3599,0.346,0.3474,0.3474,819417,0.0000,1.0
2020-09-29,0.355,0.36,0.342,0.354,0.354,1161556,0.0000,1.0
2020-09-28,0.35,0.355,0.341,0.3503,0.3503,1000285,0.0000,1.0
2020-09-25,0.357,0.3599,0.3344,0.3513,0.3513,1223594,0.0000,1.0
2020-09-24,0.3627,0.373,0.337,0.3457,0.3457,2271507,0.0000,1.0
2020-09-23,0.405,0.428,0.3522,0.3623,0.3623,11009257,0.0000,1.0
2020-09-22,0.3488,0.3679,0.33,0.3464,0.3464,1060943,0.0000,1.0
2020-09-21,0.3201,0.388,0.3201,0.3475,0.3475,2717617,0.0000,1.0
2020-09-18,0.39,0.39,0.365,0.3675,0.3675,1499581,0.0000,1.0
2020-09-17,0.37,0.388,0.35583,0.3724,0.3724,1101870,0.0000,1.0
2020-09-16,0.37,0.386,0.36,0.38,0.38,1381471,0.0000,1.0
2020-09-15,0.34,0.3849,0.339,0.367,0.367,2380325,0.0000,1.0
2020-09-14,0.35,0.3612,0.331,0.3431,0.3431,994825,0.0000,1.0
2020-09-11,0.35,0.35,0.326,0.336,0.336,1512094,0.0000,1.0
2020-09-10,0.3432,0.3615,0.334,0.3501,0.3501,1287046,0.0000,1.0
2020-09-09,0.335,0.35,0.3277,0.3334,0.3334,1283437,0.0000,1.0
2020-09-08,0.34,0.349,0.3251,0.3312,0.3312,1394879,0.0000,1.0
2020-09-04,0.36,0.384899,0.3251,0.3558,0.3558,3743440,0.0000,1.0
2020-09-03,0.3839,0.3849,0.3516,0.3572,0.3572,2739093,0.0000,1.0
2020-09-02,0.38,0.3998,0.377,0.3784,0.3784,1372588,0.0000,1.0
2020-09-01,0.3806,0.3936,0.3703,0.3829,0.3829,2117266,0.0000,1.0
2020-08-31,0.4,0.41,0.387,0.4027,0.4027,2026824,0.0000,1.0
2020-08-28,0.4021,0.41,0.3904,0.4047,0.4047,1801908,0.0000,1.0
2020-08-27,0.41,0.42,0.4,0.41,0.41,1160498,0.0000,1.0
2020-08-26,0.41,0.42,0.39,0.4179,0.4179,2160194,0.0000,1.0
2020-08-25,0.4079,0.417,0.4,0.4035,0.4035,2204168,0.0000,1.0
2020-08-24,0.43,0.43,0.4,0.418,0.418,3835953,0.0000,1.0
2020-08-21,0.4259,0.4734,0.4,0.4335,0.4335,5934398,0.0000,1.0
2020-08-20,0.439,0.439799,0.42,0.4295,0.4295,2138657,0.0000,1.0
2020-08-19,0.468,0.47,0.42,0.4457,0.4457,5105393,0.0000,1.0
2020-08-18,0.382,0.48,0.3751,0.4764,0.4764,12059164,0.0000,1.0
2020-08-17,0.42,0.42,0.375,0.3862,0.3862,3646311,0.0000,1.0
2020-08-14,0.4256,0.4299,0.401,0.4109,0.4109,1891283,0.0000,1.0
2020-08-13,0.44,0.445,0.415,0.4231,0.4231,2965541,0.0000,1.0
2020-08-12,0.4674,0.47,0.43,0.4396,0.4396,2659250,0.0000,1.0
2020-08-11,0.48,0.484999,0.439701,0.4504,0.4504,2468298,0.0000,1.0
2020-08-10,0.43,0.485,0.43,0.4756,0.4756,3384034,0.0000,1.0
2020-08-07,0.4499,0.45,0.42,0.4401,0.4401,2180993,0.0000,1.0
2020-08-06,0.45,0.4758,0.4103,0.4576,0.4576,5854712,0.0000,1.0
2020-08-05,0.51,0.5165,0.47,0.4807,0.4807,5731245,0.0000,1.0
2020-08-04,0.4701,0.5355,0.465,0.5034,0.5034,6889626,0.0000,1.0
2020-08-03,0.4792,0.48,0.4377,0.4538,0.4538,5197417,0.0000,1.0
2020-07-31,0.526,0.556,0.452,0.4884,0.4884,9385436,0.0000,1.0
2020-07-30,0.445,0.5369,0.44,0.5124,0.5124,16017213,0.0000,1.0
2020-07-29,0.44,0.5187,0.41,0.4591,0.4591,21859863,0.0000,1.0
