timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,25.71,25.8,25.4,25.49,25.49,266212,0.0000,1.0
2020-12-10,25.71,26.14,25.5601,25.94,25.94,254483,0.0000,1.0
2020-12-09,26.69,26.79,25.61,25.83,25.83,594638,0.0000,1.0
2020-12-08,27.05,27.05,26.4,26.76,26.76,429484,0.0000,1.0
2020-12-07,26.59,27.275,26.5,26.95,26.95,812987,0.0000,1.0
2020-12-04,25.79,26.79,25.57,26.72,26.72,862103,0.0000,1.0
2020-12-03,25.81,26.136,25.51,25.67,25.67,763396,0.0000,1.0
2020-12-02,25.65,25.96,25.11,25.66,25.66,743079,0.0000,1.0
2020-12-01,24.39,25.89,24.26,25.76,25.76,1202059,0.0000,1.0
2020-11-30,24.63,24.7,24.23,24.46,24.46,554075,0.0000,1.0
2020-11-27,24.36,24.82,24.23,24.43,24.43,297757,0.0000,1.0
2020-11-25,24.37,24.55,23.91,24.12,24.12,357792,0.0000,1.0
2020-11-24,24.36,24.73,24.02,24.67,24.67,429542,0.0000,1.0
2020-11-23,23.73,24.34,23.6,24.33,24.33,431388,0.0000,1.0
2020-11-20,23.45,23.66,23.13,23.53,23.53,296814,0.0000,1.0
2020-11-19,23.1,23.53,23.06,23.51,23.51,351861,0.0000,1.0
2020-11-18,23.67,23.84,23.17,23.2,23.2,339937,0.0000,1.0
2020-11-17,23.72,23.8,23.35,23.62,23.62,189157,0.0000,1.0
2020-11-16,23.5,23.97,23.2601,23.94,23.94,717962,0.0000,1.0
2020-11-13,22.91,23.39,22.64,22.99,22.99,698073,0.0000,1.0
2020-11-12,22.89,23.2,21.7403,22.59,22.59,1622897,0.0000,1.0
2020-11-11,22.68,23.28,22.585,23.07,23.07,551996,0.0000,1.0
2020-11-10,22.58,22.89,22.23,22.37,22.37,558149,0.0000,1.0
2020-11-09,23.5,23.84,22.83,22.86,22.86,942112,0.0000,1.0
2020-11-06,22.23,22.5,21.98,22.28,22.28,870293,0.0000,1.0
2020-11-05,22.53,22.98,22.2,22.23,22.23,929117,0.0000,1.0
2020-11-04,22.11,22.5365,21.84,22.05,22.05,858360,0.0000,1.0
2020-11-03,21.27,21.76,21.27,21.67,21.67,292331,0.0000,1.0
2020-11-02,21.23,21.329,20.69,21.07,21.07,341607,0.0000,1.0
2020-10-30,20.99,21.22,20.4,21.1,21.1,556288,0.0000,1.0
2020-10-29,20.35,21.27,20.35,21.15,21.15,415079,0.0000,1.0
2020-10-28,20.97,21.24,20.37,20.41,20.41,765483,0.0000,1.0
2020-10-27,20.6,21.39,20.6,21.34,21.34,654317,0.0000,1.0
2020-10-26,19.71,20.95,19.25,20.88,20.88,801136,0.0000,1.0
2020-10-23,19.8,20.15,19.74,19.96,19.96,113919,0.0000,1.0
2020-10-22,20.01,20.18,19.53,19.91,19.91,205776,0.0000,1.0
2020-10-21,19.67,20.19,19.62,19.9,19.9,211001,0.0000,1.0
2020-10-20,19.59,19.94,19.54,19.58,19.58,179840,0.0000,1.0
2020-10-19,19.5,19.79,19.36,19.41,19.41,217638,0.0000,1.0
2020-10-16,19.97,19.97,19.47,19.48,19.48,173002,0.0000,1.0
2020-10-15,19.46,19.97,19.36,19.83,19.83,134545,0.0000,1.0
2020-10-14,19.94,20.13,19.52,19.76,19.76,255197,0.0000,1.0
2020-10-13,20.08,20.46,19.9,19.94,19.94,248386,0.0000,1.0
2020-10-12,20.09,20.2,19.85,20.02,20.02,257190,0.0000,1.0
2020-10-09,19.94,20.2,19.71,19.9,19.9,199977,0.0000,1.0
2020-10-08,19.15,19.71,19.04,19.61,19.61,271280,0.0000,1.0
2020-10-07,18.69,18.94,18.69,18.88,18.88,176266,0.0000,1.0
2020-10-06,18.75,18.83,18.42,18.51,18.51,146331,0.0000,1.0
2020-10-05,18.46,18.79,18.46,18.745,18.745,130904,0.0000,1.0
2020-10-02,18.25,18.57,18.21,18.3,18.3,149566,0.0000,1.0
2020-10-01,18.39,18.74,18.39,18.63,18.63,128788,0.0000,1.0
2020-09-30,18.45,18.62,18.1,18.22,18.22,264531,0.0000,1.0
2020-09-29,18.36,18.64,18.29,18.42,18.42,173523,0.0000,1.0
2020-09-28,18.24,18.64,18.1391,18.5,18.5,170957,0.0000,1.0
2020-09-25,17.95,18.1,17.61,18.03,18.03,165778,0.0000,1.0
2020-09-24,17.87,18.08,17.67,17.86,17.86,222816,0.0000,1.0
2020-09-23,18.65,18.76,18.02,18.04,18.04,380106,0.0000,1.0
2020-09-22,18.72,19.0,18.38,18.93,18.93,329416,0.0000,1.0
2020-09-21,18.21,18.83,17.995,18.68,18.68,383931,0.0000,1.0
2020-09-18,18.61,18.8,18.31,18.64,18.64,256811,0.0000,1.0
2020-09-17,18.31,18.66,18.17,18.5,18.5,190989,0.0000,1.0
2020-09-16,18.78,19.13,18.78,18.85,18.85,255180,0.0000,1.0
2020-09-15,18.47,18.74,18.44,18.68,18.68,237248,0.0000,1.0
2020-09-14,18.33,18.44,18.01,18.34,18.34,340928,0.0000,1.0
2020-09-11,18.12,18.19,17.72,17.85,17.85,255579,0.0000,1.0
2020-09-10,18.01,18.24,17.9,17.94,17.94,336220,0.0000,1.0
2020-09-09,18.35,18.41,18.11,18.17,18.17,241373,0.0000,1.0
2020-09-08,18.16,18.4,17.8401,17.89,17.89,423989,0.0000,1.0
2020-09-04,18.82,19.08,18.18,18.91,18.91,278837,0.0000,1.0
2020-09-03,19.52,19.52,18.65,19.07,19.07,605682,0.0000,1.0
2020-09-02,20.06,20.22,19.78,19.95,19.95,628298,0.0000,1.0
2020-09-01,19.49,19.99,19.44,19.93,19.93,347394,0.0000,1.0
2020-08-31,19.75,19.79,19.39,19.46,19.46,263217,0.0000,1.0
2020-08-28,19.29,19.74,19.22,19.71,19.71,179939,0.0000,1.0
2020-08-27,20.09,20.09,19.3,19.34,19.34,328047,0.0000,1.0
2020-08-26,20.26,20.325,20.035,20.11,20.11,163993,0.0000,1.0
2020-08-25,19.89,20.12,19.89,20.12,20.12,145539,0.0000,1.0
2020-08-24,19.82,19.97,19.65,19.79,19.79,160966,0.0000,1.0
2020-08-21,19.59,19.68,19.385,19.65,19.65,312227,0.0000,1.0
2020-08-20,19.85,19.85,19.47,19.5,19.5,455782,0.0000,1.0
2020-08-19,20.36,20.46,19.93,20.03,20.03,333309,0.0000,1.0
2020-08-18,20.8,20.99,20.385,20.57,20.57,300443,0.0000,1.0
2020-08-17,21.3,21.55,21.02,21.14,21.14,242005,0.0000,1.0
2020-08-14,21.29,21.54,21.25,21.29,21.29,223101,0.0000,1.0
2020-08-13,21.13,21.4165,20.95,21.35,21.35,386594,0.0000,1.0
2020-08-12,20.98,21.23,20.8,21.23,21.23,321865,0.0000,1.0
2020-08-11,21.22,21.27,20.86,21.02,21.02,379341,0.0000,1.0
2020-08-10,21.04,21.4,20.82,21.16,21.16,397117,0.0000,1.0
2020-08-07,21.34,21.34,20.81,21.13,21.13,310361,0.0000,1.0
2020-08-06,21.15,21.39,20.76,21.35,21.35,568364,0.0000,1.0
2020-08-05,21.49,21.86,21.34,21.53,21.53,403002,0.0000,1.0
2020-08-04,21.61,21.925,21.47,21.675,21.675,481337,0.0000,1.0
2020-08-03,21.57,21.98,21.14,21.87,21.87,501261,0.0000,1.0
2020-07-31,21.4346,21.8566,21.06,21.5,21.5,956626,0.0000,1.0
2020-07-30,20.12,21.75,20.0,21.19,21.19,2333106,0.0000,1.0
2020-07-29,21.42,21.72,20.18,20.3,20.3,1645358,0.0000,1.0
