timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,26.44,26.44,26.325,26.405,26.405,3250,0.0000,1.0
2020-12-10,26.45,26.632,26.22,26.37,26.37,6445,0.0000,1.0
2020-12-09,26.21,26.41,26.2,26.32,26.32,8714,0.0000,1.0
2020-12-08,26.42,26.42,26.1683,26.2686,26.2686,5974,0.0000,1.0
2020-12-07,26.395,26.44,26.3,26.395,26.395,10244,0.0000,1.0
2020-12-04,26.48,26.48,26.3,26.45,26.45,3674,0.0000,1.0
2020-12-03,26.24,26.4097,26.19,26.4097,26.4097,8375,0.0000,1.0
2020-12-02,26.17,26.3824,26.17,26.36,26.36,5500,0.0000,1.0
2020-12-01,26.29,26.31,26.24,26.31,26.31,4444,0.0000,1.0
2020-11-30,26.1495,26.26,26.05,26.26,26.26,4491,0.0000,1.0
2020-11-27,26.18,26.26,26.14,26.26,26.26,983,0.0000,1.0
2020-11-25,26.1404,26.23,26.08,26.15,26.15,7495,0.0000,1.0
2020-11-24,26.28,26.304,26.08,26.26,26.26,14369,0.0000,1.0
2020-11-23,26.13,26.21,26.09,26.2,26.2,5296,0.0000,1.0
2020-11-20,26.14,26.1511,26.06,26.14,26.14,11178,0.0000,1.0
2020-11-19,26.07,26.19,26.01,26.19,26.19,20479,0.0000,1.0
2020-11-18,26.11,26.28,26.03,26.06,26.06,7313,0.0000,1.0
2020-11-17,26.1,26.395,26.07,26.22,26.22,13705,0.0000,1.0
2020-11-16,25.98,26.16,25.9208,26.16,26.16,12777,0.0000,1.0
2020-11-13,25.98,25.9837,25.85,25.98,25.98,6176,0.0000,1.0
2020-11-12,25.96,25.96,25.85,25.94,25.94,7520,0.0000,1.0
2020-11-11,26.06,26.06,25.83,25.89,25.89,23843,0.0000,1.0
2020-11-10,26.11,26.24,25.87,26.05,26.05,13768,0.0000,1.0
2020-11-09,26.1,26.3344,26.05,26.25,26.25,13414,0.0000,1.0
2020-11-06,26.07,26.07,25.83,25.83,25.83,7567,0.0000,1.0
2020-11-05,26.06,26.13,25.99,25.99,25.99,6446,0.0000,1.0
2020-11-04,25.99,26.2755,25.98,26.05,26.05,11673,0.0000,1.0
2020-11-03,25.88,26.0,25.81,25.91,25.91,4879,0.0000,1.0
2020-11-02,25.88,25.91,25.73,25.76,25.76,7696,0.0000,1.0
2020-10-30,26.0,26.0,25.76,25.79,25.79,5991,0.0000,1.0
2020-10-29,25.89,25.94,25.76,25.9099,25.9099,8729,0.1385,1.0
2020-10-28,26.0,26.2,25.77,25.86,25.7225017276,13089,0.0000,1.0
2020-10-27,26.02,26.2,26.02,26.07,25.9313851523,12039,0.0000,1.0
2020-10-26,26.4,26.54,26.038,26.08,25.941331982,12660,0.0000,1.0
2020-10-23,26.11,26.35,26.0848,26.35,26.2098963852,6076,0.0000,1.0
2020-10-22,25.97,26.1,25.97,26.09,25.9512788118,2343,0.0000,1.0
2020-10-21,26.2,26.41,25.96,26.0089,25.8706100225,8564,0.0000,1.0
2020-10-20,26.19,26.38,26.19,26.38,26.2397368744,2704,0.0000,1.0
2020-10-19,26.38,26.38,26.1254,26.17,26.0308534497,4516,0.0000,1.0
2020-10-16,26.34,26.465,26.13,26.275,26.1352951621,10415,0.0000,1.0
2020-10-15,26.23,26.39,26.21,26.39,26.2496837042,4224,0.0000,1.0
2020-10-14,26.54,26.73,26.1,26.21,26.0706407687,9414,0.0000,1.0
2020-10-13,27.0,27.0,26.61,26.795,26.652530309,4615,0.0000,1.0
2020-10-12,27.22,27.3499,27.04,27.04,26.8962276378,12766,0.0000,1.0
2020-10-09,27.39,27.39,27.2,27.22,27.0752705732,6184,0.0000,1.0
2020-10-08,27.2,27.56,27.19,27.34,27.1946325302,11032,0.0000,1.0
2020-10-07,27.2,27.2,26.98,27.09,26.9459617865,7634,0.0000,1.0
2020-10-06,26.98,27.4998,26.98,27.41,27.2642603384,9361,0.0000,1.0
2020-10-05,26.5481,27.01,26.5481,26.9762,26.832766864,7922,0.0000,1.0
2020-10-02,27.77,27.8,27.023,27.26,27.1150578922,12452,0.0000,1.0
2020-10-01,27.9,27.9,27.16,27.54,27.3935691252,51707,0.0000,1.0
2020-09-30,26.72,27.73,26.72,27.53,27.3836222954,53599,0.0000,1.0
2020-09-29,26.87,26.97,26.708,26.97,26.8265998295,9019,0.0000,1.0
2020-09-28,26.5,26.99,26.3968,26.8901,26.7471246599,13216,0.0000,1.0
2020-09-25,25.85,26.62,25.85,26.55,26.4088329801,11917,0.0000,1.0
