timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,8.01,8.01,7.98,8.0,8.0,9080,0.0000,1.0
2020-12-10,8.0899,8.0899,8.0482,8.0482,8.0482,2818,0.0000,1.0
2020-12-09,8.11,8.12,8.08,8.1015,8.1015,3255,0.0000,1.0
2020-12-08,8.04,8.08,8.02,8.08,8.08,20792,0.0000,1.0
2020-12-07,8.1,8.11,8.0851,8.0851,8.0851,3320,0.0000,1.0
2020-12-04,8.1568,8.18,8.1568,8.1684,8.1684,6552,0.0000,1.0
2020-12-03,8.0995,8.1,8.07,8.075,8.075,16409,0.0000,1.0
2020-12-02,8.158,8.158,8.135,8.135,8.135,3378,0.0000,1.0
2020-12-01,8.0498,8.13,8.0498,8.0983,8.0983,2085,0.0000,1.0
2020-11-30,7.95,7.97,7.94,7.965,7.965,10099,0.0000,1.0
2020-11-27,8.0,8.0,7.975,7.975,7.975,11093,0.0000,1.0
2020-11-25,8.02,8.0292,7.99,8.0292,8.0292,16853,0.0000,1.0
2020-11-24,8.0398,8.045,8.0201,8.0446,8.0446,2242,0.0000,1.0
2020-11-23,8.005,8.01,8.0,8.0026,8.0026,2465,0.0000,1.0
2020-11-20,7.975,7.98,7.9647,7.965,7.965,3667,0.0000,1.0
2020-11-19,7.99,8.0002,7.99,8.0002,8.0002,426,0.0000,1.0
2020-11-18,8.0299,8.03,8.01,8.03,8.03,1429,0.0000,1.0
2020-11-17,8.05,8.05,8.01,8.02,8.02,11168,0.0000,1.0
2020-11-16,8.07,8.085,8.07,8.085,8.085,2323,0.0000,1.0
2020-11-13,8.04,8.07,8.04,8.0674,8.0674,4923,0.0000,1.0
2020-11-12,8.08,8.08,8.04,8.04,8.04,2905,0.0000,1.0
2020-11-11,8.2001,8.21,8.1723,8.1723,8.1723,8591,0.0000,1.0
2020-11-10,8.21,8.21,8.17,8.2,8.2,2399,0.0000,1.0
2020-11-09,8.15,8.2053,8.14,8.14,8.14,8169,0.0000,1.0
2020-11-06,7.98,7.99,7.975,7.99,7.99,7156,0.0000,1.0
2020-11-05,7.865,7.9173,7.865,7.8967,7.8967,15221,0.0000,1.0
2020-11-04,7.91,7.92,7.88,7.8816,7.8816,22823,0.0000,1.0
2020-11-03,8.1,8.115,8.09,8.0991,8.0991,11951,0.0000,1.0
2020-11-02,8.01,8.0499,8.01,8.0499,8.0499,11994,0.0000,1.0
2020-10-30,8.025,8.08,8.02,8.078,8.078,7576,0.0000,1.0
2020-10-29,7.92,7.99,7.92,7.99,7.99,1623,0.0000,1.0
2020-10-28,7.89,7.91,7.8899,7.91,7.91,8263,0.0000,1.0
2020-10-27,7.93,7.93,7.9185,7.9185,7.9185,2082,0.0000,1.0
2020-10-26,7.95,7.95,7.9401,7.95,7.95,2900,0.0000,1.0
2020-10-23,8.035,8.035,8.01,8.015,8.015,21948,0.0000,1.0
2020-10-22,8.0,8.0651,8.0,8.0651,8.0651,6449,0.0000,1.0
2020-10-21,7.97,7.98,7.9572,7.98,7.98,20432,0.0000,1.0
2020-10-20,7.95,7.95,7.93,7.95,7.95,1423,0.0000,1.0
2020-10-19,7.93,7.97,7.895,7.97,7.97,14464,0.0000,1.0
2020-10-16,7.85,7.87,7.85,7.8619,7.8619,4189,0.0000,1.0
2020-10-15,7.815,7.87,7.815,7.8448,7.8448,2589,0.0000,1.0
2020-10-14,7.815,7.8257,7.815,7.8257,7.8257,789,0.0000,1.0
2020-10-13,7.87,7.87,7.85,7.85,7.85,4199,0.0000,1.0
2020-10-12,7.92,7.92,7.89,7.89,7.89,2153,0.0000,1.0
2020-10-09,7.94,7.94,7.9,7.9142,7.9142,2565,0.0000,1.0
2020-10-08,7.9,7.9048,7.89,7.9048,7.9048,4145,0.0000,1.0
2020-10-07,7.91,7.9462,7.91,7.94,7.94,979,0.0000,1.0
2020-10-06,7.9296,7.93,7.86,7.8721,7.8721,8178,0.0000,1.0
2020-10-05,7.87,7.93,7.87,7.9274,7.9274,4274,0.0000,1.0
2020-10-02,7.79,7.8,7.77,7.7729,7.7729,2309,0.0000,1.0
2020-10-01,7.8,7.8,7.755,7.755,7.755,294,0.0000,1.0
2020-09-30,7.78,7.81,7.7737,7.7737,7.7737,680,0.0000,1.0
2020-09-29,7.7184,7.7184,7.7,7.71,7.71,1543,0.0000,1.0
2020-09-28,7.7424,7.7499,7.73,7.735,7.735,1417,0.0000,1.0
2020-09-25,7.75,7.75,7.72,7.73,7.73,554,0.0000,1.0
2020-09-24,7.755,7.755,7.75,7.75,7.75,139,0.0000,1.0
2020-09-23,7.76,7.795,7.76,7.76,7.76,7384,0.0000,1.0
2020-09-22,7.76,7.76,7.75,7.7552,7.7552,609,0.0000,1.0
2020-09-21,7.74,7.7552,7.74,7.7552,7.7552,434,0.0000,1.0
2020-09-18,7.78,7.8005,7.78,7.8005,7.8005,1013,0.0000,1.0
2020-09-17,7.7693,7.8,7.7693,7.7907,7.7907,5253,0.0000,1.0
2020-09-16,7.75,7.8,7.75,7.7999,7.7999,3929,0.0000,1.0
2020-09-15,7.77,7.79,7.77,7.775,7.775,2863,0.0000,1.0
2020-09-14,7.74,7.7814,7.74,7.7814,7.7814,628,0.0000,1.0
2020-09-11,7.76,7.765,7.76,7.7601,7.7601,1473,0.0000,1.0
2020-09-10,7.84,7.86,7.78,7.7903,7.7903,6710,0.0000,1.0
2020-09-09,7.795,7.8401,7.7936,7.8293,7.8293,4892,0.0000,1.0
2020-09-08,7.774,7.82,7.774,7.81,7.81,1698,0.0000,1.0
2020-09-04,7.7801,7.87,7.7801,7.8676,7.8676,3317,0.0000,1.0
2020-09-03,7.7553,7.7553,7.71,7.74,7.74,3997,0.0000,1.0
2020-09-02,7.8,7.8,7.7601,7.7677,7.7677,3169,0.0000,1.0
2020-09-01,7.89,7.89,7.8,7.805,7.805,8184,0.0000,1.0
2020-08-31,7.91,7.91,7.8473,7.8719,7.8719,24932,0.0000,1.0
2020-08-28,7.91,7.92,7.8786,7.91,7.91,2832,0.0000,1.0
2020-08-27,7.88,7.9399,7.88,7.92,7.92,4862,0.0000,1.0
2020-08-26,7.89,7.89,7.845,7.845,7.845,452,0.0000,1.0
2020-08-25,7.86,7.86,7.83,7.83,7.83,3879,0.0000,1.0
2020-08-24,7.79,7.79,7.79,7.79,7.79,181,0.0000,1.0
2020-08-21,7.78,7.785,7.7612,7.7612,7.7612,2529,0.0000,1.0
2020-08-20,7.79,7.79,7.78,7.7818,7.7818,2672,0.0000,1.0
2020-08-19,7.79,7.8549,7.79,7.8549,7.8549,794,0.0000,1.0
2020-08-18,7.8427,7.8427,7.81,7.83,7.83,14702,0.0000,1.0
2020-08-17,7.87,7.87,7.83,7.855,7.855,7799,0.0000,1.0
2020-08-14,7.9,7.9,7.8785,7.8999,7.8999,33223,0.0000,1.0
2020-08-13,7.89,7.92,7.89,7.9102,7.9102,3029,0.0000,1.0
2020-08-12,7.8697,7.89,7.85,7.865,7.865,7457,0.0000,1.0
2020-08-11,7.8399,7.85,7.7811,7.7811,7.7811,5438,0.0000,1.0
2020-08-10,7.69,7.705,7.69,7.705,7.705,14259,0.0000,1.0
2020-08-07,7.625,7.6911,7.625,7.6911,7.6911,686,0.0000,1.0
2020-08-06,7.64,7.65,7.63,7.65,7.65,5968,0.0000,1.0
2020-08-05,7.6642,7.6642,7.6642,7.6642,7.6642,185,0.0000,1.0
2020-08-04,7.635,7.64,7.6025,7.6025,7.6025,2326,0.0000,1.0
2020-08-03,7.7013,7.7013,7.685,7.685,7.685,386,0.0000,1.0
2020-07-31,7.71,7.71,7.67,7.6941,7.6941,7433,0.0000,1.0
2020-07-30,7.7,7.7,7.665,7.665,7.665,7591,0.0000,1.0
2020-07-29,7.745,7.745,7.7109,7.7109,7.7109,667,0.0000,1.0
2020-07-28,7.7599,7.76,7.7342,7.7342,7.7342,1580,0.0000,1.0
2020-07-27,7.79,7.79,7.79,7.79,7.79,402,0.0000,1.0
2020-07-24,7.75,7.77,7.73,7.7648,7.7648,11727,0.0000,1.0
2020-07-23,7.7402,7.7599,7.74,7.7449,7.7449,4470,0.0000,1.0
2020-07-22,7.77,7.7708,7.77,7.7708,7.7708,445,0.0000,1.0
2020-07-21,7.79,7.79,7.78,7.78,7.78,1165,0.0000,1.0
2020-07-20,7.77,7.81,7.77,7.81,7.81,2411,0.0000,1.0
2020-07-17,7.79,7.83,7.79,7.82,7.82,3400,0.0000,1.0
2020-07-16,7.8,7.82,7.8,7.81,7.81,3000,0.0000,1.0
2020-07-15,7.85,7.85,7.82,7.83,7.83,770,0.0000,1.0
2020-07-14,7.79,7.83,7.79,7.83,7.83,2100,0.0000,1.0
2020-07-13,7.87,7.89,7.83,7.83,7.83,7800,0.0000,1.0
2020-07-10,7.79,7.86,7.79,7.85,7.85,6600,0.0000,1.0
2020-07-09,7.86,7.86,7.79,7.8,7.8,3300,0.0000,1.0
2020-07-08,7.87,7.89,7.87,7.89,7.89,1300,0.0000,1.0
2020-07-07,7.89,7.89,7.84,7.84,7.84,920,0.0000,1.0
2020-07-06,7.93,7.94,7.9,7.9,7.9,7200,0.0000,1.0
2020-07-02,7.94,7.94,7.88,7.88,7.88,2800,0.0000,1.0
2020-07-01,7.9,7.94,7.89,7.9,7.9,5500,0.0000,1.0
2020-06-30,7.83,7.87,7.83,7.86,7.86,3200,0.0000,1.0
2020-06-29,7.85,7.85,7.84,7.84,7.84,3600,0.0000,1.0
2020-06-26,7.905,7.905,7.83,7.8405,7.8405,3728,0.0000,1.0
2020-06-25,7.91,7.94,7.91,7.9259,7.9259,1487,0.0000,1.0
2020-06-24,7.9638,7.9638,7.9259,7.9259,7.9259,5058,0.0000,1.0
2020-06-23,7.973,8.01,7.973,7.9771,7.9771,2902,0.0000,1.0
2020-06-22,7.921,7.975,7.921,7.955,7.955,8394,0.0000,1.0
2020-06-19,7.9601,7.9601,7.93,7.9443,7.9443,3458,0.0000,1.0
2020-06-18,7.9799,7.98,7.95,7.9503,7.9503,3609,0.0000,1.0
2020-06-17,8.055,8.06,8.0047,8.0047,8.0047,56578,0.0000,1.0
2020-06-16,8.15,8.15,8.035,8.06,8.06,5800,0.0000,1.0
2020-06-15,7.92,8.0027,7.92,8.0027,8.0027,8462,0.0000,1.0
2020-06-12,7.97,7.99,7.9498,7.9813,7.9813,2558,0.0000,1.0
2020-06-11,7.92,7.9411,7.91,7.92,7.92,11646,0.0000,1.0
2020-06-10,8.16,8.16,8.02,8.02,8.02,12381,0.0000,1.0
2020-06-09,8.1883,8.212,8.1883,8.212,8.212,2809,0.0000,1.0
2020-06-08,8.35,8.35,8.27,8.294,8.294,13183,0.0000,1.0
2020-06-05,8.34,8.41,8.32,8.32,8.32,5237,0.0000,1.0
