timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.52,1.53,1.41,1.5,1.5,2508083,0.0000,1.0
2020-12-10,1.33,1.49,1.291,1.49,1.49,2465030,0.0000,1.0
2020-12-09,1.53,1.53,1.3,1.39,1.39,4519622,0.0000,1.0
2020-12-08,1.57,1.59,1.34,1.48,1.48,6675352,0.0000,1.0
2020-12-07,1.3,1.48,1.28,1.43,1.43,8102144,0.0000,1.0
2020-12-04,1.1,1.21,1.09,1.21,1.21,2547494,0.0000,1.0
2020-12-03,1.12,1.14,1.09,1.1,1.1,2023397,0.0000,1.0
2020-12-02,1.05,1.1,1.04,1.08,1.08,1153990,0.0000,1.0
2020-12-01,1.07,1.09,1.04,1.05,1.05,889283,0.0000,1.0
2020-11-30,1.04,1.07,1.03,1.06,1.06,1327308,0.0000,1.0
2020-11-27,1.12,1.13,1.04,1.07,1.07,1305935,0.0000,1.0
2020-11-25,1.05,1.13,1.04,1.11,1.11,3108807,0.0000,1.0
2020-11-24,0.9874,1.05,0.9874,1.03,1.03,2191348,0.0000,1.0
2020-11-23,0.99,1.015,0.978,0.985,0.985,1880796,0.0000,1.0
2020-11-20,0.96,0.98,0.9406,0.98,0.98,652576,0.0000,1.0
2020-11-19,0.954,0.9608,0.93425,0.9568,0.9568,700436,0.0000,1.0
2020-11-18,0.96,0.98,0.95,0.96,0.96,784626,0.0000,1.0
2020-11-17,1.01,1.01,0.9525,0.96,0.96,1231087,0.0000,1.0
2020-11-16,1.02,1.0246,0.9733,1.01,1.01,988727,0.0000,1.0
2020-11-13,1.0,1.02,0.9774,0.9919,0.9919,897127,0.0000,1.0
2020-11-12,1.07,1.08,1.01,1.02,1.02,1309194,0.0000,1.0
2020-11-11,0.99,1.07,0.94,1.07,1.07,2108249,0.0000,1.0
2020-11-10,0.94,1.01,0.9203,0.9917,0.9917,1518948,0.0000,1.0
2020-11-09,0.91,0.96,0.9,0.9203,0.9203,1006940,0.0000,1.0
2020-11-06,0.92,0.935,0.8872,0.9035,0.9035,706622,0.0000,1.0
2020-11-05,0.86,0.9349,0.85,0.9129,0.9129,1280282,0.0000,1.0
2020-11-04,0.8501,0.9098,0.8501,0.89,0.89,444534,0.0000,1.0
2020-11-03,0.8609,0.9056,0.8609,0.8992,0.8992,736199,0.0000,1.0
2020-11-02,0.86,0.9,0.849,0.8577,0.8577,798211,0.0000,1.0
2020-10-30,0.87,0.88,0.831,0.8626,0.8626,749906,0.0000,1.0
2020-10-29,0.83,0.88,0.8213,0.88,0.88,1200148,0.0000,1.0
