timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,428.86,437.89,425.91,430.86,430.86,59766,0.0000,1.0
2020-12-10,426.98,435.855,426.355,431.13,431.13,20540,0.0000,1.0
2020-12-09,431.35,433.15,425.42,431.97,431.97,37513,0.0000,1.0
2020-12-08,425.0,434.58,425.0,431.39,431.39,27028,0.0000,1.0
2020-12-07,430.86,431.385,424.47,427.75,427.75,24049,0.0000,1.0
2020-12-04,429.66,434.345,426.73,433.81,433.81,27483,0.0000,1.0
2020-12-03,425.47,431.01,416.97,426.41,426.41,38845,0.0000,1.0
2020-12-02,419.61,426.99,415.2,424.99,424.99,39373,0.0000,1.0
2020-12-01,418.3,429.24,416.88,421.5,421.5,35861,0.0000,1.0
2020-11-30,407.45,422.55,407.45,414.23,414.23,129601,0.0000,1.0
2020-11-27,412.59,414.655,407.42,407.44,407.44,13875,0.0000,1.0
2020-11-25,416.0,417.45,412.0,414.0,414.0,27592,0.0000,1.0
2020-11-24,406.8,418.79,406.495,415.28,415.28,30270,0.0000,1.0
2020-11-23,400.17,407.89,400.17,406.56,406.56,25588,0.0000,1.0
2020-11-20,403.52,405.73,399.8,401.01,401.01,30498,0.0000,1.0
2020-11-19,407.81,407.81,397.44,404.43,404.43,36687,0.0000,1.0
2020-11-18,406.98,414.35,406.98,409.8,409.8,27097,0.0000,1.0
2020-11-17,406.02,409.32,403.03,408.63,408.63,24652,0.0000,1.0
2020-11-16,405.0,409.82,402.885,409.76,409.76,27620,0.0000,1.0
2020-11-13,396.14,403.42,396.14,401.87,401.87,21741,0.0000,1.0
2020-11-12,404.18,404.18,392.69,396.36,396.36,31766,0.0000,1.0
2020-11-11,401.55,404.77,400.0,404.0,404.0,25636,0.0000,1.0
2020-11-10,387.5,402.0,387.5,402.0,402.0,29987,0.0000,1.0
2020-11-09,401.5,402.22,388.665,388.71,388.71,37148,0.0000,1.0
2020-11-06,398.97,402.585,384.08,384.96,384.96,31161,0.0000,1.0
2020-11-05,384.5,404.49,382.5,400.09,400.09,79504,0.0000,1.0
2020-11-04,358.5,370.09,352.37,365.56,365.56,49803,0.0000,1.0
2020-11-03,354.18,360.19,351.985,358.74,358.74,23512,0.0000,1.0
2020-11-02,352.42,356.6,350.24,351.45,351.45,23098,0.0000,1.0
2020-10-30,349.14,353.79,346.01,347.16,347.16,26525,0.0000,1.0
2020-10-29,346.8,351.34,345.28,349.62,349.62,31030,0.0000,1.0
2020-10-28,352.95,354.185,345.19,345.56,345.56,35444,0.0000,1.0
