timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.6,4.7152,4.42,4.62,4.62,306864,0.0000,1.0
2020-12-10,4.54,4.68,4.5,4.65,4.65,108555,0.0000,1.0
2020-12-09,4.67,4.68,4.52,4.57,4.57,83755,0.0000,1.0
2020-12-08,4.58,4.71,4.51,4.58,4.58,116180,0.0000,1.0
2020-12-07,4.74,4.76,4.52,4.54,4.54,114638,0.0000,1.0
2020-12-04,4.55,4.74,4.54,4.74,4.74,155898,0.0000,1.0
2020-12-03,4.57,4.57,4.4201,4.51,4.51,81674,0.0000,1.0
2020-12-02,4.39,4.61,4.39,4.53,4.53,164278,0.0000,1.0
2020-12-01,4.5,4.6,4.35,4.39,4.39,201594,0.0000,1.0
2020-11-30,5.05,5.17,4.43,4.43,4.43,448974,0.0000,1.0
2020-11-27,4.77,5.05,4.77,5.02,5.02,93227,0.0000,1.0
2020-11-25,4.79,5.0701,4.74,4.74,4.74,147353,0.0000,1.0
2020-11-24,4.69,5.07,4.54,4.84,4.84,372173,0.0000,1.0
2020-11-23,4.69,4.72,4.54,4.6,4.6,177355,0.0000,1.0
2020-11-20,4.55,4.72,4.48,4.65,4.65,366917,0.0600,1.0
2020-11-19,4.66,4.69,4.41,4.65,4.59076433121,299756,0.0000,1.0
2020-11-18,4.63,4.7102,4.375,4.47,4.41305732484,461847,0.0000,1.0
2020-11-17,4.64,4.6816,4.51,4.58,4.52165605096,132663,0.0000,1.0
2020-11-16,4.58,4.82,4.58,4.63,4.57101910828,100072,0.0000,1.0
2020-11-13,4.58,4.68,4.35,4.45,4.39331210191,91732,0.0000,1.0
2020-11-12,4.74,4.76,4.5,4.57,4.51178343949,94625,0.0000,1.0
2020-11-11,5.12,5.12,4.69,4.82,4.75859872611,73617,0.0000,1.0
2020-11-10,4.85,5.25,4.85,5.2,5.13375796178,98407,0.0000,1.0
2020-11-09,4.5,5.05,4.48,4.86,4.79808917197,105880,0.0000,1.0
2020-11-06,4.7,4.77,4.35,4.36,4.30445859873,64777,0.0000,1.0
2020-11-05,4.855,4.89,4.7,4.7,4.64012738854,36295,0.0000,1.0
2020-11-04,4.74,4.85,4.61,4.74,4.67961783439,66928,0.0000,1.0
2020-11-03,4.68,4.99,4.68,4.88,4.8178343949,74598,0.0000,1.0
2020-11-02,4.48,4.66,4.48,4.65,4.59076433121,43593,0.0000,1.0
2020-10-30,4.625,4.625,4.34,4.39,4.33407643312,63355,0.0000,1.0
2020-10-29,4.88,4.88,4.43,4.5,4.44267515924,51421,0.0000,1.0
2020-10-28,4.62,4.685,4.47,4.54,4.4821656051,88228,0.0000,1.0
2020-10-27,4.94,4.96,4.69,4.7,4.64012738854,40294,0.0000,1.0
2020-10-26,5.05,5.05,4.75,4.93,4.86719745223,57843,0.0000,1.0
2020-10-23,4.99,5.13,4.99,5.07,5.00541401274,80205,0.0000,1.0
2020-10-22,5.01,5.04,4.78,4.98,4.91656050955,152642,0.0000,1.0
2020-10-21,5.04,5.1,4.86,4.98,4.91656050955,95092,0.0000,1.0
2020-10-20,5.14,5.16,4.97,5.0,4.93630573248,84341,0.0000,1.0
2020-10-19,5.43,5.45,5.066,5.1,5.03503184713,108892,0.0000,1.0
2020-10-16,5.41,5.52,5.33,5.435,5.36576433121,35701,0.0000,1.0
