timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,18.45,18.91,18.39,18.64,18.64,20519,0.0000,1.0
2020-12-10,18.34,18.71,18.245,18.64,18.64,18762,0.0000,1.0
2020-12-09,18.21,18.5,18.0793,18.44,18.44,13749,0.0000,1.0
2020-12-08,17.87,18.2959,17.87,18.21,18.21,12306,0.0000,1.0
2020-12-07,17.99,18.43,17.4,18.09,18.09,11653,0.0000,1.0
2020-12-04,17.44,18.0,17.44,17.99,17.99,14362,0.0000,1.0
2020-12-03,17.74,17.74,17.03,17.27,17.27,7985,0.0000,1.0
2020-12-02,17.7,17.975,17.6,17.64,17.64,15652,0.0000,1.0
2020-12-01,17.71,18.01,17.51,17.64,17.64,15558,0.0000,1.0
2020-11-30,18.2263,18.2263,16.74,17.59,17.59,35257,0.0000,1.0
2020-11-27,18.26,18.8392,18.18,18.58,18.58,7029,0.0000,1.0
2020-11-25,17.27,18.38,17.02,18.38,18.38,33911,0.0000,1.0
2020-11-24,17.17,17.9,16.99,17.27,17.27,24758,0.0000,1.0
2020-11-23,17.13,18.5183,16.73,17.05,17.05,16508,0.0000,1.0
2020-11-20,17.08,17.11,16.68,17.11,17.11,13646,0.0000,1.0
2020-11-19,17.65,17.65,16.61,17.4,17.4,30764,0.0000,1.0
2020-11-18,17.28,17.73,17.28,17.55,17.55,15080,0.0000,1.0
2020-11-17,17.38,17.83,17.05,17.05,17.05,8323,0.0000,1.0
2020-11-16,17.14,18.08,16.73,17.53,17.53,24500,0.0000,1.0
2020-11-13,15.76,17.25,15.76,16.85,16.85,11290,0.0000,1.0
2020-11-12,16.25,16.34,15.66,15.72,15.72,17164,0.0000,1.0
2020-11-11,16.045,16.69,16.045,16.59,16.59,15246,0.0000,1.0
2020-11-10,16.3,16.79,16.195,16.49,16.49,24314,0.0000,1.0
2020-11-09,15.38,17.34,15.38,15.94,15.94,41885,0.0000,1.0
2020-11-06,15.1,15.38,14.58,14.58,14.58,7172,0.0000,1.0
2020-11-05,14.6,15.15,14.6,15.06,15.06,8383,0.0000,1.0
