timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.39,1.3999,1.3,1.32,1.32,250477,0.0000,1.0
2020-12-10,1.39,1.42,1.365,1.37,1.37,203542,0.0000,1.0
2020-12-09,1.39,1.48,1.37,1.4,1.4,618327,0.0000,1.0
2020-12-08,1.36,1.405,1.34,1.37,1.37,279278,0.0000,1.0
2020-12-07,1.39,1.42,1.37,1.37,1.37,283064,0.0000,1.0
2020-12-04,1.37,1.43,1.36,1.42,1.42,280245,0.0000,1.0
2020-12-03,1.4,1.42,1.365,1.37,1.37,438395,0.0000,1.0
2020-12-02,1.37,1.45,1.27,1.42,1.42,688316,0.0000,1.0
2020-12-01,1.46,1.4799,1.35,1.36,1.36,546719,0.0000,1.0
2020-11-30,1.38,1.49,1.355,1.46,1.46,964096,0.0000,1.0
2020-11-27,1.49,1.49,1.31,1.41,1.41,1290719,0.0000,1.0
2020-11-25,1.28,1.41,1.23,1.36,1.36,2032822,0.0000,1.0
2020-11-24,1.22,1.32,1.2,1.29,1.29,1364549,0.0000,1.0
2020-11-23,1.11,1.25,1.1055,1.21,1.21,1589283,0.0000,1.0
2020-11-20,1.11,1.14,1.09,1.13,1.13,617509,0.0000,1.0
2020-11-19,1.09,1.1289,1.08,1.11,1.11,511151,0.0000,1.0
2020-11-18,1.17,1.17,1.08,1.1,1.1,1605514,0.0000,1.0
2020-11-17,1.01,1.25,1.0,1.2,1.2,7689673,0.0000,1.0
2020-11-16,1.02,1.05,1.0101,1.03,1.03,695122,0.0000,1.0
2020-11-13,0.99,1.05,0.99,1.03,1.03,931661,0.0000,1.0
2020-11-12,1.02,1.08,0.98,1.01,1.01,1824960,0.0000,1.0
2020-11-11,1.05,1.1,1.02,1.06,1.06,868365,0.0000,1.0
2020-11-10,1.02,1.05,1.0,1.05,1.05,727414,0.0000,1.0
2020-11-09,1.03,1.05,0.99,1.03,1.03,861500,0.0000,1.0
2020-11-06,1.03,1.09,0.9901,1.04,1.04,2136352,0.0000,1.0
2020-11-05,0.9626,1.01,0.95,0.983,0.983,630916,0.0000,1.0
2020-11-04,0.9868,1.01,0.9401,0.96,0.96,707577,0.0000,1.0
2020-11-03,1.0,1.07,0.98,1.02,1.02,2788027,0.0000,1.0
2020-11-02,0.94,0.9999,0.92,0.9855,0.9855,678567,0.0000,1.0
2020-10-30,0.98,0.9912,0.9245,0.9495,0.9495,485389,0.0000,1.0
2020-10-29,1.02,1.02,0.96,1.01,1.01,820207,0.0000,1.0
2020-10-28,1.05,1.06,1.0,1.01,1.01,868464,0.0000,1.0
2020-10-27,1.03,1.095,1.02,1.06,1.06,1151868,0.0000,1.0
