timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,255.23,257.94,253.64,256.37,256.37,158536,0.0000,1.0
2020-12-10,251.95,256.56,251.48,256.21,256.21,167015,0.0000,1.0
2020-12-09,257.63,257.8414,251.4703,253.33,253.33,276462,0.0000,1.0
2020-12-08,253.0,256.9356,253.0,256.65,256.65,176677,0.0000,1.0
2020-12-07,252.85,254.01,252.59,253.34,253.34,171926,0.0000,1.0
2020-12-04,249.88,252.9,249.88,252.85,252.85,163715,0.0000,1.0
2020-12-03,247.65,250.6,247.65,248.96,248.96,222194,0.0000,1.0
2020-12-02,247.39,247.45,245.34,247.41,247.41,164204,0.0000,1.0
2020-12-01,249.84,249.84,247.17,248.68,248.68,425242,0.0000,1.0
2020-11-30,249.12,250.0,244.295,247.59,247.59,214803,0.0000,1.0
2020-11-27,246.56,248.83,246.56,248.83,248.83,75536,0.0000,1.0
2020-11-25,245.45,246.4498,244.42,245.88,245.88,208813,0.0000,1.0
2020-11-24,247.62,247.62,245.275,245.68,245.68,241516,0.0000,1.0
2020-11-23,244.25,246.09,242.75,245.11,245.11,251678,0.0000,1.0
2020-11-20,241.94,243.62,240.8733,242.82,242.82,140763,0.0000,1.0
2020-11-19,239.22,242.5,238.905,242.06,242.06,229350,0.0000,1.0
2020-11-18,242.57,242.6071,239.02,239.06,239.06,210397,0.0000,1.0
2020-11-17,239.58,242.22,237.834,241.78,241.78,228829,0.0000,1.0
2020-11-16,241.03,241.03,238.8723,240.51,240.51,230217,0.0000,1.0
2020-11-13,237.35,238.84,236.9386,238.52,238.52,190399,0.0000,1.0
2020-11-12,237.17,238.152,233.8401,235.27,235.27,157872,0.0000,1.0
2020-11-11,236.53,237.84,235.92,237.7,237.7,126542,0.0000,1.0
2020-11-10,235.26,235.39,230.71,234.81,234.81,213153,0.0000,1.0
2020-11-09,247.76,247.76,235.07,235.36,235.36,340691,0.0000,1.0
2020-11-06,236.03,236.6475,234.39,235.41,235.41,232948,0.0000,1.0
2020-11-05,233.29,236.28,232.8942,235.78,235.78,187624,0.0000,1.0
2020-11-04,225.07,232.22,225.07,229.95,229.95,154095,0.0000,1.0
2020-11-03,221.35,225.0,220.895,224.19,224.19,182081,0.0000,1.0
2020-11-02,218.88,220.29,215.71,218.62,218.62,278953,0.0000,1.0
2020-10-30,219.36,219.94,214.5973,216.78,216.78,222749,0.0000,1.0
2020-10-29,218.65,221.31,217.465,220.17,220.17,129215,0.0000,1.0
2020-10-28,220.93,221.265,218.25,218.65,218.65,311119,0.0000,1.0
2020-10-27,225.9,227.01,224.525,224.84,224.84,129810,0.0000,1.0
2020-10-26,227.64,228.5678,222.865,225.59,225.59,207626,0.0000,1.0
2020-10-23,229.42,229.94,227.58,229.77,229.77,88668,0.0000,1.0
2020-10-22,226.34,228.77,225.01,228.49,228.49,134749,0.0000,1.0
2020-10-21,228.19,229.36,225.5,225.63,225.63,127249,0.0000,1.0
2020-10-20,229.31,230.2802,227.77,228.02,228.02,188135,0.0000,1.0
2020-10-19,231.8,232.69,227.69,228.0,228.0,156083,0.0000,1.0
2020-10-16,232.03,232.64,230.36,230.36,230.36,126333,0.0000,1.0
2020-10-15,228.11,231.68,226.01,231.07,231.07,175285,0.0000,1.0
2020-10-14,232.97,233.9866,230.22,230.86,230.86,141342,0.0000,1.0
2020-10-13,231.36,233.04,231.3115,232.15,232.15,191418,0.0000,1.0
